"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Plan International France","Membre du réseau Plan International, l’ONG Plan International France agit aux côtés des filles, et plus largement des enfants et des jeunes, pour faire progresser leurs droits et atteindre l’égalité filles-garçons.

En contexte de développement et de crises humanitaires, nous mettons en place des programmes pour assurer la protection des filles, et plus largement et des enfants et des jeunes, contre toutes formes de violence. Nous agissons pour leur accès à l’éducation et à la formation professionnelle, nous défendons le respect de leurs droits à la santé sexuelle et reproductive et accompagnons leur engagement en tant que jeunesses actrices. 

Grâce à nos 40 000 donateur.trices, dont plus de 30000 marraines et parrains, au soutien des bailleurs institutionnels et des mécènes, nous mettons en place/développons dans plus de 40 pays, des solutions durables construites avec les communautés, les équipes et les partenaires locaux.

Nous assurons également, en France, un travail de plaidoyer auprès des décideur·euses politiques et sensibilisons le grand public à l’égalité de genre.

Plan International, jusqu’à l’égalité !","Philanthropy","11-50 employees","Non Profit","Pantin, Île-de-France","France","plan-international.fr","https://www.linkedin.com/company/plan-international-france"
,"Walton Family Foundation","We are a family-led organization, supporting multiple generations of Sam and Helen Walton’s family. 
We value trust, mutual respect, and a workplace where every associate belongs and can do their best work. We bring together talented people with different backgrounds and viewpoints, support their growth, and empower them to contribute meaningfully. 
We are an equal opportunity employer committed to a workplace that is free of discrimination and harassment of any kind. All applicants receive consideration for employment without regard to race, religion, color, national origin, sex, sexual orientation, gender identity, age, veteran status, genetic information, or any other status protected by the laws or regulations in the locations where we operate.","Philanthropy","51-200 employees","Non Profit","Bentonville, Arkansas","United States","waltonfamilyfoundation.org","https://www.linkedin.com/company/the-walton-family-foundation"
,"Annie E. Casey Foundation","The Annie E. Casey Foundation is a private national philanthropy that creates better futures for the nation’s children by strengthening families, building economic opportunities and transforming neighborhoods into safer and healthier places to live, work and grow.","Philanthropy","51-200 employees","Non Profit","Baltimore, MD","United States","aecf.org","https://www.linkedin.com/company/annie-e.-casey-foundation"
,"Robert Bosch Stiftung","The Robert Bosch Stiftung GmbH is one of the major German foundations associated with a private company in Europe. It works in the areas of health, education, and global issues. With its charitable activities, it contributes the development of viable solutions to social challenges. For this purpose, the Foundation implements its own projects, enters into alliances with partners, and supports third-party initiatives.
 
The Global Issues support area centers around the topics of peace, inequality, climate change, democracy, migration, and immigration society. When it comes to education, the focus is on individual and organizational learning, while with its support for health, the Foundation is committed to securing a sustainable health care system that focuses more on people.","Philanthropy","51-200 employees","Non Profit","Stuttgart, Baden-Württemberg","Germany","bosch-stiftung.de","https://www.linkedin.com/company/robertboschstiftung"
,"Médecins du Monde Canada","Médecins du Monde est une ONG qui soigne, témoigne et accompagne le changement social à l'aide de son réseau international regroupant 15 délégations. Notre mission est d’offrir et promouvoir l’accès aux soins de santé aux personnes exclues et vulnérables, ici et ailleurs.

Nous allons au-delà des urgences et des soins médicaux. En plus d’offrir des soins aux populations marginalisées, notre objectif est d’apporter des changements structurels par un plaidoyer informé et constructif. Nous voulons inspirer une approche de la santé qui tienne compte des besoins et des droits des personnes en situation de vulnérabilité. 
Depuis sa création au Canada, il y a 20 ans, Médecins du Monde va à la rencontre de ces personnes, là où elles se trouvent, que ce soit dans la rue, dans les camps de déplacés ou encore dans des coins de pays négligés par les États.","Philanthropy","11-50 employees","Non Profit","Montréal, Québec","Canada","medecinsdumonde.ca","https://www.linkedin.com/company/médecins-du-monde-canada"
,"India Climate Collaborative","The India Climate Collaborative (ICC), founded in 2020 by philanthropists and industry leaders, is a first-of-its-kind collaborative committed to the climate ecosystem in India. It does this by unlocking philanthropic capital, identifying catalytic climate priorities, and creating a connective infrastructure for impactful funding.","Philanthropy","11-50 employees","Non Profit","Mumbai, Maharashtra","India","indiaclimatecollaborative.org","https://www.linkedin.com/company/india-climate-collaborative"
,"The Commonwealth Fund","The Commonwealth Fund is a private foundation dedicated to affordable, quality health care--for all.","Philanthropy","11-50 employees","Non Profit","New York, NY","United States","commonwealthfund.org","https://www.linkedin.com/company/the-commonwealth-fund"
,"African Women's Development Fund (AWDF)","African Women’s Development Fund (AWDF) is a grant-making foundation which supports local, national and regional organisations in Africa working towards women’s empowerment. AWDF through institutional capacity building and programme development seeks to build a culture of learning and partnerships within the African women’s movement.

 The vision of AWDF is for African women to live in a world in which there is social justice, equality and respect for women’s human rights.  To this end, our mission is to mobilise financial resources to support local, national and regional initiatives led by women, which will lead to the achievement of this vision.  AWDF funds women's groups across Africa working in the areas of Women’s Human Rights, Political Participation, Peace Building, Health and Reproductive Rights, HIV/AIDS and Economic Empowerment.

To date AWDF has granted over $26.2 million to 1,200 women's organisations in 42 African countries. AWDF’s grants range from U$1,000- U$50,000, and multi-year grants of up to $120,000 can be made to grantees engaged in strategic work.","Philanthropy","11-50 employees","Non Profit","Accra","Ghana","awdf.org","https://www.linkedin.com/company/african-women's-development-fund-awdf-"
,"Sawiris Foundation for Social Development","Sawiris Foundation for Social Development (SFSD) is one of the first donor foundations in Egypt. Established in 2001 by the Sawiris family, SFSD philanthropically promotes and supports innovative solutions that target comprehensive and sustainable development in Egypt.

Over the last 23 years, SFSD has addressed the most pressing issues facing marginalized Egyptians, such as poverty, unemployment, social exclusion, and limited access to quality education, by funding the delivery of programs aimed at achieving comprehensive and sustainable development in partnership with the governmental and private sectors as well as civil society. By creating thousands of job opportunities, providing quality education, and accessibility to basic services, SFSD has impacted the lives of nearly one million Egyptians in 24 Egyptian governorates, focusing on the most remote villages, with total investments of close to 2.5 billion EGP.","Philanthropy","51-200 employees","Non Profit","Garden City, Cairo","Egypt","sawirisfoundation.org","https://www.linkedin.com/company/sawiris-foundation-for-social-development"
,"Bodossaki Foundation","Bodossaki Foundation is a public benefit organisation established in 1972 for continuing the charitable and social solidarity offering of its founder, Prodromos Bodossakis Athanassiades, to the Greek society. Its vision is a society of equal opportunities and prospects for all.  

To promote its vision, the Foundation funds, plans and implements, in full alignment with the principles of transparency, accountability and integrity, actions and programmes of relevance to its four strategic pillars: supporting education, strengthening healthcare, protecting the environment and empowering Civil Society.

Today, Bodossaki Foundation also acts as a catalyst for fostering a broader culture of social contribution in the Greek society, managing third-party resources (re-granting) on behalf of grantors wishing to fund programmes with a strong social impact.","Philanthropy","11-50 employees","Non Profit","Athens, Attiki","Greece","bodossaki.gr","https://www.linkedin.com/company/bodossaki-foundation"
,"Inside Philanthropy","Inside Philanthropy helps nonprofit professionals expand their impact. We publish new articles daily about trends in philanthropy and also provide in-depth grant research on foundations and individual donors. Thousands of nonprofits, foundations, universities, consultants, and media organizations rely on IP to understand and navigate the fast-changing world of philanthropy.","Philanthropy","11-50 employees","Privately Held","Santa Monica, CA","United States","insidephilanthropy.com","https://www.linkedin.com/company/inside-philanthropy"
,"Global Fund for Children","Global Fund for Children partners to build a world where all children and youth enjoy equal resources and opportunities in society and live free from violence, discrimination, and exploitation. We do this by investing in  innovative, grassroots organizations that provide children and youth with the resources to reach their full potential and advance their rights worldwide.

In the fight for children’s rights, too many great ideas go unheard and unfunded. Global Fund for Children is here to change that. We discover grassroots organizations pursuing bold ideas, and provide the funding, coaching, and connections to give those ideas a chance to work. We take smart risks that others don’t, walking alongside our partners to help them develop and succeed, so that, together, we can build a future where all children and youth are safe, strong, and valued.","Philanthropy","11-50 employees","Non Profit","Washington, District of Columbia","United States","globalfundforchildren.org","https://www.linkedin.com/company/global-fund-for-children"
,"Porticus","Porticus is a philanthropic organisation that aims to create a just and sustainable future where human dignity flourishes. 

Porticus advises and manages the philanthropic funds of the Brenninkmeijer family business owners. In close collaboration with our partners, we design initiatives around global social and environmental challenges around four areas: Earth, Education, Faith and Society. Through special entities Argidius and Community Arts Lab, we tackle poverty through small business development and seek to transform lives through community arts.

Across our priorities and special entities, our mission and approach are consistent: creating a just and sustainable future for all through systems change that is inclusive, participatory and makes a difference for the long term.","Philanthropy","51-200 employees","Privately Held","Amsterdam, North Holland","Netherlands","porticus.com","https://www.linkedin.com/company/porticus"
,"Paul Hamlyn Foundation","Paul Hamlyn Foundation was established in 1987. Since then, we have used our resources to work towards a just future in which everyone, especially young people, can realise their full potential and enjoy fulfilling and creative lives.

In all of our work, including our grant-making, we are guided by six strategic priorities where we want to see change:
 
• Investing in young people
• Migration and integration
• Arts access and participation
• Education and learning through the arts
• Nurturing ideas and people
• Creating opportunities for people and communities in India

Find out more about our work and apply for funding: www.phf.org.uk","Philanthropy","11-50 employees","Non Profit","London","United Kingdom","phf.org.uk","https://www.linkedin.com/company/right-here"
,"The Asian American Foundation","The Asian American Foundation (TAAF) is a convener, incubator, and funder committed to accelerating opportunity and prosperity for Asian American and Pacific Islander communities. We strive to be a catalyzing force for belonging for the 23 million AAPIs across the U.S.","Philanthropy","2-10 employees","Non Profit","katy",,"taaf.org","https://www.linkedin.com/company/taaforg"
,"Carlsberg Foundation","The Carlsberg Foundation is one of the world's oldest industrial foundations. Here, ambitious brewing business flourishes alongside support for science, art, and culture.

One of the primary aims of the Carlsberg Foundation is to provide support for outstanding basic research within the natural sciences, humanities, and social sciences.

The Carlsberg Foundation places particular emphasis on supporting talent development and generational change in Danish research, internationalization of Danish talents, and visionary research breakthroughs.","Philanthropy","11-50 employees","Privately Held","Copenhagen V, Hovedstaden","Denmark","carlsbergfondet.dk","https://www.linkedin.com/company/carlsbergfondet-carlsberg-foundation"
,"Trust-Based Philanthropy Project","The Trust-Based Philanthropy Project builds tools, conducts experiments, forges alliances, and deploys narrative strategies to make trust-based philanthropy the standard of practice for all philanthropies committed to a just and equitable society.","Philanthropy","2-10 employees","Non Profit","San Francisco","United States","trustbasedphilanthropy.org","https://www.linkedin.com/company/trust-based-philanthropy"
,"McKnight Foundation","McKnight Foundation, a family foundation based in Minnesota, advances a more just, creative, and abundant future where people and planet thrive.","Philanthropy","51-200 employees","Privately Held","Minneapolis, Minnesota","United States","mcknight.org","https://www.linkedin.com/company/mcknight-foundation"
,"ONG AMSODE","L’Association Malienne pour la Solidarité et le Développement (AMSODE) est une organisation non gouvernementale nationale humanitaire à but non lucratif basée en Afrique de l’Ouest, précisément au Mali.AMSODE se fait entre autre objectif: la mise en place des projets de développement en étroite collaboration avec les populations locales afin d’assurer la promotion et le développement des initiatives de base ainsi que la conception et l’exécution de toute action en faveur du développement. Son a approché désormais est l’auto promotion pour faire participer largement les populations auxquelles reviennent les initiatives des projets. AMSODE participe désormais aux actions de soutiens aux populations vulnérables au Mali en général et des victimes de la sécheresse à travers les aides d’urgence et les actions de réhabilitation.","Philanthropy","11-50 employees","Non Profit","Baco djicoroni, Bamako","Mali","amsode.org","https://www.linkedin.com/company/ong-amsode"
