"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Women of Influence+","For 30 years, Women of Influence+ has been a catalyst for advancing women’s leadership, workplace equity, and systemic change. Through high-impact events, research-driven insights, and a global network of over one million business leaders and professionals, Women of Influence+ helps shape policy, influence corporate strategy, and drive economic inclusion.

At Women of Influence+, impact is defined by the decisions shaped and opportunities created. Here, leadership isn’t just about who holds power—it’s about how that power is used to build a more inclusive and equitable future.

For companies and organizations committed to long-term growth and innovation, partnering with Women of Influence+ means aligning with the next era of leadership.","Professional Organizations","2-10 employees","Privately Held","Toronto, ON","Canada","womenofinfluence.ca","https://www.linkedin.com/company/woiglobal"
,"Conseil supérieur du notariat - Notaires de France","Les notaires de France sont des juristes investis d’une mission d’autorité publique qui préparent des contrats sous la forme authentique pour le compte de ses clients. Ils exercent leurs fonctions dans un cadre libéral et assument leur mission de service public sur l'ensemble du territoire. Ils contribuent à la vie économique du pays.

Seul organe de la profession habilité à s'exprimer au nom de tous les notaires de France, le Conseil supérieur du notariat est un établissement d'utilité publique. Il repose sur un schéma défini par l'Ordonnance du 2 novembre 1945 et le décret du 19 décembre 1945.

Il représente la profession auprès des pouvoirs publics, Il détermine sa politique générale, Il contribue à l'évolution du notariat, Il fournit des services collectifs aux notaires.

Dans ses relations avec les pouvoirs publics, le Conseil supérieur du notariat contribue à la réflexion sur les évolutions du droit, donne son avis sur les projets de loi ou les textes réglementaires en préparation.","Professional Organizations","51-200 employees","Non Profit","Paris, Île-de-France","France","notaires.fr","https://www.linkedin.com/company/notaires-de-france"
,"The Chief of Staff Association","Chiefs of staff act as trusted advisors who guide and support the world’s most influential leaders.

The Chief of Staff Association (CSA) is the professional home for chiefs of staff across major corporations, government, nonprofits and the military. With offices in London, New York and Melbourne, we provide education, networking and professional development that strengthen strategy, leadership and decision-making. Our programmes include executive education at Oxford’s Saïd Business School and Harvard Business School.

The CSA is the only professional association authorised to award the Certified Chief of Staff credential.","Professional Organizations","1,001-5,000 employees","Privately Held","London","United Kingdom","csa.org","https://www.linkedin.com/company/chief-of-staff"
,"Canadian Nurses Association","CNA is the national and global professional voice of Canadian nursing. Our mission is to advance the nursing profession to improve health outcomes in Canada’s publicly funded, not-for-profit health system. CNA is the only national association that speaks for all nurses in all sectors and practice settings across all 13 provinces and territories. We represent nurses that are unionized and non-unionized, retired nurses, nursing students, and all categories of nurses (licensed and registered practical nurses, nurse practitioners, registered nurses, and registered psychiatric nurses).

Why Join? 
https://www.cna-aiic.ca/en/membership/why-join-cna

L’Association des infirmières et infirmiers du Canada (AIIC) représente la profession infirmière du Canada à l’échelle nationale et mondiale. Elle fait progresser la profession infirmière afin d’améliorer les résultats sur la santé dans le système de santé sans but lucratif financé par le secteur public. L’AIIC est la seule association nationale porte-parole de tous les types d’infirmières et infirmiers dans l’ensemble des treize provinces et territoires. Elle représente les infirmières et infirmiers syndiqués et non syndiqués ainsi que retraités, les étudiants en sciences infirmières et le personnel infirmier de toutes les catégories (autorisés, auxiliaires autorisés, praticiens, et psychiatriques autorisés).

Pourquoi adhérer à l’AIIC?
L'AIIC est heureuse d'accueillir tous les infirmières et infirmiers réglementés suivants : les infirmières et infirmiers praticiens, les infirmières et infirmiers autorisés, les infirmières et infirmiers auxiliaires autorisés ainsi que les infirmières et infirmiers psychiatriques autorisés. Nous accueillons aussi les étudiants en sciences infirmières, ainsi que les infirmières et infirmiers retraités dans toutes les catégories.","Professional Organizations","51-200 employees","Non Profit","Ottawa, Ontario","Canada","cna-aiic.ca","https://www.linkedin.com/company/cna-aiic"
,"The Institute of Chartered Accountants of Nigeria","The Institute of Chartered Accountants of Nigeria (ICAN) was established by Act of Parliament No. 15 of 1965 and is a founding member of International Federation of Accountants (IFAC), Pan African Federation of Accountants (PAFA) and the Association of Accountancy Bodies in West Africa (ABWA).

ICAN is empowered to set standards of knowledge and skills to be attained by persons seeking to become members of the accountancy profession in Nigeria. The Institute has more than 39,000 members and 120,000 students on its registers and conducts professional examinations twice in a year. Its vision is to be a leading global professional body while its mission is to produce world-class Chartered Accountants, regulate and continuously enhance their ethical standards and technical competence in the public interest.

The Institute is engaged in broadening the frontiers of the profession in Africa by mentoring sister professional accountancy bodies for international recognition.","Professional Organizations","51-200 employees","Non Profit","Victoria Island, Lagos","Nigeria","icanig.org","https://www.linkedin.com/company/the-institute-of-chartered-accountants-of-nigeria"
,"France Digitale","Fondée en 2012, France Digitale est la plus grande association de startups en Europe, avec plus de 2000 membres startups et investisseurs français du numérique.

Nos missions ?
- Faire émerger des champions du numérique en Europe.
- Porter la voix et fédérer celles et ceux qui innovent pour changer la face du monde.
- Créer des ponts et des opportunités de business entre tous les acteurs de l’innovation qu’ils soient grands groupes, décideurs publics, investisseurs, entrepreneurs ou salariés des startups et scale-ups.

Comment ?
1. En connectant les acteurs de l’écosystème lors de rencontres de qualité, de rendez-vous d’affaires ou même d’auditions institutionnelles.
2. En faisant gagner du temps aux entrepreneurs grâce au partage d’expériences, de bonnes pratiques et des meilleurs outils
3. En lançant des campagnes de sensibilisation auprès des politiques et du grand public (pour que même notre famille comprenne ce qu’on fait !)

Chaque année, France Digitale c’est :
- 50+ événements : des FDTour pour lever des fonds partout en France, des C-level days pour fédérer les professionnels des startups, scale-ups et VCs ou encore le FDDay, grande réunion annuelle pour tout l’écosystème.
- 1,000+ rencontres entre des startups et des investisseurs et 450+ rencontres avec des grands groupes et des décideurs publics.
- 20+ mappings et décryptages des sujets de fond et réglementaires, et même une newsletter avec le meilleur de l’actu tech pour toujours garder un temps d’avance.

Notre objectif pour les années à venir : accompagner la croissance de l’écosystème au service de l’Homme et de la planète pour faire de l’Europe le leader de l’innovation responsable.

France Digitale est co-présidée par Frédéric Mazzella, fondateur de BlablaCar, et Benoist Grossmann, CEO d’Eurazeo.","Professional Organizations","11-50 employees","Non Profit","Paris, Île-de-France","France","francedigitale.org","https://www.linkedin.com/company/france-digitale"
,"ĐÚNG NGƯỜI ĐÚNG VIỆC Community"," Chào mừng bạn đến với ĐÚNG NGƯỜI ĐÚNG VIỆC Community, Kênh chọn lọc Việc làm tốt - Ứng viên xịn.

Xuất phát từ một dự án cộng đồng giúp kết nối ứng viên và nhà tuyển dụng hoàn toàn miễn phí, được khởi xướng bởi Ms Carol Võ (Founder) với 16+ năm kinh nghiệm trong lĩnh vực tuyển dụng, ĐNĐV liên tục cập nhật job chọn lọc, chia sẻ hồ sơ ứng viên chất lượng, cùng các tips đi làm, góc nhìn tuyển dụng và các kiến thức luật lao động dễ áp dụng. 
Từ đó, ĐNĐV trở thành một kênh thông tin về tuyển dụng và tìm việc đáng tin cậy cho thị trường lao động tại Việt Nam.

Sau 2+ năm hoạt động, ĐNĐV tự hào đạt được các cột mốc tăng trưởng ấn tượng:
* 10.000+ doanh nghiệp đăng ký tuyển dụng
* 500.000+ ứng viên đăng ký tìm việc
* TOP 1 tăng trưởng follower trên LinkedIn tại Việt Nam 2025 (theo LinkedIn Page Analytics)

Tiếp tục hành trình đó, bước sang 2026, ĐNĐV quyết định đồng hành cùng JoFi.ai - Nền tảng AI sourcing cho Recruiters, cung cấp công cụ tìm nguồn hiệu quả, và vẫn giữ nguyên sứ mệnh của nhà sáng lập: giúp Doanh nghiệp tìm ĐÚNG NGƯỜI, giúp Ứng viên tìm ĐÚNG VIỆC.

Liên hệ với chúng tôi:
 Email: hotro@dungnguoidungviec.com
 Hotline: 0828177880
Youtube: https://www.youtube.com/@dungnguoidungviec
Facebook: https://www.facebook.com/dungnguoidungvieccommunity
Tiktok: https://www.tiktok.com/@dungnguoidungviecc","Professional Organizations","11-50 employees","Partnership","Ho Chi Minh","Vietnam","dungnguoidungviec.com","https://www.linkedin.com/company/dungnguoidungviec"
,"Women We Admire","Women We Admire is a professional community celebrating and connecting top women leaders across industries. With thousands of accomplished members, we recognize excellence, share insights, and spotlight the achievements of executives, entrepreneurs, and innovators who are shaping the future of leadership. Our members represent a powerful network of professionals who value connection, visibility, and impact. Through exclusive features, events, and thought leadership, Women We Admire provides a space for women at the top of their fields to exchange ideas, inspire progress, and elevate one another.","Professional Organizations","11-50 employees","Privately Held","New York","United States","thewomenweadmire.com","https://www.linkedin.com/company/women-we-admire"
,"American College of Clinical Pharmacy (ACCP)","The American College of Clinical Pharmacy (ACCP) is a professional and scientific society that provides leadership, education, advocacy, and resources enabling clinical pharmacists to achieve excellence in practice, research, and education.

ACCP's membership is composed of practitioners, scientists, educators, administrators, students, residents, fellows, and others committed to excellence in clinical pharmacy and patient pharmacotherapy.","Professional Organizations","11-50 employees","Non Profit","Lenexa, KS","United States","accp.com","https://www.linkedin.com/company/american-college-of-clinical-pharmacy"
,"Royal Class","The Royal Class Group Established in 2014 and have proven to satisfy all clients’ needs by providing excellent service and quality products in all lines of businesses that we cover. Whether it is Business Centre, Business Consultancy and Real Estate services, We got you covered!","Professional Organizations","11-50 employees","Privately Held","Business Bay, Dubai","United Arab Emirates","royalclass.group","https://www.linkedin.com/company/royalclassuae"
