"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Objectif Québec !","Objectif Québec !, expert en stratégie d’expatriation vers le Québec, accompagne les français dans leur projet grâce à un accompagnement personnalisé. 

Nos distinctions ? 

 Un accompagnement personnalisé, adapté à chaque projet, afin de concevoir une stratégie d’expatriation sur mesure qui répond à vos aspirations et objectifs.

 L’académie d’Objectif Québec ! ouvre les portes d’une communauté de personnes engagées et leaders de leur projet et donne accès à une formation en 13 modules thématiques vidéos, à des interventions d'experts québécois et à un guide pas à pas. Le tout visant à préparer le candidat pour son expatriation au Québec. 

 La mise en relation avec des partenaires experts : emploi, formation, déménagement, études, finances, immobilier…

Nous sommes également les fiers initiateurs du Mois du Québec, un événement sans précédent où nous venons à la rencontre des français chaque année, dans plusieurs grandes villes, depuis plus de 5 ans.

Adhérez et rejoignez la communauté d’Objectif Québec !","Program Development","2-10 employees","Self Employed","Oizon, Centre","United States",,"https://www.linkedin.com/company/objectif-quebec"
,"Objectif Québec","Objectif Québec, expert en stratégie d’expatriation vers le Québec, accompagne les français dans leur projet grâce à un accompagnement personnalisé. 

Nos distinctions ? 

 Un accompagnement personnalisé, adapté à chaque projet, afin de concevoir une stratégie d’expatriation sur mesure qui répond à vos aspirations et objectifs.

 L’académie d’Objectif Québec ! ouvre les portes d’une communauté de personnes engagées et leaders de leur projet et donne accès à une formation en 13 modules thématiques vidéos, à des interventions d'experts québécois et à un guide pas à pas. Le tout visant à préparer le candidat pour son expatriation au Québec. 

 La mise en relation avec des partenaires experts : emploi, formation, déménagement, études, finances, immobilier…

Nous sommes également les fiers initiateurs du Mois du Québec, un événement sans précédent où nous venons à la rencontre des français chaque année, dans plusieurs grandes villes, depuis plus de 5 ans.

Adhérez et rejoignez la communauté d’Objectif Québec !","Program Development","2-10 employees","Privately Held","Oizon, Centre","United States",,"https://www.linkedin.com/company/objectifquebec"
,"RiseUp","RiseUp is a platform that connects startups to the most relevant resources, worldwide.

Working relentlessly from the heart of AFRICA-GCC-EUROPE, RiseUp creates environments that encourage startup ecosystem stakeholders to exchange the 7 resources any startup needs to grow: Know-how, Talent, Funding, Marketplace, Media, Toolbox and Inspiration.

RiseUp does this through our range of digital and event products, the most prominent of which is RiseUp Summit, MENA's largest entrepreneurship event.

RiseUp Summit ’24 saw a gathering of 14000+ attendees from 53 countries who spent 3 days participating in sessions, workshops, talks, and chats by 260 international speakers. More than 250 startups participated as exhibitors or at the pitch events, aiming to impress 190+ investors. As a grassroots event, we pooled the resources of 90 partners to help build the Summit. !","Program Development","51-200 employees","Privately Held","Cairo","Egypt","riseup.co","https://www.linkedin.com/company/riseup-co"
,"Particular","Inactive","Program Development","2-10 employees","Public Company","Alvsjo, Stockholm","Sweden",,"https://www.linkedin.com/company/madcap-particular"
,"Yönetim Kurulunda Kadın Derneği  - Women on Boards Türkiye","Yönetim Kurulunda Kadın, ekonomimizi yönlendiren kurumlarımızın en üst karar mercilerinde daha fazla kadın olabilmesi için başlatılmış bir inisiyatiftir.

Yönetim Kurulunda Kadın programı, ekonomimizi yönlendiren kurumlarımızın en üst karar mercilerinde daha fazla kadın olabilmesi için başlatılmış bir inisiyatiftir. Liderlik gelişimi konusunda uzman Praesta Türkiye ve Orta Doğu ofisi ile Forbes Türkiye dergisi işbirliğiyle ve iş dünyamızdaki liderlerinin gönüllü katılımıyla yürütülen bu program, başarıyla tamamladığı birinci döneminin ardından gelişerek yoluna devam etmektedir.

Çeşitlilik konusu, demokrasilerde olduğu gibi ekonomilerde de sağlıklı ve bütünsel karar mekanizmaları oluşturabilmek için kaçınılmazdır. Üniversite mezuniyetinde ve işe giriş pozisyonlarında popülasyonun yarısını oluşturan kadınların en üst karar noktası olan yönetim kurullarında tüm dünyada (kota sahibi ülkeler hariç) %5 ila %15 arasında yer almaları, ekonomik, sosyal ve toplumsal alanlar için büyük risk taşımaktadır. Yönetim Kurulunda Kadın programı da “şirketlerarası mentorluk” uygulaması sayesinde birçok hedefe aynı anda ulaşabilmektedir.

SPK’nın yönetim kurullarında %25 kadın üye oranını hedeflediği bu dönemde, bir yandan donanımlı ve bu alanda görev almaya hevesli kadın aday havuzumuzu geliştirirken, öte yandan birinci dönemi tamamlamış olan kadın adaylarımızın yönetim kurullarına atanabilmeleri için çalışmalarımıza devam etmekteyiz.","Program Development","11-50 employees","Educational","istanbul","Turkey","yonetimkurulundakadin.org","https://www.linkedin.com/company/yönetim-kurulunda-kadın"
,"Platform Calgary","Platform Calgary brings together the resources of Calgary's tech ecosystem to help startups launch and grow. Through collaboration and targeted programming, we are a hub and an engine for technology-focused economic diversification and job creation.","Program Development","11-50 employees","Non Profit","Calgary, Alberta","Canada","platformcalgary.com","https://www.linkedin.com/company/platformcalgary"
,"EP PETROECUADOR","Empresa encargada de la comecializacion y transportacion de combustibles","Program Development","5,001-10,000 employees","Public Company",,"Ecuador","petrocomercial.com","https://www.linkedin.com/company/ep-petroecuador"
,"Black Wall Street","Black Wall Street promotes thought leadership and provides access to capital networks for minority entrepreneurs to increase diversity within the technology and entrepreneurial ecosystem.","Program Development","2-10 employees","Non Profit","Durham, NC","United States","bwshomecoming.com","https://www.linkedin.com/company/black-wall-street-homecoming-non-profit"
,"Breakthrough ACTION","Breakthrough ACTION is USAID’s flagship program for social and behavior change (SBC). Breakthrough ACTION ignites collective action and encourages people to adopt healthier behaviors—from using modern contraceptive methods and sleeping under bed nets to being tested for HIV—by forging, testing, and scaling up new and hybrid approaches to SBC.","Program Development","501-1,000 employees","Non Profit","Washington, District of Columbia","United States","breakthroughactionandresearch.org","https://www.linkedin.com/company/breakthrough-action-research"
,"Kickstart Innovation","Kickstart is one of Europe's largest zero equity, multi-corporate ecosystem innovation platforms that runs a scale-up program for later-stage startups with a goal to accelerate deep tech innovation. 

Science and engineering driven technologies have the potential to solve humanity’s biggest challenges. They require unprecedented collaboration between established organizations and the most audacious entrepreneurs out there. Thereby, Kickstart is committed to building an innovation ecosystem that brings high-growth startups, corporates, cities, foundations and universities together. 

Each year Kickstart brings around 100 startups to Switzerland to collaborate with key players for proofs-of-concept, pilot projects and other innovation partnerships. The program provides exceptional access to the executives and decision-makers of Kickstart’s partners.

Being an initiative of Impact Hub Zürich and launched by digitalswitzerland in 2015, Kickstart runs 5 verticals (New Work & Learning, Finance & Insurance, Food & Retail, Smart Cities and Health & Wellbeing), an Intrapreneurship Academy and the Circular Economy Initiative.","Program Development","11-50 employees","Partnership","Zurich","Switzerland","kickstart-innovation.com","https://www.linkedin.com/company/kickstart-innovation"
