"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Detran-SP Oficial","O maior departamento de trânsito da América Latina é responsável por uma frota de 35,7 milhões de veículos e 26 milhões de condutores no estado de São Paulo. Desde 2011, vem promovendo uma ampla reestruturação com o objetivo de reduzir a burocracia dos serviços e melhorar a qualidade e a estrutura de atendimento aos cidadãos. 

O que o DetranSP faz: Presta serviços relacionados à Carteira Nacional de Habilitação (CNH), veículos e infrações, promove ações de educação para o trânsito e credencia as autoescolas, médicos e psicólogos para serviços de trânsito.

O que o DetranSP não faz: operação de radares, aplicação de multas por estacionamento em local proibido, gerenciamento da sinalização das ruas (semáforos e o transporte público dos municípios). *Essas são atribuições das prefeituras.","Public Assistance Programs","5,001-10,000 employees","Government Agency","São Paulo, SP","Brazil","detran.sp.gov.br","https://www.linkedin.com/company/detransp-oficial"
,"SDR Recruiting Co","Inspired by the impactful role of Virtual Assistants (VAs) in outreach, Spinwheel Assist was founded to extend and amplify their effectiveness. Through rigorous VA training and strategic partnerships with industry experts, Spinwheel Assist now offers multiple VA teams, catering to businesses in need of exceptional virtual support. Graduates from Spinwheel Academy emerge not just as proficient VAs, but also equipped to enhance business operations. Explore our comprehensive support structure and let Spinwheel Assist elevate your business today! ","Public Assistance Programs","2-10 employees","Self Owned",,,"spinwheelsales.com","https://www.linkedin.com/company/sdr-recruiting-co"
,"Opholdssteder","Opholdssteder.dk er de samlede stabsfunktioner, for en række specialiserede sociale tilbud til udsatte børn, unge og voksne. 
Målgruppen for tilbuddene er børn, unge og voksne med forskelligartede komplekse problemstillinger, hvilket også afspejles i de enkelte tilbud. 
Tilbuddene omfatter børne- og ungehjem, 1-1 projekter, skoletilbud, feriekoloni. 

Stabsfunktionerne på Opholdssteder.dk støtter med:
Visitation og kontakt med kommunale samarbejdspartnere. Bogholderi, HR-funktion. Psykologbistand, misbrugsbehandling, kvalitetssikring af det pædagogiske arbejde. Ledersparring. Derudover har vi et hold pedeller, som støtter i større vedligeholdelses opgaver. Projekter på tværs af tilbuddene.

For information om de enkelte tilbud henvises til deres hjemmesider:
Aktiv Weekend www.aktivweekend.dk
Alpha www.alpha-dk.dk
Fuglen www.fuglemosevej.dk
Hesselagergård www.hesselagergård.dk
Odamsgård www.odamsgård.dk
Stations Nord www.stationnord.dk
Stenbjerg feriekoloni www.feriekolonien.dk
Hørby STU kontakt tlf. 8681 7376
Specialskolen www.special-skolen.dk
Styrket Efterværn/Livline B, kontakt christine@opholdssteder.dk
1-1	Projekter, kontakt tlf. 8681 7376
Bo selv, kontakt tlf. 8681 7376","Public Assistance Programs","51-200 employees","Non Profit","Silkeborg, Jylland","Denmark","opholdssteder.dk","https://www.linkedin.com/company/opholdssteder"
,"Uzbekistan Art and Culture Development Foundation","Art and Culture Development Foundation under the Cabinet of Ministers of the Republic of Uzbekistan fosters international cooperation and promotes the culture of Uzbekistan on the international arena. The Foundation spreads the national heritage through developing and supporting initiatives in the areas of fine arts and architecture, literature, theatre, music, and dance. Our mission is to create an inclusive and accessible environment in the country's cultural institutions, contribute to renovation of museums, and to develop cultural patronage and professional training for the arts and culture sector.
The Foundation has also initiated a number of large-scale architectural projects in Uzbekistan: the reconstruction of the State Museum of Arts, the establishment of the Center for Contemporary Arts in Tashkent, the reconstruction of the State Children's Library, as well as the reconstruction of the residence of the Grand Duke Romanov.","Public Assistance Programs","51-200 employees","Government Agency","Tashkent","Uzbekistan","acdf.uz","https://www.linkedin.com/company/artandculturefdn"
,"Global Startup Center (GSC)","https://www.startup-korea.com/

The official Startup Hub, operated by the Ministry of SMEs and Startups (MSS) and the Korea Institute for Startup and Entrepreneurship Development (KISED), is tailored for foreigners interested in launching a tech startup or working at a startup in Korea. The GSC(Global Startup Center) will open in Gangnam this coming July.

For inquiries 

Please contact 
program_lead@startup-korea.com","Public Assistance Programs","201-500 employees","Government Agency","Séoul","South Korea","startup-korea.com","https://www.linkedin.com/company/gsc-kised"
,"WBIF - Western Balkans Investment Framework","The Western Balkans Investment Framework (WBIF) is a joint initiative of the EU, financial organisations, bilateral donors and beneficiaries, aimed at enhancing harmonisation and cooperation in investments for the socio-economic development of the region and contributing to the European perspective of the Western Balkans. 
Due to its collaborative nature in line with the ‘Team Europe’ approach, the WBIF is the main vehicle for implementation of the EU’s ambitious Economic and Investment Plan for the Western Balkans.","Public Assistance Programs","11-50 employees","Public Company","Skopje","Macedonia","wbif.eu","https://www.linkedin.com/company/wbif-western-balkans-investment-framework"
,"HelloLilly","Välkommen till HelloLilly!

HelloLilly är ett matchningsbolag som jobbar stenhårt med att matcha arbetssökande till jobb eller studier. Vi tror på att sätta enkla och tydliga mål och att jobba digitalt för att effektivisera matchningsprocessen.

Vårt mål är att hjälpa dig som söker jobb eller utbildning, på ett enkelt och tydligt sätt. Vi har lång erfarenhet av att matcha arbetssökande med arbetsgivare.

HelloLilly startades under Corona-krisen, då ett stort antal människor förlorade sina arbeten och arbetslösheten i Sverige växte. Arbetslöshetskurvorna pekade brant uppåt, samtidigt som många arbetsgivare fortfarande sökte personal.

Vi såg en enorm kompetensbank som behövde matchas till jobb eller studier och kände att det behövs effektivare och vassare matchning för att ta i tu med detta, för att hjälpa arbetssökande personer, arbetsgivare och samhället.

Teamet bakom HelloLilly har lång erfarenhet av rekrytering och headhunting, och erfarenhet av försäljning och digitalisering.","Public Assistance Programs","11-50 employees","Privately Held","Solna","Sweden","hellolilly.se","https://www.linkedin.com/company/hellolilly"
,"In3pid","In3pid er en konsulentvirksomhed, der på både strategisk og udførende niveau løser opgaver relateret til kriminalitet.
Det kan være vredeshåndtering, generel rådgivning om problematikker inden for det kriminologiske felt, temadage, supervision eller lignende.
Det faglige afsæt er 19 års erfaring som socialrådgiver, leder og konsulent i det offentlige. 
Det teoretiske afsæt er fra en socialrådgiveruddannelse, en kandidat i socialt arbejde og en diplom i kriminologi. 
Hands-on erfaringen er primært med voksne mænd involveret i organiseret eller/og grupperelateret kriminalitet og facilitering af deres proces ud af miljøet og tilbage til samfundet.","Public Assistance Programs","2-10 employees","Self Employed","Køge","Denmark","in3pid.dk","https://www.linkedin.com/company/in3pid"
,"Ministério da Juventude e Desporto","Youth e developments","Public Assistance Programs","51-200 employees","Government Agency",,,"seje.gov.mz","https://www.linkedin.com/company/seje-secretaria-de-estado-da-juventude-e-emprego"
,"IMPO Badalona","Impuls Municipal de Promoció de l'Ocupació (IMPO) és un servei de l'Ajuntament de Badalona dedicat a promoure l'ocupació, la formació i el desenvolupament econòmic al municipi. Amb el suport d'institucions supramunicipals com la Generalitat de Catalunya (Servei d’Ocupació de Catalunya), la Diputació de Barcelona (Xarxa de Municipis), la Unió Europea (Fons Social Europeu) i el Consell Comarcal (Pacte Territorial per a la Promoció Econòmica i l’Ocupació del Barcelonès Nord), l'IMPO treballa per impulsar una Badalona més activa i inclusiva.

La nostra missió és dissenyar, gestionar i implementar recursos que millorin l’ocupabilitat de la ciutadania i fomentin el creixement econòmic local. Per aconseguir-ho, oferim una àmplia gamma de serveis:
- Assessorament i orientació laboral per a persones en recerca activa de feina.
- Formació professional per adquirir noves competències i millorar la qualificació laboral.
- Suport a emprenedors i projectes empresarials per impulsar noves iniciatives.
- Anàlisi del mercat laboral a través de l'Observatori d'Ocupació, que estudia i publica dades sobre l'evolució del mercat laboral a Badalona.

A l’IMPO, treballem amb la mirada posada en la innovació, la inclusió social i la sostenibilitat per construir un futur amb més oportunitats per a tothom.","Public Assistance Programs","51-200 employees","Public Company","Badalona, Barcelona","Spain","badalona.cat","https://www.linkedin.com/company/impobdn"
