"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Univision","As the #1 network among U.S. Hispanics for more than three decades, Univision is home to the most-watched Spanish-language content across news, sports, music and entertainment. Its roster of shows includes flagship morning show “Despierta America,” top-rated evening newscast “Noticiero Univision,” and distinguished live talk shows “El Gordo y La Flaca” and “Desiguales,” offering more live hours of daytime programming than ABC, CBS and NBC. Univision is home to Liga MX, the most-watched soccer league in the U.S., Liga MX Femenil, UEFA Champions League, 2025 CONCACAF Gold Cup, as well as other soccer leagues and sporting competitions. Univision’s entertainment slate includes hit reality competition “¿Quién es la Máscara?”, and fan-favorite telenovelas and scripted titles. Delivering the biggest moments in Latin music, the network is home to two of the top three most-watched music award shows among U.S. Hispanics, including Premio Lo Nuestro, the longest-running Latin Music awards show in the U.S., and the Latin GRAMMY Awards.","Radio and Television Broadcasting","1,001-5,000 employees","Privately Held","Miami, Florida","United States","univision.com","https://www.linkedin.com/company/univision"
,"Bloomberg Television","Breaking news. In-depth analysis. Market-moving scoops. Exclusive interviews.","Radio and Television Broadcasting","5,001-10,000 employees","Privately Held","New York, NY","United States","bloomberg.com","https://www.linkedin.com/company/bloombergtelevision"
,"Imagens de Marca","O mundo das marcas na Web e Redes.
Em TV, na SIC Notícias e SIC Internacional.

Autoria e apresentação de Cristina Amaro. Produzido e realizado pela The Empower Brands House.","Radio and Television Broadcasting","11-50 employees","Privately Held","Barcarena - Oeiras","Portugal","imagensdemarca.pt","https://www.linkedin.com/company/imagens-de-marca"
,"Urbana Play 104.3 FM","Urbana Play 104.3 FM. Somos la radio que ves.","Radio and Television Broadcasting","51-200 employees","Self Owned","Ciudad Autónoma de Buenos Aires, Buenos Aires","Argentina","urbanaplayfm.com","https://www.linkedin.com/company/urbanaplayfm"
,"Televicentro y Emisoras Unidas","Somos uno de los referentes en Centroamérica en todas nuestras unidades de negocio: Televisión, Radio, Digital y BTL, con más de 8 décadas llevando a las audiencias la mejor de la producción nacional e internacional.

Contamos con 4 canales de televisión con la mayor participación de audiencias. Tenemos 12 emisoras radiales que permiten cubrir a todo el país con noticias, deportes y la más variada selección de géneros musicales. Poseemos un potente ecosistema digital y brindamos nuevos modelos de negocio para crear experiencias más cercanas entre el consumidor y la marca.

Creamos, producimos y distribuimos los mejores contenidos de entretenimiento. Informamos con veracidad y responsabilidad. Innovamos en todas las plataformas y servimos con compromiso promoviendo el desarrollo, la sostenibilidad y la prosperidad para todos.","Radio and Television Broadcasting","201-500 employees","Privately Held","Tegucigalpa M.D.C, Francisco Morazan","Honduras","televicentro.com","https://www.linkedin.com/company/televicentro-emisoras-unidas"
,"RPP","Bienvenidos al LinkedIn de RPP, donde conocerás más de nuestro trabajo para llevar las noticias siempre directo en directo. 

Además, podrás encontrar información actual e iniciativas a nivel empresarial, programación, eventos corporativos, entrevistas exclusivas y mucho más para mantenerte siempre bien informado.

RPP, la voz de todo el Perú","Radio and Television Broadcasting","201-500 employees","Privately Held","San Isidro, Lima","Peru","rpp.pe","https://www.linkedin.com/company/rpp-noticias"
,"franceinfo","Bienvenue sur la page de franceinfo. franceinfo c'est une radio d’info en continu de Radio France, une chaîne de télévision (Canal 27), un site web franceinfo.fr et des réseaux sociaux. Retrouvez ici, infos, chroniques et reportages sur l'entreprise, le monde du travail, les RH, l'économie, la consommation.","Radio and Television Broadcasting","51-200 employees",,"Paris","France","franceinfo.fr","https://www.linkedin.com/company/france-info"
,"Kurdistan24","Radio and Television Broadcasting, with an active presence across digital platforms including our news website and social media channels, delivering timely, accurate, and engaging news coverage to a diverse audience.","Radio and Television Broadcasting","201-500 employees","Privately Held","Erbil, Kurdistan","Iraq","kurdistan24.net","https://www.linkedin.com/company/kurdistan24"
,"SVG Europe","Sports Video Group Europe is a member-led association, supporting the professional community in Europe that uses video, audio, and broadband technologies to produce and distribute sports content.

Through SVG Europe, broadcasters, producers and OB companies, sports leagues, bodies and teams, and technology providers, learn from each other, sharing experiences that lead to advances both in the sports production and distribution process and in the overall consumer sports experience.

Thanks to the support of our sponsors, SVG Europe publishes news, features and other digital content online and produces dedicated live events. 

This provides a knowledge resource for sports video professionals and facilitates a dialogue with manufacturers, suppliers and technology developers that will improve the quality and profitability of sports programming.

SVG Europe is a subsidiary of the Sports Video Group, based in New York.","Radio and Television Broadcasting","11-50 employees","Non Profit","London, Greater London","United Kingdom","svgeurope.org","https://www.linkedin.com/company/svg-europe"
,"CNBC-e","Ekonomi, canlı borsa, hisse senedi analizleri, asgari ücret tartışmaları, enflasyon raporları, faiz kararları ve son dakika haberleri CNBC-e'de. Linkedin'den CNBC-e ile iletişime geçerek sorularınızı sorabilir, yayından beklentilerinizi dile getirebilir, çevremize katılabilirsiniz...","Radio and Television Broadcasting","501-1,000 employees","Privately Held",,,"cnbce.com","https://www.linkedin.com/company/cnbce"
