"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Vestas","Vestas is the energy industry’s global partner on sustainable energy solutions. We design, manufacture, install, and service wind turbines across the globe, and with +200 GW of wind turbines in 88 countries, we have installed more wind power than anyone else.

Through our industry-leading smart data capabilities and 159 GW of wind turbines under service, we use data to interpret, forecast, and exploit wind resources and deliver best-in-class wind power solutions. Together with our customers, Vestas’ more than 30,000 employees are bringing the world sustainable energy solutions to power a bright future.","Renewable Energy Equipment Manufacturing","10,001+ employees","Public Company","Aarhus","Denmark","vestas.com","https://www.linkedin.com/company/vestas"
,"GE Renewable Energy","GE Renewable Energy, part of GE Vernova, harnesses the earth’s most abundant resources – the strength of the wind, the heat of the sun and the force of water – to power the world’s biggest economies and the most remote communities.

With an innovative spirit and an entrepreneurial mindset, we engineer energy products and digital services that create industry-leading value for our customers around the world. 

We see the promise of renewable energy everywhere we look. Our team has the courage, scale, passion, diversity and resourcefulness needed to deliver that promise wherever and however the world needs it.

Together with our customers, we’re proving that no one ever has to choose between affordable, reliable, or sustainable energy. 

We are unleashing limitless energy","Renewable Energy Equipment Manufacturing","10,001+ employees","Public Company","Boulogne-Billancourt, Ile-de-France","France","ge.com","https://www.linkedin.com/company/gerenewableenergy"
,"Huawei Digital Power","Huawei Digital Power covers several business domains: Smart PV, Smart Charging Network, DriveONE, Data Center Facility, and Site Power Facility. Huawei Digital Power serves more than three billion people across more than 170 countries and regions. Currently, It operates 12 R&D centers in China, Europe, and Asia Pacific, owning a total of 2,122 valid patents worldwide.

Huawei Digital Power is committed to integrating digital and power electronics technologies, developing clean power, and enabling energy digitalization to drive energy revolution for a better, greener future. In the clean power generation sector, we help create new power systems that primarily rely on renewable energy. In the mobility electrification sector, we enhance the consumer driving and charging experience in electric vehicles (EVs), accelerating green traveling. In the green ICT power infrastructure sector, we help build green, low-carbon, and intelligent data centers and communications networks. Huawei Digital Power continues innovating through open collaboration with global partners to promote carbon neutrality.","Renewable Energy Equipment Manufacturing","10,001+ employees","Public Company","Shenzhen, Guangdong","China","huawei.com","https://www.linkedin.com/company/huawei-digitalpower"
,"Sungrow Power Supply Co., Ltd.","Sungrow is a global leader in renewable energy technology with 740GW of power electronic converters installed worldwide as of Dec. 2024.","Renewable Energy Equipment Manufacturing","10,001+ employees","Public Company","Hefei, Anhui","China","sungrowpower.com","https://www.linkedin.com/company/sungrow-power-supply-co-ltd"
,"Adani Solar","Adani Solar is one of India’s leading Tier-1 solar panel manufacturers, known for delivering high-efficiency and reliable solar solutions. We are building the world’s first fully integrated and comprehensive 10 GW solar manufacturing ecosystem, covering the entire value chain from polysilicon to modules, and we stand at the forefront of innovation, quality, and scale in renewable energy space.
 
We have an operational capacity of 4GW for cells and modules and proudly operate India’s only ingot + Wafer facility of 2GW. Our module capacity is expected to scale to 10 GW by December 2025 and cell capacity by December 2026, marking a significant leap in India’s renewable energy manufacturing landscape.
 
With a strong focus on innovation, quality, and sustainability, Adani Solar continues to power India’s clean energy transition and contribute meaningfully to global climate goals.
 
We are energizing tomorrow—one panel at a time.","Renewable Energy Equipment Manufacturing","501-1,000 employees","Public Company","Ahmedabad, Gujarat","India","adanisolar.com","https://www.linkedin.com/company/adani-solar"
,"ENERCON","ENERCON: Pioneer in wind energy technology, partner in the energy transition and attractive employer in a future-orientated industry.

Thanks to innovative turbine technology, high quality standards and many years of experience, ENERCON is one of the leading manufacturers of onshore wind turbines. Dr Aloys Wobben founded ENERCON in Aurich (East Frisia) in 1984. With just a few employees, he developed the company's first wind turbines. The company was the first wind turbine manufacturer to use a gearless drive concept, which characterises all ENERCON wind turbines. ENERCON is also a pioneer in areas such as rotor blade design, control and grid connection technology, and continues to demonstrate its great innovative strength with a large number of new technological developments.

Today, ENERCON is active worldwide and is already present in over 35 countries with a decentralised service and sales network. This means that we not only offer our employees international career opportunities, but also very close cooperation with team colleagues abroad. We all share a common goal: energy for the world.

Shapers of the future wanted: Become part of our vision and bring a breath of fresh air to our team! ENERCON offers challenging career prospects in a wide range of areas such as Research & Development, IT, Project Management, Sales and in the Commercial Sector.

Apply now: https://www.enercon.de/karriere

Imprint: https://www.enercon.de/impressum

Data protection: https://www.enercon.de/de/datenschutz","Renewable Energy Equipment Manufacturing","10,001+ employees","Privately Held","Aurich, Niedersachsen","Germany","enercon.de","https://www.linkedin.com/company/enercon-gmbh"
,"Nordex Group","The development, manufacture, project management and servicing of wind turbines in the onshore segment has been the core competence and passion of the Nordex Group and its more than 10,900 employees worldwide for 40 years. 
As one of the world's largest wind turbine manufacturers, the Nordex Group offers high-yield, cost-efficient wind turbines that enable long-term and economical power generation from wind energy in all geographical and climatic conditions. The focus is on turbines in the 3 to 7 MW class, and the Group’s comprehensive product portfolio offers individual solutions for both markets with limited space and regions with limited grid capacities. A global service network, of around 380 service points throughout 30 countries, delivers service quickly to keep our systems running smoothly. The Group covers the needs of all customer segments within the global wind market, from large energy suppliers to SMEs operating power plants. With more than 61 GW of installed capacity worldwide, Nordex Group systems deliver sustainable energy throughout more than 80 per cent of the world’s energy market (excluding China). 
Nordex SE is listed on the TecDAX and MDAX of the Frankfurt Stock Exchange (ISIN: DE000A0D6554). The headoffice of the company, with the Management Board and central corporate functions, is located in Hamburg, while the legal entity is registered in Rostock. At production facilities in Germany, Spain, Brazil, the US, and India, the Nordex Group produces nacelles, rotor blades and concrete towers. The Group also maintains offices and branches in more than 30 countries.","Renewable Energy Equipment Manufacturing","10,001+ employees","Public Company","Hamburg","Germany","nordex-online.com","https://www.linkedin.com/company/nordex"
,"Goldwind","As a reliable global strategic partner in clean energy, Goldwind is committed Driving a Renewable Future and centering its business on Ecology-Oriented Development+ENERGY industry model. Goldwind’s global business network covers more than 48 countries across 6 continents. We have approximately 11,000 employees worldwide, including more than 3,000 research and development (R&D) and technical personnel. With high quality clean energy products, solutions, devices, services, Goldwind supports cities and enterprises alike with comprehensive and sustainable economic, ecological, and social development. As of Q3 2025, Goldwind has delivered more than 56,800 wind turbines worldwide and boasts a global cumulative installed capacity exceeding 155GW. Goldwind also has operations and maintenance (O&M) service capacity that exceeds 115GW. 

Goldwind is Innovating for a Brighter Tomorrow.","Renewable Energy Equipment Manufacturing","10,001+ employees","Public Company","Daxing District, Beijing","China","goldwind.com","https://www.linkedin.com/company/goldwind"
,"Solis","Established in 2005, Ginlong (Solis) Technologies（Stock code: 300763.SZ） today has one of the widest installed bases of string inverters globally with our inverters converting DC to AC power and interacting with utility grid in markets around the world, reducing the carbon footprint, and helping us enrich society around the world. Solis is the first publicly owned and listed company with a primary focus on string inverters and the first inverter manufacturer to complete PVEL's (Formerly part of DNV-GL) 3rd Party Inverter Reliability Testing.
Solis has been actively involved with national bodies in formulating 10+ national and industrial standards and has formulated two national standards in the name of the first drafting unit.
Solis has set up global offices and technical after-sales service centers in the United Kingdom, the United States, Australia, Brazil, South Africa, India, Mexico, Spain, Netherlands, Romania and other places. Solis products have been used in high-profile locations and projects around the world including the Shanghai Expo, (Shanghai, China) and the Eiffel Tower (Paris, France) along with other leading domestic and commercial projects.
The MPPT design with a precise MPPT algorithm developed by the company can break through 99.1% of the maximum conversion efficiency of products. Solis led the installation of the AFCI DC arc fault protection function in the cascade inverters, which can avoid up to 99% of the power stations' fire risk, in addition to other innovations that drive technical upgrades in the market today. Solis was ranked among the top 10 in the global string market, No.2 in global single-phase and. 4 in global three-phase string market share by shipments (MWac) 
Solis is committed to a global vision built on product-centered engineering, putting customers at the center of our most critical decisions, and ensuring that we play our role in the transition to clean energy by helping make it more efficient, safe, and dependable.","Renewable Energy Equipment Manufacturing","5,001-10,000 employees","Public Company","Ningbo, Zhejiang","China","solisinverters.com","https://www.linkedin.com/company/ginlongsolis"
,"SUN Mobility","Welcome to SUN Mobility, where we aim to make electric vehicles affordable and accessible to all. 

SUN Mobility is a joint venture between the Maini Group and SUN Group -co-founded by Chetan Maini, founder of India’s first electric car company, Reva, and Uday Khemka, Vice Chairman of the SUN Group. 

At SUN Mobility, we believe electric vehicles are the future of mobility, and we aim to accelerate the adoption of electric mobility with our innovative battery swapping technology. Our technology is designed to be universally interoperable across various vehicle platforms and form factors, making it future-proof, sustainable and highly scalable. 

With our state-of-the art Smart Batteries and vast network of IoT-enabled Swap Points, EV charging times and range anxiety are a thing of the past. Our unique approach of separating the batteries from vehicles through the battery subscription model addresses key issues such as high upfront cost, range anxiety and long charging times. 

Our battery swapping services are not only faster and more convenient than traditional EV charging, but they are also better for the planet.  With collaborations and partnerships spanning the best of the industry’s vehicle manufacturers, battery cell technology providers, fleet operators, ride-sharing players and last-mile transport operators, we are proud to be at the forefront of the EV revolution. 

Join us on our journey towards a clean, green, and sustainable future for us all.","Renewable Energy Equipment Manufacturing","501-1,000 employees","Privately Held","Bangalore, Karnataka","India","sunmobility.com","https://www.linkedin.com/company/sunmobility"
