"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Construtora Sudoeste","Somos uma construtora capaz de enxergar o mundo com um olhar diferente. Desenhamos projetos com um design que valoriza a vida e contamos com acabamentos que combinam sofisticação e bem-estar em cada detalhe.

Trabalhamos para você viver o novo todos os dias. Para superar as expectativas, abrir caminhos e apresentar um futuro. O seu futuro.","Residential Building Construction","51-200 employees","Privately Held","Belo Horizonte, Minas Gerais","Brazil","sudoeste.com.br","https://www.linkedin.com/company/construtorasudoeste"
,"Construtora Fonseca & Mercadante (CFM)","Com 31 anos de história, a Construtora Fonseca & Mercadante é uma referência nacional em engenharia e construção civil no setor privado, reconhecida pela entrega de obras com alto desempenho técnico, excelência em gestão e compromisso com resultados.

Desde sua fundação em 1994, a empresa já construiu mais de 3 milhões de metros quadrados, atuando nos mais diversos segmentos: Shopping Centers, Data Centers, Indústria, Logística, Saúde, Edifícios Corporativos e Comerciais. A solidez de sua trajetória é sustentada por uma cultura organizacional ética, humana e transparente — valores que orientam as relações com clientes, parceiros e colaboradores.

Mais do que construir grandes empreendimentos, a CFM se dedica a construir relações de confiança, oferecendo soluções personalizadas, com alto nível de governança, inovação e respeito aos prazos e orçamentos. A atuação da empresa é pautada por rigor técnico, qualidade na execução, segurança nas operações e foco constante no resultado final para o cliente, da Pré-Construção à execução de obras.



Focada em clientes das áreas corporativa, indústria/logística, comércio/saúde e shopping centers, a empresa possui extensa experiência na gestão e execução de obras com projetos arquitetônicos ousados e demandas específicas. 

Sua experiência se traduz em eficiência nas várias etapas da construção, da elaboração de projetos e gerenciamento de custos à execução, aprovação e entrega da obra. 

A Fonseca & Mercadante, reafirma sua posição no mercado e aponta, nos próximos anos, para um crescimento estratégico que continua priorizando justamente o seu maior diferencial: a dedicação e a atenção personalizada a cada obra e a cada cliente.","Nonresidential Building Construction","51-200 employees","Privately Held","São Paulo , SP","Brazil","fonsecamercadante.com.br","https://www.linkedin.com/company/construtorafonsecaemercadante"
,"Kumar Corp","Kumar Corp, celebrating 59 years of excellence, is a well-diversified and value-driven enterprise.
With over 140 projects successfully completed, we take pride in having more than 42,000 happy families who stand as our true brand ambassadors and greatest strength.

From diverse socio-economic and cultural backgrounds, these 42,000+ families — along with over 1,000 satisfied businesses, ranging from large enterprises to small ventures — enjoy the comfort and convenience of environment-friendly, well-designed, and fully-equipped residential complexes, as well as modern, premium commercial spaces.","Residential Building Construction","501-1,000 employees","Privately Held","Pune, India","India","kumarworld.com","https://www.linkedin.com/company/kumarproperties"
,"Unità Engenharia","Somos a união de valores e experiências em mais de 25 anos no
mercado de empreendimentos residenciais, sempre prezando pela qualidade e tecnologia.

Nos orgulhamos de termos uma história de mais de 25.000 unidades construídas e entregues, o que nos coloca entre as 50 maiores construtoras do país.

Somos unidos por um propósito maior: transformar a construção civil residencial brasileira.

Somos únicos. Somos Unità!

@unitaengenharia","Residential Building Construction","501-1,000 employees","Privately Held","São Paulo, SP","Brazil","unitaengenharia.com.br","https://www.linkedin.com/company/unità-engenharia"
,"Veev, By Lennar","Veev is leading the way in the transformation of the construction industry with an innovative approach to home construction. Veev’s proprietary Closed Panel System allows homes to be assembled efficiently on the home site, while delivering a more sustainable and higher quality final product than traditional construction. As a new subsidiary of Lennar, Veev is leveraging the strength and scale of its parent company, while maintaining its speed and disruptive approach as a Silicon Valley based company. Veev has developed a vertically integrated process that involves multi-disciplinary collaboration across real estate, design, development, engineering, manufacturing, and construction.","Residential Building Construction","201-500 employees","Privately Held","Hayward, California","United States","veev.com","https://www.linkedin.com/company/veevbylennar"
,"Veev, By Lennar","Veev is leading the way in the transformation of the construction industry with an innovative approach to home construction. Veev’s proprietary Closed Panel System allows homes to be assembled efficiently on the home site, while delivering a more sustainable and higher quality final product than traditional construction. As a new subsidiary of Lennar, Veev is leveraging the strength and scale of its parent company, while maintaining its speed and disruptive approach as a Silicon Valley based company. Veev has developed a vertically integrated process that involves multi-disciplinary collaboration across real estate, design, development, engineering, manufacturing, and construction.","Residential Building Construction","201-500 employees","Privately Held","Hayward, California","United States","veev.com","https://www.linkedin.com/company/veevwalltowall"
,"Dandelion Energy","Dandelion Energy is the nation’s leading residential geothermal provider, on a mission to make the world’s most efficient heating and cooling technology accessible to everyone. Since 2017, we have installed thousands of geothermal heat pumps and over 1 million linear feet of ground loops across the country.

We specialize in partnering with production home builders to integrate geothermal at scale. By combining our end-to-end partnership in design, drilling, and distribution, with our policy expertise, we’ve made ground-source energy a cost-effective standard for modern developments.

By harnessing the Earth’s constant underground temperature, our systems deliver 2x–4x greater efficiency than traditional HVAC. Dandelion empowers builders to deliver premium, emissions-free homes that significantly lower energy bills for homeowners, providing maximum comfort and long-term savings without the premium price tag.","Residential Building Construction","51-200 employees","Privately Held","Mount Kisco, NY","United States","dandelionenergy.com","https://www.linkedin.com/company/dandelion-geothermal"
,"Telford Living","At Telford Living, our expertise is developing best-in-class homes and sustainable communities on premier sites in major cities across the UK. We are focused on building a robust pipeline of consistently profitable deals in the UK living sector through a targeted, data-driven approach to geographic markets and product types, including build-to-rent, and purpose-built student accommodation (PBSA) and co-living.","Residential Building Construction","51-200 employees","Public Company","London","United Kingdom","telfordliving.com","https://www.linkedin.com/company/telfordliving"
,"VELUX Commercial","VELUX Commercial is a division in the VELUX Group, offering daylight and ventilation solutions for industrial, commercial, and public buildings. 
We offer to support building professionals throughout the entire process from specification to delivery and maintenance of daylight and ventilation solutions. 

Our product program ranges from high-end bespoke glazing solutions for prestigious architectural buildings to domes and continuous roof lights for industrial and agricultural buildings and warehouses. 

VELUX Commercial has 1,100 employees working in Sales, Production and support functions in 14 countries.","Nonresidential Building Construction","1,001-5,000 employees","Public Company","Hüllhorst, North Rhine-Westphalia","Germany","velux.com","https://www.linkedin.com/company/velux-commercial"
,"APCHQ","Fondée en 1961, l’Association des professionnels de la construction et de l’habitation du Québec (APCHQ) est un organisme privé à but non lucratif qui, à travers son réseau et ses associations régionales, représente et soutient plus de 28 000 entreprises de l’industrie de la construction résidentielle et de la rénovation. Elle est, depuis 1995, la représentante patronale ayant le mandat de négocier la convention collective au nom des employeurs du secteur de la construction résidentielle. L’APCHQ a pour mission d’être un acteur de changement rassembleur au bénéfice de la société québécoise et agit comme un moteur de développement social et économique par la promotion de la durabilité et de la qualité en habitation.","Residential Building Construction","51-200 employees","Non Profit","Anjou, Québec / Canada","Canada","apchq.com","https://www.linkedin.com/company/apchq"
