"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Danube Group","Danube Group is a Dubai-based diversified business conglomerate with interests in building materials, home décor, and real estate development. Established in the year 1993 by Founder and Chairman Rizwan Sajan – a UAE-based entrepreneur – the Danube Group achieved a US$ 2 billion (Dh7 billion) annual turnover in 2022.
 
From a small trading firm, Danube has grown into one of the largest building materials companies in the region, with its diversified branches worldwide including UAE, Oman, Bahrain, Saudi Arabia, Qatar, and India, in addition to procurement offices in China and Canada.","Retail Building Materials and Garden Equipment","1,001-5,000 employees","Privately Held","Dubai, Dubai","United Arab Emirates","aldanube.com","https://www.linkedin.com/company/danubegroup"
,"Biancogres Grupo","Design e tecnologia sempre foram nossos pontos fortes. Com mais de meio século de experiência, fomos precursores na produção do Porcelanato Digital Polido e do formato 120x120 no Brasil. Hoje, produzimos mais de 40 milhões de m² ao ano, em parque fabril de 400.000 m² e geramos 1.350 empregos diretos e 10 mil indiretos.

Cada revestimento Biancogres é fruto de uma extensa pesquisa de materiais, estilos e tendências e o nosso propósito é produzir revestimentos primorosos capazes de transformar sonhos em ambientes encantadores.","Retail Building Materials and Garden Equipment","1,001-5,000 employees","Privately Held","Serra, Espírito Santo","Brazil","biancogres.com","https://www.linkedin.com/company/biancogres"
,"PT.Onda Mega Industri","20 Tahun Mengiringi Langkahmu

Onda telah dipercayai oleh para generasi sebelumnya, dan kami akan terus mencoba untuk menjadi brand yang dipercayai oleh generasi selanjutnya melalui inovasi yang tidak berakhir.

Solusi lengkap
Onda terus berusaha menjadi brand sanitary dan plumbing berkualitas, terlengkap dan terjangkau untuk semua kalangan.","Retail Building Materials and Garden Equipment","201-500 employees","Privately Held","Jakarta, Jakarta","Indonesia","onda.id","https://www.linkedin.com/company/pt.onda-mega-industri"
,"LifeSupplyUSA","LifeSupplyUSA is considered as one of the leading suppliers of Commercial and Household products. LifeSupplyUSA was founded in 2017 to give the average household and small business a direct link to wholesale pricing on essential household products. We started with a small line of home goods and the demand quickly grew as our competitive pricing could not be beat. We now look to fill our customers’ needs on a larger scale while also keeping our prices the lowest around. LifeSupplyUSA products are available for shipping anywhere in the United States and worldwide. Even with our growing success, we remain a close-knit family owned and operated business. We believe this warm atmosphere and culture gives us a competitive edge in our approach to address each customer with the attention and cooperation they deserve.","Retail Building Materials and Garden Equipment","11-50 employees","Privately Held","Edison, NJ New Jersey","United States","lifesupplyusa.com","https://www.linkedin.com/company/lifesupplyusa"
,"Best In Class","Com mais de 12 anos de experiência no mercado, a Best in Class oferece um extenso portfólio, com mais de mil itens catalogados, fornecendo serviços de locação vendas de materiais para as áreas civil, elétrica, mecânica, automação, eletrônica, refrigeração, ferramentas, EPIs e EPCs.

No Brasil, a distribuição de materiais atende à nível nacional, sem limitações. Através da variedade e qualidade de seus produtos, a Best in Class busca constantemente a excelência para atender todos os seus clientes de acordo com as suas necessidades.","Retail Building Materials and Garden Equipment","201-500 employees","Privately Held","Sao Paulo","Brazil","bestinclass.com.br","https://www.linkedin.com/company/best-in-class-eirelli"
,"HEALTHUNBOX PRIVATE LIMITED","Healthunbox Pvt Ltd is the fastest-growing online e-commerce company in India. We believe in making your life healthy and happy. Our vision is to create a world where everyone can live a healthier, happier, and no-compromise lifestyle. We are constantly innovating in our field to bring you the healthiest products at the best price possible. We at Healthunbox understand that Organic food is not just important for you, it’s also important for our planet and generations to come. Our team will constantly work towards improving our product catalog & services so that we can provide high-quality organic gardening products at the best possible prices to all our customers throughout India.

Our brand is Organicbazar, Organicbazar.net is an online marketplace for gardening products. We are focusing on gardening products not available in local stores to make your garden. With a wide variety of quality products at great prices, we’re your one-stop shop for all things garden-related! Not only do we carry a wide range of essential gardening supplies, but we also offer helpful advice and tips on our site to help you get the most out of your garden. Whether you’re a beginner or a pro, we’ve got everything you need to make your garden flourish!

Who We Are….
We are the fastest-rising company offering an easy-to-navigate and user-friendly website for providing high-quality genuine gardening products at reasonable prices. We are committed to bringing you the best quality organic products at affordable prices.

Born out of the need to simplify the search for gardening products online, we created a unique ‘website’ that filled the gaps left by others in the market. , we are self-confident to turn out to be the most reliable place to find the latest gardening products online.

Our Vision
Delivering trustworthy experiences that you cherish for a lifetime. Our Customers mean everything to us, and we along with our entire team remain committed to doing whatever it takes to help our client","Retail Building Materials and Garden Equipment","51-200 employees","Privately Held","Narsinghpur, Madhya Pradesh","India","organicbazar.net","https://www.linkedin.com/company/healthunbox-private-limited"
,"Tajer Building & Construction Materials Trading","We are a retail distributor & trader of building and construction materials within the UAE","Retail Building Materials and Garden Equipment","11-50 employees","Partnership","Dubai","United Arab Emirates","tajertrade.com","https://www.linkedin.com/company/tajer-building-construction-materials-trading"
,"Importadora Immaka S.A.","Importadora Immaka S.A. es una empresa líder en la comercialización de materiales de construcción innovadores y de alta calidad. Con más de 24 años de experiencia en el mercado. Nos destacamos por brindar a nuestros clientes productos de la construcción moderna que combinan diseño, durabilidad y accesibilidad.

Nuestra red de 13 agencias en diversas ubicaciones estratégicas nos permite atender de manera eficiente a constructores, arquitectos, decoradores y consumidores finales, proporcionándoles la confianza y el respaldo de una empresa comprometida con la excelencia. Además, nuestros canales de venta en línea facilitan el acceso a un catálogo amplio y en constante actualización.

En Importadora Immaka S.A., trabajamos para construir contigo, ofreciendo calidad, innovación y un servicio que supera tus expectativas.

Somos revestimientos, cubiertas, acabados y pisos, la tendencia moderna para tus espacios!","Retail Building Materials and Garden Equipment","51-200 employees","Privately Held","Guayaquil, Guayas","Ecuador","immaka.com.ec","https://www.linkedin.com/company/importadoraimmaka"
,"KITTON","Somos una empresa ubicada en la ciudad de Guayaquil que cuenta con 2 líneas de negocios, Kitton eléctrico y Kitton Home Center. 
Kitton eléctrico con más de 20 años en el mercado especializado en la venta al por mayor y menor de una amplia gama de materiales eléctricos y ferreteros, cables e iluminación, entre otras líneas.
Kitton Home Center con 5 años en el mercado dedicado a la venta al por menor de artículos para el hogar, con más de 18 categorías entre ellas decoración, cocina, iluminación, grifería, jardinería, electrodomésticos, mascotas, escolar, tecnología y más.
Somos importadores y distribuidores de reconocidas marcas nacionales e internacionales. Comercializamos dentro y fuera de la ciudad de Guayaquil. Nos caracterizamos por ofrecer productos de muy buena calidad a los mejores precios del mercado.","Retail Building Materials and Garden Equipment","51-200 employees","Privately Held","Guayaquil, Guayas","Ecuador","kittonhomecenter.com","https://www.linkedin.com/company/kitton"
,"National Lumber","National Lumber","Retail Building Materials and Garden Equipment","501-1,000 employees","Public Company","Mansfield, MA","United States","national-lumber.com","https://www.linkedin.com/company/national-lumber"
