"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Lassana Group of Companies","THE MOST TRUSTED ONLINE PREMIUM GIFT DELIVERY SERVICE IN SRI LANKA","Retail Florists","201-500 employees","Privately Held","Colombo 7, Western","Sri Lanka","lassana.com","https://www.linkedin.com/company/lassana-flora"
,"Florose","في فلوروز، اتخذنا من الإهداء مصدر إلهام لنتخصص كشركة سعودية في تقديم التنسيقات الراقية والعصرية من الورود الطبيعية والهدايا الفاخرة والتحف الأنيقة الملائمة لكل المناسبات للأفراد والشركات. نقدم خدماتنا عبر منصات رقمية متكاملة تشمل تطبيقًا وموقعًا الكترونيًا لتجربة سهلة ومخصصة. 
ونهدف من خلال رسالتنا على إعادة تعريف مفهوم الإهداء عبر التعبير عن أعمق المشاعر بتجسيدها في تنسيقات مبتكرة وتجربة مخصصة، لنخلّد كل لحظة بذكرى لا تُنسى.
وانطلاقًا من حرصنا على تطبيق أعلى معايير الجودة العالمية، نعمل على تنفيذ خطوات شاملة من الفحص والمتابعة لضمان تقديم أرقى المستويات لعملائنا؛ فبجانب انتقاءنا لأجود الورود من مختلف أنحاء العالم وتنسيقها على أيدي الخبراء، نتعاون مع نخبة من العلامات التجارية المحلية والعالمية المتخصصة في المجوهرات، العطور، الشوكولاتة...وغيرها، لنلبّي مختلف أذواق العملاء من كافة الثقافات، فنحن نطمح للتوسُّع في مختلف بقاع العالم، لنقدم ما يعبّر عنكم في كل مناسبة.


At Florose, we are inspired by the essence of gifting. We proudly position ourselves as a Saudi company specializing in elegant and modern floral arrangements, luxurious gifts, and fine decor for all occasions, serving both individuals and businesses. We provide our customers with a seamless experience through our comprehensive digital platforms, including an app and a website. Our mission is to redefine the concept of gifting by expressing the deepest emotions through innovative designs and personalized experience, making every moment unforgettable. 
With a focus on delivering the highest quality, we ensure every product undergoes meticulous inspection and quality control, to ensure the finest levels of service for our clients. By selecting premium flowers from around the world and arranging them with expert care, and we also collaborate with top local and international brands in jewelry, perfumes, chocolates, and more. This allows us to cater to diverse tastes, and with our ambition to expand globally, we aim to offer something meaningful for every occasion, wherever you are.","Retail Florists","51-200 employees","Privately Held","Jeddah, Makkah","Saudi Arabia",,"https://www.linkedin.com/company/florose"
,"Aiwa Flowers","Aiwa Flowers creates the most beautiful things in life to be seen, touched and felt. We are passionate to connect hearts together.

Founded in 2017, the company has built a magnificent reputation with hundreds of thousands of residents in the United Arab Emirates.

Our team consists of skilled European designers who are eager to create innovative ideas and deliver unique items with high quality finishing.

It will always be a pleasure to serve you and we will continue bringing joy and love to your beloved ones.","Retail Florists","11-50 employees","Self Owned","Dubai","United Arab Emirates","aiwaflowers.ae","https://www.linkedin.com/company/aiwa-box"
,"Wild at Heart","Wild at Heart is one of the most celebrated British luxury florists, steeped in a 30 year rich heritage of immersive floral artistry led by creative powerhouse, Nikki Tibbles. Renowned for an opulent, visionary and creative approach to flowers, weddings and events, Nikki's sought-after style has earned many press accolades over the years, as well as an A-list following and commissions from some of the world’s most luxurious brands and venues.

Wild at Heart flanks the entrance of the iconic Liberty London department store, as well as being housed in its original Turquoise Island shop in Notting Hill.

On top of this, a thriving 24/7 bouquet delivery service means their fresh, hand-tied flowers are available nationwide all year around.

With an unrivalled reputation for creative excellence and quality, Nikki and her team will take you on a creative journey; from the first mood board to the last petal, every detail is carefully considered to turn your dream wedding or event into a reality. No dream too big, no detail too small.","Retail Florists","11-50 employees","Self Owned","London","United Kingdom","wildatheart.com","https://www.linkedin.com/company/wild-at-heart-flower"
,"Euroflorist","There’s always a reason for giving flowers.
When you want to convey passion, celebrate someone, express gratitude, send condolences or just treat yourself, we are there to deliver both feelings and flowers to the doorstep. At Euroflorist, every emotion matters, and we embrace them all.
We have a presence in eleven European countries and deliver worldwide, partnering with local florists and suppliers around the world. 
What’s your reason for sending flowers?

Euroflorist was founded in 1982 in Malmö, Sweden and was the first online flower delivery service. Today we deliver more than 3 million bouquets a year. 

Send flowers from one of our local sites:
www.euroflorist.se
www.euroflorist.no
www.euroflorist.dk
www.euroflorist.nl
www.euroflorist.de
www.euroflorist.at
www.euroflorist.be
www.euroflorist.fr
www.euroflorist.pl
www.eflorist.co.uk
www.iflorist.co.uk
www.teleflorist.co.uk","Retail Florists","201-500 employees","Privately Held","Malmö, Skåne","Sweden","eflorist.co.uk","https://www.linkedin.com/company/euroflorist"
,"Elvora"," Where flowers meet artistry 
 Bouquets • Events • Gifting
 UAE
 Order now | Link below ","Retail Florists","11-50 employees","Partnership","Dubai, Dubai","United Arab Emirates",,"https://www.linkedin.com/company/elvoraae"
,"Interflora India","Interflora was launched in India in October 2017 by entrepreneur Anuja Joshi that comes with a 100-year legacy of floral excellence. 
Interflora is bringing in an array of luxury floral experiences to India for the first time. We specialize in everything from the most exquisite blooms, to creating breathtaking handcrafted floral arrangements and hampers to bespoke décor solutions. 
Interflora India is committed to ensuring every experience exceeds all expectations and leaves an everlasting memory for every customer.
Working with over 200 farms directly, we are focused on building a robust network of farmers from across the country and leading innovation in the industry through our cold-chain solutions. 
In addition to bespoke gifting, Interflora India has also designed and executed iconic floral décor for some of the biggest weddings and high-end luxury events. With a team of in-house designers and partnerships with some of the most renowned floral designers across the globe like Jeff Letham, Preston Bailey, Tomas De Bryune and Karen Tran, Interflora prides itself on world-class floral design & execution capabilities.","Retail Florists","11-50 employees","Privately Held","Mumbai, Maharashtra","India","interflora.in","https://www.linkedin.com/company/interfloraindia"
,"Flowers For Dreams","Flowers for Dreams is the artisan flower service. Made to order and crafted locally, we sell beautifully simple floral bouquets & plants online for delivery across Chicago, Milwaukee, Detroit, and shipping around the Midwest. A certified Best for the World B Corporation, every bouquet sold benefits an amazing local charity. We give 1/4 of our net profits to small nonprofits through The Flowers for Dreams Foundation. To date, we’ve donated nearly $2,000,000 to more than 250 amazing charities in our communities. 

Flowers for Dreams was named one of Business Insider's 20 Most Inspiring Companies in America (2012) and Yelp’s Top 100 Local Businesses in the US (2024).","Retail Florists","51-200 employees","Privately Held","Chicago, Illinois","United States","flowersfordreams.com","https://www.linkedin.com/company/flowers-for-dreams"
,"KONA Flower & Coffee",,"Retail Florists","11-50 employees","Privately Held",,,"kona23.com","https://www.linkedin.com/company/kona-flower-coffee-23"
,"Eternal Fleur","At Eternal Fleur, we value women from soil to CEO. We are a team of goal-driven female entrepreneurs who aspire to inspire. Our mission is to create economically-friendly real floral arrangements preserved to last 365 days+ without water or sunlight.

Eternal Fleur is proudly a part of the Female Founder Collective: a network of women-led businesses that support and empower other women-led and owned businesses in order to create a better community and continue progressing together. Eternal Fleur passionately advocates for “women supporting women” and strives to empower dream-chasing women entrepreneurs.

Eternal Fleur also prioritizes giving back to the planet. We utilize eco-friendly and sustainable practices, spread environmental efficacy awareness, promote practical yet impactful lifestyle changes, and vow to go plastic free by 2025! By purchasing a dozen of Eternal Fleur roses instead of a dozen of traditional roses, over 947.5 gallons of water is being saved. In addition, your purchase also supports the preservation of water in Ecuador, where our flowers are grown. Eternal Fleur is partnered with The Nature Conservancy and vows to donate a portion of our profits towards creating Water Funds in Ecuador.

Our Four Season Roses and Flowers are Rainforest Alliance certified, handcrafted, uniquely packaged, and nearly effortless to upkeep. In fact, the less they’re touched, the longer they’ll live! How do our gorgeous flowers stay intact for so long? Glycerin—an all-natural ingredient commonly found in bar soap—is the simple solution, which works to preserve the DNA of the product-structure.","Retail Florists","2-10 employees","Privately Held","Long Island City, New York","United States","eternalfleur.com","https://www.linkedin.com/company/eternal-fleur"
