"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Carrefour Argentina","Carrefour Argentina es la cadena de supermercados multiformato líder en Argentina con más de 590 sucursales bajo las banderas Carrefour, Market, Express y Maxi. Con presencia en 22 provincias, es uno de los principales empleadores privados del país con más de 18.000 colaboradores que día a día convierten a Carrefour en el comercio preferido de la gente. 
Hace 36 años que la compañía forma parte de la vida cotidiana de millones de argentinos, ofreciéndoles una amplia gama de productos y servicios de alta calidad al precio más bajo garantizado. En cada una de las localidades donde está presente, la compañía asume importantes responsabilidades económicas, sociales y medioambientales en sus operaciones y se compromete a promover la sustentabilidad en toda su esfera de influencia.","Retail Groceries","10,001+ employees","Privately Held","Martinez, Buenos Aires","Argentina","carrefour.com.ar","https://www.linkedin.com/company/carrefour-argentina-s-a-"
,"Corporacion Favorita C.A.","Corporación Favorita C.A. es una empresa ecuatoriana de servicios y comercio con sede en la ciudad de Quito, Ecuador. Se encuentra entre las tres empresas más grandes del país. Su concepto de negocio es principalmente las tiendas de autoservicio en las que se ofrecen alimentos, productos de primera necesidad y otros. Dentro de su portafolio también maneja empresas dirigidas a varios segmentos con alto volumen de ventas. Debido a la diversidad de servicios que ofrece, la Corporación está estructurada en cuatro áreas: Comercial, Industrial, Inmobiliaria y Responsabilidad Social.","Retail Groceries","10,001+ employees","Privately Held","Quito, Pichincha","Ecuador","corporacionfavorita.com","https://www.linkedin.com/company/corporacionfavorita"
,"TIA S.A.","Somos una de las empresas con mayor cobertura en Ecuador; que desde nuestros inicios en 1960 en la ciudad de Guayaquil buscamos llevar calidad, variedad y economía a las familias ecuatorianas. Contamos con 250 locales en 22 provincias del país y nuestra fuerza laboral cuenta con +8200 colaboradores que viven día a día los valores corporativos y buscan alcanzar nuestro propósito: Mejorar la calidad de vida de nuestros clientes y sus comunidades, creando experiencias relevantes con marcas honestas.","Retail Groceries","5,001-10,000 employees","Partnership","Guayaquil, Guayas","Ecuador","tia.com.ec","https://www.linkedin.com/company/almacenestia"
,"Tottus","Nuestro propósito: Simplificar y Disfrutar más la vida.

Pertenecemos a Falabella, una de las mayores compañías de retail de América Latina. En 2002 ingresamos al mercado peruano bajo la marca Tottus y posteriormente al chileno en 2004.
Somos un equipo que trabajamos para superar cada día la expectativas de nuestros clientes y colaboradores. Creemos en nuestros talentos internos y buscamos la excelencia en todos nuestros procesos, con el único propósito de poder simplificar y disfrutar más la vida. 
Además trabajamos para vincularnos cara a cara con la comunidad, porque somos parte del territorio en el que estamos insertos con nuestra operación y con cada acción construimos una historia y guiamos un destino de largo plazo con la sociedad.","Retail Groceries","10,001+ employees","Privately Held","Perú (PE) / Chile (CL)","Peru","tottus.com","https://www.linkedin.com/company/supermercados-tottus"
,"ALDI ESPAÑA","Somos una de las cadenas de alimentación y supermercados más importantes del mundo. Y creadores del Descuento. Nuestra historia se remonta a 1945, cuando los hermanos Theo y Karl Albrecht se encargaron del negocio de ultramarinos que su familia regentaba desde 1913 en Essen (Alemania). Desde nuestros inicios, siempre hemos tenido en cuenta lo importante que es conocer al cliente y darle lo que necesita al mejor precio.

Seguimos manteniendo ese espíritu en las más de 5.000 tiendas distribuidas en 8 países. En España abrimos el primer supermercado en 2002 y ya tenemos más de 490 establecimientos. Nuestros principal compromiso es ofrecer la mejor calidad al mejor precio, que obtenemos comprando a los mejores proveedores locales, estatales e internacionales, y ofreciendo nuestras propias marcas como El Mercado, Special, Milsani, Bio, Lacura, Mildeen, entre otras. Nos centramos en lo esencial: la comodidad, el ahorro, y funcionalidad de las tiendas, la elevada auto-exigencia a la hora de seleccionar los mejores productos y la cualificación de los trabajadores, para que todo ello favorezca la mejor experiencia para el cliente.

Nos importa el bienestar de las personas: nuestros clientes, nuestro equipo y nuestro entorno. En nuestra compañía, en pleno crecimiento, siempre hay oportunidades laborales para diferentes perfiles profesionales y oportunidades de desarrollo y crecimiento profesional. Día tras día nos reafirmamos en los valores que nos definen – la sencillez, la responsabilidad y la fiabilidad – y que compartimos todas las personas del equipo ALDI.

Nuestro principal objetivo es seguir trabajando a diario, para ofrecer productos de calidad, al mejor precio, que supongan una opción real de ahorro para nuestros clientes y ser, también en España, el supermercado de referencia en el que poder hacer una compra completa para todas las familias y siempre al mejor precio.

Información sobre nuestra política de privacidad y protección de datos: http://ow.ly/BPoO50zgYm8","Retail Groceries","5,001-10,000 employees","Privately Held","Sant Cugat del Vallés, Barcelona","Spain","aldi.es","https://www.linkedin.com/company/aldi-supermercados"
,"Walmart Chile","En Walmart Chile nos transformamos cada día con pasión e innovación para ofrecer la mejor experiencia omnicanal y generar un impacto real en millones de familias.

Somos el retailer omnicanal más grande del mundo, liderado por personas e impulsado por la tecnología, con presencia en 19 países y más de 2,1 millones de colaboradores comprometidos con un mismo propósito: ayudar a las personas a ahorrar dinero y vivir mejor.

En Chile, estamos presentes a través de Lider, Express de Lider, SuperBodega aCuenta y Central Mayorista, además de nuestras plataformas digitales Lider App y Lider.cl. También operamos con plantas productivas y centros de distribución, lo que nos convierte en el tercer mayor empleador del país, con más de 40.000 colaboradores.

Estamos donde, cuando y como nuestros clientes lo prefieren: de Putre a Puerto Toro.
La cultura de pertenencia, innovación y desarrollo es parte de nuestro ADN.
Si quieres hacer la diferencia y reimaginar el retail, súmate a Walmart Chile y sé protagonista de grandes transformaciones.","Retail Groceries","10,001+ employees","Privately Held","Huechuraba, Región Metropolitana de Santiago","Chile","walmartchile.cl","https://www.linkedin.com/company/walmartchile"
,"Costco México","Es una cadena internacional de tiendas de autoservicio con un formato de Club de Precios exclusiva para socios con Membresía vigente, Costco ofrece una amplia selección de artículos de marcas nacionales e internacionales líderes del mercado con los más altos estándares de calidad, a los mejores precios posibles. 

Estamos convencidos de la relación entre precio y calidad de nuestros productos y servicios, por ello respaldamos toda nuestra mercancía con nuestra garantía de 100% satisfacción. 

Costco Wholesale cuenta con Bodegas en diferentes países como: Estados Unidos, Puerto Rico, Canadá, México, Taiwán, Corea, Japón, Reino Unido, Australia España, Islandia, Francia y China.","Retail Groceries","10,001+ employees","Public Company","Mexico, Huixquilucan, Estado de México","Mexico","costco.com.mx","https://www.linkedin.com/company/costco-méxico"
,"E.Leclerc","Depuis plus de 70 ans, E.Leclerc poursuit un objectif : démocratiser la consommation, c'est l'expression de son utilité sociale. Cet engagement au service du plus grand nombre doit permettre à chacun d'accéder aux produits et services dont il a besoin ou envie, au quotidien. L'accessibilité, qu'elle soit une question de prix, de proximité ou d'information, est un combat permanent, sans cesse renouvelé par les attentes des consommateurs et les enjeux de société. 

Améliorer le pouvoir d'achat des consommateurs au quotidien ; 
Briser les monopoles pour ouvrir de nouveaux marchés, comme la parapharmacie ou les produits culturels ; 
Soutenir à la fois les producteurs français au travers des ""Alliances Locales"", et la préservation de l'environnement avec l'opération ""Nettoyons la Nature"" qui rassemble chaque année plusieurs centaines de milliers de bénévoles ; 
Développer les savoir-faire qui offrent une expérience toujours plus positive, durable et engagée dans la consommation ; tels sont les engagements qui caractérisent l'action de E.Leclerc et façonnent son image parmi les marques préférées des Français. 

Enseigne coopérative portée par 587 adhérents dans 721 centres et 690 drives, et par des millions de clients dans toute la France, E.Leclerc est leader du secteur de la grande distribution. 
Rejoignez le mouvement !","Retail Groceries","10,001+ employees","Privately Held","Ivry sur Seine, Ile de France","France","e.leclerc","https://www.linkedin.com/company/e-leclerc"
,"Groupe Casino","2020 reminded us that retail plays a crucial role in society. 

Retailing obviously involves distributing safe, high-quality products, but it also means welcoming, connecting, serving, bringing together and even reassuring people. Since 1898, Casino Group has developed and enhanced its banners in France and Latin America, in an effort to satisfy all consumer expectations. 

Today, to effectively meet these expectations, we pool the talents of our 205,000 employees to achieve a shared ambition. It’s a question of being fully aware of our purpose and making it a source of pride, this spirit of responsibility is our signature. It also requires us to look further ahead and to build a retail model that combines personalisation with digitalisation, while generating sustainable growth.

We are constantly reinventing our retail model to deliver an experience that reflects our customers, their unique aspirations and their rich diversity.","Retail Groceries","10,001+ employees","Public Company","Saint-Étienne","France","groupe-casino.fr","https://www.linkedin.com/company/groupe-casino"
,"Eurospin","Eurospin, nato nel 1993 da un gruppo di soci con una lunga esperienza nel settore della grande distribuzione, è il più grande discount italiano, giunto ormai a più di 1.200 punti vendita fra Italia e Slovenia. La risposta italiana alla crescente necessità di risparmio dei consumatori. E’ una delle poche realtà economiche, nel settore distributivo, in costante espansione, leader nel settore per numero di punti vendita, fatturato e numero clienti. Eurospin Italia Spa, la holding, gestisce le attività strategiche di acquisto, assicurazione qualità, ricerca e sviluppo, logistica, marketing, merchandising, controllo di gestione, elaborazione dati, progettazione, espansione. Il Gruppo ha saputo adattare il format discount alle esigenze di prodotti di qualità nel rispetto del gusto e della tradizione. La formula si è rivelata vincente, per questo Eurospin è diventata un’ insegna di riferimento non solo per i clienti, ma anche per chi cerca un progetto imprenditoriale di successo. Negli anni, la rete dei punti vendita si è estesa a tutta Italia e alla vicina Slovenia e l’offerta si è arricchita allineandosi con le nuove esigenze e tendenze. 
La filosofia del gruppo non è cambiata: lavorare con il massimo impegno perché il marchio Eurospin sia sempre garanzia di RISPARMIO e QUALITA'. 
Il marchio Eurospin è diffuso tramite 5 società operative italiane ed una in Slovenia.","Retail Groceries","10,001+ employees","Privately Held","Verona, VR","Italy","eurospin.it","https://www.linkedin.com/company/eurospin"
