"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Dis-Chem","As South Africa’s go-to health authority, Dis-Chem is an integrated health and retail partner committed to making quality care more affordable, convenient and inclusive for all.

Guided by our purpose, Better Health Starts Here, we’re redefining healthcare by connecting people, products, and services across a growing ecosystem that supports every step of the health journey. From our nationwide network of pharmacies, clinics, and retail outlets to our expanding insurance and digital health offerings, we make it easier for South Africans to access care that’s simple, affordable, and connected.

Innovation powers our progress. Through X, bigly labs by Dis-Chem, our dedicated innovation hub, we’re building the future of connected healthcare using technology, data and design thinking to make care smarter and more personalised.

Our ecosystem extends beyond the pharmacy counter. Dis-Chem Health and Dis-Chem Life make private healthcare and life cover more accessible and inclusive by using smart, AI-driven underwriting and health insights to reward proactive health management.

With Better Rewards, our leading loyalty programme, customers enjoy instant savings on thousands of essentials offering real value that can be reinvested into better health every day.

We also recognise that health and sustainability are inseparable. Through the Dis-Chem Foundation, we’re improving access to healthcare and supporting healthier communities nationwide.

Together, we’re making healthcare more human, more connected and better for everyone.","Retail Health and Personal Care Products","10,001+ employees","Public Company","Johannesburg, Gauteng","South Africa","dischem.co.za","https://www.linkedin.com/company/dis-chem-pharmacies"
,"SKINTIFIC","SKINTIFIC is revolutionizing beauty through patented TTE (Trilogy Triangle Effect) technology—a breakthrough that merges dermatological research with accessible, high-performance formulas.

At SKINTIFIC, we believe that everyone deserves healthier skin, starting with a strong and resilient skin barrier. Our mission is to revolutionize skincare with smart formulations, pure active ingredients, and advanced technology, making high-performance skincare accessible to all. 

Today, our award-winning products are trusted by millions across Asia.

For the latest in barrier science and innovation, follow #SKINTIFIC","Retail Health and Personal Care Products","501-1,000 employees","Privately Held","DKI Jakarta, Jakarta","Indonesia","skintific.com","https://www.linkedin.com/company/skintificid"
,"Somethinc - BeautyHaul","BeautyHaul is one of the fastest-growing beauty companies in Indonesia that aspires to be the largest vertically integrated beauty ecosystem from supply to retail.

Our first brand ''Somethinc'' was founded in 2019, and is currently the #1 skincare brand in e-commerce & modern trade with >1M social media followers. Our offline/online commerce BeautyHaul is the core for carrying multiple brands that we have directly to our customers. We are incubating more and more business models in our platform and aim to be a strong regional player in the beauty, within the South Asia region.

We have a 'CREATED' culture (Collaborative, Responsible, Efficient, Agile, Tough, Extraordinary, Detailed). We are looking for more people to join us, who are excited to disrupt the traditional beauty industry with product innovation and non-linear growth, who want to build a profitable start-up into a unicorn company, who will always learn and do the right thing.","Retail Health and Personal Care Products","501-1,000 employees","Privately Held","Jakarta Barat, DKI Jakarta","Indonesia","careers-page.com","https://www.linkedin.com/company/beautyhaul"
,"Scarlett Indonesia","Welcome to the Official LinkedIn Page of Scarlett Indonesia!

As one of Indonesia’s fastest-growing local beauty companies, we are proud to redefine beauty standards through innovation and excellence.

Since our founding in 2017, Scarlett Indonesia has been committed to empowering individuals to #LevelUpYourBeauty with high-quality products spanning personal care, skincare, and hair care.

With a strong social media presence of over 5.2 million followers and a widespread reach across online and offline channels throughout Indonesia, we are making beauty accessible and inclusive for everyone.

Our ambition is to lead and inspire in the beauty industry, and we invite you to join us on this journey as part of our #STARlett.

Let’s create a brighter, more beautiful future together!","Retail Health and Personal Care Products","501-1,000 employees","Privately Held","Jakarta Barat","Indonesia","scarlettofficial.id","https://www.linkedin.com/company/scarlett-indonesia"
,"Pilgrim","Pilgrim is an innovative and one of the fastest growing D2C (Direct-to-consumer) businesses in the beauty space. Founded by serial entrepreneurs from IIT Bombay and IIM Ahmedabad, it offers a dynamic, fast paced and fun culture to be a part of.","Retail Health and Personal Care Products","501-1,000 employees","Privately Held","Mumbai, MH","India","discoverpilgrim.com","https://www.linkedin.com/company/discover-pilgrim"
,"LA ROSÉE","Nous sommes deux pharmaciennes, Coline et Mahault, passionnées par la cosmétologie et la beauté naturelle.

Au comptoir de la pharmacie, nous avons rencontré des femmes et des hommes à la recherche d'une offre plus simple, plus vraie, plus responsable, sans superflu et sans promesses sophistiquées non tenues.

Nous avons eu alors envie de créer, pour eux comme pour nous, des produits jusqu’à 100 % d’origine naturelle, à l’efficacité cliniquement prouvée et aux packagins éco-conçus. Une marque engagée dans laquelle on peut avoir confiance les yeux fermés !

Rien n’a été facile dans cette quête de l’excellence : créer des formules hautement naturelles et biodégradables, réinventer la cosmétique solide, bannir les suremballages, trouver des alternatives au plastique issu de la pétrochimie, réduire notre impact environnemental au maximum, compenser notre empreinte carbone… tout en gardant des produits 100 % plaisir et à des prix justes.

Mais nous étions convaincues que tout était possible. Cet idéal, nous l’avons construit, jour après jour depuis 9 ans, en commençant par le plus important : vous !

Tous les produits sont élaborés et fabriqués en France.

 10 000 Pharmacies en France, une pharmacie sur deux","Retail Health and Personal Care Products","51-200 employees","Self Owned","Lyon, Auvergne-Rhône-Alpes","France","larosee-cosmetiques.com","https://www.linkedin.com/company/la-ros-e"
,"Amplifon","As the global leader in the hearing care retail industry, we have been changing the lives of millions of customers across the globe since 1950. With stores and offices spanning across 26 countries and a team of 20,300 dedicated professionals, we take pride in setting the industry standard as we empower people to rediscover all the emotions of sound.
 
Amplifon operates in: Argentina, Australia, Belgium, Canada, Chile, China, Colombia, Ecuador, Egypt, France, Germany, Hungary, India, Israel, Italy, Mexico, New Zealand, Panama, Poland, Portugal, Spain, Switzerland, the Netherlands, UK, United States, and Uruguay.

Read our Netiquette and help us create an inclusive environment to interact within: https://corporate.amplifon.com/en/netiquette?formSearchPage=true","Retail Health and Personal Care Products","10,001+ employees","Public Company","Milan","Italy","listen-responsibly.com","https://www.linkedin.com/company/amplifon"
,"Sol de Janeiro","Inspired by the power and warmth of the Brazilian spirit, Sol de Janeiro stands for ultimate self-love and celebration. Embracing the authentic Brazilian beauty philosophy of loving and flaunting your body, Sol de Janeiro was founded in 2015. The brand’s award-winning collection of body care, fragrance, and hair care is
known for luscious textures, clinically proven formulations, and transportive fragrances. Beloved by multi-generational global consumers, Sol de Janeiro is available at premium global retailers
as well as on its own website.","Retail Health and Personal Care Products","201-500 employees","Public Company","New York, NY","United States","soldejaneiro.com","https://www.linkedin.com/company/sol-de-janeiro-body-care"
,"Nu Skin","Nu Skin Enterprises, Inc. (NYSE: NUS) is a leading beauty and wellness company, powered by a dynamic affiliate opportunity platform. The company helps people live, look and feel their best with products that combine the best of science, technology and nature. Backed by more than 35 years of scientific research, Nu Skin develops innovative products including Nu Skin personal care, Pharmanex nutrition and the ageLOC anti-aging brand which includes an award-winning line of beauty device systems. 

Nu Skin operates in nearly 50 markets worldwide in the Americas, Asia, Europe, Africa and the Pacific. Rhyz Inc. is the company’s strategic investment arm that includes a collection of technology and manufacturing companies to support growth in the core Nu Skin business. Nu Skin is committed to sustainability, including global initiatives such as transitioning to reduced and sustainable packaging for all products by 2030. The Nu Skin Force for Good Foundation also strives to improve children’s health, education and economic circumstances throughout the world. For more information, visit nuskin.com.","Retail Health and Personal Care Products","1,001-5,000 employees","Public Company","Provo, Utah","United States","nuskin.com","https://www.linkedin.com/company/nu-skin-enterprises"
,"Opella","Opella is the self-care challenger with the purest and third-largest portfolio in the Over-The-Counter (OTC) & Vitamins, Minerals & Supplements (VMS) market globally.

Our mission is to bring health in people’s hands by making self-care as simple as it should be. For half a billion consumers worldwide – and counting.

At the core of this mission is our 100 loved brands, our 11,000-strong global team, our 13 best-in-class manufacturing sites and 4 specialized science and innovation development centers. 

Headquartered in France, Opella is the proud maker of many of the world’s most loved brands, including Allegra, Buscopan, Doliprane, Dulcolax, Enterogermina, Essentiale and Mucosolvan. 

As a globally certified B Corp company, we are active players in the journey towards healthier people and planet. 

Find out more about our mission on our website.","Retail Health and Personal Care Products","10,001+ employees","Privately Held","france",,"opella.com","https://www.linkedin.com/company/opella-health"
