"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Music & Arts","The first Music & Arts, run by founder Benjamin O’Brien, opened in 1952 and was located in a small house in Bethesda, MD. Music & Arts now has more than 500 retail and affiliate locations, about 120 educational representatives and roughly 27,000 lesson students making it the nation’s largest school music retailer and lesson provider. Now based in Frederick, MD, the company of trained musicians offers friendly service for everything musical in your life including instruments, lessons, rentals and repairs. Visit MusicArts.com for more information.","Retail Musical Instruments","5,001-10,000 employees","Privately Held","Frederick, MD","United States","musicarts.com","https://www.linkedin.com/company/music-and-arts"
,"Gear4music Ltd.","Gear4music is one of Europe’s leading online retailers of musical instruments and music equipment. Founded in the UK, we’ve grown from a specialist startup into an international, multi-brand business serving millions of customers globally.  

We offer a wide range of instruments, studio equipment, live sound gear, lighting, and software for musicians of all levels — from beginners and hobbyists to advanced and professional musicians. Alongside products from world-leading third-party names, we also design and develop our own exclusive Gear4music brands, offering high-quality instruments and equipment at exceptional value.

Our steady growth means we now operate dedicated localised websites across multiple European markets, supported by distribution centres in the UK, Sweden, Germany, Ireland and Spain. This international infrastructure allows us to deliver quickly and reliably while continuing to scale sustainably.

Innovation is central to the way we work. As a digital-first business, we invest heavily in technology, data, and customer experience, from intuitive e-commerce platforms to advanced logistics and in-house product development. Our teams work together to continually improve how musicians discover, purchase, and receive their gear.

We’re also committed to responsible growth. Through sustainable initiatives, our second-hand and trade-in platforms, and ongoing work to reduce our environmental impact, we aim to support the future of music as well as the planet.

Above all, though, our business is powered by people who are passionate about music. Our diverse teams across Europe bring creativity and expertise to everything we do, united by a shared mission: to make music accessible to everyone.","Retail Musical Instruments","201-500 employees","Public Company","York, North Yorkshire","United Kingdom","gear4music.com","https://www.linkedin.com/company/gear-4-music-limited"
,"Chicago Music Exchange","For 30 years we have been serving musicians, collectors and friends who want straight answers, expertise, and first-hand knowledge. All of our staff are passionate about what we sell and who we sell to, whether you talk to us on the phone about a vintage Gibson Les Paul gold top, come to the store to check out an Fulltone pedal, or email us about a Marshall amp.  All of the staff you talk to are musicians who pay attention to the details, as well as technicians who have seen and fixed just about everything you can think of. We do love to be challenged on the geeky stuff. 

As a premiere authority on vintage, new, and used music equipment, our goal at Chicago Music Exchange is to give you the finest selection of guitars, amps, bass, effects, and novelty musical instruments in the world, with service that will blow you away. 

Stop by our flagship store when you are in town to meet us in person and experience our extraordinary store first-hand!","Retail Musical Instruments","51-200 employees","Privately Held","Chicago, Illinois","United States","chicagomusicexchange.com","https://www.linkedin.com/company/chicago-music-exchange"
,"Bax Music","WE SUPPORT YOUR STAGE

Muziek is passie en beleving en daar wil Bax Music niet alleen deel van uitmaken, maar ook het verschil in maken. Meer service, meer passie, meer beleving en vooral meer muziek!

Bax Music (voorheen Bax-shop) is met 46.000 voorradige producten, 420 specialisten en 4 fysieke winkels, de grootste online muziekwinkel van de Benelux. 

Het ruime aanbod loopt uiteen van oordopjes, gitaren en drumstellen tot volwaardige licht- en geluidsinstallaties voor evenementen. Met het brede assortiment worden muziekliefhebbers en -makers op hun wenken bediend.  

In slechts 15 jaar tijd groeide de jaaromzet naar meer dan 100 miljoen en ruim 100.000 verstuurde pakketten per jaar.


Het team achter Bax Music bestaat uit een jong team van professionals die in een vriendschappelijke sfeer hard werken om een gezamenlijk doel te bereiken. Servicegerichtheid, ambitieus, vernieuwend en professionaliteit zijn de kernwaarden van Bax Music.

Bax Music heeft regelmatig vacatures, kijk voor de actuele vacatures op www.werkenbijbax-shop.nl!","Retail Musical Instruments","201-500 employees","Privately Held","Goes, Zeeland","Netherlands","bax-shop.nl","https://www.linkedin.com/company/baxmusic"
,"Dunlop Manufacturing, Inc.","From picks to pedals and every accessory in between, Dunlop Manufacturing has been creating world-class gear for musicians for 50 years. We consistently create the best selling picks and analog electronics, and carry a large line of accessories that set the industry standards in their respective fields. We have a long list of legendary and current day superstars who all share a passion for our gear. Whether it’s pushing new innovations with our string line, or tweaking classic sounds with our vintage pedals, we live to play live.","Retail Musical Instruments","201-500 employees","Privately Held","benicia","United States","jimdunlop.com","https://www.linkedin.com/company/dunlop-manufacturing"
,"AlphaTheta Music Americas, Inc.","AlphaTheta Music Americas, Inc. is the subsidiary of AlphaTheta Corporation responsible for sales and marketing in North, Central, and South America.

AlphaTheta’s mission is “One Through Music.” It’s our aim to make meaningful contributions to the world through innovative technology and high-quality audio equipment, software, and services, and by fostering connections with the music community. 

Our core DJ business started in 1994 as a division of Pioneer Corporation and has played a pivotal role in shaping and advancing dance music and DJ culture around the world. In 2015, the company became independent as Pioneer DJ Corporation and, in 2020, with the aspiration to grow in new business areas, its name was changed to AlphaTheta Corporation. In 2024, we began releasing products with the AlphaTheta name, helping it inherit the longstanding trust we’ve built with customers by employing the technical and design know-how we’ve accumulated over the years, all of which we aim to develop further. We want customers to see familiarity and playfulness in us while offering value in fresh and unexpected ways, expanding horizons in ways only AlphaTheta can. 

Innovation is at the heart of everything we do. We’re committed to continuously evolving and being an indispensable part of society by fulfilling the diverse needs of our customers. AlphaTheta Corporation's portfolio includes brands such as AlphaTheta, Pioneer DJ, rekordbox, KUVO, TORAIZ, and Pioneer PRO AUDIO.
 
AlphaTheta Corporation is in the Noritsu Koki (TSE:7744) Group.","Retail Musical Instruments","11-50 employees","Privately Held","Torrance, California","United States","alphatheta.com","https://www.linkedin.com/company/alphatheta-music-americas-inc"
,"Kadence","Kadence, owned and operated by Cresurge Private Limited (founded in 2015), is the No. 1 provider in the music industry. We are dedicated to offering high-quality instruments that inspire creativity and elevate musical experiences for enthusiasts and professionals alike. 

With over 2 million happy customers and a diverse range of more than 500 types of instruments, we cater to musicians of all levels and genres.

At Kadence, we're not just selling instruments; we're building a global community of music lovers, one satisfied customer at a time. Our extensive selection ensures that every musician can find the perfect instrument to express their unique voice. We actively support local music communities through sponsorships, events, and educational initiatives, fostering a culture of creativity, collaboration, and inclusion.","Retail Musical Instruments","51-200 employees","Privately Held","Bengaluru, Karnataka","India","kadence.in","https://www.linkedin.com/company/kadencexperience"
,"AlphaTheta Corporation","AlphaTheta’s mission is “One Through Music.” It’s our aim to make meaningful contributions to the world through innovative technology and high-quality audio equipment, software, and services, and by fostering connections with the music community.

Our core DJ business started in 1994 as a division of Pioneer Corporation and has played a pivotal role in shaping and advancing dance music and DJ culture around the world. In 2015, the company became independent as Pioneer DJ Corporation and, in 2020, with the aspiration to grow in new business areas, its name was changed to AlphaTheta Corporation. In 2024, we began releasing products with the AlphaTheta name, helping it inherit the longstanding trust we’ve built with customers by employing the technical and design know-how we’ve accumulated over the years, all of which we aim to develop further. We want customers to see familiarity and playfulness in us while offering value in fresh and unexpected ways, expanding horizons in ways only AlphaTheta can.

Innovation is at the heart of everything we do. We’re committed to continuously evolving and being an indispensable part of society by fulfilling the diverse needs of our customers. AlphaTheta Corporation's portfolio includes brands such as AlphaTheta, Pioneer DJ, rekordbox, KUVO, TORAIZ, and Pioneer PRO AUDIO.

AlphaTheta Corporation is in the Noritsu Koki (TSE:7744) Group.","Retail Musical Instruments","201-500 employees","Privately Held","Yokohama, Kanagawa","Japan","alphatheta.com","https://www.linkedin.com/company/alphatheta-corporation"
,"Star's Music","Vente d'instrument de musique et de matériel de sonorisation, l'enseigne STAR'S MUSIC regroupe 3 enseignes à PARIS, LILLE et LYON ainsi qu'une boutique en ligne.

Le plus vieux magasin est située à Paris dans le quartier de Pigalle depuis 1977.

Guitares & Basses, Pianos & Claviers, Synthés & Machines, Matériel DJ, Sono & Light, Home Studio, Micros, Cables & Accessoires, Star's Music est un magasin généraliste qui propose un large choix d'instruments et matériel de marque pour les musiciens amateurs et professionnels.","Retail Musical Instruments","51-200 employees","Privately Held","PARIS, FRANCE","France","stars-music.fr","https://www.linkedin.com/company/star's-music"
,"PMT - Play Music Today","At PMT we live, sleep, and breathe music.

Our mission: To inspire and enable more people than ever to Play Music Today.

Expect so much more than the finest instruments and equipment - at unbeatable price-checked value.

When you shop with us, you can be sure you will receive all the advice, back-up, and after-sales service you will need. Whatever level of experience musician you are.

Be ready to join our soon to launch ‘Backstage’ loyalty program where you will have instant access to news, competitions, exclusive discounts and so much more

But most of all, visit one of our world class music stores across the UK where your experience is our priority.

Check out the instruments and equipment waiting there for you. Play them. Get tuition. Watch demonstrations. Talk to our technicians for repair and tweaking.

Discover new stuff. Meet kindred spirits. Hang out. Belong.

Welcome to PMT.","Retail Musical Instruments","201-500 employees","Privately Held","Speke","United Kingdom","pmtonline.co.uk","https://www.linkedin.com/company/playmusictoday"
