"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Skydio","Skydio’s mission is to make the world more productive, creative, and safe with autonomous flight. AI and computer vision are foundational to our products, allowing drones to fly autonomously and automatically capture and process data. Skydio drones help public safety agencies, federal government, and private companies serve their communities more safely and effectively by providing real-time access to information captured with high-powered cameras mounted on intelligent flying robots. Our drones support thousands of organizations, including every branch of the U.S. military, 26 allied nation, 1,000+ public safety agencies across every U.S. state, and 900+ utility providers. 
 
Founded in 2014, Skydio designs, assembles, and supports its products in the U.S., with headquarters in San Mateo, CA, and manufacturing facilities in Hayward, CA. Skydio is the largest drone manufacturer in the U.S. and has shipped 55,000+ flying robots. 

The company is backed by top investors and strategic partners, including Andreessen Horowitz, Linse Capital, Next47, IVP, Playground, and NVIDIA.","Robotics Engineering","501-1,000 employees","Privately Held","San Mateo, California","United States","skydio.com","https://www.linkedin.com/company/skydio"
,"Agility Robotics","We started with scientific breakthroughs and layered on top of that world-class engineering. We approach everything with a focus on function. Our humanoid robots were designed from day one to do useful work.","Robotics Engineering","201-500 employees","Privately Held","Salem, Oregon","United States","agilityrobotics.com","https://www.linkedin.com/company/agilityrobotics"
,"Exotec","Exotec builds elegant goods-to-person warehouse robotic solutions for the world's largest brands. The company combines the best of hardware and software to offer flexible warehouse systems that drive operational efficiency, add resiliency, and improve working conditions for warehouse operators. 30+ industry-leading brands including Carrefour, Decathlon, Gap, and Uniqlo trust Exotec to improve their operations and profitably navigate rapid shifts in business models and customer expectations.

For more information please visit https://www.exotec.com/","Robotics Engineering","1,001-5,000 employees","Privately Held","Wasquehal, Hauts-de-France","France","exotec.com","https://www.linkedin.com/company/exotec"
,"Quantum Systems","Quantum Systems is the powerhouse of intelligent unmanned systems.
As a leading dual‑use and defence technology company, we deliver multi‑domain solutions - on land, in the air, at sea, and in software - for government agencies and commercial customers worldwide. 

Quantum Systems is Europe's highest valued dual-use scale up and a global leader in the development of intelligent unmanned systems. We supply mission-grade ISR, autonomy, and integrated mission solutions to military, government, and commercial customers. Quantum Systems products combine proven hardware, AI, and interoperable software to deliver persistent, reliable intelligence where it matters most.","Robotics Engineering","501-1,000 employees","Public Company","Gilching, Bavaria","Germany","quantum-systems.com","https://www.linkedin.com/company/quantum-systems-gmbh"
,"1X","1X is a leader in humanoid robotics, creating humanoid robots for the home as a first step in developing general purpose robots

1X’s mission is to create an abundance of labor through safe, intelligent humanoids that work alongside people.","Robotics Engineering","201-500 employees","Privately Held","Palo Alto, California","United States","1x.tech","https://www.linkedin.com/company/1x-technologies"
,"Ocean Infinity","Ocean Infinity is a pioneer of large scale marine robotic operations deploying robotic technologies to capture ocean data and deliver maritime solutions whilst minimising our environmental footprint. We are building the world’s largest fleet of marine robotic vehicles, offering the safest and most sustainable operations the industry has ever seen. Our purpose is to innovate using robotics and technology to transform industries, enabling people and the planet to thrive. 

Our core belief that the seemingly impossible can be achieved with innovative, creative thinkers and cutting-edge technology has remained at the heart of the company. Ocean Infinity is a place where creativity and innovation is demanded and allowed to flourish. The team is constantly developing the most advanced technology and data handling capabilities in order to remain at the forefront of the industry.","Robotics Engineering","201-500 employees","Privately Held","Austin, Texas","United States","oceaninfinity.com","https://www.linkedin.com/company/ocean-infinity-llc"
,"Humanoid","In a world where artificial intelligence opens up new horizons, our faith in its potential unveils a new outlook where, together, humans and machines build a new future filled with knowledge, inspiration, and incredible discoveries.

The development of a functional humanoid robot underpins an era of abundance and well-being where poverty will disappear, and people will be able to choose what they want to do.

We can imagine millions of bipedal robots doing more work than all human labour does today freeing people from the servitude of some repetitive and boring tasks that nobody likes to perform.

We believe that we have enough abundance to take care of everyone who is displaced. Eventually, providing a universal basic income will lead to the true evolution of our civilization.

Labor shortages loom, as the demands on our built environment rise. With the world’s workforce increasingly moving away from undesirable tasks, the manufacturing, construction, and logistics industries critical to our daily lives are left exposed.

By deploying our general-purpose humanoid robots in environments deemed hazardous or monotonous, we envision a future where human well-being is safeguarded while closing the gaps in critical global labour needs.","Robotics Engineering","51-200 employees","Privately Held","London","United Kingdom","thehumanoid.ai","https://www.linkedin.com/company/humanoidai"
,"Evobi Automations Pvt Ltd","Evobi Automations Pvt. Ltd. is a leading automation company headquartered in Bengaluru, with over 12 years of experience in technology and manufacturing. We operate through two specialized business units:

Rednerds – Your go-to partner for manufacturing needs, specializing in ODM (Original Design Manufacturing) and OEM (Original Equipment Manufacturing). We provide high-quality design and production services, turning concepts into reality.

Yudu Robotics – Focused on product innovation, we design and develop cutting-edge hardware and software solutions with a core emphasis on Embedded Robotics and IoT. Our goal is to integrate intelligent technology into transformative products in Education","Robotics Engineering","51-200 employees","Privately Held","bengaluru","India",,"https://www.linkedin.com/company/evobiautomations"
,"Origin","Origin is building the World's First General Purpose Construction Robot.

Nothing defines an era more clearly than the way a society builds. Yet, construction remains the only major industry where productivity has declined over the last century. While the rest of the world has become mechanised and lightning-fast, construction is still slow, hazardous, and heavily manual.

We are here to change that.

We are on a multi-decade journey to enable humanity to build anything, anywhere, autonomously, without ever compromising on craftsmanship.
 
Origin is working with leading Trade Contractors and General Contractors in New York and will expand across the United States in the future. If you want to define the future of automation in Construction, please get in touch.

Join the most talent-dense robotics team in the world. We are looking for passionate engineers who want to shape how the future is built. If you are ready to reinvent how humanity builds, apply here: https://apply.workable.com/10x-3/","Robotics Engineering","51-200 employees","Privately Held","New York","United States","origin.tech","https://www.linkedin.com/company/origin-autonomy"
,"FieldAI","FieldAI is the general-purpose brain making robots autonomous in complex, risky, real-world environments. We combine data-driven and physics-based methods to create the Field Foundation Model (FFM), the first risk-aware, physics-first foundation model for general-purpose robots across any robot type.

The FFM works through a virtuous data flywheel that receives input, assesses uncertainty, establishes risk, and takes action based on that risk. Each deployment increases reliability and continuously enhances the capabilities of the global fleet, all without pre-trained data, GPS, maps, or pre-programmed routes.

Our mission is to deploy autonomous robots at scale in any unstructured environment.","Robotics Engineering","11-50 employees","Privately Held","Irvine, CA","United States","fieldai.com","https://www.linkedin.com/company/fieldai"
,"Anzo Controls","At Anzo Controls, we’re passionate about driving change and innovation in everything we do. We empower our employees to take on challenging roles and assignments, offering them an elevated level of responsibility in an agile and dynamic working environment. Our people are at the heart of what makes us who we are, and together, we create exceptional products and experiences.

In short, we don’t just think outside the box — we think like there is no box.

Be part of an organization that's transforming the motion control industry in India.

As a leading manufacturer of electronics and software products for industrial sectors, we build best-in-class solutions in the following domains:

Robotics, SCARA, Delta & Gantry Systems
Motion Control and Drives
Automated Guided Vehicles (AGVs)
Motorized Driven Rollers
Servo Drives
HMIs
Barcode Scanner Applications

We enable the manufacturing sector to harness the full potential of our offerings, providing OEMs with competitive, advanced solutions for the market.

With expertise in Embedded Systems, IT, Controls, and Mechanical Engineering, we deliver end-to-end solutions for factory automation and customized projects.","Robotics Engineering","51-200 employees","Privately Held","Gurugram, Haryana","India","anzorobotics.com","https://www.linkedin.com/company/anzo-controls"
,"BEW","BEW is a dynamic company driven by a passion for engineering, innovation, and the transformative power of technology. Headquartered in the heart of technological advancements, we specialize in delivering cutting-edge solutions that seamlessly integrate Artificial Intelligence (AI), Robotics, and Engineering across diverse sectors.

#ElectricalEngineering 
#MechanicalEngineering 
#CivilEngineering 

Join us on a journey of innovation, engineering excellence, and the limitless possibilities that arise when creativity meets technology.","Robotics Engineering","51-200 employees","Privately Held","Gurugram, Haryana","India","thebharat.work","https://www.linkedin.com/company/thebharat"
,"Advanced Navigation","Advanced Navigation is a global leader in navigation and autonomous systems. By leveraging capabilities in software-enhanced hardware, every solution delivers unrivaled capabilities and exceptional performance across land, air, sea and space applications where GPS is unreliable. 

Made possible with extensive research, testing and vertically integrated manufacturing, the company has progressed into deep technology fields, including robotics, inertial, photonic and quantum sensing, artificial intelligence, underwater acoustics, and GPS antennas and receivers. Customers choose Advanced Navigation for rapid product delivery and unmatched technical field expertise.

Headquartered in Sydney, Australia, with research and production facilities nationwide and offices globally. Advanced Navigation is an Australian manufacturer exporting worldwide. #JoinTheAutonomyRevolution","Robotics Engineering","201-500 employees","Privately Held","Sydney, New South Wales","Australia","advancednavigation.com","https://www.linkedin.com/company/advanced-navigation"
