"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Roxtec Group","Roxtec cable and pipe seals protect life and assets. The flexible solutions ensure safety, efficiency and operational reliability in demanding projects worldwide. The innovative cable and pipe transits from Roxtec simplify design and engineering, speed up installation and reduce the need for stock, material and logistics. Roxtec is a global company with a strong local presence serving customers in many industries and in more than 80 markets through subsidiaries and distributors.

Roxtec was founded in Sweden in 1990 with the invention of Multidiameter, a solution for adaptability to cables and pipes of different sizes based on sealing modules with removable layers. This flexible concept revolutionized the process of cable routing and pipe installation, simplifying design, speeding up installation work and reducing the need for stock, material and logistics.

Today, Roxtec supplies sealing solutions as well as design services and tools to many international projects within marine, offshore oil and gas, power, process industries, infrastructure and equipment manufacturing.

Protecting life and assets
The Roxtec sealing system protects against fire, gas, water, dust, blast, pests, pressure and temperature changes. It also reduces noise, vibration and material fatigue, and exists in versions for EMC, hazardous locations (Ex) and bonding, grounding and lightning protection.

The system is certified by all major classification authorities. Roxtec products count 285 certificates, including IECEx/ATEX and MED, as well as 430 registered tests and approvals.

The seals are used worldwide to ensure safety, efficiency and operational reliability. They are also appreciated for the clean installation process, the area efficiency and the adaptability to a wide range of cables, metal pipes and plastic pipes. The ability to open up the seals to add cables or make quick changes simplifies maintenance and retrofit.","Rubber Products Manufacturing","1,001-5,000 employees","Privately Held","Karlskrona","Sweden","roxtec.com","https://www.linkedin.com/company/roxtec-group"
,"Unique Rubber","A Unique, é a uma das maiores fabricantes de produtos para recapagem e compostos de borracha da América Latina. Na empresa são fabricadas diferentes marcas de produtos para reforma de pneus presentes no mercado sul-americano e os melhores compostos de borracha para indústrias de variados segmentos.

A Unique possui ampla expertise na fabricação de produtos de borracha. Sua Unidade Industrial conta com mais de 240 mil metros quadrados de área, dos quais 65 mil são dedicados à estrutura fabril, preparados para atender às mais variadas demandas do mercado de borracha com tecnologia de ponta e soluções eficazes que garantem maior qualidade e competitividade para os clientes.","Rubber Products Manufacturing","201-500 employees","Privately Held","São Leopoldo, Rio Grande Do Sul","Brazil","uniquerubber.com","https://www.linkedin.com/company/unique-rubber"
,"Maxxis Tyres India","One of the most trusted tyre brands, Maxxis delivers high-quality tyre products to customers in 180 countries and employs more than 30,000+ people.","Rubber Products Manufacturing","501-1,000 employees","Privately Held","Sanand (Ahmedabad), Gujarat","India","maxxistyres.co.in","https://www.linkedin.com/company/maxxisindia"
,"Zenith Industrial Rubber Products Pvt Ltd","Zenith Rubber has been at the forefront of manufacturing industrial rubber products since 1965.

Zenith Industrial Rubber Products Private Limited, has been a leading manufacturer and exporter of high-quality industrial rubber sheeting products since its establishment in 1965. Over the years, Zenith has achieved remarkable success in the global market and has become recognized as a trusted supplier.

With a strong focus on delivering excellence, Zenith offers a diverse range of products including wear-resistant rubber sheets, antiskid flooring, waterproofing membranes, coated fabrics, rubber inflatables, rubber moulded and extruded profiles. These offerings showcase the company's expertise and commitment to providing solutions that meet the varied needs of customers.

Zenith's dedication to quality and compliance is evident through its status as a government-recognized export house. This recognition highlights the company's commitment to upholding industry standards and ensuring customer satisfaction.

Supported by advanced infrastructure, Zenith boasts an impressive production capacity with 4 Intermix, 4 calendar, 30 Rotocure lines and 8 press lines. This infrastructure investment allows the company to meet the demands of the market effectively and efficiently.

With an installed capacity of 90 tons of rubber compound per day, Zenith continues to strengthen its position in both domestic and international markets. Through its extensive experience, leadership, and dedication to quality, Zenith has earned a reputation as a reliable and trusted provider in the industrial rubber sheet manufacturing industry.","Rubber Products Manufacturing","201-500 employees","Privately Held","Mumbai, Maharashtra","India","zenithrubber.com","https://www.linkedin.com/company/zenith-industrial-rubber"
,"PIX Transmissions Ltd.","We are the leading manufacturer of Belts and related mechanical Power Transmission products globally.

The Company features state-of-the-art Belt manufacturing units as well as an ultra-sophisticated, automated Rubber Mixing facility. PIX Transmissions Ltd. enjoys significant brand equity in the Power Transmissions industry, with strong local as well global presence. The company has overseas subsidiary operations in Europe, and the Middle-East, in addition to over 250 committed Channel Partners in over 100 countries worldwide.","Rubber Products Manufacturing","501-1,000 employees","Public Company","Nagpur, Maharashtra","India","pixtrans.com","https://www.linkedin.com/company/pixtrans"
,"Darson Industries","For over 60 years, Darson Industries has been a trusted manufacturer of premium rubber hoses and molded components for the global automotive and industrial markets. As a Tier 1 OEM supplier, we proudly support major manufacturers of passenger cars, commercial vehicles, agricultural machinery, and heavy equipment across 30+ countries.

Our product portfolio spans radiator and turbo hoses, silicone and vacuum lines, air intake systems, rubber bellows, and custom-engineered solutions—designed for durability, precision, and performance. With fully integrated in-house capabilities for R&D, tool and mold making, and rigorous testing, we ensure excellence at every step.

Certified to IATF 16949:2016, ISO 9001:2015, and ISO 14001:2015, Darson combines innovation with a commitment to quality, sustainability, and customer satisfaction.","Rubber Products Manufacturing","501-1,000 employees","Privately Held","Wazirabad, Punjab","Pakistan","darson-industries.com","https://www.linkedin.com/company/darson-industries-pvt-ltd"
,"Autotravi","A Autotravi atua no mercado nacional e internacional desde 1945, exportando para mais de 20 países, destacando-se na fabricação de borrachas para vedações automotivas e industriais. 

A tecnologia em equipamentos e laboratórios se funde com a capacidade profissional de alto nível para atender às necessidades dos clientes, além da consultoria técnica para o desenvolvimento de novos projetos. Uma estrutura de alto nível, conquistada através de uma história sólida de sucesso.  

A empresa atua nos segmentos de montadora de ônibus, montadoras agrícolas, ônibus, autopeças (linha leve e linha pesada), indústria em geral, transformadores de veículos, implementos rodoviários, furgões, construção civil e vagões ferroviários (metrôs).","Rubber Products Manufacturing","201-500 employees","Partnership","Caxias do Sul, Rio Grande do Sul","Brazil","autotravi.com","https://www.linkedin.com/company/autotravi"
,"Plant-Rubber","""Ao longo dos nossos 30 anos de mercado a Plant-Rubber se comprometeu em acompanhar as mudanças e tendências do mercado. Foi possível uma grande diversificação em nossa linha de produtos e serviços (revestimento de cilindros). 
              Atualmente atendemos projetos sob medida e diversos elos da agroindústria nacional, dos quais destacamos:Usinas de Açucar e Etanol (Agrícola e Industrial), Leguminosas, Mineração, Petroquímico,Papel e Celulose, Siderúrgico, Metal, Mecânico, Curtume, Moveleiro, Gráfico, Alimentício, Têxtil entre outros.""
                                                                                            Gabriel Freitas, Diretor.","Rubber Products Manufacturing","51-200 employees","Privately Held","Ribeirão Preto, SP","Brazil","plantrubber.com.br","https://www.linkedin.com/company/plant-rubber"
,"Synthetic Rubber Indonesia","PT Synthetic Rubber Indonesia (SRI) was formed as a joint venture between multinational tire producer, Michelin and one of Indonesia's largest petrochemical company, PT Chandra Asri Pacific Tbk (CAP). 

We are the first and only SSBR (Solution Butadiene Rubber) plant in Indonesia who produce high-performance Styrene Butadiene Rubber (SBR) and Butadiene Rubber (BR). Our products are used to produce eco-friendly tires with low rolling resistance and we are committed to pursue sustainable development through a balance of economic, environmental and social performance.","Rubber Products Manufacturing","201-500 employees","Public Company","Cilegon, Banten","Indonesia",,"https://www.linkedin.com/company/synthetic-rubber-indonesia"
,"Roxtec România","Povestea Roxtec începe în anul 1990 odată cu inventarea tehnologiei 𝐌𝐮𝐥𝐭𝐢𝐝𝐢𝐚𝐦𝐞𝐭𝐞𝐫, o tehnologie bazată pe 𝘀𝘁𝗿𝗮𝘁𝘂𝗿𝗶 𝗱𝗲𝘁𝗮𝘀̦𝗮𝗯𝗶𝗹𝗲 pentru o 𝗽𝗼𝘁𝗿𝗶𝘃𝗶𝗿𝗲 𝙥𝙚𝙧𝙛𝙚𝙘𝙩𝙖̆ la cabluri și țevi de diferite dimensiuni și care simplifică proiectarea, instalarea și verificarea trecerilor prin diferite structuri. Evitați surprizele provocate de modificările de ultimă ora și reduceți stocurile. Modulele sunt întotdeauna pregătite pentru viitoare modernizări și gestionează fără probleme un număr mare de cabluri și țevi.

Soluțiile inovatoare de la Roxtec oferă o 𝒑𝒓𝒐𝒕𝒆𝒄𝒕̦𝒊𝒆 𝒎𝒖𝒍𝒕𝒊𝒑𝒍𝒂̆ împotriva focului, apei, gazelor, rozătoarelor, factorilor de mediu (IP), riscurilor de explozie (Ex), sau a poluării electromagnetice. Acestea rezistă la cele mai dificile medii de lucru, la presiunea constantă a apei, la coroziune și la fluctuații de temperatură. De asemenea atenuează zgomotul și includ soluții eficiente pentru punere la masă, împământare, sau compatibilitate EMC. Ele au un ciclu de viață ridicat și au posibilitatea 𝐫𝐞𝐟𝐨𝐥𝐨𝐬𝐢𝐫𝐢𝐢 pentru instalarea de noi cabluri, țevi, sau tuburi din plastic. Pentru selectarea celei mai potrivite soluții tehnice Roxtec România asigură atât suport tehnic, cât și cursuri de instalare, sau inspecții tehnice la fața locului, oferind și un termen rapid de livrare datorită existenței 𝐝𝐞𝐩𝐨𝐳𝐢𝐭𝐮𝐥𝐮𝐢 din Constanța.

Datorită acestor avantaje, dar și a cercetării continue, Roxtec a devenit lider global în domeniul soluțiilor de etanșare, cu prezență în mai mult de 80 de țări la nivel global, având peste 285 de produse standard – dar și peste 3.000 de produse personalizate pe an - cu peste 430 de certificate, teste, sau aprobări. În plus, am dezvoltat suita de aplicații 𝐑𝐨𝐱𝐭𝐞𝐜 𝐒𝐨𝐟𝐭𝐰𝐚𝐫𝐞 𝐒𝐮𝐢𝐭𝐞 pentru a simplifica lucrul în orice etapă - de la proiectare, schițe, aprovizionare și certificate - până la instalare, verificări de calitate și documentații obligatorii","Rubber Products Manufacturing","2-10 employees","Privately Held","Constanta, Constanta","Romania","roxtec.com","https://www.linkedin.com/company/roxtec-romania"
,"Riberball","Fundada em 1977, tem sua sede em Ribeirão Preto, estado de São Paulo, e ocupa atualmente uma área de 18.000 m2, com uma capacidade instalada para transformar cerca de 400 toneladas de látex/mês. Todo látex consumido é importado da Ásia.
A Riberball com sua marca Balões Pic-Pic, ocupa lugar de destaque em volume físico no ranking do mercado nacional. A empresa projetou para o novo milênio equipamentos de última geração, aumentando ainda mais sua capacidade de transformação do látex.
Eficiência e competitividade são marcas registradas da Riberball, que conta com uma equipe altamente especializada para atender as exigências do mercado, através de seu departamento comercial e marketing, tendo como filosofia estabelecer elos mais próximos com seus clientes e representantes.
A renovação sistemática de embalagens e lançamento de novos produtos são fatores determinantes para acompanhar a velocidade das mudanças impostas pela globalização, propiciando constantemente inovações e aperfeiçoamento tecnológico.","Rubber Products Manufacturing","201-500 employees","Privately Held","Ribeirão Preto, São Paulo","Brazil","baloespicpic.com.br","https://www.linkedin.com/company/riberball"
,"Toyo Tire Serbia d.o.o","Using locally-sourced, cutting-edge materials and state-of-the-art equipment to produce high-performance, priority products. It will be the utmost competitive facility in the Toyo Tire network.","Rubber Products Manufacturing","201-500 employees","Privately Held","Inđija, Vojvodina","Serbia",,"https://www.linkedin.com/company/toyo-tire-serbia-d-o-o"
,"Tipler","Há mais de 4 décadas, a Tipler entrega as melhores soluções para o mercado de reforma de pneus, com foco nos segmentos de transporte de cargas e passageiros. Toda esta dedicação construiu uma empresa especialista em recapagem e uma marca forte e de credibilidade, com produtos inovadores e processos de alto padrão.","Rubber Products Manufacturing","501-1,000 employees","Privately Held","São Leopoldo, RS","Brazil","tipler.com.br","https://www.linkedin.com/company/tipler"
,"CORI ENGINEERS PVT. LTD.","Rubber expansion joints, rubber bellows, rubber lining of tanks and vessels, anti vibration mounts, loading /unloading hoses , rubber to metal bonded components.","Rubber Products Manufacturing","51-200 employees","Privately Held","Chennai, Tamil Nadu","India","corirubber.com","https://www.linkedin.com/company/corirubber"
