"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Gilat Satellite Networks","Gilat Satellite Networks Ltd. (NASDAQ: GILT, TASE: GILT) is a leading global provider of satellite-based broadband communications. With over 35 years of experience, we develop and deliver deep technology solutions for satellite, ground, and new space connectivity, offering next-generation solutions and services for critical connectivity across commercial and defense applications.  We believe in the right of all people to be connected and are united in our resolution to provide communication solutions to all reaches of the world.

Together with our wholly-owned subsidiaries—Gilat Wavestream, Gilat DataPath, and Gilat Stellar Blu—we offer integrated, high-value solutions supporting multi-orbit constellations, Very High Throughput Satellites (VHTS), and Software-Defined Satellites (SDS) via our Commercial and Defense Divisions. Our comprehensive portfolio is comprised of a cloud-based platform and modems; high-performance satellite terminals; advanced Satellite On-the-Move (SOTM) antennas and ESAs; highly efficient, high-power Solid State Power Amplifiers (SSPA) and Block Upconverters (BUC) and includes integrated ground systems for commercial and defense markets, field services, network management software, and cybersecurity services.

Gilat’s products and tailored solutions support multiple applications including government and defense, IFC and mobility, broadband access, cellular backhaul, enterprise, aerospace, broadcast, and critical infrastructure clients all while meeting the most stringent service level requirements. For more information, please visit: http://www.gilat.com","Satellite Telecommunications","1,001-5,000 employees","Public Company","petah tikva","Israel","gilat.com","https://www.linkedin.com/company/gilat-satellite-networks"
,"Iridium","In a world where global communications are increasingly essential, only one company connects everyone to the things that matter most, from pole to pole. Iridium Communications Inc. is the only mobile satellite service (MSS) company offering pole-to-pole coverage over the entire globe. The Iridium constellation of low-Earth orbiting (LEO), cross-linked satellites provides critical voice and data services for areas not served by terrestrial communication networks. Iridium's subscriber growth has been driven by increasing demand for reliable, secure, global communications. Iridium serves commercial markets through a worldwide network of hundreds of partners, and provides services to the U.S. Department of Defense, and other U.S. and international government agencies. 

The company's worldwide customer base represent a broad spectrum of industry, including maritime, aeronautical, government/defense, public safety, utilities, oil/gas, mining, forestry, heavy equipment and transportation.

Iridium has been a profitable company since 2004. Business is growing at an impressive rate with the constant acquisition of new customers and partners both domestically and abroad in some of the furthest reaches of the planet. These individuals recognize the value of a system that is global, secure and reliable.

The company is headquartered in McLean, Va. and is traded on the NASDAQ (IRDM).","Satellite Telecommunications","501-1,000 employees","Public Company","McLean, VA","United States",,"https://www.linkedin.com/company/iridium"
,"ALL.SPACE","ALL.SPACE isn’t just revolutionizing communication; we’re shaping the very future of defense operations, with the most advanced tactical multi-link mobility terminals—seamlessly maintaining wideband connectivity across multiple satellites in GEO/MEO/LEO orbits simultaneously for uninterrupted mission-critical operations. 

When faced with harsh and diverse operational conditions, limited connectivity, and the threat of service interference, ALL.SPACE ensures field-proven, reliable, high-speed communication for critical missions, whether on land or at sea. 

Our Hydra Terminal Range is fully integrated and easy-to-deploy, delivering enhanced mission assurance, collaboration and automation. With integrated Software Services, we provide intelligent, on-demand connectivity solutions that ensure seamless, secure, and resilient operations anywhere in the world. 

Stay connected. Stay mission-ready. 

Learn more at www.all.space.","Satellite Telecommunications","51-200 employees","Privately Held","Reading, Berkshire","United Kingdom","all.space","https://www.linkedin.com/company/allspaceltd"
,"Grupo Tesacom","Tesacom is South America’s leading provider of remote telecommunications solutions, serving the government, maritime, oil & gas, agriculture, first responder, mining, transportation and military markets. From its offices in Argentina, Chile, Paraguay, Peru, Panamá and Uruguay, Tesacom offers a wide range of integrated communications solutions. Those include satellite voice and data, text messaging, email and file transfer, network integration, IoT solutions, software services, professional, consulting and field-support services – as well as Spanish, Portuguese and English 7x24 customer and network support. 
For more information visit www.tesacom.net.","Satellite Telecommunications","51-200 employees","Privately Held","Buenos Aires","Argentina","tesacom.net","https://www.linkedin.com/company/grupotesacom"
,"Kymeta Corporation","Kymeta revolutionizes satellite communications through Intelligent Communications Platforms (ICPs). Founded in 2012 and headquartered in Redmond, Washington, Kymeta leverages cutting-edge metamaterial-based science to engineer, manufacture and deliver resilient connectivity and enhanced situational awareness for critical, mobile applications.  Backed by U.S. and international patents our electronically steered flat panel antennas enable seamless communications on-the-move. With software-defined solutions, hybrid multi-network capabilities, and edge processing, we integrate satellite and cellular networks, ensuring continuous connectivity in challenging environments. Kymeta solutions serve government, military, maritime, transport, and public safety clients worldwide, providing uninterrupted connectivity and spatial intelligence anywhere, anytime. With over 150 patents, Kymeta is shaping the future of global communications, dedicated to delivering reliable, efficient, and intelligent connectivity solutions for an increasingly mobile and connected world.","Satellite Telecommunications","201-500 employees","Privately Held","Redmond, WA","United States","kymetacorp.com","https://www.linkedin.com/company/kymeta-corporation"
,"Leaf Space","Maximize connectivity to your satellite with our cost-effective, global ground station network. Our automated scheduling service ensures optimal contact time, tailored to your mission's needs. 
Trusted by over 55 clients in 100+ missions, we offer:

 Unlimited Ground Station Access: Access one or all stations at a fixed price per minute.

 High Compatibility: Support for many COTS radios as we continue working with the customer to onboard new ones.

 Global Network: 20 antennas across 15 strategic locations, constantly evolving with the needs of our customers.

 Easy-to-use API: Our RESTful API is already accessible with well-established commercial Mission Control Software and is easy to integrate.

 Licensing: We absorb the costs of ground-segment licensing and obtain licenses with zero hassle for the customer.

Ready to Simplify Your Satellite Connectivity? Whether you're in the midst of an active mission or the early stages of planning, it's never too early or too late to explore how Leaf Space can streamline your operations.
 
Contact us to learn more about how Leaf Space can help your mission.","Satellite Telecommunications","11-50 employees","Privately Held","Lomazzo, Lombardy","Italy","leaf.space","https://www.linkedin.com/company/leaf-space"
,"Satcom Direct","Gogo is the only multi-orbit, multi-band in-flight connectivity provider offering connectivity technology purpose-built for business and military/government aviation. Its industry-leading product portfolio offers best-in-class solutions for all aircraft types, from small to large and heavy jets and beyond. 

The Gogo offering uniquely incorporates Air-to-Ground systems with high-speed satellite networks, to deliver consistent, global tip-to-tail connectivity through a sophisticated suite of software, hardware, and advanced infrastructure supported by a 24/7/365 in person customer support team. 

Gogo consistently strives to set new standards for reliability, security and innovation and is shaping the future of inflight aviation to make it easier for every customer to stay connected beyond all expectations.","Satellite Telecommunications","201-500 employees","Privately Held","Melbourne, FL","United States","satcomdirect.com","https://www.linkedin.com/company/satcom-direct"
,"TESAT","𝗪𝗲 𝗱𝗲𝗹𝗶𝘃𝗲𝗿 𝗶𝗻𝗻𝗼𝘃𝗮𝘁𝗶𝘃𝗲 𝘀𝗼𝗹𝘂𝘁𝗶𝗼𝗻𝘀 𝗳𝗼𝗿 𝘀𝗮𝘁𝗲𝗹𝗹𝗶𝘁𝗲 𝗰𝗼𝗺𝗺𝘂𝗻𝗶𝗰𝗮𝘁𝗶𝗼𝗻𝘀. 𝗙𝗼𝗿 𝗲𝘃𝗲𝗿𝘆𝗼𝗻𝗲. 𝗙𝗼𝗿 𝗮 𝗯𝗲𝘁𝘁𝗲𝗿 𝘄𝗼𝗿𝗹𝗱.

Data transmission via satellite is indispensable for sustainable development. We supply the key components for satellite communications and are continuously improving them. As the leading manufacturer of secure space-based communications, we are helping to connect the world and make it a better place to live. 

Every day, we are working hard on our contribution to sustainable development: 
We help people to connect (telephony), stay informed (satellite TV, internet), and find their way (navigation).

We enable better earth observation for climate, disaster prevention, security and higher yields in agriculture.

We contribute to scientific progress. We cooperate with universities and serve various scientific projects such as the James Webb telescope.

On our 63,000m² premises in Backnang, Germany, about 1,100 employees develop, assemble, integrate, and test products, systems and solutions for satellite communications. To date, nearly 1,000 space projects have been completed. More than half of all communication satellites in orbit have TESAT equipment on board.

We offer the complete communication technology necessary, for example to emit television signals via satellite antennas to each household. As the first organization in the world, we have been developing and delivering equipment for optical broadband communication in space. More than 85,000 optical links have been successfully performed so far.

From a social point of view, we value different perspectives, backgrounds, experiences, skills and individual qualities. Together, we stand for a culture of open discussion, integrity, focus, entrepreneurial thinking and action, and leadership by example.

Environmental protection and the economical use of resources are part of our daily activities, from product development to production.","Satellite Telecommunications","1,001-5,000 employees","Self Employed","Backnang, Baden-Württemberg","Germany","tesat.de","https://www.linkedin.com/company/tesat"
,"Satlink","Founded in 1992, Satlink is a world leading technology provider that develops solutions focused on ocean knowledge and sustainability, improving the management of ocean resources and working closely with industry, governments and NGOs. Strongly committed to fisheries sustainability and ocean conservation, Satlink's mission is to provide tools that can help fleets and governments worldwide to sustainably manage their activity in the most efficient way. 

Headquartered in Madrid, Satlink has offices in Spain (Marin), Canada, Seychelles, Ecuador, USA, Fiji, Solomon Islands, Korea, and Taiwan while working with local partners in other locations.","Satellite Telecommunications","201-500 employees","Privately Held","Alcobendas, Community of Madrid","Spain","satlink.es","https://www.linkedin.com/company/satlink"
,"Sama X","At Sama X, an authorized Starlink reseller, we are accelerating access to digital prosperity by delivering turnkey satellite internet solutions wherever they’re needed most—no matter how remote, rugged, or infrastructure-challenged.

Headquartered in Dubai, we operate across the Middle East, Africa, and South Asia, connecting businesses, governments, and communities through secure, high-speed, and low-latency internet powered by Starlink’s cutting-edge LEO technology.

Driven by a customer-first mindset and deep local expertise, Sama X empowers key sectors including Oil & Gas, Construction, Telecom, and Public Services. Whether enabling field operations, supporting emergency response, or driving digital transformation, we make connectivity simple, scalable, and reliable.

Rooted in trust, performance, and partnership, our mission is to simplify access to digital connectivity and unlock new possibilities for progress—wherever your business takes you.","Satellite Telecommunications","11-50 employees","Privately Held","Dubai","United Arab Emirates","samax.com","https://www.linkedin.com/company/sama-x"
