"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"First Student","As the leading pupil transportation solutions provider for school districts in North America, First Student provides the best start and finish to every school day. Our teams complete five and a half million student journeys each day, moving more students than all U.S. airlines combined. We operate more than 44,500 vehicles in 41 U.S. states and 8 Canadian provinces/territories. 

What makes First Student the right choice for your school district's needs?

Our partnerships: 
We believe great transportation is always the result of close, trusted partnerships with the school districts we serve. Understanding that needs change sometimes throughout the school year, our goal is to remain responsive to your district's needs. We work closely with school districts to ensure the transportation solutions we provide represent a collective, forward-thinking response to the needs of your district and community.

Our engagement: 
We believe education offers a child – and their family – the foundation needed to lead a productive and successful life. We support education by making sure children have a safe and reliable way to get to and from school each day. Students start and end their school days with us, and we recognize the opportunity we have to impact each student’s day in a positive manner.

Our people: 
Our people are our advantage. With a team of highly-trained drivers and the industry’s strongest safety record, we’re able to leverage the best practices, technologies and processes needed to deliver quality, consistent service.

Visit http://www.firststudentinc.com for more information about how First Student is Caring for students, today, tomorrow, together.","School and Employee Bus Services","10,001+ employees","Privately Held","Cincinnati, Ohio","United States","firststudentinc.com","https://www.linkedin.com/company/first-student"
,"Sertran Transportes","A Sertran nasceu vocacionada para o transporte de pessoas. Desde 1996, quando foi fundada, a companhia acumula experiência e conhecimento no transporte de passageiros. São 28 anos dedicados ao transporte de milhões de pessoas, o que a transformou em uma especialista em transportar vidas.

NOSSA HISTÓRIA 
 

No início de sua fundação, a Sertran possuía uma pequena garagem na rua Coronel Francisco Schmidt, em Sertãozinho/SP, onde operava apenas 12 veículos, com poucos colaboradores, e um sonho a ser concretizado. Em pouco mais de duas décadas, com muito empenho de todos seus colaboradores diretos e controladores, a empresa multiplicou a sua frota em mais de 108 vezes e ampliou a sua capacidade operacional para atender diversos setores produtivos da sociedade. Atualmente, são cerca de 1500 veículos, incluindo ônibus rodoviários, ônibus agrícola, micro-ônibus e vans, todos dedicados ao transporte de pessoas. Possui mais de 3.0000 colaboradores diretos, alocados em diversos estados do país..

NOSSA VISÃO

Crescimento anual em faturamento de forma sustentável, 
gerando valor para o colaborador e acionistas.
 
NOSSA MISSÃO

Transportar vidas com segurança, qualidade e respeito.


NOSSOS VALORES

Servimos nossos clientes com segurança, pontualidade e cordialidade;

Estabelecemos procedimentos internos que priorizem a gestão sustentável;

Respeitamos a vida e o meio ambiente;

Tomamos decisões com base em fatos e dados;

Realizamos continuamente treinamentos para capacitação de nossa gente;

Atendemos às necessidades de nossos clientes, com respeito às normas e requisitos legais;

Nutrimos relacionamentos saudáveis e duradouros com nosso time, cliente e parceiros.","School and Employee Bus Services","1,001-5,000 employees","Privately Held","Ribeirão Preto, São Paulo","Brazil","sertran.com.br","https://www.linkedin.com/company/sertran-transportes"
,"Durham School Services","Durham School Services is a full-service student transportation provider, committed to getting students to school safely, on time and ready to learn. We provide customer focused transportation services including home-to-school, special needs, and field trip transportation, as well as charter trips for districts, organizations and consumers across the United States.

Durham can trace its history back to a three-bus company started in 1917 in the San Gabriel Valley of California, providing student transportation service to the Rosemead School District, a community we still serve today. In its early years, Durham concentrated in special education transportation. This specialization has helped us to nurture a unique commitment to quality service that remains throughout our company today.

At Durham School Services, our number one priority is the safety of the students we transport; we work tirelessly to ensure the peace of mind of those who have entrusted their children to us. Safety, above all, is the cornerstone on which we build everything.

Durham School Services is headquartered in Lisle, Illinois.","School and Employee Bus Services","10,001+ employees","Public Company","Lisle, Illinois","United States","durhamschoolservices.com","https://www.linkedin.com/company/durham-school-services"
,"Beacon Mobility","At Beacon Mobility, we stand as a family of transportation
companies, united by our dedication to serving the distinct
needs of our customers. Harnessing the power of connected
technology to streamline operations and bring communities
together, we deliver tailored mobility solutions that free up
local teams to focus on what matters most.
Beacon employs a team of over 20,000 employees across 30 partner companies, running 14,000 vehicles and serving our Special Ed, Regular Ed, Paratransit, and NEMT customers in 25 states. 

Our dedicated and compassionate team takes pride in their ability to create customized, mobility-based solutions that empower people to get where they need to go.","School and Employee Bus Services","10,001+ employees","Privately Held","Akron, Ohio","United States","gobeacon.com","https://www.linkedin.com/company/beacon-mobility"
,"ZEEZ JOBS  Consultant","ZEEZ JOBS Consultant was founded in 2022 with the aim of supporting youth professionals and other job seekers to equally get access to job opportunities in the East Africa  Such as Somalia, Jabuuti , Ethiopia and Kenya. we advertise a listing of vacancies jobs and posts
 Daily in our website and pages such linklind, Facebook, Instagram etc available jobs in organisations and Business Sectors and governments .we facilitate for Employers to advertise their vacancies and programs in our website and pages wich is Daily accessed and visits thousands of job seeker in different countries and have different professionals .we provide Employers Recruiter's a reliable cost effective platform where they can advertise their vacancies jobs to enable them to recruit the eligible candidate they are seeking .
Thanks for using our service. 
● Our Official Contracts
Email: zeezjobs222@gmail.com
WhathsApp +252 67 2221222.","School and Employee Bus Services","2-10 employees","Public Company","Dudley, Massachusetts","United States","zeezjobs.com","https://www.linkedin.com/company/zeez-jobs-consultant"
,"Ipojucatur Transporte e Turismo","Empresa especializada no segmento do transporte de passageiros a quatro décadas, tendo como os seus principais serviços fretamento continuo, fretamento eventual, eventos, e receptivos. Conta com uma frota própria de aproximadamente 300 veículos entre ônibus, micro ônibus, van e carro executivo.
Conheça as vantagens do fretamento da Ipojucatur: 
 fretamento@ipojucatur.com.br","School and Employee Bus Services","201-500 employees","Privately Held","Osasco, SP","Brazil","ipojucatur.com.br","https://www.linkedin.com/company/ipojucatur-transportes-e-turismo"
,"Diversified Transportation Ltd.","Welcome to Diversified Transportation Ltd.
Motor Coach Services  On-Site Transportation Shuttle Services. 

The Leader in Employee Transportation Across Alberta for over 50 years.  

With a combined fleet of over 1000 units, Diversified is well positioned to provide world class transportation services across Northern Alberta.  Contact us for your transportation needs Fort McMurray 780-743-2244., Edmonton 780-468-6771. You can download our FREE App to track your bus or your staff here --> mybusroute.ca 
 
Our Fort McMurray Oil Sands division services the passenger transportation needs of the Oil Sands industry in northern Alberta, ensuring that employees reach their destinations safely and comfortably.   Operating under the Diversified brand, we transport over 10 million workers to and from work sites every year.  Whether it’s the start of a workday or the end of a shift, Oil Sands employees have come to rely upon a relaxing and safe trip with our Diversified Oil Sands service, which offers comfortable seating and complimentary Wi-Fi.
 
Our Edmonton division continues to support the petrochemical, energy and construction sectors by providing safe and reliable transportation of the Alberta workforce. We work closely with clients and engineer pre-determined pick up and drop off routes and schedules that make sense and ensure that workers will reach your worksite on time and safe. At the end of the workday or shift employees welcome the opportunity to board our motorcoaches, relax and enjoy the ride home while not having to struggle with heavy traffic volumes and adverse weather conditions.

Diversified Transportation is a member of the Pacific Western Transportation family of companies.
For information on our Transportation Services, or for career opportunities in Alberta, Visit http://www.dtl.ca/careers

Fort McMurray
920 Memorial Drive. 

Edmonton  
8351 McIntyre Road","School and Employee Bus Services","501-1,000 employees","Privately Held","Fort McMurray, Alberta","Canada","dtl.ca","https://www.linkedin.com/company/diversified-transportation-ltd"
,"sans emploi",".","School and Employee Bus Services","Self-employed","Privately Held",,,,"https://www.linkedin.com/company/sans-emploi"
,"Stock Transportation","Stock Transportation Ltd. was founded by brothers Jeff and Jerry Stock in Bailieboro, Ontario, in 1958 and their sons continued to build upon the original foundation. This family-owned and operated company has provided transportation services to students and charter passengers throughout Canada and the United States for over half a century. 

Today, Stock operates more than 3,400 school buses and serves school districts throughout Ontario and Alberta. Our corporate offices, located in Markham ON, house the administrative and support functions for the company, and our local customer service centers (CSCs) are supported by regional operations teams located throughout the country. As a national company, we have a wealth of resources available to our customers, while maintaining an unmatched level of support at the local level.

Stock Transportation has a strong record of success and decades of experience in pupil transportation, and we are confident we can provide exceptional service to your district. We will remain continually focused on delivering our service promise:

Getting students to school safely, on time and ready to learn.","School and Employee Bus Services","1,001-5,000 employees","Public Company","Markham, Ontario","Canada","jobsatstock.ca","https://www.linkedin.com/company/stock-transportation"
,"Grupo Braslectra","O Grupo Braslectra, foi fundado em 1997, formado por empresas especializadas no setor de transporte executivo de passageiros com carros, vans, micro-ônibus e ônibus, oferecendo um atendimento personalizado e de alta qualidade, visando sempre a segurança dos nossos clientes.

Hoje somos constituídos por 04 empresas: Diretriz Locações e Transportes, Braslectra Locações e Transportes, Eco Polo Brasil Transportes e B.A.J Transportes.

Celebrando 26 anos da nossa história em 2023, atualmente o Grupo Braslectra atua em todo o Brasil, predominantemente pela região Sudeste, utilizando veículos executivos, vans, micro-ônibus e ônibus, nas diferentes áreas de atuação: executivo (onshore e offshore), fretamento, turismo, e rodoviário.

Seguimos sempre, em busca da melhoria contínua corporativa e organizacional, buscando entregar um melhor serviço aos nossos clientes, transportando nossos passageiros com maior conforto, segurança e pontualidade.","School and Employee Bus Services","201-500 employees","Privately Held","Macaé, Rio de Janeiro","Brazil","braslectra.com.br","https://www.linkedin.com/company/grupobraslectra"
,"PiggyRide","Safest ride for kids.","School and Employee Bus Services","11-50 employees","Privately Held","Bangalore, Karnataka","India","piggyride.com","https://www.linkedin.com/company/piggy-ride"
,"Jetking",,"School and Employee Bus Services","51-200 employees","Educational",,,"jetkingahm.com","https://www.linkedin.com/company/jetkingahm"
,"Azul Mob","A Azul Locadora de Veículos e Transportes, iniciou suas atividades no ano de 2002, com a proposta de ofecerer serviços de qualidade e segurança e com preços competitivos.

 Missão.

Ser Lembrada por seus Clientes como fornecedora de serviços de transportes.

Oferecer serviços de Locação de Veículos e Transporte com qualidade e segurança.

 	
Visão.

Ser uma referência entre empresas de Transportes e Locação de Veículos.

Buscar sempre a melhoria de seus serviços e a qualidade no transporte dos seus passageiros.

Ser uma empresa inovadora.","School and Employee Bus Services","51-200 employees","Privately Held","São Paulo, SP","Brazil",,"https://www.linkedin.com/company/azulmob"
,"Iridan3T","Avec une flotte de 250 véhicules et une implantation dans 25 villes au Maroc, notre entreprise s’impose comme un acteur majeur du transport.

Le confort, la sécurité et la ponctualité sont les piliers qui ont permis à Iridan 3T de gagner la confiance de ses partenaires et de se distinguer dans ce secteur.","School and Employee Bus Services","201-500 employees","Privately Held","Casablanca, Kenitra, Meknès","Morocco","iridan3t.ma","https://www.linkedin.com/company/iridan3t"
,"SOUTHLAND Transportation","SOUTHLAND Transportation is committed to safety and service in the people transportation business. SOUTHLAND operates school, charter, commuter, and specialized transportation buses throughout Alberta and in Saskatchewan.

SOUTHLAND’s reputation for leadership and quality comes from the integrity and dedication of talented staff. It was the first school bus company in Canada to have its training program nationally recognized and certified by the Motor Carrier Passenger Council of Canada and is a proud member of the Student Transportation Association of Saskatchewan, Alberta Student Transportation Advisory Council, Alberta School Bus Contractors Association, and Partners in Compliance.","School and Employee Bus Services","1,001-5,000 employees","Privately Held","Calgary, Alberta","Canada","southland.ca","https://www.linkedin.com/company/southland-transportation-ltd"
,"Arab Unity School - UAE","Founded in 1974, Arab Unity School is founded and managed by the Taher Family. Quality education for everyone is what we strive towards every day here in Arab Unity School, Dubai. If you desire quality, affordable education in a trusted British Curriculum environment, Arab Unity is the place for you.","School and Employee Bus Services","501-1,000 employees","Educational","Dubai, United Arab Emirates","United Arab Emirates","arabunityschool.ae","https://www.linkedin.com/company/arab-unity-school-uae"
,"Summit School Services LLC",,"School and Employee Bus Services","10,001+ employees","Public Company",,,,"https://www.linkedin.com/company/summit-school-services-llc"
