"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Captain Fresh","Captain Fresh is a technology-driven global packaged seafood company.

As a multi-geography, multi-species player, we orchestrate transactions among various stakeholders in the seafood ecosystem. Our products are sold under our house of brands, including CenSea, Koral, Senecrus, ChopServe and Ocean Garden. Our B2B customer base primarily includes distributors (including food service providers) and retailers. During FY 2025, we served 1,291 customers across 34 countries, including the U.S., several countries in Europe, the U.A.E., and India, transacting in more than 90 species of seafood, with our sourcing network spanning 659 suppliers across 35 countries.

Being a digital supply chain orchestrator, the Captain Fresh Digital Operation System (CF DOS) is our proprietary technology purpose-built for the seafood ecosystem, consolidating fragmented supply networks and driving product traceability across the value chain.

Our vision, “More Protein for More People, Sustainably” reflects our aspiration to transform the seafood industry by delivering high-quality, traceable and reliable seafood to our customers. At its core, the group’s strengths lie in a network-driven stakeholder approach, advanced technology architecture, a capital-efficient and asset-light model, and an experienced team backed by prominent investors.","Seafood Product Manufacturing","201-500 employees","Privately Held","Bengaluru, Karnataka","India","captainfresh.in","https://www.linkedin.com/company/captainfresh"
,"Ocean Beauty Seafoods","Ocean Beauty Seafoods began in 1910 as a small Seattle seafood shop known as the Washington Fish & Oyster Company. Over a century later, we have grown to become one of the largest and most successful seafood companies in North America, with seven distribution locations across the Western United States, and two smoking and processing plants in Washington state.","Seafood Product Manufacturing","1,001-5,000 employees","Privately Held","Seattle, Washington","United States","oceanbeauty.com","https://www.linkedin.com/company/ocean-beauty-seafoods"
,"UNIMA","Unima élève les premières gambas Label Rouge au monde. Et ce n’est pas un hasard. Les hommes et les femmes d’Unima sont des adeptes de la méthode douce. Dans les eaux pures de la mangrove de Madagascar, qui constituent le cadre d’un écosystème parfait, ils ont recréé des conditions idéales. Les crevettes sont élevées dans d’immenses bassins aux fonds naturels de terre, dans lesquels la très faible densité par mètre carré, le contrôle systématique de l’ensemble du cycle d’évolution et une surgélation ultra-rapide sont les garanties de la plus haute qualité. A travers ce label, c’est toute l’exigence des pêcheurs et des éleveurs du Groupe qui est reconnue. L’exigence de la qualité irréprochable. L’exigence de la fraîcheur absolue. L’exigence de la saveur la plus raffinée.
En un mot, l’exigence de l’excellence.","Seafood Product Manufacturing","501-1,000 employees","Partnership","Mahajanga, Malagasy","Madagascar","unima.com","https://www.linkedin.com/company/unima-aqualma-sa"
,"Mowi USA","Mowi CP Americas is a seafood consumer package goods division. As a subsidiary of Norwegian salmon producer Mowi, we follow the excellence, standards and process cascaded to all our Global operations in different countries. With 3 processing facilities in the US, we serve our customers with farm raised Atlantic salmon and other fin fish variety.

Visit our website to learn more about us!","Seafood Product Manufacturing","201-500 employees","Public Company","Medley, Florida","United States","mowisalmon.us","https://www.linkedin.com/company/mowi-usa"
,"First Seafood As","First Seafood is a dynamically growing company with strong and dedicated team. We specialize in production of custom-made seafood products, ensuring highest quality, best service, and logistics to meet our customers' needs. We supply  fresh and frozen seafood from Norway to all over the world. 

We are an effective company with unique experience and understanding of the market.

First Seafood became a part of Insula Group in 2016. Since then, thought our network of internal companies and close partnership with our suppliers we are able to offer a wide assortment of the products at one place. 

We love our job and we love seafood! 

Learn more about our company on our website:
http://www.firstseafood.no","Seafood Product Manufacturing","51-200 employees","Privately Held","Nordnes, Vestland","Norway","firstseafood.no","https://www.linkedin.com/company/first-seafood-as"
,"FISHCORP S.A.","Somos una empresa dedicada a la producción de pescado y camarón en diferentes presentaciones distribuidos en mas de 50 países alrededor del mundo precautelando la aplicación de buenas prácticas de manufactura que permita garantizar calidad y seguridad alimentaria asumiendo la responsabilidad social con sus colaboradores, comunidad y medio ambiente.

Contamos con varias certificaciones de calidad como: BRCGS, IFS.
Además, estamos certificados como una empresa socialmente responsable, obteniendo la calificación A emitida por AMFORI BSCI.","Seafood Product Manufacturing","501-1,000 employees","Privately Held","Jaramijó, Manabí","Ecuador","fishcorpsa.com.ec","https://www.linkedin.com/company/fishcorp-s-a"
,"Landes Seafood","Somos gente de mar. Hemos navegado entre temporales por más de 60 años en busca de proteínas marinas de la más alta calidad, para alimentar al mundo desde el fin del mundo.","Seafood Product Manufacturing","501-1,000 employees","Privately Held","Santiago","Chile","landes.cl","https://www.linkedin.com/company/landes-seafood"
,"Choice Canning Co.","Choice Canning Co. is the flagship venture of The Choice Group. Established in 1952 by the late Mr. O. C Thomas, Choice Canning Co. has emerged as an industry leader on a global stage.

We are the first company in India to establish a vertically integrated supply chain and state-of-the-art processing plant for ready-to-eat shrimp in retail bags. Our retail brand - Tastee Choice Food Products, was rated No.1 in the un-breaded shrimp category by A.C Neilsen.

Choice Canning Co. was also the first to introduce a fully air-conditioned and automated IQF system in India and the first seafood unit to get the prestigious ISO 9002 certification. 

Our processing plants are amfori BSCI, BAP and BRC certified. These certifications prove our commitment to International Standards of Quality. From ‘Farm to Fork’, we control the process so you get nothing short of perfection in every package.","Seafood Product Manufacturing","1,001-5,000 employees","Privately Held","New Jersey","United States","tasteechoice.com","https://www.linkedin.com/company/choice-canning-co"
,"East Fish Processing LLC","At East Fish Processing LLC, we follow a futuristic approach in procuring sea species that are sustainable in its every aspect. We possess an international reputation of being the top exporters of freshest and healthy marine food who have a strong focus on the endangered environment of these species. As the first step to ensure the safety of seafood, we source it from proven and trustworthy sources. Precautions are taken to block the contamination of items processing at high-risk processing areas that conform to the standard quality and safety guidelines prescribed by international bodies. East Fish Processing LLC boasts of having fully equipped in-house laboratories to perform organoleptic bacteriological and chemical analyses that clearly avoid product contamination at every stage of seafood processing. Feeding millions of fish lovers around the globe, we are reaching out to new market places that not only span the UAE and the larger GCC region but also the entire Middle East, Far East Countries, USA, and Europe.

 

The plants confirm to high standards of quality that are ensured and monitored through the highly effective FSSC, ISO 22000 2005, HACCP, EU and USFDA Quality System. The company having a freezing capacity of 50 MT daily including Blast, and IQF Spiral freezers – and 10,000 MT of storage facility.

The companies rely on a fleet of refrigerated & chiller vehicles to deliver fresh, chilled and frozen and processed seafood products right to the doorsteps.","Seafood Product Manufacturing","201-500 employees","Privately Held","Ajman, Ajman","United Arab Emirates","eastfish.com","https://www.linkedin.com/company/eastfishprocessingllc"
,"Haven Foods LLC","The Haven Foods team is proud to bring the best seafood and specialty food products from around the world to American consumers. We’re proud of our products’ exceptional flavor, trusted sourcing, and innovative solutions. Food brings people together, and that’s why we collaborate with farmers and fishermen across the globe to source and craft products that are ethical, sustainable, fully traceable, and undeniably delicious. At Haven Foods, we don’t just source seafood; we create endless possibilities for our customers, delivering experiences that spark joy, facilitate connection, and put a smile on every face.

Haven Foods is Your Seafood Sanctuary.","Seafood Product Manufacturing","11-50 employees","Privately Held","Charleston , South Carolina","United States","havenfoods.com","https://www.linkedin.com/company/havenfoods"
