"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"EPEX SPOT","The European Power Exchange EPEX SPOT operates physical electricity markets for the largest trading community in Europe, with over 450 companies connected to our platforms. Committed to innovation, we deliver a full range of services across the value chain of electricity trading, with the highest standards of performance. Our gateway of market solutions include Day-Ahead, Intraday and After-market power trading, Capacity and Guarantees of Origin (GOs) auctions, Local Flexibility and Data services. 

Building on its unique expertise as a co-creator of the Internal Energy Market for electricity, EPEX SPOT’s services span over 22 countries: From power trading across Central Western Europe, the United Kingdom, Switzerland, the Nordics, Baltics and Poland to Market Operation services in Ireland, Hungary, Montenegro, North Macedonia, Serbia and Slovenia. In the environmental market, EPEX SPOT’s Pan-European GOs auctions cover a scope of 22 countries.

As part of EEX Group, a group of companies serving international commodity markets, EPEX SPOT enables a price-responsive power system, to achieve a competitive and climate neutral Europe. 49% of its equity is held by a holding of major European Transmission System Operators. 

For more information, please visit www.epexspot.com.","Securities and Commodity Exchanges","201-500 employees","Privately Held","Paris","France","epexspot.com","https://www.linkedin.com/company/epex-spot"
,"AUVP","A primeira plataforma de investimentos focada em quem compra e segura ativos.","Securities and Commodity Exchanges","201-500 employees","Privately Held",,,"auvpcapital.com.br","https://www.linkedin.com/company/auvpcapital"
,"Slex.io","SLEX is a Global Cryptocurrency & Commodity Trading platform focused on the development and promotion of digital and blockchain-based asset trading. SLEX Exchange is a service access point that will be a link with products ecosystem, also providing various ways for users to earn. SLEX Token is a driver of extra abilities for any holder.","Securities and Commodity Exchanges","51-200 employees","Self Employed",,,"slex.io","https://www.linkedin.com/company/slex-io"
,"PT Maybank Sekuritas Indonesia",,"Securities and Commodity Exchanges","51-200 employees","Public Company",,,"maybank-ke.co.id","https://www.linkedin.com/company/pt-maybank-sekuritas-indonesia"
,"Gulf Mercantile Exchange (GME)","Gulf Mercantile Exchange (GME) is a leading energy and commodities exchange in the Middle East. Headquartered in Dubai and regulated by the Dubai Financial Service Authority is the home of the largest physically delivered Crude Oil futures contract in the world. 

Previously known as Dubai Mercantile Exchange (DME), a leading energy-focused commodities exchange, rebranded to GME, after an investment from the Saudi Tadawul Group in 2024, to push its focus on creating cross asset Commodity markets for the Kingdom of Saudi Arabia and the rest of the GCC.  

GME has equal investment from CME Group with the flagship GME Oman Crude Oil Contract listed on CME Globex and cleared at CME Clearing House.

The exchange was founded to create futures pricing for Middle East National Oil Company with Oman (Shareholder) and Dubai utilizing the GME Oman daily marker price for all its crude exports to Asia along with Saudi Arabia, Kuwait and Bahrain utilizing the prices as part of their export pricing methodology.","Securities and Commodity Exchanges","11-50 employees","Privately Held","Dubai","United Arab Emirates","gulfmerc.com","https://www.linkedin.com/company/gulf-mercantile-exchange"
,"India International Bullion Exchange IFSC Ltd (IIBX)","India International Bullion Exchange (IIBX) is India's first International Bullion Exchange at International Financial Services Centre (IFSC), GIFT City, Gandhinagar.  It will facilitate Transparent Price Discovery, Responsible sourcing and supply chain integrity,  Quality Assurance and Standardization.","Securities and Commodity Exchanges","11-50 employees","Public Company","Gandhinagar, Gujarat","India","iibx.co.in","https://www.linkedin.com/company/iibxifsc"
,"Entomo AgroIndustrial","El modelo se basa en la aplicación industrial de Hermetia illucens (mosca soldado negra) como conversor de materia orgánica. Esta especie ha sido seleccionada por su alta capacidad de conversión, por ser un conversor eficiente de gran variedad de residuos de diferente índole, por permitir su producción industrial a densidades muy elevadas, y por no considerarse una plaga o un insecto que pueda tener un impacto negativo en el medio ambiente.

Dada la gran variedad de materias primas que se pueden utilizar como sustrato de crecimiento de la mosca soldado negra y teniendo en cuenta las particularidades legislativas, hemos establecido dos áreas: valorización y reducción.

The model is based on the industrial application of Hermetia illucens (black soldier fly) as a converter of organic matter. This species has been selected for its high conversion capacity, for being an efficient converter of a great variety of waste of different nature, for allowing its industrial production at very high densities, and for not being considered a pest or an insect that could have an impact negative in the environment.

There is a great variety of raw materials that can be used as growth substrate for the black soldier fly, taking into account the legislative particularities, we have established two areas: valorization and reduction.","Securities and Commodity Exchanges","2-10 employees","Self Owned","Cehegín, Región de Murcia","Spain","entomoagroindustrial.com","https://www.linkedin.com/company/entomoagroindustrial"
,"HUPX Hungarian Power Exchange Ltd.","Hungarian Power Exchanges takes an appreciated, leading place in the Central-Eastern-European region. As the operator of the innovative organized Hungarian electricity market it advances and accelerates the cash flow of electricity market, and escalates the volume, liquidity and efficiency of the energy market by its regulation, fair trading frames, publicity, traceable rates and the revival of investors’ trust. The transparent, standardized market mechanism and the liberalized market operation serve the safety of domestic power supply, the cost efficiency of trading and the upswing of developments, investments in the power industry.

The organized electricity market operated by HUPX Ltd. contributes to the efficiency of the entire domestic economic production and the moderation of the increasing consumer electricity prices.","Securities and Commodity Exchanges","11-50 employees","Public Company","Budapest","Hungary","hupx.hu","https://www.linkedin.com/company/hupx"
,"C2E Market","Pourquoi adhérer à C2E Market ?
C2E Market c’est  :
+  d’information sur les prix, sur tous les compartiments de marché, pour mieux acheter ou vendre des CEE, 
+  de liquidité, pour mieux gérer les risques de prix et de livraison.  
En toute sécurité.","Securities and Commodity Exchanges","2-10 employees","Privately Held","Paris, Île-de-France","France","c2emarket.com","https://www.linkedin.com/company/c2e-market"
,"Green Muscat - Plastic Recycling Company LLC","Green Muscat is a forward-thinking enterprise focused on the research, development, production, and supply of high-quality polymeric materials and fiberglass mesh. We specialize in polymer compounding, offering solutions in HDPE, LDPE, LLDPE, PP, PVC, PET, and recycled polymers, as well as the production and supply of fiberglass mesh. Our wide-ranging expertise ensures that we meet the needs of businesses of all sizes across Europe, the Middle East, and Asia.

Driven by our commitment to sustainability and innovation, we provide custom solutions that optimize product performance and streamline supply chains. With over 15 years of industry expertise, we maintain the highest international standards for all our products, including virgin and recycled materials. Our fiberglass mesh products serve industries requiring strong, lightweight, and durable materials for construction and industrial applications.

At Green Muscat, we make it easy for our clients to access tailored end-to-end solutions, ensuring seamless product integration from raw materials to finished products. Whether you need specialized polymer compounds, recycled PET, or fiberglass mesh, Green Muscat is your trusted partner for high-quality materials and sustainable solutions.

Let’s shape a greener, more efficient future together.

Connect with us to explore how we can help support your business growth and sustainability goals.","Securities and Commodity Exchanges","11-50 employees","Privately Held","Muscat, Al Qurum","Oman","greenmuscat.com","https://www.linkedin.com/company/green-muscat"
