"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Wafer Space - An ACL Digital Company","Wafer Space was founded with the ideals of providing true value in Product Engineering Services to all our clients.  Wafer Space is focused in the domains of Semiconductor and Automotive.  Our world class engineering team with its intensive knowledge in Chip Design, Automotive embedded software and Embedded product design combined with our ability to execute complex turnkey projects with a steadfast focus on quality is what differentiates us.  
Wafer Space has one of the industry’s most rigorous selection criteria for engineers which results in a world class engineering team.  We strongly believe in continuous learning and growth for all employees.  Our organizational culture nurtures creativity and innovation amongst our team players as work no longer is a chore, it’s what we have fun doing! 
Wafer Space has design centers in Bangalore and Pune India and San Jose, CA, USA.  With our proactive client and employee model, Wafer Space is well positioned to deliver quality and timely services to our clientele in Semiconductor and Automotive. 

Wafer Space Expertise 

•    Semiconductor 
       •	RTL Design and Verification 
       •	Physical Design and DFT 
       •	Turnkey SOC Execution from RTL to GDSII
       •	Custom Verification IP Development
       •	Analog Design, Layout and Verification

•	Automotive
       •	Product Areas
               •	ADAS
               •	Infotainment
               •	Connectivity
               •	Body Electronics
               •	Safety and Access
               •	BMS

       •	Services
               •	Requirements Engineering
               •	Software Development
               •	Verification and Validation
               •	Rapid Prototyping","Semiconductors","201-500 employees","Privately Held","Bangalore,, Karnataka","India","waferspace.com","https://www.linkedin.com/company/wafer-space"
,"Ignitarium","Ignitarium is a Silicon and Embedded System design house, formed with the vision to provide innovative, optimal and relevant solutions for enabling and assisting their customers in product development. Ignitarium is built around a core team of technologists, who share a collective industry experience of over 150 years with expertise in system architecture, logic design and verification, signal processing, FPGA design, embedded system design and associated software development.","Semiconductors","501-1,000 employees","Privately Held","Bangalore, Karnataka","India","ignitarium.com","https://www.linkedin.com/company/ignitarium"
,"Synapse Design Inc.","Since its founding in 2003, Synapse Designs' specialized design and engineering services have made us the preferred partner to numerous top-tier semiconductor and systems companies around the world. We specialize in assisting our clients in developing cutting edge technologies for their next-generation flagship product lines. As digital, analog and firmware engineering experts, together with our customers, we create the most complex ASICs and SoC's in the industry. With headquarters in San Jose and operations in over a dozen other global sites, our wide range of locations provides more access, better affordability and a broader field of engineering talent to our dispersed clientele.","Semiconductors","501-1,000 employees","Privately Held","Santa Clara, CA","United States","synapse-da.com","https://www.linkedin.com/company/synapse-design-automation-inc"
,"M+W Group","M+W Group with its origin in Germany and a history of more than 100 years has reorganised its activities in 2018, thereby creating two, distinct companies ‘Exyte’ and ‘M+W’:
Exyte comprises all core business activities, which include Advanced Technology Facilities (ATF), Biopharma & Life Sciences, Data Centers (DTC) and Regional Specific Business (RSB) in defined target countries.
M+W comprises all other business activities, which are mainly related to energy projects.
The re-grouping does not have any influence on the execution of ongoing projects or on customer engagements, respectively. M+W Group, which holds 100% of Exyte and 100% of M+W, is owned by the Stumpf Group.","Semiconductors","5,001-10,000 employees","Privately Held","Stuttgart, Baden-Württemberg","Germany","mwgroup.net","https://www.linkedin.com/company/mwgroup"
,"United Microelectronics Corporation (UMC)","United Microelectronics Corporation (NYSE: UMC, TWSE: 2303) is a leading global semiconductor foundry with over four decades of innovation powering everyday technologies that shape the modern world. From AI, automotive, connectivity, consumer electronics, to IoT, UMC delivers precise, high-quality integrated circuit (IC) manufacturing services to customers across every major sector of the electronics industry.

As one of the world’s most established pure-play foundries, UMC offers advanced logic and specialty technologies, including embedded high-voltage, embedded non-volatile Memory, RFSOI, and BCD combined with deep expertise and collaborative engineering partnerships.

Headquartered in Hsinchu, Taiwan, UMC operates a global footprint that includes manufacturing and R&D in Taiwan and Singapore, as well as fabs across China and Japan. With more than 20,000 employees worldwide, we are committed to delivering both global impact and regional excellence.

At UMC, innovation is powered by people. We enable stable, meaningful careers through best-in-class training, access to advanced technology, and a culture that values precision, progress, and teamwork. Our people-first approach ensures that every employee has the tools and support to thrive while contributing to solutions that move industries and lives forward as we precision-engineer the future.","Semiconductors","10,001+ employees","Public Company","Hsinchu","Taiwan","umc.com","https://www.linkedin.com/company/united-microelectronics-corporation-umc-"
,"Allegro MicroSystems","At Allegro MicroSystems, we’re passionate about developing intelligent solutions that move the world toward a safer and more sustainable future – while giving our customers a competitive edge. 
With more than 50 years of experience developing advanced semiconductor technology and application-specific algorithms, Allegro is a global leader in power and sensing solutions for motion control and energy-efficient systems. Through our innovations, we are helping our customers make breakthrough advancements in areas like advanced mobility, green energy, and factory automation. Each year, we ship over one billion units into these applications to support our 10,000+ customers around the globe, including over 50 automotive OEMs.
Our diverse team of 3,500+ employees is spread across 13 countries, powering our global engineering, manufacturing, and support and enabling our innovations. That’s why we work hard to create a collaborative, energetic environment that rewards ingenuity and helps our employees make a difference every day.
Head over to www.allegromicro.com for more information.","Semiconductors","1,001-5,000 employees","Public Company","Manchester, NH","United States","allegromicro.com","https://www.linkedin.com/company/allegro-microsystems"
,"Tech Mahindra Cerium Pvt Ltd","Cerium Systems is one of the fastest-growing design services company with a sharp focus on VLSI Design and Embedded Software. We deliver end-to-end customised turnkey solutions of the highest quality with the shortest development cycle to the global semiconductor industry. Our deep expertise in ASIC design and Verification has earned us the reputation of being the partner of choice for the leading players in the industry. 

Born in 2013, Cerium Systems’ team strength is over 2000 people. Our people are our strongest asset and we are passionate about making a measurable impact in all we do. 

Visit www.cerium-systems.com to learn more.","Semiconductors","1,001-5,000 employees","Privately Held","Bengaluru, Karnataka","India","cerium-systems.com","https://www.linkedin.com/company/cerium-systems"
,"X-FAB","As the world's leading foundry group for analog/mixed-signal semiconductor applications, X-FAB creates a clear alternative to typical foundry services by combining solid, specialized expertise in advanced analog and mixed-signal process technologies with excellent service, a high level of responsiveness and first-class technical support. X-FAB manufactures wafers for automotive, industrial, consumer, medical, and other applications on modular CMOS and BiCMOS processes in geometries ranging from 1.0 to 0.13 µm, and special BCD, SOI and MEMS long-lifetime processes.

With its six manufacturing sites in Germany, France, Malaysia and the USA, X-FAB has a combined capacity of ~100,000 eight inch equivalent wafer starts per month and employs about 4,500 employees worldwide.

Imprint / Impressum

X-FAB Silicon Foundries SE
Transportstraat 1
B-3980 Tessenderlo-Ham, Belgium

Phone: +32 1361 3627
Email: info(at)xfab.com
Data Privacy: https://www.xfab.com/privacy-statement/

VAT Identification Number: BTW BE 0882.390.885","Semiconductors","1,001-5,000 employees","Public Company","Erfurt, Thuringia","Germany","xfab.com","https://www.linkedin.com/company/x-fab"
,"MACOM","MACOM designs and manufactures RF, microwave, millimeter wave solutions and optoelectronics for Data Center, Telecommunication, Industrial and Aerospace and Defense applications. Headquartered in Lowell, Massachusetts, MACOM has offices throughout North America, Europe and Asia. MACOM is certified to the ISO9001 international quality standard and ISO14001 environmental management standard.

MACOM has more than 75 years of application expertise with multiple design centers, GaN, Si, GaAs and InP fabrication, manufacturing, assembly and test, and operational facilities worldwide. In addition, MACOM offers foundry services that represents a key core competency within our business.

MACOM sells and distributes products globally via a sales channel comprised of a direct field sales force, authorized sales representatives and leading industry distributors. Our sales team is trained across all of our products to give our customers insights into our entire portfolio.","Semiconductors","1,001-5,000 employees","Public Company","Lowell, MA","United States","macom.com","https://www.linkedin.com/company/m-a-com-technology-solutions"
,"Systems on Silicon Manufacturing Company Pte Ltd (SSMC)","SSMC is a Joint Venture of NXP B.V. (NXP) and Taiwan Semiconductor Manufacturing Company Ltd (TSMC). 
We are reputed to offer flexible and cost effective semiconductor fabrication solutions with its fully equipped SMIF cleanroom environment, 100% equipment automation and proven wafer-manufacturing processes transferred from our motherfabs.","Semiconductors","1,001-5,000 employees","Privately Held","Singapore","Singapore","ssmc.com","https://www.linkedin.com/company/systems-on-silicon-manufacturing-co-pte-ltd"
