"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Goodfellows India","At Goodfellows, our hope is to serve as a constant reminder of the joys that true companionship can bring and do our best to make our elderlies, whom we fondly call 'Grandpals', feel listened to, cared for, cherished and above all, have fun along the way. 

Visit the Register push button to find the Internship Recruitment form.","Services for the Elderly and Disabled","2-10 employees","Privately Held","Mumbai, Maharashtra","India","thegoodfellows.in","https://www.linkedin.com/company/goodfellows-india"
,"Ignite Healthcare","Mobile National Allied Health Provider servicing NDIS, Home Care Package and private paying participants across Victoria, Queensland and via telehealth.

Physiotherapy | Occupational Therapy | Speech Pathology | Positive Behavioural Support


Ignite Healthcare was founded in 2018 with two Davids, a car boot crammed with physio gear, and one big dream: care should be personal, not one-size-fits-all. It was never about ticking boxes - it was about showing up, connecting, and actually making a difference.

Fast forward, and what started as a dream has grown into something incredible. Now, we’re an interdisciplinary community working across Melbourne and Brisbane, all driven by the same goal: care that’s as meaningful as it is impactful. Because at Ignite, it’s always been about people first - and that’s never changing.


 Looking for supports? 
 Head to www.ignitehealthcare.com.au

Ready to start your career with us?
 0450 306 496
 careers@ignitehealthcare.com.au","Services for the Elderly and Disabled","51-200 employees","Privately Held","Mount Waverley, Victoria","Australia","ignitehealthcare.com.au","https://www.linkedin.com/company/ignitehealthcare"
,"EPPUR"," Freiner en fauteuil roulant aujourd'hui revient à utiliser ses mains comme des plaquettes de freins : brûlures, efforts importants à faire dans les bras et problèmes d'accessibilité. Avec Dreeft, 1ᵉʳ système de freinage pour fauteuil roulant, c'est terminé !

Dreeft est une paire de roues adaptable à n’importe quel fauteuil roulant manuel. Une simple action vers l'arrière de la main courante entraîne un freinage progressif au centre de la roue.
 100 % des brûlures sur les mains supprimées
 5x moins d'efforts pour un freinage identique
 Entièrement fabriqué en France

Dreeft redonne ainsi de l'autonomie, du confort et de la sécurité aux utilisateur.ice.s de fauteuils roulants manuels.

Dreeft est aussi parfaitement compatible avec les 5ᵉ roues de propulsion électrique (Smoov, Smartdrive, Yomper) pour garantir un soulagement lors de la propulsion, sans compromis sur la sécurité !

 Vu sur M6 - QVEMA Saison 4","Services for the Elderly and Disabled","2-10 employees","Privately Held","Lille, Hauts-de-France","France","eppur.eu","https://www.linkedin.com/company/dreeftbyeppur"
,"Aide à domicile La Branche","Bienvenue sur la page officielle de la Branche de l’Aide, de l’Accompagnement, des Soins et des Services à Domicile, plus souvent désignée sous l'appellation de ""Branche de l'Aide à Domicile"" ou ""BAD"".
Elle regroupe les acteurs associatifs du secteur non lucratif qui œuvrent chaque jour au service des personnes en situation de fragilité, de la naissance à la fin de vie, à leur domicile : personnes âgées, en perte d'autonomie, en situation de handicap, familles et petite enfance.
Retrouvez ici nos actualités, nos métiers, et les actions portées par les partenaires sociaux de la Branche.","Services for the Elderly and Disabled","10,001+ employees","Non Profit","Paris","France","aideadomicile-labranche.fr","https://www.linkedin.com/company/aide-à-domicile-la-branche"
,"Torch it","At Torchit, we believe that disability should never limit dignity. Since 2017, we have been developing affordable and innovative assistive technologies to empower persons with disabilities (PwDs) — not just through tools, but through opportunity.

Starting with a single product, today we offer over 700 smart solutions across mobility, education, communication, and inclusive play. Our AI-powered assistive devices are designed to enhance independence, restore confidence, and improve everyday life.

But we go beyond technology. Torchit is building an ecosystem of financial independence by creating employment opportunities for PwDs, enabling them to support their families and live with pride.

We are humbled to have impacted over 1 million lives — and these aren’t just individuals, but 1 million families we’ve been able to uplift.

Let’s build an inclusive future, together.","Services for the Elderly and Disabled","11-50 employees","Privately Held","Ahmedabad, Gujarat","India","mytorchit.com","https://www.linkedin.com/company/torchit"
,"Tender Loving Care Disability Services","Tender Loving Care Disability Services has over 100 years of combined experience in the disability sector providing excellent outcomes for people with an intellectual, physical or cognitive disability and those participants that suffer from mental health conditions.  Our mission is to care and provide support to NDIS participants to improve their health and wellbeing.  We also assist participants that want to be more connected with the local community and participate in a range of learning opportunities.  Tender Loving Care Disability Services will provide you with guidance, planning and support - enabling participants to understand how the NDIA Plan funding can be used.  Our offices in Sydney, Brisbane and Melbourne will support you to have choice and control.","Services for the Elderly and Disabled","501-1,000 employees","Privately Held","Bankstown, New South Wales","Australia","tenderlovingcaredisability.com.au","https://www.linkedin.com/company/tender-loving-care-disabilty"
,"Reable Nederland","Reable Nederland is opgericht vanuit een heldere bedoeling: mensen zijn meester van hun leven. Dit geldt voor ouderen die hulp nodig hebben én voor hulpverleners die hen ondersteunen. We geloven dat goede hulpverlening begint met luisteren naar wat mensen zelf willen. Daarom werken we aan een manier van hulpverlenen waarbij we niet overnemen wat mensen zelf kunnen, maar hen helpen hun eigen leven te leiden.

Deze verandering gaat verder dan alleen het contact tussen hulpvrager en hulpverlener. Het vraagt om een beweging van een complete organisatie. Van de werkvloer tot de bestuurskamer, van ondersteunende diensten tot beleid. Iedereen die bijdraagt aan de ouderenzorg speelt een rol in deze verandering. Want alleen als de hele ouderenzorg werkt vanuit dezelfde bedoeling, kunnen we mensen echt helpen meester te blijven van hun leven.

Als vereniging brengen we organisaties bij elkaar die deze visie delen. Samen leren we het gesprek met ouderen te voeren zonder de antwoorden voor ze in te vullen. We ontdekken hoe er vele manieren zijn om aan te sluiten bij hun wensen en behoeften. En we onderzoeken hoe we onze organisaties zo kunnen inrichten dat deze manier van werken vanzelfsprekend wordt. Het is een beweging waarin we elkaar helpen om het anders te doen.","Services for the Elderly and Disabled","2-10 employees","Non Profit","Gouda","Netherlands","reablenederland.nl","https://www.linkedin.com/company/reable-nederland"
,"Constructive Partnerships Unlimited","Constructive Partnerships Unlimited empowers people with complex needs or housing insecurity to achieve fulfilling, dignified, safe, and healthy lives.","Services for the Elderly and Disabled","1,001-5,000 employees","Non Profit","New York City, NY","United States","cpunlimited.org","https://www.linkedin.com/company/constructive-partnerships-unlimited-cp-unlimited"
,"Disability Events Community","The Disability Events Community (The DEC) is dedicated to empowering individuals living with disabilities and their families by providing accessible, informative, and community-centered events. 

Our mission is to bridge the gap between those in need of services and the local providers who can offer support, guidance, and practical solutions.

We specialise in organising local events, expos, and forums where individuals can directly connect with trusted disability service providers. Whether you're seeking advice on care options, specialized equipment, or community resources, The DEC events bring together a broad range of professionals to answer your questions, provide recommendations, and make navigating the disability landscape easier.

At The DEC, we believe that community support is key to ensuring everyone has access to the resources they need to live their best life. Our events foster connection, education, and advocacy for people living with disabilities and their families, helping them navigate their journey with confidence and informed choices.

Join us at our next event to discover the local services and solutions available to support you or your loved one. Together, we can make a difference!","Services for the Elderly and Disabled","2-10 employees","Privately Held","Perth, WA","Australia","thedec.com.au","https://www.linkedin.com/company/thedecau"
,"Tender Loving Care Disability Services","TLC has over 100 years of combined experience in the disability sector providing excellent outcomes for people with an intellectual, physical or cognitive disability and those participants that suffer from mental health conditions.  Our mission is to care and provide support to NDIS participants to improve their health and wellbeing.  We also assist participants that want to be more connected with the local community and participate in a range of learning opportunities.  TLC will provide you with guidance, planning and support - enabling participants to understand how the NDIA Plan funding can be used.  Our offices in Sydney, Brisbane and Melbourne will support you to have choice and control.","Services for the Elderly and Disabled","501-1,000 employees","Privately Held","Bankstown, New South Wales","Australia","tlcdisabilityservices.com.au","https://www.linkedin.com/company/tender-loving-care-tlc"
