"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"FINCANTIERI","Fincantieri is one of the world’s largest shipbuilding groups and number one by diversification and innovation. And we bring future on board. We are the change we want to bring to the global Industry. We are leader in the realization and life cycle management of all high value-added sectors: cruise ship, naval and offshore vessels and a reference player in all high-tech shipbuilding industry’s sectors, ship repairs and conversions, systems and components production and after-sales services.

Headquartered in Trieste (Italy), our Group has built more than 7,000 vessels in over 230 years of maritime history. With almost 20,000 employees, of whom more than 7,800 in Italy, 90.000 job roles, 18 shipyards in 4 continents, today Fincantieri is the leading Western shipbuilder. We have among our clients the major cruise operators, the Italian and the U.S. Navy, in addition to several foreign navies, and we are partner of some of the main European defense companies within supranational programmes.","Shipbuilding","10,001+ employees","Public Company","Trieste, TS","Italy","fincantieri.com","https://www.linkedin.com/company/fincantieri"
,"Damen","Oceans, seas, lakes and rivers offer growing possibilities in the areas of trade, food, energy and recreation. To ensure global prosperity for next generations and keep the earth habitable with an ever-increasing population, it is essential to utilise and protect these possibilities as efficiently and responsibly as possible.

Damen provides unprecedented maritime solutions for this, through design, shipbuilding, ship repair and related services. We offer versatile platforms that enable our customers to be successful and that raise the standard in terms of safety, reliability, efficiency and sustainability. We want to become the most sustainable shipbuilders in the world. 

In the previous century, we revolutionized shipbuilding. Thanks to standardisation, we were able to supply our customers with better ships, faster. More than 90 years and 6,500 ships later, the importance of standardisation is only increasing in the light of zero-emissions and digitalisation. 

We do not build our ships alone, but together with an extensive network from the international maritime cluster. We firmly believe in the power of sharing. It means that we also use our craftsmanship to build platforms on production facilities that are not ours. In this way, through knowledge transfer, we not only contribute to better, safer and more eco-friendly ships, but also to sustainable local development and prosperity.

We are a family owned business and stand for fellowship, craftsmanship, entrepreneurship and stewardship. Our playing field is the world. Our horizon is the long term. We firmly believe in our team, but also in the strength of the individual. Each colleague is an entrepreneur, focused on ensuring truly satisfied clients and making our contribution to a better world. In every aspect of our business the next generation is our starting point.","Shipbuilding","10,001+ employees","Privately Held","Gorinchem","Netherlands","damen.com","https://www.linkedin.com/company/damen-shipyards"
,"Seatrium","A Premier Global Player with Deep Engineering Expertise in the offshore, marine and energy industries 

Engineering our Future Together.","Shipbuilding","10,001+ employees","Public Company","singapore",,"seatrium.com","https://www.linkedin.com/company/seatrium"
,"Ferretti Group","Ferretti Group is a world leader in the design, construction and sale of luxury yachts and pleasure vessels. The Group has a portfolio of prestigious, exclusive brands, such as Ferretti Yachts, Riva, Pershing, Itama, CRN, Custom Line and Wally.

Helmed by CEO Alberto Galassi, Ferretti Group owns and operates seven shipyards across Italy, combining efficient industrial production with quintessential Italian craftsmanship.    We serve clients in more than 70 countries worldwide through our direct presence in Europe, Asia and the USA and a 55-strong network of meticulously selected dealers. Ferretti Group motor and sail yachts are the finest expression of Italian-made elegance and creative genius. They have long stood out for their exceptional quality and exclusive design, their futuristic technology and uncompromising safety, their timeless allure and supreme performance on the water. #LeadingTheFuture","Shipbuilding","1,001-5,000 employees","Privately Held","Forlì, FC","Italy","ferrettigroup.com","https://www.linkedin.com/company/ferretti-group"
,"Grupo Bravante","O Grupo Bravante é 100% brasileiro com mais de 60 anos provendo serviços para a indústria de óleo e gás, além de atuar nas áreas de apoio marítimo, apoio portuário, construção e reparo naval e proteção ambiental.

Bravante is a 100% Brazilian group with over 50 years providing services for the oil and gas industry and operating in the areas of marine support, port support, shipbuilding and ship repair and environmental protection.","Shipbuilding","1,001-5,000 employees","Privately Held","Rio de Janeiro , Rio de Janeiro","Brazil","bravante.com.br","https://www.linkedin.com/company/grupobravante"
,"Navantia, S.A., S.M.E","Empresa dedicada a la construcción naval civil y militar, reparación de buques, fabricación de turbinas, motores, sistemas de armas, con mas de 300 años de experiencia.

Cuenta con instalaciones en los puntos clave de la geografía española, Ferrol, Cádiz y Cartagena. 

Equipo profesional con amplia experiencia en el mundo naval y marítimo, con Delegaciones en: Canberra, Adelaida, Sídney, Nueva Delhi, Estambul, Río de Janeiro, y Bergen.","Shipbuilding","1,001-5,000 employees","Public Company","Madrid, Madrid","Spain","navantia.es","https://www.linkedin.com/company/navantia"
,"Azimut Yachts","Welcome aboard. We are happy to take you on a journey that will amaze you.
We are the leader in the design and production of luxury motor yachts. 

The history of Azimut yachts officially began in 1969, when the young university student Paolo Vitelli started a small sailing boat rental business by founding Azimut SRL. In a short time, the iconic AZ 43' Bali was born. The dream came true. The company has grown a lot since then, but the mission has remained the same: to define new stylistic and industrial standards to create amazing yachts. 
Thanks to an unmistakable design contaminated with the world of art and architecture, our boats can be recognized even from far away on the horizon. Always at the forefront in introducing innovations that change the world of yachting, our masterpieces are distributed through the world's most global dealer network. From Italian style, a love that lasts over time.","Shipbuilding","1,001-5,000 employees","Public Company","Avigliana, Turin","Italy","azimutyachts.com","https://www.linkedin.com/company/azimut-yachts"
,"Benetti Yachts","The House of Yachting","Shipbuilding","1,001-5,000 employees","Public Company","Viareggio, Toscana","Italy","benettiyachts.it","https://www.linkedin.com/company/benetti"
,"Royal IHC","Royal IHC is a leading supplier of maritime technology and expert craftsmanship. Driven by innovation, our dedicated experts provide a competitive edge to our worldwide customers in the dredging, offshore, mining and defence industries. However, Royal IHC is much more than vessels, equipment and services. 

We deliver reliable, integrated solutions that improve operational efficiency and create a platform for a more sustainable performance. As we navigate new waters, our aim remains unchanged: to discover the smartest and safest way forward for both our customers and our people. Together, we create the maritime future.

For career opportunities check www.royalihc.com/careers  or contact our Staffing department: +31 (0)88015 4444","Shipbuilding","1,001-5,000 employees","Privately Held","Kinderdijk","Netherlands","royalihc.com","https://www.linkedin.com/company/royalihc"
,"VARD","VARD is one of the major global designers and shipbuilders of specialized vessels. Headquartered in Norway and with approximately 8,000 employees, VARD operates six strategically located shipbuilding facilities, including three in Norway, two in Romania and one in Vietnam. Through its specialized subsidiaries, VARD develops power and automation systems, deck handling equipment, and vessel accommodation solutions, and provides design and engineering services to the global maritime industry.
 
VARD’s long shipbuilding traditions, cutting-edge innovation and technology coupled with its global operations and track record in constructing complex and highly customized vessels have earned it recognition from industry players and enabled it to build strong relationships with its customers. 
 
VARD was listed on the Main Board of the Singapore Exchange on 12 November 2010. Majority shareholder Fincantieri Oil & Gas S.p.A., a wholly owned subsidiary of FINCANTIERI S.p.A., owns 79.2% in the Group. Headquartered in Trieste, Italy, FINCANTIERI is one of the world’s largest shipbuilding groups and has, over its 200 years of maritime history, built more than 7,000 vessels.","Shipbuilding","5,001-10,000 employees","Public Company","6002 Ålesund","Norway","vard.com","https://www.linkedin.com/company/vard"
,"Estaleiro Jurong Aracruz","O Estaleiro Seatrium Aracruz chega ao Espírito Santo para realizar uma modalidade de negócios inédita do Estado. Com o avanço da exploração do petróleo na camada pré-sal, as expectativas de investimentos em infraestrutura naval tornam necessária a criação de um estaleiro apropriado para suprir as demandas dessa indústria, que exige tecnologia de ponta e produtos de qualidade para a realização de projetos ousados.

A estrutura oferecida pelo Estaleiro Seatrium Aracruz está preparada para atender não só as demandas da Petrobras, mas as exigências do mercado mundial, na fabricação de embarcações e jaquetas (estruturas básicas das plataformas de petróleo), gerando negócios para fornecedores locais, emprego e renda para trabalhadores locais e divisas para o Espírito Santo.","Shipbuilding","1,001-5,000 employees","Privately Held","Aracruz, ES","Brazil","seatrium.com","https://www.linkedin.com/company/seatrium-brasil-old"
,"Estaleiro Jurong Aracruz","O Estaleiro Seatrium Aracruz chega ao Espírito Santo para realizar uma modalidade de negócios inédita do Estado. Com o avanço da exploração do petróleo na camada pré-sal, as expectativas de investimentos em infraestrutura naval tornam necessária a criação de um estaleiro apropriado para suprir as demandas dessa indústria, que exige tecnologia de ponta e produtos de qualidade para a realização de projetos ousados.

A estrutura oferecida pelo Estaleiro Seatrium Aracruz está preparada para atender não só as demandas da Petrobras, mas as exigências do mercado mundial, na fabricação de embarcações e jaquetas (estruturas básicas das plataformas de petróleo), gerando negócios para fornecedores locais, emprego e renda para trabalhadores locais e divisas para o Espírito Santo.","Shipbuilding","1,001-5,000 employees","Privately Held","Aracruz, ES","Brazil","seatrium.com","https://www.linkedin.com/company/seatrium-brasil"
,"HD Hyundai Heavy Industries","HD Hyundai Heavy Industries (HHI), founded by the late Chung Ju-yung on March 23, 1972 wrote the first chapter of its shipbuilding history in June, 1974 by completing construction of the world's largest shipyard and two 260,000-DWT VLCCs all at the same time. A decade after its first delivery, the Hyundai Shipyard topped 10 million deadweight tons in aggregate ship production, and has maintained the leading position in the world shipbuilding market ever since. Hyundai Shipyard's drive has mirrored the growth of modern Korean heavy industry, and our success has allowed us to expand into other heavy industry areas, ultimately leading to the formation of Hyundai Heavy Industries, an integrated heavy industry company.","Shipbuilding","10,001+ employees","Public Company","Ulsan","South Korea","hhi.co.kr","https://www.linkedin.com/company/hd-hyundai-heavy-industries-co-ltd"
,"Fincantieri Marine Group","Fincantieri Marine Group is a leading US shipbuilder active in the naval and commercial sector. FMG employs more than 2,200 people across its three shipyards: 
• Fincantieri Marinette Marine will build the Navy's future guided-missle frigate or FFG(X) and has built the U.S. Navy’s Freedom variant Littoral Combat Ship. 
• Fincantieri Bay Shipbuilding is one of the main U.S, builders of merchant ships. Our product lines include LNG bunkering, windfarm vessels, ATB's, fishing vessels, passenger/car ferries, self-unloaders, bulk
carriers, OSV's and more. Leader in repair and conversions in the Great Lakes region. 
• Fincantieri ACE Marine, is a center of excellence for aluminum construction, with experience in building small and medium-sized boats and patrol vessels especially for the U.S, Coast Guard. FMG has experienced naval architecture and marine engineering staff, and a highly skilled workforce committed to safe operation. 

Fincantieri Marine Group is the U.S. division of Italian shipbuilding giant FINCANTIERI, one of the world's largest shipbuilders, and number one by diversification and presence in all high value-added market sectors, having built more than 7,000 vessels over 230 years. Headquartered in Trieste, Italy, the Group has approximately 20,000 employees, and operates through 20 shipyards on four continents. It is world leader in cruise ship construction and a reference player in other sectors, including naval vessels, offshore support vessels, mega-yachts, as well as ship repair and conversion. 

Fincantieri Marine Group is an Equal Opportunity Employer/Affirmative Action Employer and promotes a Drug Free Work Environment. Minorities, Women, Veterans and Disabled are encouraged to apply. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, or protected veteran status, and will not be discriminated against on the basis of disability.","Shipbuilding","1,001-5,000 employees","Privately Held","Washington, District of Columbia","United States","fincantierimarinegroup.com","https://www.linkedin.com/company/fincantieri-marine-group"
,"Chantiers de l'Atlantique","Installée sur la façade Atlantique, Chantiers de l’Atlantique est une entreprise de construction maritime (paquebots, sous-stations…) et de services aux flottes. 
Grâce aux expertises développées par son personnel et son réseau de co-réalisateurs, combinées à un outil industriel de premier plan, l’entreprise est un des leaders mondiaux pour la conception, la fabrication, le montage et la mise en service de navires hautement complexes et d’installations marines.

Le savoir-faire de Chantiers de l’Atlantique est mondialement reconnu. Grâce à un outil industriel à la pointe de la technologie en perfectionnement constant. Des techniques et process avancés sont mis en œuvre pour construire dans des délais maitrisés et dans un souci permanent de la qualité, des navires et installations marines innovants plus respectueux de l’environnement.","Shipbuilding","1,001-5,000 employees","Privately Held","Saint-Nazaire, Pays de la Loire","France","chantiers-atlantique.com","https://www.linkedin.com/company/chantiers-atlantique"
,"Seaspan ULC","Seaspan is an association of Canadian companies involved in coastal marine transportation, shipdocking/ship escort, ship repair & refit, shipbuilding, ship design, commercial ferry services, and LNG bunkering on Canada's West Coast.

The scope of Seaspan's services, the quality of its employees and over a century of successful participation in coastal commerce, make the company a major partner in the economy of the Pacific Northwest.","Shipbuilding","5,001-10,000 employees","Privately Held","North Vancouver, British Columbia","Canada","seaspan.com","https://www.linkedin.com/company/seaspan-ulc"
