"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Mollow","Mollow, chaque kilomètre est une aventure ! 

Un média pour vous aider à organiser vos escapades sans limites, sans avion ni voiture ! Le tout guidé par une communauté passionnée et engagée 

 Mollow, c'est :
Des idées de voyages créées avec le cœur par notre équipe
Des itinéraires détaillés conçus par des voyageurs
Des actualités sur le tourisme durable
Des bons plans à partager (sans modération)
Une communauté engagée

Notre mission ? Emettez moins et revenez avec pleins de souvenirs authentiques 

Découvrez-en plus sur Mollow  www.mollow.eu","Sightseeing Transportation","2-10 employees","Self Owned","Paris","France","mollow.eu","https://www.linkedin.com/company/mollow-fr"
,"Inca Rail","Inca Rail, empresa fundada en el año 2009, ofrece experiencias únicas de viaje hacia y desde la Ciudadela de Machu Picchu en las cuales podrás experimentar el verdadero espíritu de Machu Picchu a bordo de sus cinco servicios de tren: The Private, The First Class, The Premium & Lounge, The 360° y The Voyager.

Transportamos a los viajeros que buscan un viaje único hacia Machu Picchu. En nuestros trenes podrás apreciar el maravilloso paisaje a través de ventanas panorámicas y disfrutarás de un servicio a bordo que hará de tu viaje una experiencia única.

Inca Rail tiene los únicos vagones sanitizados, por medio del Sistema de Purificación de Aire que elimina virus y bacterias, garantizando la purificación completa del aire para tu seguridad. Además, cuenta con la Certificación SGS, exigentes protocolos de Bioseguridad que garantizan el cumplimiento e implementación contra COVID-19.

Síguenos en:
https://www.instagram.com/incarail
https://web.facebook.com/IncaRail
https://www.youtube.com/@IncaRail","Sightseeing Transportation","201-500 employees","Privately Held","Cusco, Cusco","Peru","incarail.com","https://www.linkedin.com/company/incarail"
,"Norte Sul Chile","Somos uma agência de turismo 100% on-line e com foco na venda de passeios para Santiago do Chile e Deserto do Atacama.","Sightseeing Transportation","2-10 employees","Privately Held",,,"nortesulchile.com.br","https://www.linkedin.com/company/norte-sul-chile"
,"PeruRail","Since 1999, our trains serve some of Peru’s most iconic destinations including Machu Picchu in Cusco and Lake Titicaca in Puno with inspiring landscapes creating unforgettable journeys.","Sightseeing Transportation","501-1,000 employees","Privately Held","Wanchaq, Cusco","Peru","perurail.com","https://www.linkedin.com/company/perurail"
,"DeÔnibus","Founded on November 2012 in São Paulo, BrasilbyBus helps people to book their bus tickets online around Brazil on a safe, easy and fun way for over 3.000 destinations. 
BrasilbyBus understands the lack of information and possibilities for travellers in Brazil to book and plan a bus trip around the country, that's why we focus our energy on innovation, hard work and excellence to bring a real impact on the way people travel by bus in Brazil.","Sightseeing Transportation","51-200 employees","Privately Held","São Paulo, São Paulo","Brazil","apptuts.bio","https://www.linkedin.com/company/de-onibus"
,"Tripventura","Tripventura is a leading online travel agency and destination management company, established in 2011 and headquartered in Turkey, with a growing presence across the Middle East. We specialize in transforming travel into unforgettable experiences through expertly curated tours, personalized itineraries, and seamless, end-to-end travel services.

Our offerings include a wide range of adventure and cultural experiences, from desert safaris and scenic boat tours to historical and local excursions, ensuring travelers experience the very best of each destination. We also provide tailored travel planning, designed to meet the unique preferences of individuals, families, and groups — covering everything from luxury and leisure to heritage and exploration.

With over a decade of industry expertise, Tripventura has grown from a regional operator into a globally recognized travel brand. Our expanding footprint includes the UAE, Saudi Arabia, Qatar, Egypt, and Oman, supported by a strong network of trusted partners and consistently high customer satisfaction.

At Tripventura, we’re committed to making travel effortless, enriching, and truly memorable — one curated journey at a time.","Sightseeing Transportation","11-50 employees","Public Company","Alanya, antalya","Turkey","tripventura.com","https://www.linkedin.com/company/tripventura-tr"
,"voyagerentrain.fr","Depuis 2020, voyagerentrain.fr est un média indépendant consacré à l'univers du train. Dans un contexte d'urgence climatique, il a pour but de (re)valoriser le voyage bas-carbone.

Nous partageons nos conseils et nos bons plans pour des voyages en train réussis en ligne ainsi que dans notre livre ""Voyager en train en France"" paru en décembre 2023. Nous vous emmenons aussi à la (re)découverte de nos belles régions françaises où le train s'arrête. Nous vous donnons également des idées de cadeaux (autour du train évidemment ;) ) à travers la e-librairie du site.

Et si vous souhaitez vous aussi partager les anecdotes ou les souvenirs de vos voyages en train, nous avons une rubrique « Témoignages » qui n’attend plus que vous !

 Lire aussi notre manifeste pour le train de demain : https://www.voyagerentrain.fr/manifeste-train/ 

Prêts à embarquer avec nous ?

« Le train va partir. Prenez garde à la fermeture automatique des portes. Attention au départ. »","Sightseeing Transportation","2-10 employees","Self Employed","Rennes","France","voyagerentrain.fr","https://www.linkedin.com/company/voyagerentrain"
,"Aéroport Rennes Bretagne","L'aéroport Rennes Bretagne dessert toute l’année près de 200 destinations. Une dizaine de lignes aériennes sont desservies en vol direct, en France et en Europe.

 Lignes directes : 
- Domestiques : Paris CDG, Toulouse, Nice, Lyon, Marseille, Montpellier
- Europe : Amsterdam, Londres, Manchester
- Saisonnières : Dublin, Marrakech

 La connexion avec les hubs de Paris CDG et Amsterdam permettent de relier la Bretagne au monde entier.

 Compagnies aériennes présentes à l'aéroport de Rennes : 
Air France, KLM, EasyJet, Volotea, Transavia, Aer Lingus, Twin Jet.

Rennes est également la 8ème plateforme régionale de fret française. L’aéroport de Rennes a accueilli près de 512 000 passagers et transporté plus de 10 000 tonnes de marchandises en 2024. 

 L’aéroport de Dinard quant à lui propose de l'aviation privée, affaires et loisirs. 

Depuis 2010, la Société d’exploitation des aéroports de Rennes et Dinard, dont VINCI Airports est actionnaire à hauteur de 49% aux côtés de la CCI de Rennes et de la CCI de Saint-Malo Fougères, est concessionnaire des deux aéroports pour une durée de 14 ans et 10 mois.

Sites internet : www.rennes.aeroport.fr | www.dinard.aeroport.fr","Sightseeing Transportation","51-200 employees","Privately Held","Rennes Cedex 9","France","aeroport.fr","https://www.linkedin.com/company/aeroport-rennes-bretagne"
,"Smyril Line","Smyril Line was established in 1982 and is today a well-reputed shipping company linking the North Atlantic and continental Europe. Smyril Line's Headquarter is in Tórshavn in the Faroe Islands and we have offices in Iceland, Germany, Holland and Denmark.","Sightseeing Transportation","501-1,000 employees","Privately Held","Tórshavn","Faroe Islands","smyrilline.com","https://www.linkedin.com/company/pf-smyrilline"
,"Carlili ","Notre Mission : simplifier la mobilité de vos collaborateurs en simplifiant la location de voiture.

Comment on fait ? Grâce à nos carsitters et notre large flotte (utilitaires et voitures électriques), on vous livre et on récupère, à l'endroit de votre choix, le.s véhicule.s dont votre entreprise et vos collaborateurs ont besoin.","Sightseeing Transportation","11-50 employees","Partnership","Joinville-le-Pont, Île-de-France","France","carlili.fr","https://www.linkedin.com/company/carlili"
