"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Grupo GTEX","A GTEX é uma empresa que oferece praticidade e qualidade de vida para as famílias brasileiras, com uma ampla gama de produtos de limpeza.

São mais de 50 anos de experiência e tradição no mercado, somados ao uso das melhores matérias-primas com desenvolvimento constante de tecnologias para manter os produtos sempre atualizados.

Acesse YouTube.com/@GTEXBrasil e saiba mais!","Soap and Cleaning Product Manufacturing","1,001-5,000 employees","Privately Held","Guarulhos , São Paulo","Brazil","gtexbrasil.com.br","https://www.linkedin.com/company/gtexbrasil"
,"Arma Soap and Chemicals","Since 1992, we have been at the forefront of the FMCG industry in Egypt and the MENA region. With a team of passionate professionals, we have extended our products to the homes of consumers and shelves of exporters. With global partnerships and years of expertise ARMA is a global leader in its business of manufacturing, trades and exports. 
تأسست منذ عام 1992، نحن من رواد صناعة السلع الاستهلاكية في جمهورية مصرالعربية ومنطقة الشرق الأوسط وشمال إفريقيا. مع فريق من المهنيين المتحمسين، قمنا بتوسيع منتجاتنا لتشمل احتياجات المستهلكين المختلفة من منتجات المنظفات والعناية الشخصية. مع شراكات عالمية وسنوات عديدة من الخبرة ، تصنف ارما للصابون والمنظفات شركة عالمية رائدة في مجال  التصنيع والتجارة والصادرات.","Soap and Cleaning Product Manufacturing","1,001-5,000 employees","Public Company","10th of Ramadan , Alsharkia","Egypt","armacorporate.com","https://www.linkedin.com/company/arma-chemicals-industries"
,"CAVALLARO SACEI","Somos una empresa paraguaya de origen familiar especializada en la fabricación y comercialización de productos de rubro Domisanitario y de Cosmética. Contamos con una amplia gama de productos con formatos, características y funcionalidades diferentes, ricos en ingredientes naturales, principalmente el Aceite de Almendra de Coco.

Desde hace 14 años somos también desarrolladores de productos con marcas blancas o de terceros, trabajando de forma continua para varias empresas extranjeras que comprobaron la calidad de sus productos y servicios.

En la actualidad el Grupo Cavallaro exporta sus productos con marcas propias a diversos países, entre ellos: Estados Unidos, Brasil, Argentina, Bolivia, Uruguay, Chile, Cuba, Centro América, Albania y Corea del Sur.

Nuestro objetivo principal es seguir fortaleciendo el liderazgo, mediante la Innovación y desarrollo de nuevos productos para beneficio de las familias paraguayas y del mundo con nuestras marcas: Coco Cavallaro, Cavallaro, Guaira Deluxe, Guaira Extra, Insuperable, Pixol, C, C2, IO, Tropical, Agricultor, Obrero y Cacique.","Soap and Cleaning Product Manufacturing","201-500 employees","Privately Held","Capiatá, Central","Paraguay","cavallaro.com.py","https://www.linkedin.com/company/grupocavallaro"
,"everdrop"," Our plasticwrap-free dishwasher tabs were named TEST WINNER IN THE STIFTUNG WARENTEST (02/2024) with best ratings for performance and low water pollution - proof that sustainability and performance can go together!

 All of our plastic waste-free REFILL & REUSE PRODUCTS (cleaners, laundry detergent, dishwasher tabs, personal care etc.) have already avoided around 21 million disposable plastic bottles as well as thousands of tons of unnecessary chemicals and CO2e  https://www.everdrop.de/en/mission/impact-tracker

Want to make your company office more sustainable?  b2b.everdrop.de

Want to join us on our mission?  everdrop.de/en/about-us/jobs

Awards & Recognition:
2025: Business Punk & Globis Startup-Arbeitgeber 2025/2026: Best Employer
2025: Top 3 Household & Care – Startup Brand Ranking by Jung von Matt & Appinio
2025: PETA Vegan Award Beauty (everdrop Deo Stick)
2024: Marken des Jahrhunderts: Brand of the Century – Future Brands
2024: PETA Vegan Award Beauty (everdrop Hand Wash)
2024: LinkedIn Top Startup
2024: ""Best Purpose of the Year"", German Brand Awards
2024: German Service Award
2024: Test winner Stiftung Warentest (everdrop dishwasher tabs)
2023: LinkedIn Top Startup
2023: German Service Award
2022: Öko-Test ""gut"" (everdrop bath cleaner)
2021-2024: Top10 Startup Brand Ranking by Jung von Matt & Appinio
2021: KfW Founders Award
2021: German Sustainability Award","Soap and Cleaning Product Manufacturing","51-200 employees","Privately Held","München, Bayern","Germany","everdrop.de","https://www.linkedin.com/company/everdrop"
,"Grupo Macdel","En Grupo Mac Del estamos conscientes de la influencia que ejerce la limpieza e higiene en nuestra vida diaria. Por eso desde hace más de 40 años estamos comprometidos a desarrollar la linea más completa de productos y servicios a traves de nuestras diferentes unidades de negocio a nivel nacional y ahora en Centroamerica.

Nuestras compañias afiliadas Mac Del de Honduras, Mac Del Express, Pisos Brillantes, Pisos Brillantes Express y Klintec estan dedicadas a desarrollar e implementar los más innovadores productos y servicios de limpieza que ayuden a nuestros clientes a mejorar sus resultados a un mejor costo total y sin complicaciones.

Nuestra Misión:
Ofrecer productos y servicios innovadores que ayuden a nuestros clientes a mejorar sus procesos de limpieza y mantenimiento a un mejor costo total.

Nuestra Visión:
Convertirnos en el centro de operaciones con el portafolio más completo y competitivo de productos y servicios de limpieza para toda Centroamérica.","Soap and Cleaning Product Manufacturing","1,001-5,000 employees","Privately Held","San Pedro Sula, Cortes","Honduras","grupomacdel.com","https://www.linkedin.com/company/grupo-macdel"
,"SC Johnson Professional USA","SC Johnson Professional is part of SC Johnson, a family company and one of the world's leading manufacturers of household cleaning products and products for home storage, air care, pest control and shoe care, as well as professional products. The company has a long history in the professional market, in which it started operating in the 1930’s.

SC Johnson Professional provides expert skin care, cleaning & hygiene solutions for industrial, institutional and healthcare users. This incorporates the Deb range of specialist occupational skin care products along with well-known SC Johnson brands and innovative professional cleaning & hygiene products. 

The SC Johnson Professional purpose is to bring innovative, quality products and services to professional markets with outstanding performance that respect the environment, create efficiencies, reduce inventories, simplify training and provide a positive user experience. This is built on a deep understanding of customer needs and a vision for ‘rethinking the professional experience’ with the user in mind.","Soap and Cleaning Product Manufacturing","501-1,000 employees","Privately Held","Charlotte, North Carolina","United States","scjp.com","https://www.linkedin.com/company/scjohnsonprofessional"
,"ChemiTek Solar","ChemiTek is a Portuguese company dedicated to the development, production and trading of efficient, easy to apply, innovative and environmentally friendly chemical products for industrial maintenance. 
With an already diversified portfolio, the company presents solutions for sectors such as solar, glass and automotive.
Highly specialised unique solutions for cleaning and optimising solar panels, as well as protecting and cleaning glass, and helping to improve efficiency in industries such as automotive and marine. 

One of the biggest concerns of our company is to develop 100% environmental friendly solutions which are in line with the sustainability policy of the company. All our products are biodegradable!
It aims to be a reference in the international market, as a customer-centric, innovative and sustainable chemical company.","Soap and Cleaning Product Manufacturing","11-50 employees","Privately Held","Braga, Braga","Portugal","chemitek.pt","https://www.linkedin.com/company/chemiteksolar"
,"Laboratoires BEA","Fabricant français de cosmétiques, situé au cœur de la Provence, les Laboratoires BEA proposent leurs services de fabrication à façon en full service avec une large gamme de produits cosmétiques, de savons et de parfums.

Dotés d'outils de production performants et innovants, les Laboratoires BEA garantissent à leurs clients français, européens, internationaux des produits de haute qualité, conformes aux normes ISO 9001 et ISO 22716. Bénéficiant d'un savoir-faire reconnu depuis 1992, les Laboratoires BEA sont également une entreprise engagée (Ecovadis Platinium 2023). La démarche éco-responsable est au cœur de leur développement.
Nous sommes à votre disposition pour vous accompagner à toutes les étapes du développement de vos projets cosmétiques :

-       Conception et formulation
-       Fabrication et conditionnement
-       Gestion des packagings
-       Qualité, support à la certification Cosmos, NOP,…
-	Accompagnement réglementaire
-       Logistique

Les Laboratoires BEA vous accompagnent de la conception de vos produits jusqu’à sa livraison : que ce soit pour la formulation, le packaging, le sourcing de matières premières, les ingrédients actifs, la conformité réglementaire nous vous apportons conseils et expertise.","Soap and Cleaning Product Manufacturing","51-200 employees","Privately Held","Forcalquier, Provence-Alpes-Côte d’Azur","France","laboratoiresbea.com","https://www.linkedin.com/company/laboratoires-bea"
,"SC Johnson Professional Europe","We are SC Johnson Professional Europe, part of SC Johnson – a family company at work for a better world. We specialise in providing expert skin care, cleaning and hygiene solutions for industrial, institutional, and healthcare organisations. 

Our mission is simple: we support our customers in creating safe and healthy environments for the people they care for, in a sustainable way.  

We don’t just make products, we help our customers deliver safe and healthy outcomes to help them reduce the spread of germs and keep skin in good condition.  

We are a company that celebrates our origins, built on brands that include Deb Stoko, Swarfega, Stokolan, and Cutan. We’ve been innovating for decades, our global RD&E teams are behind pioneering developments such as the first commercial foaming soap dispensers and mobile surface cleaning trigger sprays. Today, we continue to set high standards in performance, efficiency, and sustainability. 

We are relentless in our efforts to make our products, programmes, and processes better.Use less. Waste less. Recycle more. This is the philosophy that underpins what we do. The use of plastics and the chemistry of our products is particularly where we focus, as this is where we can make the biggest impact with our products. 

At SC Johnson Professional Europe, we believe safe, productive environments are built when people have the right tools, knowledge, and support. That’s why we go beyond products to offer training, best practice programmes, and tailored support that empower people in their work to create healthier, more efficient workplaces. 

Because at the end of the day: your world means the world to us.","Soap and Cleaning Product Manufacturing","201-500 employees","Privately Held","Denby, England","United Kingdom","scjp.com","https://www.linkedin.com/company/sc-johnson-professional"
,"Gruppo Desa SpA","Gruppo DESA, fondato nel 1908 a Seregno (MB), è un’importante realtà italiana nella produzione e vendita di detergenti per la casa e il bucato, prodotti per l’igiene personale e articoli per farmacia.","Soap and Cleaning Product Manufacturing","201-500 employees","Privately Held","Seregno, Lombardy","Italy","gruppodesa.com","https://www.linkedin.com/company/gruppo-desa-spa"
