"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Nuits Noires"," Nuits Noires, créateurs d'immersions sonores, nous nous adressons aux acteurs de la culture, du patrimoine et des marques en quête de sensible pour leurs publics.

Notre mission est de transmettre vos savoirs par l'excellence du média sonore et immersif en alliant l'accessibilité des contenus à toutes et tous. 

Nous racontons des histoires sonores par la narration écrite et par le sound design afin d’embarquer les publics dans des environnements sonores, sensibles, subtils et intemporels.

Notre force est notre direction artistique singulière et nous accompagnons nos clients de l’élaboration de dispositifs immersifs, la conception sonore, l’écriture, la production, la réalisation jusqu’au conseil en diffusion et intégration spatialisée que ce soit pour des projets numériques ou in situ.

Nous collaborons sur des projets de médiation, muséographie, valorisation du patrimoine, communication et divertissement comme par exemple avec le musée du Louvre, le département de la Manche, le musée de l’Air et de l’Espace, la Seine Musicale, le musée Albert Kahn, La Cité des Sciences et de l’Industrie, la Ville de Villeurbanne et le Rize, Paris Musées, le musée du quai Branly, le muséum National d’Histoire Naturelle, le Ministère de la Culture, Palais de Tokyo, le Centre Pompidou par exemple.

Nous avons aussi, auto-produit deux séries immersives audio dont :
Ferme les yeux et regarde, des immersions sonores au coeur d’oeuvres d’art et vous devez deviner dans quelle oeuvre vous êtes. Beaux arts magazine, Télérama, Nouvel Obs, Radio Canada, Connaissance des arts, Focus Belgique ont parlé de notre podcast. Grâce à cette création nous avons été finalistes au Numix
Québec en 2022.

Nous sommes lauréats de plusieurs délégations du Ministère de la Culture en Belgique, Pays Bas, Canada, Maroc. Nous avons remporté le prix d’Or Innovation pour projet avec Salomon; lauréats des Duos de l’Innovation du Muséum connections, lauréats du concours Sitem et la Bourse FrenchTech.","Sound Recording","2-10 employees","Self Owned","Villeurbanne, Auvergne-Rhône-Alpes","France","nuitsnoires.com","https://www.linkedin.com/company/nuits-noires"
,"Miloco Studios","40 years of studios, passion and talent.","Sound Recording","11-50 employees","Public Company","London","United Kingdom","milocostudios.com","https://www.linkedin.com/company/miloco-studios"
,"Invite Only Studios","Invite Only Studios is an experiential recording, photography studio and event space located in the heart of New York City. Our multi-million dollar, state-of-the-art facility has been in operation since October 2019 and has quickly become a creative hub for some of the industry's top talent and brands.

We’ve proudly hosted clients such as Nicki Minaj, Mary J. Blige, Snoop Dogg, Burna Boy, Imagine Dragons, Alicia Keys, Travis Scott and Peso Pluma, to name a few. 

Additionally, we've hosted events for companies such as ESPN, Madison Square Garden and Universal Music Group. Our team has also developed musical content for major brands including Starbucks, JP Morgan Chase, Sunny D, Summer’s Eve, Wendy’s, and Weight Watchers.

Our versatile space is available for a wide range of events, including: Corporate and Industry Gatherings (networking events, mixers, etc.), Pop-ups, Art Exhibits, Release Parties (Album, EP, etc.), Ticketed Shows & Events (Comedy Shows, Conferences, etc.), Keynote Speeches and Holiday celebrations.

Amenities in the facility include a fully-operational Bar, Kitchenette, PA system, VIP room, Video Projectors (3), and abundant natural light—all just steps from major transportation.

The studios are outfitted with a 48-channel SSL Duality console and a Z3 Triple Steven Slate Raven desk—the only one of its kind in the world. With top-tier production software and hardware, we offer full audio capabilities, including stereo and 5.1 mixing. Our team of engineers and creatives has worked with artists, filmmakers, broadcast networks, and global brands to deliver premium production and post-production services.

Get Invited!","Sound Recording","2-10 employees","Privately Held","New York, New York","United States","inviteonly.studio","https://www.linkedin.com/company/invite-only-studios"
,"Rodeo FX Audio","We turn up the craft. We’re sound engineers, music composers and audio producers passionate about the emotional power of sound. We create with you, for you. Apparently, we’re pretty fun to work with too.","Sound Recording","11-50 employees","Privately Held","Montreal, Quebec","Canada","rodeofx.com","https://www.linkedin.com/company/rodeofx-audio"
,"Sheer Publishing Africa","Sheer Publishing Africa is the largest independent music publisher in Africa. Established in 1996, Sheer represents the largest collection of African library music works ranging from traditional to contemporary sounds. We represent premier songwriters and composers whose works are utilized in major commercial campaigns, radio, film and television. Our professional team provide music supervision services to a wide array of major productions in South Africa and the continent. The business is also entrusted with  copyright management for major labels operating in Africa. Sheer Publishing Africa offers global publishing administration, distribution, monetisation and creative and sync services for clients across the continent. It is a subsidiary of Downtown Music Services - a modern global company with over 20 million music assets from countries across six continents.","Sound Recording","11-50 employees","Privately Held","Sandton , Gauteng","South Africa","sheerpublishing.co.za","https://www.linkedin.com/company/sheer-publishing-africa"
,"🅸🆅 🅴🅼🅴🅻🅼🅽🆂 🅶🅴🅻🆄🅸🅳","🅸🆅 🅴🅼🅴🅻🅼🅽🆂 🅶🅴🅻🆄🅸🅳","Sound Recording","Self-employed","Self Employed","Heerlen","Netherlands",,"https://www.linkedin.com/company/ivobemelmansgeluid"
,"The Sound of Egypt","The Sound of Egypt is a collective of media enthusiasts driven by the power of impactful communication. Our unity has established one of Egypt's most reputable Audio production agencies & Training Academies.

With over 20 years of field experience, we aim to pioneer in Audio Production, shaping the future of storytelling and brand communication through audio in Egypt.","Sound Recording","11-50 employees","Privately Held","cairo, Cairo","Egypt",,"https://www.linkedin.com/company/the-sound-of-egypt"
,"Pressure Cooker Studios","We are a full-service Music and Audio Studio.

We create the sound for ‘that thing’ you need. We’re the first and last stop for everything you hear.

We work across all media; Commercials, Gaming, Narrative and have an extensive selection of original (and customisable) Library Music under our Pressure Music Library resource.

Take a look at some of our work on our website.

We think about a project’s entire audio journey holistically, with your creative vision as the cornerstone for every decision we make along the process.

We always find a way to make it happen. Our passion and experience has put us in this position.

We believe the best way to innovate is to grow our talent.

We are always learning from each other and want to grow the talent in our industry, forming a community to set a new standard with every project we touch.

Let’s collaborate, so we can elevate your art / film / game / brand together","Sound Recording","11-50 employees","Privately Held","Cape Town, Western Cape","South Africa","pressurecookerstudios.co.za","https://www.linkedin.com/company/pressure-cooker-studios"
,"CIRCONFLEX","Award Winning Music + Sound Agency located in Montréal, Canada + Toronto, Canada + Paris, France + New York, United States. 
We specialize in original music, music supervision, licensing, sound design, recording, sonic branding, and audio post-production, leveraging AI and cutting-edge technology to deliver innovative sound solutions.","Sound Recording","11-50 employees","Privately Held","Montréal, Québec","Canada","circonflex.com","https://www.linkedin.com/company/circonflex-productions"
,"Dobel F production","DIgital Record Label & Music production
Song Writing - Arrangement - Remix - FilmScoring -Jingle's,etc","Sound Recording","2-10 employees","Public Company","Depok , Jawa Barat","Indonesia",,"https://www.linkedin.com/company/dobel-f-production"
,"Polyvinyl Record Co.","Polyvinyl is an independent record label founded in the Midwest, 1996.

We are a 100% independently owned and operated company.  We’ve grown steadily and organically: our catalog consists of over 400 releases from more than 100 artists.  We’re proud of our Midwest roots.  Polyvinyl HQ is located in Champaign, Illinois with additional staff in San Francisco, New York, Austin and elsewhere across the country. 

Polyvinyl’s mission is to support passionate, independently minded artists in creating timeless work, growing their careers and reaching their highest potential.  

Polyvinyl works hand-in-hand in fair partnership with artists.  We advocate for them, guide them, and allow artists to retain creative freedom and control.

Polyvinyl maintains a creative, open workplace that nurtures and develops talented people who are fulfilled by supporting artists.  We are always curious, learning, and willing to challenge our own assumptions.

Polyvinyl embraces our humble beginnings and DIY ethos by being positive, kind, and welcoming.  We strive for uniqueness, individuality and inclusivity in our staff and artist roster.","Sound Recording","11-50 employees","Privately Held","Champaign, IL","United States","polyvinylrecords.com","https://www.linkedin.com/company/polyvinyl-records"
