"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"European Space Agency - ESA","The European Space Agency (ESA) is Europe’s gateway to space. Its mission is to shape the development of Europe’s space capability and ensure that investment in space continues to deliver benefits to the citizens of Europe and the world. 

ESA is an international organisation with 23 Member States. By coordinating the financial and intellectual resources of its members, it can undertake programmes and activities far beyond the scope of any single European country. 

ESA's 23 Member States are Austria, Belgium, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Luxembourg, the Netherlands, Norway, Poland, Portugal, Romania, Slovenia, Spain, Sweden, Switzerland and the United Kingdom. 

Slovakia, Latvia and Lithuania are Associate Members. Canada takes part in some projects under a cooperation agreement. 

Four other EU states have Cooperation Agreements with ESA: Bulgaria, Croatia, Cyprus and Malta.","Space Research and Technology","1,001-5,000 employees","Government Agency","Paris, Île-de-France","France","esa.int","https://www.linkedin.com/company/european-space-agency"
,"Skyroot Aerospace","A new space age is emerging and the extraordinary opportunities in space depend on the transportation systems from Earth to Space. At Skyroot, we are building technologies for responsive, reliable and economic access to space. We envision a future where spaceflight is as regular, reliable and affordable as airflight. 

National Award Winner!","Space Research and Technology","501-1,000 employees","Privately Held","Hyderabad, Telangana","India","skyroot.in","https://www.linkedin.com/company/skyroot-aerospace"
,"Space42","Space42 is redefining the boundaries of SpaceTech, combining satellite communications, geospatial analytics, and AI to deliver transformative solutions from space.
 
Listed on the Abu Dhabi Securities Exchange (ADX), we are a UAE-based, AI-powered SpaceTech company with a global reach. We build technology and shape the future of AI-powered space technologies, redefining how industries interact with geospatial intelligence, satellite communications, and secure connectivity.
 
Our vision is to pioneer beyond today for humanity to experience a better tomorrow.","Space Research and Technology","501-1,000 employees","Privately Held","Abu Dhabi","United Arab Emirates","space42.ai","https://www.linkedin.com/company/space42ai"
,"Bellatrix Aerospace","Bellatrix Aerospace is an Indian Space company specializing in new age technologies for in-space mobility. 

The company is constantly evolving to facilitate development of key technologies in electric propulsion, green propulsion and orbital transfer vehicles.","Space Research and Technology","51-200 employees","Privately Held","Bengaluru, Karnataka","India","bellatrix.aero","https://www.linkedin.com/company/bellatrix-aerospace"
,"The Aerospace Corporation","The Aerospace Corporation is a leading architect for the nation’s space programs, advancing capabilities that outpace threats to the country’s national security while nurturing innovative technologies to further a new era of space commercialization and exploration. Aerospace’s national workforce of more than 4,600 employees provides objective technical expertise and thought leadership to solve the hardest problems in space and assure mission success for space systems and space vehicles.","Space Research and Technology","1,001-5,000 employees","Non Profit","Chantilly, Virginia","United States","aerospace.org","https://www.linkedin.com/company/the-aerospace-corporation"
,"Canadian Space Agency | Agence spatiale canadienne","L’Agence spatiale canadienne a pour mission de promouvoir l’exploitation et l’usage pacifiques de l’espace, de faire progresser la connaissance de l’espace au moyen de la science et de faire en sorte que les Canadiens tirent profit des sciences et techniques spatiales sur les plans tant social qu’économique.

Page LinkedIn officielle. Nous y publierons principalement des offres d’emploi, des communiqués de presse et des avis d’offre de participation. 
Visitez notre site Web (https://www.asc-csa.gc.ca) ou échangez avec nous sur les réseaux sociaux (https://www.asc-csa.gc.ca/ms-sm) pour en apprendre davantage.

Nétiquette : https://www.asc-csa.gc.ca/fra/avis.asp#avismediassociaux

//

The mandate of the Canadian Space Agency is to promote the peaceful use and development of space, to advance the knowledge of space through science and to ensure that space science and technology provide social and economic benefits for Canadians.

Official LinkedIn page where we will mainly share job postings, news releases and announcements of opportunities. Visit our Website (https://www.asc-csa.gc.ca) or connect with us on social media (https://www.asc-csa.gc.ca/ms-sm) for more.

Netiquette: https://www.asc-csa.gc.ca/eng/terms.asp#socialmedia
_________________________________________________________________________________","Space Research and Technology","501-1,000 employees","Government Agency","Saint-Hubert, Québec","Canada","asc-csa.gc.ca","https://www.linkedin.com/company/agence-spatiale-canadienne"
,"وكالة الفضاء السعودية | Saudi Space Agency","بقرار من مجلس الوزراء تم اعتماد تنظيم وكالة الفضاء السعودية لأهمية التركيز على الصناعة والابتكار في قطاع الفضاء
صدر قرار مجلس الوزراء باعتماد تنظيم وكالة الفضاء السعودية لتكون خطوة نحو مستقبل أكثر ابتكارًا وتطلعًا لأحدث التقنيات والفرص في قطاع الفضاء السعودي.
تتوافق أهداف وكالة الفضاء السعودية مع تطلعات المملكة نحو حياة أكثر جودة وتقدم، حيث تتوافق مع رؤيتها لخلق بيئات أفضل وأكثر أمانًا لمواطنيها، مع خلق فرص جديدة لمزيد من الابتكارات المربحة الداعمة للاقتصاد السعودي.
تقتضي استراتيجية وكالة الفضاء السعودية وضع مجموعة من الأهداف الأولية التي تركز على علوم الفضاء والبعثات الاستكشافية وخلق فرص جديدة في القطاع وتمكين الكوادر الوطنية لتحقيق النمو والتقدم بما يخدم الوطن والإنسانية.

The Council of Ministers Resolution approved the Saudi Space Agency statute for the importance of focusing on industry and innovation in the space sector

The Council of Ministers Resolution has been issued for the approval of The Saudi Space Agency statute, which is considered as a step towards a more innovative and forward-looking future for the latest technologies and opportunities in the Saudi space sector.

The Saudi Space Agency’s objectives align with the Kingdom’s aspirations for a more advanced quality of life, as they align with its vision to create better and safer environments for its citizens while creating new opportunities for more profitable innovations that support the Saudi economy.

The Saudi Space Agency’s strategy requires determining a set of primary goals that focus on space science and exploratory missions, creating new opportunities in the sector, and empowering national cadres to achieve growth and progress in a way that serves the country and humanity.","Space Research and Technology","201-500 employees","Government Agency","Riyadh, SA","Saudi Arabia","ssa.gov.sa","https://www.linkedin.com/company/saudi-space"
,"NSG Geospatial Services","With a national competencies and accumulated experiences, we provide innovative geospatial solutions. 
@NeoSpaceGroup","Space Research and Technology","501-1,000 employees","Public Company","Riyadh, Riyadh","Saudi Arabia","neospacegroup.com","https://www.linkedin.com/company/nsg-geospatial-services"
,"NSG Geospatial Services","With a national competencies and accumulated experiences, we provide innovative geospatial solutions. 
@NeoSpaceGroup","Space Research and Technology","501-1,000 employees","Public Company","Riyadh, Riyadh","Saudi Arabia","neospacegroup.com","https://www.linkedin.com/company/taqniaets"
,"Compass-University.com"," ʟɪɴᴋᴇᴅɪɴ ꜱᴘᴀᴄᴇ ɴᴇᴛᴡᴏʀᴋ 

𝐂𝐨𝐦𝐩𝐚𝐬𝐬-𝐔𝐧𝐢𝐯𝐞𝐫𝐬𝐢𝐭𝐲.𝐜𝐨𝐦 Strong educational professional as a Software Professor responsible for programming courses, lessons, instructor course & lesson software, and websites using advanced artificial general intelligence ChatGPT

𝐔𝐧𝐝𝐞𝐫𝐜𝐨𝐯𝐞𝐫-𝐒𝐨𝐟𝐭𝐰𝐚𝐫𝐞.𝐜𝐨𝐦 Special Effects Audio Visual, SFX, FX, research and development of video and photography manipulation, artificial telepathy, and subliminal learning, Compass University Fusion Center

𝐒𝐩𝐚𝐜𝐞𝐃𝐞𝐟𝐞𝐧𝐬𝐞𝐍𝐞𝐰𝐬𝐥𝐞𝐭𝐭𝐞𝐫.𝐜𝐨𝐦 Compass University school newsletter featuring jobs and careers in the Space Defense Industries, network security, technology, and work from home in space jobs

𝐒𝐡𝐚𝐰𝐧𝐃𝐮𝐭𝐭𝐨𝐧.𝐜𝐨𝐦 Editor Spacedefensenewsletter.com Flashprepper ""Computer Geeks with Doomsday Gear"" frequent traveler emergency preparedness

𝐀𝐫𝐞𝐚𝟓𝟏𝐌𝐮𝐬𝐞𝐮𝐦.𝐜𝐨𝐦 Space Medicine, Holistic Healing, ExoPolitics, UAP & UFO Disclosure, Curator and special investigator (Roswell Army Airfield Military Artifacts)","Space Research and Technology","2-10 employees","Educational","Colorado Springs, Colorado","United States","compass-university.com","https://www.linkedin.com/company/compass-university"
