"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Al-Enjaz Company","The Company was founded in 1398 Hijri
corresponding to1978 by Sheikh / Finjal Bin Sultan Elotibi.

Working in fields of road construction and maintenance, bridges, dams, tunnels, water tank pipes, sanitation, telephone, electrical works, and rock fragmentation.

We are one of the leading and initial company in the field of contracting.

Enjazco has worked with governmental institutions and other agencies including but not limited to, The Ministry of Transportation, Ministry of Municipal, Rural Affairs and Housing, Water and Electricity Regulatory Authority, Ministry of Higher Education , Saudi Authority for Industrial Cities and Technology Zones, and Others .","Specialty Trade Contractors","1,001-5,000 employees","Self Owned","Riyadh, Riyadh","Saudi Arabia","enjaz-co.com","https://www.linkedin.com/company/alenjaz"
,"Rezayat Group","The Rezayat Group has developed over several generations from its original trading roots in the Orient into a major diversified international enterprise with truly global horizons.

Led by family principles, it has repeatedly demonstrated its ability to respond flexibly and adapt effectively to the rapid changes and opportunities which have marked the international business environment over the past three quarters of a century.

The Group's outlook has always been international, and its interests and operations extend widely across different industries, with a focus on trading, construction, support services, manufacturing, financial services and investment.

Group Overview

The Rezayat Group has been trading for over fifty years with operations in 13 countries. Of its 25 companies, 14 are wholly owned, 11 joint ventures with major international partners, with a total of over 17,000 worldwide.

Group Activities:

Trading
Engineering & Construction
Investment & Insurance
Industrial Services
Food, Facilities & Travel
Logistics & Transportation
Life Support Services
Manufacturing
Marine Services
IT & Telecommunications

Primary Target Markets:

Oil, Gas and Petrochemicals
Water
Electricity
Insurance
Information Technology","Specialty Trade Contractors","10,001+ employees","Privately Held","Al Khobar, Eastern Province","Saudi Arabia","rezayat.com","https://www.linkedin.com/company/rezayat-group"
,"CoopCulture","La Società Cooperativa Culture, in breve CoopCulture, è  in Italia tra le aziende leader nel settore della valorizzazione del patrimonio culturale per dimensioni, know how e mercato. Gestisce servizi per musei ed esposizioni (progettazione e realizzazione di sistemi evoluti di accesso e fruizione, biglietteria, accoglienza e assistenza di sala, prenotazione, prevendita, didattica, marketing comunicazione) per biblioteche e archivi (reference, catalogazione, didattica, promozione) e servizi al territorio (progetti di marketing, sistemi di rete, card turistiche territoriali).","Specialty Trade Contractors","1,001-5,000 employees","Partnership","Venice - Rome - Naples - Turin","United States",,"https://www.linkedin.com/company/coopculture"
,"Apache Industrial","Apache is a leader in the industrial services industry and is recognized for keeping people safe. Apache is an integrated fabrication, manufacturing, and services business with a 400,000 square-foot fabrication facility and 40 locations across the United States and Canada.","Specialty Trade Contractors","1,001-5,000 employees","Privately Held","Houston, Texas","United States","apacheip.com","https://www.linkedin.com/company/apacheindustrial"
,"GTEL - GRUPO TÉCNICO DE ELETROMECÂNICA S.A.","Since 1975, GTEL has been providing services regarding assembly, installation and maintenance in the electrical, mechanical, utilities and fire protection areas. Acting within the entire national territory, GTEL performs services for light and heavy industry sector, commercial and power plant industries.

In order to conquer and sustain its leading position in a high competitiveness and ongoing innovation market, GTEL has been developing a partnership policy with its clients, offering technology, quality and efficiency.

Engineers and technicians, specialized in every single working area, keep following up every job execution from GTEL, demanding from ourselves and from the procedures a very demanding quality control.

As proof of its competence, GTEL has an excellent market reputation, qualified by various certificates of technical capability.

9001 ISO CERTIFICATED COMPANY.","Specialty Trade Contractors","1,001-5,000 employees","Partnership","SÃO PAULO, SÃO PAULO","Brazil","gtelsa.com.br","https://www.linkedin.com/company/gtel-eletromec-nica"
,"Facility Solutions Group","Founded in 1982, FSG thrives on hard work, dedication to excellence, and continuous learning, believing in positive outcomes for all.

From its origin as a small lighting distributor in San Antonio, TX, FSG has evolved into one of the country's leading commercial electrical contractors (ENR Top 25 in 2024). FSG offers a wide range of services including large new electrical construction, electrical service and specialty projects, lighting, solar, EV charging, smart buildings, prefabrication, telecom, technology, and sign fabrication.

With over 3,200 employees across the country, FSG operates in all 50 states and collaborates with major general contractors on diverse and high-profile projects in the healthcare, hospitality, transportation, municipality, education, and commercial sectors.

FSG's unique people-first approach to business seamlessly blends the capabilities of a national service provider with the personalized touch of a local business.","Specialty Trade Contractors","1,001-5,000 employees","Privately Held","Austin, Texas","United States","fsg.com","https://www.linkedin.com/company/facility-solutions-group"
,"GEOCEAN","GEOCEAN is a marine work contractor, based near Marseille, in the south of France, with 30 years experience worldwide.

Our primary experience, offshore soil investigations, has been transmitted to all our teams. They have the know-how to analyze a natural marine site, evaluate the difficulties, and design and adapt your facilities to the particularities of your site. This expertise is more particularly focused on nearshore sites, where offshore gradually become onshore.

GEOCEAN has carried out its first marine renewable energy project : synergies with past projects have been and will be beneficial on this growing market.

GEOCEAN routinely controls and performs all aspects of your project to offer turnkey project services. We specialize in engineering and installation of subsea pipelines coastal works, such as wharves, jetties, quays, or any type of submarine work, when special and difficult situations have to be resolved.","Specialty Trade Contractors","11-50 employees","Public Company","Cassis, Bouches du Rhône","France","geocean.com","https://www.linkedin.com/company/geocean"
,"Elite Prime Electromechanical Services W.L.L.","Elite Prime is an electromechanical engineering specialist company undertaking the Design, Engineering, Supply, Installation, Testing, Commissioning and Maintenance of Fire Protection, Fire Alarm, Mechanical, Electrical, and Plumbing services for commercial and residential projects.

We deal in contracting and maintenance services where we cover the diverse needs of our clients in different kinds of sectors such as commercial, residential, healthcare, and education. 

Our team, consists of talented professionals, and is one of the best in the industry with expertise and knowledge to serve our clients' requirements of Fire Protection & M.E.P. business.

ELITE is committed to continuous improvements in order to ensure the delivery & provision of the highest standards of services at all times. We ensure personnel proficiency through product and system training.

Economic growth around the world has brought new industrial technologies, increased competition, and hazardous working environments. This, in turn, has resulted in tighter regulations and a new worldwide legislation is being brought into force to protect lives, environment and property. 

In view of the above, the objective of ELITE is to provide and recommend optimal solutions for all fire risks and to also fully engineer the electromechanical services in the construction projects.

We at ELITE, take pride in our reputation, technical expertise, and business excellence. 

We feel proud to be associated with many of the leading companies and to provide solutions and services to prestigious & important clients in Qatar that we have been serving over the years.","Specialty Trade Contractors","201-500 employees","Privately Held","Doha","Qatar","eliteprime-qa.com","https://www.linkedin.com/company/eliteprimeqa"
,"GRUPO CCR","O Grupo CCR administra um portefólio diversificado de empresas com operações em setores diversos, tais como construção, engenharia, metalomecânica, instalações elétricas e hidráulicas, carpintaria, imobiliário, entre outros.","Specialty Trade Contractors","201-500 employees","Privately Held","Póvoa de Varzim","Portugal","grupoccr.pt","https://www.linkedin.com/company/grupoccr"
,"Conorte Serviços Industriais","Acreditamos no poder das realizações — das grandes obras aos sonhos individuais de cada pessoa que veste nosso uniforme.

Somos a Conorte Serviços Industriais, referência em montagem, manutenção, construção e serviços especializados para a indústria — com base operacional no Polo Industrial de Barcarena (PA) e atuação em projetos por todo o Brasil.

O que nos move
Segurança inegociável. Já superamos 5,9 milhões de horas-humanas sem acidentes com afastamento

Gente em primeiro lugar. Fomos certificados como “Lugar Incrível para Trabalhar” pela FIA. Estimulamos liderança inspiradora, respeito e protagonismo, porque sabemos que carreiras sólidas constroem resultados consistentes.


Inovação e excelência operacional. De grandes paradas industriais a contratos contínuos de manutenção, combinamos tecnologia, engenharia de ponta e processos enxutos para entregar valor com prazo e qualidade — sempre alinhados às melhores práticas de HSE e ESG.


Compromisso com a comunidade. Geramos empregos, investimos em capacitação profissional e atuamos de forma ética e sustentável para promover desenvolvimento regional.


Vem crescer com a Conorte
Se você quer evoluir em um ambiente onde segurança, respeito e desenvolvimento caminham juntos, seu lugar é aqui. Cadastre-se em nosso portal de carreiras (Gupy) e acompanhe as oportunidades que impulsionam trajetórias e fortalecem a indústria brasileira.

conorte.com.be/vagas

Conecte-se, acompanhe nossas histórias de realização e descubra como podemos transformar o futuro juntos.","Specialty Trade Contractors","1,001-5,000 employees","Privately Held","Barcarena, PA","Brazil","conorte-pa.com.br","https://www.linkedin.com/company/conorte-serviços-industriais-ltda"
