"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"FC Bayern München","Bayern Munich, FC Bayern, or simply FCB, is one of Europe's biggest and most successful sports clubs based in Munich, Bavaria, Germany. It is best known for its professional football team, which plays in the Bundesliga, the top tier of the German football league system, and for being the most successful club in German football history, having won a record 34 national titles and 20 national cups.","Sports Teams and Clubs","1,001-5,000 employees","Public Company","München, Bayern","Germany","fc.bayern","https://www.linkedin.com/company/fcbayern"
,"Boston Red Sox","Major League Baseball club and member of the American League East Division.  Fenway Park, the Red Sox' home ballpark, celebrated its 100th Anniversary during the 2012 season.  World Series Champions:  1903, 1912, 1915, 1916, 1918, 2004, 2007, 2013, and 2018.  For further information, please visit www.redsox.com.

Find a listing of available jobs at https://jobs.lever.co/redsox","Sports Teams and Clubs","201-500 employees","Privately Held","Boston, Massachusetts","United States","mlb.com","https://www.linkedin.com/company/boston-red-sox"
,"S.E. Palmeiras","A Sociedade Esportiva Palmeiras é um clube poliesportivo brasileiro sediado em São Paulo que tem como modalidade esportiva principal o futebol, e é um dos times mais vencedores e de maior torcida do país. As cores do clube, presentes no escudo e bandeira oficial são o verde e branco. O vermelho, presente desde sua fundação, em 1914, foi excluído durante a Segunda Guerra Mundial, por pressão do governo nacional, na mesma reunião que formalizou a mudança de nome de Palestra para Palmeiras. 

O Verdão é o time com mais títulos nacionais conquistados, sendo o único a vencer todas as competições oficiais que disputou criadas no País, inicialmente pela Confederação Brasileira de Desportos (CBD) e, a partir da década de 1970, pela Confederação Brasileira de Futebol (CBF): o alviverde possui 16 conquistas deste porte, com destaque maior para seus 12 títulos do Campeonato Brasileiro (1960, 1967, 1967, 1969, 1972, 1973, 1993, 1994, 2016, 2018, 2022 e 2023). Além destes campeonatos, o Palmeiras já venceu quatro vezes a Copa do Brasil (em 1998, 2012, 2015 e 2020), uma vez a Copa dos Campeões (em 2000), e uma vez a Supercopa do Brasil (2023), competições essas também organizadas pela entidade máxima do futebol brasileiro.

No Estado de São Paulo, o Palmeiras também é um dos principais vencedores, com 27 conquistas Estaduais, sendo 26 do Campeonato Paulista (1920, 1926, 1927, 1932, 1933, 1934, 1936, 1940, 1942, 1944, 1947, 1950, 1959, 1963, 1966, 1972, 1974, 1976, 1993, 1994, 1996, 2008, 2020, 2022, 2023 e 2024), e mais dois Campeonatos Paulistas Extras (1926 e 1938). 

E interestadualmente falando, são cinco Torneios Rio-São Paulo (1933, 1951, 1965, 1993 e 2000). Vale lembrar que algumas dessas edições eram tão importantes quanto um Nacional.

E no âmbito internacional, o Palmeiras é o primeiro clube a ter sido campeão mundial, em 1951 (Copa Rio) e ainda acumula três Libertadores da América (1999, 2020 e 2021), uma Copa Mercosul (1998) e uma Recopa Sul-Americana (2022).","Sports Teams and Clubs","501-1,000 employees","Privately Held","São Paulo, SP","Brazil","palmeiras.com.br","https://www.linkedin.com/company/s-e--palmeiras"
,"Club Atlético River Plate","River Plate es el club más popular de la República Argentina, con más de 350.000 socios, más de 20 millones de hinchas en el país y miles en cada rincón del mundo. La Institución cuenta con 38 títulos nacionales (el más ganador) y 12 copas internacionales. Es el equipo que más encuentros ganó en la historia del fútbol argentino, el que más goles marcó, el que menos goles recibió y el que más jugadores aportó a la Selección Argentina.
Además, el Estadio Mâs Monumental es uno de los escenarios emblemáticos del mundo y el más grande de Sudamérica, con una capacidad de 85.018 espectadores. Es el lugar elegido por la Selección Nacional y por las principales bandas y cantantes internacionales para brindar sus espectáculos. Más de dos millones de personas lo visitan anualmente, entre el público que asiste a los eventos y turistas que realizan visitas guiadas. Junto a los 7000 socios que diariamente realizan actividades, este número asciende casi a los tres millones.
El Club cuenta con más de 20 deportes federados, múltiples actividades recreativas, un complejo polideportivo de primer nivel y una pensión que alberga a 120 futbolistas juveniles.
River Plate no es sólo deporte: cuenta con un Instituto educativo para 1500 alumnos y un Instituto Universitario inaugurado en 2013.
Todos los visitantes pueden deleitarse y emocionarse con el Museo River, el más grande y moderno del mundo, en donde podrán recorrer toda la historia riverplatense en videos, imágenes y atracciones.","Sports Teams and Clubs","501-1,000 employees","Non Profit","CABA, Buenos Aires","Argentina","cariverplate.com.ar","https://www.linkedin.com/company/club-atletico-river-plate"
,"Kansas City Royals","The Kansas City Royals are a Major League Baseball team based in Kansas City, Missouri. The Royals are a member of the Central Division of Major League Baseball's American League. Kauffman Stadium has always been one of the crown jewel ballparks of Major League Baseball. Having hosted millions of fans since 1973, ""The K"", with its signature look, has proudly stood the test of time.

Find a listing of available jobs at http://kansascity.royals.mlb.com/mlb/help/jobs.jsp?c_id=kc","Sports Teams and Clubs","201-500 employees","Privately Held","Kansas City, MO","United States","royals.com","https://www.linkedin.com/company/kansas-city-royals"
,"Vasco da Gama SAF","A história mais bonita do futebol passa a ter um novo capítulo com a criação da Vasco da Gama SAF.","Sports Teams and Clubs","201-500 employees","Privately Held","Rio de Janeiro , Rio de Janeiro","Brazil","vasco.com.br","https://www.linkedin.com/company/vasco-da-gama-saf"
,"Hellenic Olympic Committee","Committee
The mission of the HOC is to oversee and act to ensure the development, promotion and safeguarding of the Olympic Movement, the spirit of fair play and out-of-school physical activity, in accordance with the principles of the Olympic Ideal and the traditions of the Hellenic sport. The HOC’s role is: To supervise the Olympic Sports and cooperate with the State as well as with the public and private bodies for the promotion of healthy sport policies. To encourage love for sports and respect for the spirit of sportsmanship among the young. To organise in cooperation with the National Federations the Olympic preparation of athletes. To proceed, on its sole responsibility, to the final selection of athletes who will represent Greece at the Olympic and Mediterranean Games.","Sports Teams and Clubs","11-50 employees","Non Profit","Khalándrion, Attiki","Greece","hoc.gr","https://www.linkedin.com/company/hellenic-olympic-committee"
,"Florida Panthers","The Florida Panthers are a National Hockey League (NHL) team based in Sunrise, FL and play their home games out of Amerant Bank Arena. They won their first Stanley Cup Championship in franchise history on June 24, 2024.

Awarded a franchise on December 10, 1992, the Panthers officially began play during the 1993-94 season and are owned by Vincent Viola with Bill Zito serving as President, Hockey Operations & General Manager, and Paul Maurice serving as Head Coach. Aleksander Barkov serves as the team's captain, earning the honor ahead of the 2018-19 season.

The Panthers compete in the NHL's Atlantic Division out of the Eastern Conference.

Join the Territory by following @flapanthers on Twitter, Instagram, TikTok, YouTube, and Facebook!","Sports Teams and Clubs","201-500 employees","Privately Held","Sunrise, Florida","United States","floridapanthers.com","https://www.linkedin.com/company/florida-panthers"
,"SV Werder Bremen GmbH & Co KG aA","Der SV Werder Bremen ist mit knapp 50.000 Mitgliedern einer der größten und zugleich traditionsreichsten Sportvereine Deutschlands. Kerngeschäft ist der männliche Profi-Fußball. Als Gründungsmitglied der Fußball-Bundesliga konnten die Grün-Weißen bereits vier nationale Meisterschaften und sechs Pokalsiege feiern. Den größten Triumpf der 125-jährigen Geschichte des Sport-Vereins „Werder“ von 1899 e.V. feierte Werder mit dem Gewinn des Europapokals der Pokalsieger 1992. Wahrzeichen und Heimat des Vereins ist das WESERSTADION mit seinen charakteristischen Flutlichtmasten, zentrumsnah gelegen zwischen Weser und dem belebten Bremer „Viertel“.

Der SV Werder hat heute über 200 Mitarbeiter:innen und gilt unter anderem im eFootball sowie dem CSR-Engagement des Vereins national als Vorreiter. Seit vielen Jahren tritt Werder aktiv gegen Diskriminierung und Rassismus ein, darüber hinaus setzt sich der Verein für mehr Diversität, Gleichberechtigung und die Förderung von Frauen im Unternehmen ein, unter anderem durch die Initiative „Fußball kann mehr“. Die Fußballfrauen des Vereins sind etabliertes Mitglied der Google Pixel Frauen-Bundesliga. Als erster deutscher Profi-Klub schloss sich Werder 2022 zudem der globalen Bewegung „Common Goal“ an.","Sports Teams and Clubs","201-500 employees","Public Company","Bremen","Germany","werder.de","https://www.linkedin.com/company/svwerderbremen"
,"Sport-Club Freiburg e.V.","Im Frühjahr 1904 gegründet, dauerte es knapp 90 Jahre, bis der SC in der Saison 1993/94 sein Bundesligadebüt feiern konnte. Mit wirtschaftlicher Weitsicht, einem familiären Klima im Club und seinem Umfeld sowie personeller Konstanz, ist es dem Sport-Club seitdem gelungen, der finanziell oftmals besser gestellten Konkurrenz auf Augenhöhe zu begegnen. In der Spielzeit 2021/22 ging der SC Freiburg in seine mittlerweile 22. Bundesligasaison.

Die größten Erfolge des SC sind der dritte Platz in der Bundesliga (Saison 1994/95), vier Meistertitel in der 2. Bundesliga (1993/94, 2003/04, 2009/10 und 2015/16), das Erreichen des Pokalfinals 2022, sowie sechs Qualifikationen für den UEFA-Pokal beziehungsweise die heutige UEFA Europa League (1995/96, 2001/02, 2013/14, 2017/18, 2022/23, 2023/24). Mit über 60.000 Mitgliedern zählt der SC Freiburg zu den größten Vereinen Baden-Württembergs. 

Der SC Freiburg versteht sich als Ausbildungsverein. Bereits seit 2001 – bevor im deutschen Profifußball verpflichtend Nachwuchsleistungszentren (NLZ) eingeführt wurden – werden in der Freiburger Fußballschule junge Spieler zu gestandenen Profis geformt. Dabei achtet der Sport-Club neben der sportlichen Weiterentwicklung auch auf die schulische Lehre seine Fußballschüler. Mit verschiedenen Projekten und Arbeitsgemeinschaften an Freiburger Schulen fördert der SC außerdem die körperliche Aktivität der Jugend. 

Auch abseits des Platzes ist sich der SC seiner Verantwortung bewusst: Mit sozialem Engagement in den Bereichen Bildung, Umwelt, Bewegung und Solidarität möchte der SC gemeinsam mit seinen Sponsoren und Partnern einen gesellschaftlichen Beitrag leisten.","Sports Teams and Clubs","201-500 employees","Non Profit","Freiburg, Baden-Württemberg","Germany","scfreiburg.com","https://www.linkedin.com/company/sport-club-freiburg-e.v."
,"Board of Control for Cricket in India (BCCI)","Promotes the sport of Cricket in India","Sports Teams and Clubs","10,001+ employees","Public Company","Mumbai, Maharashtra","India","bcci.tv","https://www.linkedin.com/company/board-of-control-for-cricket-in-india-bcci"
,"Ipswich Town FC","Having achieved promotion in the 2023/24 season, Ipswich Town are now members of the Premier League and play their home fixtures at Portman Road.
 
Originally formed as an amateur club in 1878, it was not until 1936 that the club turned professional. After winning the Southern League at the first attempt and finishing third the following season, Town were elected to the Football League in May 1938.
 
The club’s greatest successes include winning the First Division Championship, under Alf Ramsey who later won the World Cup with England, in 1962, lifting the FA Cup at Wembley in 1978, and winning the UEFA Cup after beating AZ Alkmaar of the Netherlands over two legs in the final in 1981.
 
The 1990s included Town playing in the inaugural season of the Premier League, and, having dropped to the second tier, securing promotion back to the top flight with a memorable play-off final victory over Barnsley in 2000.
 
Having been relegated to League One in 2019, the club was taken over by Gamechanger 20 Ltd in April 2021. Under the management of Kieran McKenna, who took charge at Portman Road in December 2021, the Blues were promoted back to the Championship at the end of the 2022/23 season.
 
Town continued their strong form in 2023/24, securing 96 points and automatic promotion to the top division of English football.","Sports Teams and Clubs","51-200 employees","Privately Held","Ipswich, Suffolk","United Kingdom","itfc.co.uk","https://www.linkedin.com/company/ipswich-town-fc"
,"Toronto Tempo","The Toronto Tempo Basketball Club.","Sports Teams and Clubs","2-10 employees","Privately Held",,,"wnba.com","https://www.linkedin.com/company/tempobasketball"
,"Red Bull – BORA – hansgrohe","Official Page of the Professional Cycling Teams

 Red Bull - BORA - hansgrohe (WT)
 Red Bull - BORA - hansgrohe Rookies (CT)
 grenke - Auto Eder (U19)","Sports Teams and Clubs","51-200 employees","Public Company","Niederndorf, Tirol","Austria","redbullborahansgrohe.com","https://www.linkedin.com/company/redbullborahansgrohe"
,"Villarreal CF","Bienvenidos a la página oficial en LinkedIN del Villarreal CF, SAD.

Nuestra institución es una entidad caracterizada por una apuesta firme por la excelencia deportiva y por el compromiso con el desarrollo de jugadores propios provenientes de la cantera. Este compromiso se traslada a cada uno de los profesionales que conforman el club. Su esfuerzo y dedicación ha permitido que el Submarino Amarillo pasara de ser un equipo regional a codearse con los más grandes de Europa en solo una década, manteniendo la humildad y el respecto como insignias del Villarreal CF.","Sports Teams and Clubs","201-500 employees","Privately Held","Vila-real, Castellón","Spain","villarrealcf.es","https://www.linkedin.com/company/villarreal-cf-sad"
,"Sports Data Campus","Los principales profesionales del Big Data y la tecnología aplicada al Deporte, a nivel internacional, se suman a nosotr@s, para contribuir a crear el Mayor Campus de Formación especializada en Analítica Avanzada aplicada al Fútbol, Big Data y Tecnología deportiva del mundo.
Contamos con una Oferta Académica insuperable, adaptada para todos los perfiles y a múltiples necesidades relacionadas con la Aplicación del Big Data y la Analítica Avanzada, tanto en el mundo del fútbol como en otros deportes.
Aprende y disfruta junto a los profesionales que colaboran con nosotros en todos nuestros programas y eventos, haciendo posible un proyecto único, convirtiendo el Sports Data Campus en una experiencia formativa inigualable y única.","Sports Teams and Clubs","51-200 employees","Educational","Online","Indonesia","sportsdatacampus.com","https://www.linkedin.com/company/sports-data-campus"
,"Club Atlético Boca Juniors","El Club Atlético Boca Juniors continúa en plena expansión a través de un ambicioso Plan Estratégico integral que implica renovación en todos los sectores. Para el próximo campeonato se verán muchos frutos del mismo. Por eso es que decimos que somos UN CLUB CADA DIA MAS GRANDE.","Sports Teams and Clubs","201-500 employees","Partnership","Buenos Aires City, Buenos Aires Autonomous City","Argentina","bocajuniors.com.ar","https://www.linkedin.com/company/boca-juniors"
,"Citroën Racing Formula E Team","Join us as we race around the world in the all-electric FIA Formula E World Championship","Sports Teams and Clubs","11-50 employees","Privately Held","Monaco","Monaco","msgracing.com","https://www.linkedin.com/company/citroenracing"
,"Maserati MSG Racing","New colours, same values. Welcome to the home of Maserati MSG Racing.","Sports Teams and Clubs","11-50 employees","Privately Held","Monaco","Monaco","maseratimsgracing.com","https://www.linkedin.com/company/maseratimsg"
,"Derby County Football Club","Derby County Football Club is a professional football club based in Derby, England. Notable for being one of the 12 founding members of the English Football League in 1888, it is one of only 10 clubs to have competed in every season of the English Football League and, in 2009, was ranked 137th in the top 200 European football teams of the 20th century by International Federation of Football History and Statistics.

Derby County Football Club was founded in 1884, by William Morley, as an offshoot of Derbyshire County Cricket Club. The club's competitive peak came in the 1970s when it had two spells as English League Champions and competed in major European competitions on four separate occasions, reaching the European Cup semi-finals, as well as winning several minor trophies. 

The club adopted its now traditional black and white club colours in the 1890s and appropriated its club nickname The Rams, a tribute to its links with the First Regiment of Derby Militia, which took a ram as its mascot and the song ""The Derby Ram"" as its regimental song, at the same time. Home games are played at Pride Park Stadium, located in Pride Park, Derby, where the club moved in 1997.

Derby County is owned by Clowes Developments (UK) Ltd after they finalised their purchase of the football club in July 2022.","Sports Teams and Clubs","51-200 employees","Public Company","Derby","United Kingdom","dcfc.co.uk","https://www.linkedin.com/company/derby-county-football-club"
,"Luton Town Football Club","The official LinkedIn account of Luton Town Football Club.","Sports Teams and Clubs","51-200 employees","Public Company","Luton, Bedfordshire","United Kingdom","lutontown.co.uk","https://www.linkedin.com/company/luton-town-football-club"
,"Unrivaled Basketball","A professional women's basketball league that is innovating the sports landscape, built in collaboration with the biggest stars in the game. 

Co-Founded by Breanna Stewart and Napheesa Collier, Unrivaled is player-owned, providing participating players equity opportunities for a vested interest in the league's success. Launched in January 2025, Unrivaled features the current top women's basketball stars in the world across eight clubs for a 3-on-3, compressed full court style of play for games every Friday, Saturday, Sunday and Monday on TNT, truTV and HBO Max from January 5 - March 4, 2026.","Sports Teams and Clubs","11-50 employees","Privately Held","Miami, Florida","United States","unrivaled.basketball","https://www.linkedin.com/company/unrivaled-league"
,"Vegas Golden Knights","Welcome to the official LinkedIn page for the Vegas Golden Knights, NHL Hockey Franchise. #VegasBorn","Sports Teams and Clubs","501-1,000 employees","Privately Held","Las Vegas","United States","nhl.com","https://www.linkedin.com/company/vegas-golden-knights"
,"Grêmio Foot-Ball Porto Alegrense","Página OFICIAL do Grêmio FBPA • facebook.com/Gremio • instagram.com/gremio • youtube.com/gremiotvoficial • tiktok.com/@gremio","Sports Teams and Clubs","201-500 employees","Partnership","Porto Alegre, Rio Grande do Sul","Brazil","gremio.net","https://www.linkedin.com/company/grêmio-foot-ball-porto-alegrense"
