"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Sports Management Worldwide","The vision of Sports Management Worldwide is to revolutionize the sports agent industry into one where agents, in addition to providing excellent representation, have a positive impact on the athletes they represent. SMWW works to achieve this goal in two ways: As a provider of sports management education, we strive to prepare a new generation of athlete representatives with knowledge, critical thinking, ethics, integrity, skills, and the passion to succeed. As a full functioning sports agency, we offer our clients an array of services from financial to contractual to personal consulting enabling them to more fully focus on their sport.","Sports and Recreation Instruction","11-50 employees","Educational","Honolulu, Hawaii","United States","sportsmanagementworldwide.com","https://www.linkedin.com/company/sports-management-worldwide"
,"UCPA","UCPA
Union nationale des Centres Sportifs de Plein Air


«45 ans de passion au service du sport et de la jeunesse »

L'UCPA est une association à but non lucratif de loi 1901 créée en 1965. C'est une union d'associations unique en France, composée uniquement de personnes morales. Elle est administrée par les pouvoirs publics, dont les ministères en charge de la Santé, de la Jeunesse, des Sports et de la Vie associative, les collectivités territoriales ainsi que par les grands mouvements de jeunesse et d'éducation populaire français, qui en assurent par alternance la présidence, et par les principales fédérations sportives de sports de plein air. L'association UCPA inscrit son projet humaniste, social et citoyen dans le prolongement du service public, et participe à la mise en œuvre des politiques publiques destinées à la jeunesse.

L'UCPA répond à trois missions, qui se déclinent en trois métiers, au service de l'ensemble des jeunes européens, âgés de 6 à 39 ans. 

L’UCPA en chiffres : 
45 années d’expérience 
Près de 80 activités sportives 
139 sites de pratique dont 21 à l’étranger 
Une trentaine de croisières proposées 
320 programmes itinérants 
Une présence dans plus de 70 pays 
220 000 stagiaires accueillis chaque année dont 87 000 mineurs 
Plus d’1 million d’heures de cours dispensé tous les ans dans le cadre des loisirs sportifs 
1 600 jeunes accueillis par an en formation professionnelle 
412 000 heures de formation dispensées par l’Institut de formation aux métiers de sport et de l’animation 
90 000 jeunes bénéficiaires d’actions de solidarité 
730 salariés permanents 
de 950 (aux mois de novembre) à 3 130 (aux mois d’août) salariés en CDD 
154 millions d’euros de chiffre d’affaires annuel 
Près de 9 millions de stagiaires accueillis depuis la création de l’UCPA","Sports and Recreation Instruction","10,001+ employees","Non Profit","Arcueil, Île-de-France","France","ucpa.asso.fr","https://www.linkedin.com/company/ucpa"
,"London Sport","Physical inactivity is responsible for 1 in 6 premature deaths.

That's why London Sport wants all Londoners to live happier, healthier lives through being active. 

Our focus is on children and adults in the most deprived communities who face the greatest challenges of inequality.

Collaborating with those who share our vision, we can help every community in London find their way to move more.

Let's Move London.","Sports and Recreation Instruction","51-200 employees","Non Profit","London, England","United Kingdom","londonsport.org","https://www.linkedin.com/company/london-sport"
,"Sportz Village","Sportz Village is India’s largest school sports organization that aims to create champions and win in life. Established in 2003, the organization’s philosophy is focused on improving the health and well-being of children by making sport an integral part of child’s education and development. Whether it’s through their pioneering structured sports and physical education (P.E) program, EduSports, their efforts to use sport for positive change in public schools, or their support for student-athletes, Sportz Village is committed to creating champions, both on and off the field. Additionally, Sportz Village serves as a strategic partner and advisor for sports education to organizations such as NSDC, CII, NITI Aayog, and various state governments. Their programs are currently benefiting over 300,000 children and youth from more than 500 private and public schools across 22 states in India, and have cumulatively touched the lives of more than 60 lakh children.","Sports and Recreation Instruction","1,001-5,000 employees","Privately Held","Bangalore, Karnataka","India","sportzvillage.com","https://www.linkedin.com/company/sportz-village"
,"Aqua-Tots Saudi Arabia","Teaching kids swimming skills to prevent drowning also to become safe and confident swimmer.
نعمل معاً على مدار العام لمنع غرق الأطفال من خلال تعليمهم مهارات سلامة المياه ليصبحوا سباحين آمنين وواثقين مدى الحياة.","Sports and Recreation Instruction","51-200 employees","Privately Held","Al malqa Dist, Riyadh","Saudi Arabia","aqua-tots.com","https://www.linkedin.com/company/aqua-tots-saudi"
,"ISD Dubai Sports City","ISD lies in the heart of Dubai Sports City, one of the most easily accessible locations from most of Dubai's residential hubs.

Our top-tier sports facility has brought both amateur and professional athletes from all over the city for nearly three years.

We cater to sports enthusiasts of all ages & levels, by providing top class venues to play, training programs, access to sports scientists, nutritionists, and
fitness facilities. We are also a gathering spot of choice for sports & entertainment fans to meet and enjoy live and streamed events.","Sports and Recreation Instruction","51-200 employees","Privately Held","Dubai, Dubai","United Arab Emirates","isddubai.com","https://www.linkedin.com/company/isd-dubai"
,"Wildster","** Wildster’s core product and IP were acquired by a private investor group in 2024 and continue to operate under a different brand. **

Wildster was a vertical marketplace for youth sports and activities, connecting families, verified coaches, and venues on a single, trusted platform. We streamlined discovery, booking, and payments so coaches could focus on training and families could focus on play.","Sports and Recreation Instruction","51-200 employees","Privately Held","Superior, Colorado","United States","wildster.com","https://www.linkedin.com/company/wildster-com"
,"Game Theory","Game Theory (a Techstars backed company) is ""Gamifying"" the experience of playing sports.","Sports and Recreation Instruction","51-200 employees","Privately Held","Bengaluru, Karnataka","India","gametheory.in","https://www.linkedin.com/company/gametheoryindia"
,"Super Soccer Stars","Super Soccer Stars is the nation’s most popular soccer development program for early childhood, elementary, and middle school children. Since our inception in Fall 2000, Super Soccer Stars has been providing outstanding community-based soccer development instruction to children in over 1,000 schools, childcare centers, and facilities in New York Metropolitan Region, New Jersey, Connecticut, Boston, Los Angeles, San Diego, San Francisco, Miami, Chicago, Pennsylvania, Texas, Hawaii, and Washington, D.C. Super Soccer Stars currently operates 3,300 classes per week in over 1,200 locations for over 140,000 boys and girls ages 12 months to 18 years old annually.  

We also have 47 Travel Teams through Soccer Stars United, our advanced development and travel program, throughout New York, Los Angeles, Florida, and more in development. 

From the East to the West, to across the Atlantic, Super Soccer Stars is spreading soccer fun. Come kick with us!","Sports and Recreation Instruction","201-500 employees","Privately Held","New York, NY","United States","supersoccerstars.com","https://www.linkedin.com/company/super-soccer-stars"
,"Centre For Sports Excellence","CSE is a fully integrated, first-of-its-kind sporting hub in Bengaluru, spread across 24 acres. We provide world-class, hassle-free infrastructure across 11 sports, including Badminton, Cricket, Football, Tennis, Swimming, Shooting, Squash, Basketball, Volleyball, Padel and Pickleball.

Our facilities cater to high-performance athletes, qualified coaches, and recreational users, making CSE a hub where sport and community come together. 

#BeYourBest","Sports and Recreation Instruction","11-50 employees","Privately Held","Bangalore, Karnataka","India","centreforsports.in","https://www.linkedin.com/company/centre-for-sports-excellence-pvt-ltd"
,"Joel Jota",,"Sports and Recreation Instruction","11-50 employees","Privately Held",,,"joeljota.com.br","https://www.linkedin.com/company/joel-jota"
,"The British Mountaineering Council","The BMC (British Mountaineering Council) is the representative body that exists to protect the freedoms and promote the interests of climbers, hill walkers and mountaineers, including ski-mountaineers. 

It's not just The BMC it's your BMC.","Sports and Recreation Instruction","11-50 employees","Non Profit","Manchester, Greater Manchester","United Kingdom","thebmc.co.uk","https://www.linkedin.com/company/the-british-mountaineering-council"
,"Institute of Swimming","We are the largest provider of Swim England qualifications and aquatics courses with over 35 years industry experience. We offer flexible, industry leading training, delivered by exceptional tutors. 

High quality education
High quality courses and tutors lead to outstanding swimming teachers. 

Flexible courses
Our industry-leading online learning means that courses can fit around work, lifestyle and learning needs.  

A unique presence in swimming
We work in conjunction with Swim England and exist for the good of the sport; developing the best aquatic professionals is our priority.","Sports and Recreation Instruction","11-50 employees","Educational","Loughborough","United Kingdom","instituteofswimming.org","https://www.linkedin.com/company/institute-of-swimming"
