"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Group Nirmal","Group Nirmal under the leadership of our founder and visionary Shri Ram Autar Saraf laid the foundation of a small steel drawing unit in the year 1971. After many years of hard labour and despite turbulent conditions, in the year 1985 he went a step forward and put up a steel wire galvanising plant under the name of Nirmal Wires Pvt. Ltd. This was an act of forward integration to the existing drawing operation. At this stage, Mr. Nirmal Saraf, Mr. Raman Saraf and Mr. Piyush Saraf joined the business, and together the team knew no limits. In a few years, we established a flourishing business in the field of steel wires.

Under the direction of our third generation of leaders, Mr. Varun Saraf, Mr. Prateek Saraf, Mr. Vidyut Saraf and Mr. Parag Saraf, we built up a clientele who were extremely happy with the quality of the products manufactured and services rendered. From here,we moved from one milestone to another, now manufacturing a wide range of world-class products including Galvanised and Black Steel Wires, Conductors, Construction Steel, Welding Electrodes and Hot Rolled Steel Products with an annual capacity of 1,80,000 metric tonnes.

Being innovative leaders in the manufacturing of steel wires, our quality speaks for our products. Our retail segment also caters to a wide range of Agricultural Wires catering to farming, vineyards, poultry, security as well as Electrodes under Nirmal- 6013. These are available at retail counters pan-India.","Spring and Wire Product Manufacturing","501-1,000 employees","Privately Held","Kolkata, West Bengal","India","groupnirmal.com","https://www.linkedin.com/company/nirmal-wires-private-limited"
,"CGR International","Founded in 1963, CGR has always sought to be close to our clients wherever they are, supported by our workforce of 1,500 people and 24 production sites on 4 continents. We specialize in co-engineering and serial production of mechanical-end mechatronic components by cold transformation and overmolding of metal. Our autonomous production units share the same methodology, offering high reactivity, consistent quality and secure supply around the world. A global footprint that means we can deliver high volumes with optimized logistics.","Spring and Wire Product Manufacturing","1,001-5,000 employees","Privately Held","SEVRAN","France","cgr-international.com","https://www.linkedin.com/company/cgrinternational-"
,"Maktel Makina ve Tel Sanayii A.Ş.","Maktel, holds a leading position in its sector with its longstanding history and innovative vision. With its experience since back to 1971, it specializes in superior and high-quality spring production.
We carefully evaluate feedback to understand our customers' needs and provide them with the most suitable solutions, while closely following technology and all innovations.
With more than 150 experienced, each of whom is specialized in their field, we work in harmony and unity to maintain customer satisfaction at the highest level. Honesty, quality, and continuous improvement principles are at the heart of our business.
Sustainability and environmental consciousness are also fundamental values of our company. 
Maktel, continues to maintain its leading position in the industry with its emphasis on reliability, quality, and customer satisfaction, and eagerly progresses towards the future.","Spring and Wire Product Manufacturing","51-200 employees","Privately Held","Maltepe, Istanbul","Turkey","maktel.com.tr","https://www.linkedin.com/company/maktel-makina"
,"Berkenhoff GmbH (bedra)","As a top international manufacturer of high-quality precision wires and alloys of non-ferrous metals, we distinguish ourselves in the market through high quality and smart services. Absolute customer focus. This is a long tradition for us – ever since the company was founded in 1889. Our ability to innovate, along with our well-known reliability, set us apart. These two strengths have made bedra a leader in quality and a leader in the market. Year after year, our plants produce more than 30 million kilometers of precision wire and rods – in over 100 alloy versions.
Added value for our customers. This is the yardstick for all our successes. As early as 1889, company founder Carl Berkenhoff, with his „fine wire drawing facility“ in Herborn-Merkenbach, Germany, was characterized by a central idea: to offer his customers more than others offer. Over the company‘s more than 135-year history, this understanding of customer proximity and orientation has grown into an enduring constant.
Today our products and services are represented in over 50 countries. Customers worldwide value bedra as a reliable partner for sustainable solutions in the fields of innovative high-tech precision wires for spark erosion, welding and brazing technology, electronic components, and special applications. Our high-performance alloys are also supplied as rods and bars for multiple industrial applications.
intelligent wires. Made by bedra. This is our quality promise. We operate in all the important areas of the world. We are one of the few global manufacturers of precision wires and alloys that represents the entire production chain: Casting, rolling, drawing, annealing, and electroplating. Our customers benefit from our depth of in-house production through 100% traceability, consistent high quality, and the highest possible processing reliability. 

Imprint: https://www.bedra.com/en/imprint/
Data privacy: https://www.bedra.com/en/data-privacy/","Spring and Wire Product Manufacturing","201-500 employees","Public Company","Heuchelheim, Hessen","Germany","bedra.com","https://www.linkedin.com/company/berkenhoff-gmbh"
,"Central Wire Group of Companies","Central Wire Group of Companies (CWI) is a world renown manufacturing company that specializes in wire and wire products. Through continued success of their flagship brand Central Wire has become the largest re-drawer of stainless steel and nickel alloy wire in North America providing products used in mission critical applications that require high tolerances, resistance to corrosion and durability. Additionally, through strategic investments, Central Wire has acquired or created multiple brands to help grow, or enter new and emerging markets.  These companies include; Loos & Co. Inc., Sanlo Inc., Strand Core, Central Wire Industries UK Ltd., GD-SUPA SLICKLINES, and CWI WELDING Generation4. 

Central Wire offers many specialty alloy products such as stainless steel, nickel, cobalt, copper, brass, bronze, and zinc. Its products include ulta-fine and fine wire, cold heading wire/bars, forming and EPQ wire, lashing wire, spring wire, measuring line wire, belt wire, shaped wire, resistance wire, as well as welding wire. Additionally,  straightened and cut lengths, profiles, strand, and multiple-end bobbin wire products are also provided in addition to cold heading, spring making, and wire forming.

CWI was founded in 1955 and is headquartered in Perth, Ontario, Canada and now maintains 11 manufacturing and distribution facilities throughout the U.S., Canada and the U.K. CWI  has over 400 employees selling products to customers in more than 50 countries.

Other value added products include strands, wire rope, cable and engineered cable assemblies.  CWI products are found in virtually every manufacturing industry segment including; aerospace, appliances, architecture, automotive, construction, defense, food processing, marine, medical, mining, oil and gas, paper, petrochemical, recreation, textiles, and utilities. 

For more information, visit www.centralwire.com","Spring and Wire Product Manufacturing","201-500 employees","Privately Held","Perth, Ontario","Canada","centralwire.com","https://www.linkedin.com/company/central-wire"
,"Bellite Springs Pvt Ltd","Manufacturers of Torsion, Tension, Suspension & Compression Springs & Wire Forms for Automotive, Electrical, Electronic & Agricultural Industry.","Spring and Wire Product Manufacturing","51-200 employees","Privately Held","Aurangabad, Maharashtra","India","bellitesprings.com","https://www.linkedin.com/company/bellite-springs-pvt-ltd"
,"Syscon Wires","Syscon Wire is the Flagship brand of CHQ wires under the umbrella of Systematic wires Pvt Ltd.
 
Syscon wires is engaged in the CHQ wire Manufacturing industry Since 2005. With our HO in Mumbai and manufacturing Plants in Khopoli, Raigad. We take pride in providing the best quality wire in India & abroad.
 
Leading Manufacturer of best quality CHQ Wires and Alloy Steel Wires for fasteners, bearings, and other automotive applications.

Specialty of Spheroidizing Annealing High-Quality Wire Drawing.","Spring and Wire Product Manufacturing","201-500 employees","Privately Held","Mumbai, Maharashtra","India","sysconwires.com","https://www.linkedin.com/company/syscon-wires"
,"Springmaster (Pty)Ltd","With over 35 years’ experience in spring manufacturing.

Springmaster was established 35 years ago, certified to IATF 16949, and ISO9001:2015 quality system certification. Company staff are skilled with a diversity of training.
Employing over 40 staff and covering 3000sqm, Springmaster has established itself as one of South Africa's leading automotive and industrial component spring manufacturers.","Spring and Wire Product Manufacturing","11-50 employees","Privately Held","Durban, Kzn","South Africa","springmaster.co.za","https://www.linkedin.com/company/springmaster-pty-ltd"
,"H D WIRE (P) LTD","H D wire was established in the year 1988 and is now a recognized name in the manufacturing, supply and trading of unlimited compilation of galvanized wires and cables. The manufacturing story of H D wire (P) Ltd. started back in the year 1994 in Indore, India. Apart from MS wire material which includes annealed binding wire in various sizes, products like G.I welded mesh, MS welded mesh, brass stitching wire, mild steel wire for general engineering purpose, hard drawn steel wire for concrete reinforcement, GI steel core wire for aluminium conductors for high voltage etc. are among those wide array of products which are available with H D wire.

We offer a large range of quality products to our customers. We also customize our products to meet their specific requirements if any. H D  Wire is one of the biggest wire manufacturing companies in central India.","Spring and Wire Product Manufacturing","1,001-5,000 employees","Privately Held","Indore, Madhya Pradesh","India","hdwires.com","https://www.linkedin.com/company/h-d-wire-p-ltd"
,"Deacero Summit","We are a global leading company dedicated to the manufacture, production, sale, and distribution of carbon steel wires and specialized products for parts and components in the automotive, aerospace, Industrial, and indoor & outdoor vehicle sectors.","Spring and Wire Product Manufacturing","51-200 employees","Privately Held","san pedro",,"deacerosummit.com","https://www.linkedin.com/company/deacero-summit"
