"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Climatech Saudi","With over 20 years of experience, Climatech Saudi Arabia has established itself as one of the pioneer companies in the market in the implementation of Renewable Energy systems and air treatment solutions.
Climatech has accomplish this by virtue of its experienced and high skilled team of in Saudi Arabia that are committed to focus on the design and construction of each individual project - right down to the smallest of details. 

Our solutions are divided into two main categories. Solar energy solutions which include solar water heating systems, solar photovoltaic systems, solar street lights, solar water pumping systems, smart urban development (solar benches, solar advertising board, solar air conditioners and electric vehicles chargers). Second is air treatment such as humidification and dehumidification solutions.

DESIGN – Each system is meticulously designed by a team of highly skilled and experienced professionals, who have designed a number of solar systems in the Middle East and Gulf Countries.

SUPPLY – We use only the leading materials available in the world with top classified manufacturers. All materials used are tested and evaluated to the highest possible standards and overextended periods of time.

EXECUTION - The process of installing and integrating solar systems demands experience and tested skills. Our work force deals, on a daily basis, with the construction and implementation of renewable energy systems and air treatment solutions in Saudi Arabia and Middle East and considered as the most experienced available in the region.

SERVICE AND MAINTENANCE – Climatech works closely with each client to ensure that the system operates consistently and reliably. We realize that a system that is expected to operate without fault for many years needs prompt and professional support. We always ensure a positive customer journey throughout every project and aim to exceed our customers’ expectations at every stage.","Steam and Air-Conditioning Supply","11-50 employees","Privately Held","Riyadh","Saudi Arabia","climatech.sa","https://www.linkedin.com/company/climatech-sa"
,"RefriPerú","Somos una empresa dedicada a la comercialización de equipos de aire acondicionado, ventilación y refrigeración, así como a la prestación de servicios de ingeniería, instalación y mantenimiento de dichos equipos.
Nuestro staff está conformado por ingenieros y técnicos de primer nivel, con más de 10 años de experiencia, lo que garantiza el diseño e implementación eficiente de los proyectos.
Somos distribuidores oficiales de las principales marcas: 
Aire acondicionado: ProAir, York, Lg , Samsung, Midea, Daikin, Rheem, Tecam.
Refrigeración comercial e industrial: Embraco, Flexcold, Sikelan, Sanhua, Danfoss.
Ventilación: Soler & palau, Sodeca, Systemair, Loren Cook.

Showroom: alle Coronel Inclan 235 - Miraflores, con la asesoría de nuestros especialistas, sistemas split, volumen variable, equipos tipo mochila, equipos compactos, equipos de precisión y otras aplicaciones especiales de nuestras marcas. 

Nueva tienda en Malvinas: acabamos de abrir una nueva tienda ubicada en Jr. Monsefú 681 - Cercado de Lima,  aquí encontrará todos los equipos y accesorios que necesita para sus instalaciones de aire acondicionado, refrigeración y ventilación. Contamos con un stock permanente de marcas líderes a los mejores precios.
Piura: Jr. Buenaventura Raygada #113 -Urb. San Isidro
Arequipa: Av. Venezuela 400 - Cercado, Trujillo: Av. Victor Larco 1072 Urb. San Andrés.

Atención de lunes a viernes, 9am - 6pm. sábados, 9am - 1pm. telf. 264-5683, correo: informes@refriperu.com.pe, Whatsapp: 915035970
Escuela de Refrigeración del Perú: La ERP es parte del grupo refriPERU desde el año 2009.  En ella brindamos capacitación a los técnicos e ingenieros profesionales en las especialidades de aire acondicionado, ventilación y refrigeración.","Steam and Air-Conditioning Supply","51-200 employees","Privately Held","Miraflores, Lima","Peru","refriperu.com.pe","https://www.linkedin.com/company/refriperú"
,"Greenmill Air Conditioning and Ventilation","Greenmill  is one of the UK's leading wholesalers of Air Conditioning and Ventilation Install products. 

Its In-Stock, On-Site, On-Time brand promise is relied upon in the industry each and everyday.

With amazing commitment to continually strive to make the customers life easier and easier by leveraging the power of technology and highly trained and professional people.

If you are looking for a reliable, easy to do business with supplier then get in touch asap on 01206 864467 or email sales@greenmillac.com","Steam and Air-Conditioning Supply","51-200 employees","Public Company","Colchester","United Kingdom","greenmillac.com","https://www.linkedin.com/company/greenmill-supply-company-limited"
,"Arce Clima","Excelencia técnica y compromiso global en soluciones electromecánicas integrales.

En Arce Clima, desde hace más de 30 años, ofrecemos soluciones especializadas en el diseño, ejecución y mantenimiento de instalaciones electromecánicas, abarcando climatización, electricidad, protección contra incendios, control y regulación. Nacimos con un enfoque técnico claro y, con el paso de los años, hemos evolucionado para dar respuesta a las necesidades más exigentes del sector, posicionándonos como un socio de referencia en proyectos de media y gran envergadura.

Nuestra propuesta de valor se basa en una visión integral del proyecto. No solo ejecutamos instalaciones: también ofrecemos servicios de ingeniería y mantenimiento especializado, acompañando al cliente en todas las fases del ciclo de vida de sus infraestructuras. Esta capacidad de gestión global, unida a un firme compromiso con la calidad, la innovación y el cumplimiento de plazos, nos ha permitido consolidar relaciones duraderas con empresas líderes a nivel nacional e internacional.

Contamos con un equipo multidisciplinar altamente cualificado y una estructura organizativa flexible que nos permite adaptarnos a distintos entornos y sectores: retail, industrial, logístico, sanitario, hotelero, entre otros. Además, nuestra presencia internacional sigue creciendo gracias a una estrategia sólida y a la confianza de nuestros clientes, con proyectos ejecutados en más de 20 países.

En Arce Clima trabajamos con una mentalidad orientada a resultados. Nuestra misión es clara: aportar soluciones eficientes, sostenibles y de alta calidad técnica, contribuyendo al éxito de cada proyecto con una actitud proactiva y un fuerte sentido de responsabilidad.","Steam and Air-Conditioning Supply","201-500 employees","Privately Held","A Coruña, A CORUÑA","Spain","arceclima.com","https://www.linkedin.com/company/arce-clima"
,"Serviparamo S.A.S","Somos una empresa líder en el sector del aire acondicionado, ventilación mecánica, automatización y control, mantenimiento, retrofit, asesoría y soluciones para grantizar calidad de aire interior, soluciones energéticas, diseño y construcción de Distritos térmicos. Con 48 años de trayectoria y operación nacional.

Combinamos tecnología e ingeniería con experiencia financiera para entregar a nuestros clientes soluciones de vanguardia en proyectos y servicios de alta eficiencia y ahorro energético.","Steam and Air-Conditioning Supply","201-500 employees","Privately Held","Barranquilla, Atlántico","Colombia","serviparamo.com.co","https://www.linkedin.com/company/serviparamosas"
,"Fakhri Brothers","Fakhri Brothers combines its global HVAC and refrigeration expertise with the responsiveness of its local operations to lead nearly every geographic market. Our continued success is a testament to our staunch commitment to providing the highest level of quality and service to our customers in Pakistan and U.A.E","Steam and Air-Conditioning Supply","501-1,000 employees","Privately Held","Industrial Area 10, Sharjah","United Arab Emirates","fakhribrothers.com","https://www.linkedin.com/company/fakhri"
,"OM ENGINEERS","Founded in 2002, OM ENGINEERS is an authorized Sales and Service dealer of  LG, PANASONIC,MITSUBISHI Heavy Industries Ltd , Bluestar Air conditioners. Authorized distributor of General Air conditioners for Vadodara. All these Companies are best of the world leaders in Air Conditioning industry.  5000+ Happy customers in vadodara and surroundings. 

We supply a comprehensive range of Air Conditions such as Window AC, Portable AC,Split AC, Ductless Split AC, Sleek Floor Standing AC, Ductable AC ,Package AC, VRF System, AHU System,TFA Unit. These Products are widely preferred by many users. We are the first introducing LG Ductable AC, Mitsubishi Heavy VRF System & Panasonic VRF System in Vadodara, Gujarat, India.

The company undertakes designing, sales, installation, commissioning and after sales service for the complete range of LG, General,BLUESTAR ,PANASONIC & MITSUBISHI Heavy Duty products in VADODARA. Service technicians associated with us are well trained by Company, extensively experienced and highly skilled to handle any breakdown or service complaints. They are connected with each other through a network of mobile phones & two-wheelers to attend complaints promptly. Our company has 4 Wheelers facility to reach quickly.

Transportation facilities to pick up your machines and deliver them to your premises after the servicing of the same. We offer an telephonic Complain registered facility for customer feedback. Our skilled designing team for Duct designs and heat load calculations has earned us complete trust of customers by offering them excellent designs of HVAC Systems.","Steam and Air-Conditioning Supply","11-50 employees","Partnership","VADODARA, GUJARAT","India","omengineers.net","https://www.linkedin.com/company/om-engineers-vadodara"
,"Bait AlGaleed","Since 1997, Bait Algaleed has been a leader in the HVAC industry, offering tailored heating, ventilation, and air conditioning solutions. We specialize in both installation and maintenance, ensuring optimal system performance and energy efficiency","Steam and Air-Conditioning Supply","51-200 employees","Public Company","Riyadh","Saudi Arabia","baitalgleed.com","https://www.linkedin.com/company/baitalgalead"
,"ARCTIC HVAC ENGINEERING PVT. LTD.","ARCTIC is a group of knowledge based, technology driven, specializing in air-conditioning products and technologies. Our company with technical support of Indian, Japanese, Korean, Chinese and American companies deals with products based on the latest in the world technology for the domestic and commercial air-conditioning market.

ARCTIC is a company and was formed in 2001 with our core business centered on Design, Sales, Installation, Preventive & Corrective maintenance. We have been able to compete successfully in the market and expand our business spectacularly to a wide circle of reputable companies and private clients on the basis of our 4 pillars, QUALITY PRODUCTS, TECHNICAL EXPERTISE, REASONABLE PRICING & CUSTOMER CENTRIC. 

The Company’s strategy is to focus on the Global Air-Conditioning Standards, Systems & Services. The company has grown and expects to continue to grow, through expansion of its current business, product sales, goodwill on customer satisfaction & being associated with Architects, Consultants, Facilitators & Contractors in HVAC industry. Today we employ qualified and experienced Managers, Supervisors, Engineers & Technicians. It is one of our declared aims to further take on and train young people. Our office, Service Centre & Warehouse are located in Worli, Prabhadevi, Goregaon, Bhandup, Mulund, & Thane from where we operate & direct our daily operations.

We take pride to share here with you, Arctic Cool Sales & Service Pvt. Ltd., was awarded ISO 9001:2015 certification for our continuous process of Quality Management System and demonstration of our ability to consistently provide Products that meets Customer’s requirements and always aims to enhance customer satisfaction through effective application of the system, including processes for continual improvement and assurance of conformity to customer.

Our Motto : Safety, Quality, Discipline, Productivity linked with High Salary and Teamwork.","Steam and Air-Conditioning Supply","201-500 employees","Privately Held","Worli, Maharashtra","India","arcticteam.com","https://www.linkedin.com/company/arctic-hvac-engineering-pvt-ltd"
,"iXus Distribution Ltd","We are proud to be one of the UK's top trade Air Solutions suppliers and can cater for all your heating, cooling & ventilation requirements, whether for home or work.

Being part of Britain’s leading renewable energy suppliers, we are able to offer our customers competitive prices for all your heating and cooling needs, whilst ensuring your product will be cost effective and energy efficient.

Here at iXus we understand that without a satisfied customer base, a company will flounder. That's why we strive to be dedicated to our clients and offer a reliable, professional and friendly service while working hand in hand with partnered suppliers across europe to develop and enhance products for the UK marketplace. With this in mind the technical staff at iXus is dedicated to the pursuit of new ideas and challenges.

Working with some of the major industry brands such as LG, Midea & Tecnogas has allowed us to focus on niche markets within the UK and help them overcome some of their specific issues.","Steam and Air-Conditioning Supply","11-50 employees","Privately Held","Margam, Neath Port Talbot","United Kingdom","ixus.biz","https://www.linkedin.com/company/ixus"
