"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Network of Excellence on Land Governance in Africa -NELGA","To strengthen human and institutional capacities for implementing the AU Agenda on Land, the African Land Policy Centre established NELGA in cooperation with the German Development Cooperation (GIZ) and other partners. 

NELGA is a partnership of leading African universities and research institutions with proven leadership in education, training and research on land governance. These universities and institutions are known as Centres of Excellence (CoE) and promote the AU Land Agenda at national and regional levels.  

NELGA has more than 70 partners CoEs working on capacity development, land curricula reviews, original research and policy recommendations. NELGA supports researchers in sharing their knowledge with policymakers to promote secured land rights.","Subdivision of Land","2-10 employees","Non Profit","Addis Ababa","Ethiopia","uneca.org","https://www.linkedin.com/company/network-of-excellence-on-land-governance-in-africa-nelga"
,"Casa & Terra Empreendimentos","A Casa & Terra é uma empresa de loteamentos presente em vários estados do Brasil, que nasceu do sonho de um grupo de empreendedores, com o intuito de oportunizar a melhoria da qualidade de vida da população urbana e o acesso fácil a aquisição do imóvel próprio, desde 2005.

Nossa expertise vai desde a aquisição da terra até a projeção e implantação da infraestrutura necessária para transformar essa terra em um bairro urbano e sustentável. Sempre buscando a melhor localização dentro do município.","Subdivision of Land","201-500 employees","Privately Held","Brasília, Federal District","Brazil","casaeterra.com","https://www.linkedin.com/company/casa-&-terra-empreendimentos"
,"Office of the Valuer-General","Property Valuation Act, Act No.17 of 2014(“PVA”) provides for the establishment, functions and powers of the Office of the Valuer-General (OVG) 
        	1.  to provide for the valuation of property that has been identified for purposes of land reform;     
        	2.  to provide a voluntary valuation service to departments; 
         	3.  to provide for the setting of criteria and procedures and monitoring of valuations; 
	4.  to give effect to the provisions of the Constitution which provide for land reform and; 
	5.  to facilitate land reform through the regulation of the valuation of property.","Subdivision of Land","51-200 employees","Government Agency","Pretoria, Gauteng","South Africa","ovg.org.za","https://www.linkedin.com/company/the-office-of-the-valuer-general"
,"FRIGO ENGENHARIA","Na Frigo Engenharia, acreditamos que urbanizar é muito mais do que construir ruas e definir lotes. É dar identidade a um lugar. É permitir que histórias tenham um endereço para continuar.

Trabalhamos com Regularização Fundiária, projetos urbanísticos e construção de loteamentos, oferecendo soluções completas que transformam áreas esquecidas em espaços de dignidade e pertencimento.

Nossa atuação nasce do compromisso com as pessoas — com quem vive nas áreas, com quem investe nelas, com quem sonha em vê-las prosperar. Unimos técnica, sensibilidade e responsabilidade para entregar muito mais do que resultados: entregamos novas possibilidades de vida.","Subdivision of Land","11-50 employees","Privately Held","Criciúma, Santa Catarina","Brazil","grupofrigo.com.br","https://www.linkedin.com/company/frigo-engenhariaconsultoria"
,"Nethery Planning","A full-spectrum land use planning practice. Embracing what is possible, not settling for what is given to us. 

Our services include, but are not limited to:
- Municipal Policy and Implementation
- Development Application Facilitation
- Engagement and Facilitation
- Municipal Day-to-Day Support
- Specialized Support
- Neighbour Support and Public Sector Review","Subdivision of Land","2-10 employees","Privately Held","Hamilton, ON","Canada","netheryplanning.ca","https://www.linkedin.com/company/nethery-planning"
,"Grupo Engep","Fundado em 02 de maio de 1983, o Grupo Engep nasceu do espírito empreendedor de seus fundadores: Valdemar Lenci Filho, Victor Luiz Mazutti Levy, Roberto Martins e Paulo Masuti Levy, com a missão de oferecer soluções completas em infraestrutura, engenharia e desenvolvimento urbano.

Ao longo dos anos, o grupo manteve sua essência familiar e seu compromisso com a excelência. Após o falecimento de Valdemar, seu legado segue vivo na liderança de seu filho Romolo José Soares Lenci, que hoje integra a gestão do Grupo com visão de continuidade e inovação, fortalecendo ainda mais os pilares da empresa.

Com mais de quatro décadas de atuação sólida, o Grupo Engep se consolidou como referência em qualidade, inovação e credibilidade. Atuamos com excelência em loteamentos urbanos, pedreira, mineradora, companhia energética e construtora, com destaque especial para a loteadora, nosso principal ramo de atividade e um dos maiores impulsionadores do crescimento regional.","Subdivision of Land","501-1,000 employees","Privately Held","Limeira, São Paulo","Brazil","grupoengep.com.br","https://www.linkedin.com/company/grupoengep"
,"NPM Geomatics","Professional Land Surveyors, Engineering and Topographic Surveyors, Commercial and Built-Environment Mediators, Land Reform Consultants. 
Based in East London, the company services clients throughout the Eastern Cape and beyond. NPM geomatics has the professional and technical expertise to carry out large scale projects as well as simple, small surveys. 
The latest skill set the company has invested in is Commercial Mediation, and Colin Davies is a RICS accredited mediator in the built-environment.","Subdivision of Land","11-50 employees","Privately Held","East London, EC","South Africa","npmgeomatics.co.za","https://www.linkedin.com/company/npm-geomatics"
,"Américas Urbanismo Ltda","A Américas Urbanismo conta parceiros estratégicos para Captação de novas áreas, elaboração dos projetos, estudos técnicos, viabilidade econômicas, estruturação jurídica, administração de carteiras de recebíveis, Marketing e comercialização. 
Nosso experiencia fortalece o relacionamento com investidores, entregando resultados e satisfação.","Subdivision of Land","11-50 employees","Privately Held","Fortaleza, Ceará","Brazil","americasurbanismo.com.br","https://www.linkedin.com/company/grupo-petrus-desenvolvimento-urbano"
,"Ghana Boundary Commission","The Ghana Boundary Commission was established to demarcate, delimit and manage the land, air and maritime boundaries of Ghana in accordance with accepted principles of international law and protect and secure the interest of the Republic.","Subdivision of Land","51-200 employees","Government Agency","Accra","Ghana",,"https://www.linkedin.com/company/ghana-boundary-commission"
,"Land and Energy Management Association of Canada",,"Subdivision of Land","2-10 employees","Non Profit",,,"caplacanada.org","https://www.linkedin.com/company/land-and-energy-management-association-of-canada"
,"Edison Land","Edison Land is a land sourcing, planning, development and funder of exceptional land and development sites for house building, property development, renewables, residential & holiday parks and marina development sites UK wide","Subdivision of Land","201-500 employees","Privately Held","Irvine, Scotland","United Kingdom","edison-capital.com","https://www.linkedin.com/company/edison-group-australia"
