"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Lindt & Sprüngli Italia","Grazie all'entusiasmo e alla passione condivisa, che hanno caratterizzato i nostri quasi 175 anni di storia, siamo oggi la più grande azienda produttrice di Cioccolato di Alta Qualità, con un'ampia varietà di prodotti di eccellenza. Con centri produttivi in Europa e negli Stati Uniti, 14.000 collaboratori nel mondo di cui circa 1200 in Italia, ogni giorno ci impegniamo per realizzare la nostra Mission: Incantare il mondo con il Cioccolato! Lavorare in Lindt & Sprungli significa far parte di un'azienda solida e prestigiosa, che mette le proprie persone al centro in un ambiente di lavoro positivo e creativo. Siamo convinti che ognuno possa fare la differenza, ma è il lavoro di squadra orientato alla qualità e all'innovazione il nostro valore aggiunto. Se sei alla ricerca di attività stimolanti, responsabilità crescenti e opportunità di confronto diretto con la leadership, Lindt è l'azienda giusta per te! Lascia il segno con il tuo talento e fai spuntare sul tuo viso un vero ""Chocolate Smile","Sugar and Confectionery Product Manufacturing","1,001-5,000 employees","Public Company","Induno Olona - Varese, Italy","Italy","lindt.it","https://www.linkedin.com/company/lindt-sprungli-italy"
,"Grupo CASSA (Compañía Azucarera Salvadoreña)","Somos un universo de conocimiento, de innovación y tecnología agroindustrial que produce azúcar, melaza y energía renovable a partir de la caña de azúcar; y lo hacemos sosteniblemente con el propósito de llevar buenas energías de nuestra tierra a cada hogar al que llegan nuestros productos y servicios.","Sugar and Confectionery Product Manufacturing","10,001+ employees","Privately Held","La Libertad, Antiguo Cuscatlán","El Salvador","grupocassa.com","https://www.linkedin.com/company/grupo-cassa-compañía-azucarera-salvadoreña"
,"Josef Manner & Comp. AG","Die Firma Josef Manner & Comp AG ist ein heute schon selten gewordenes Beispiel eines erfolgreichen österreichischen Großunternehmens, welches an der Wiener Börse notiert und der Aktienbesitz sich seit der Gründung zum Großteil noch immer in Familienbesitz befindet.","Sugar and Confectionery Product Manufacturing","501-1,000 employees","Public Company","Wien","Austria","manner.com","https://www.linkedin.com/company/josef-manner-&-comp.-ag"
,"Transmara Sugar Company","Transmara Sugar Company Limited is a Kenyan company that produces Mara Sugar, a sugar made by locals, for locals.

Our company is named after Kenya’s Transmara region, where the sugarcane milled to produce Mara Sugar is grown.

We only produce Mara Sugar from locally grown sugarcane because we believe in always supporting local people, building the economy and strengthening Kenya’s sugar trade at home.

Since we first started making Mara Sugar in 2012, we have gone from producing 17,000 tonnes of sugar to over 90,000 tonnes in 2021. Our plan is to maintain a stable production of over 100,000 tonnes annually going forward.","Sugar and Confectionery Product Manufacturing","1,001-5,000 employees","Privately Held","Kilgoris","Kenya","transmarasugar.com","https://www.linkedin.com/company/transmara-sugar-company"
,"Farjami_Group | گروه فرجامی","producer of wafers, biscuits, tahini & etc

*What is the secret of our yummy biscuit?*
The story of Farjami biscuits started from 1980 *in a local bakery in Yazd* , a city that is well known for its sweets and confectionary industry in Iran, where our unique recipe was brought to perfection. A tasteful crunchy bite from a *biscuit made with love* and happiness that *makes your day.*","Sugar and Confectionery Product Manufacturing","51-200 employees","Public Company","Yazd","Iran","farjamigroup.com","https://www.linkedin.com/company/farjami-group"
,"Italia Zuccheri - COPROB s.c.a.","We are proud to be Italia Zuccheri. Growers with care. 

Italia Zuccheri is the only brand of Italian sugar industry that, through the COPROB cooperative, is committed to the protection of 5000 farms, producing one of the most important raw materials of the agri-food system. From the approximately 30,000 hectares of cultivated land, every year comes a wide range of products branded Italia Zuccheri, including 'Semolato 100% Italiano', 'Nostrano' and 'Nostrano Biologico', all 100% Made in Italy and guaranteed from the field to the table.


Thanks to the valuable work of farmers, united since 1962 in a cooperative for the cultivation of beets and committed to the protection and respect of the agricultural territory, the production today covers 15% of the national needs. With a highly innovative approach aimed at an increasingly sustainable agriculture, Italia Zuccheri combines fair cooperation with environmental awareness and the guarantee of a 100% controlled supply chain for the protection of a national heritage as important as that of beet cultivation: one of the most virtuous in terms of greenhouse gas emissions and of strategic importance in the agricultural rotation. 

Website: www.italiazuccheri.it - www.coprob.com 

Certifications: http://bit.ly/Certificazioni-COPROB 

Consumer products: http://bit.ly/Prodotti-Consumatore 

Professional products: http://bit.ly/Prodotti-Professionisti","Sugar and Confectionery Product Manufacturing","201-500 employees","Privately Held","Minerbio, BO, Emilia Romagna","Italy","italiazuccheri.it","https://www.linkedin.com/company/italiazuccheri-coprob"
,"TRADE HUB","Believing that confectionery raw industry have a great
potential in the UAE and GCC market, Trade Hub was built in the
year 2018 with the goal of providing quality raw material
with unlimited range, evolving and customizing as new
technologies appear in the confectionery industry.","Sugar and Confectionery Product Manufacturing","2-10 employees","Self Employed","Dubai, Dubai","United Arab Emirates","tradehub.me","https://www.linkedin.com/company/trade-hub-fzllc"
,"Eridania","Eridania Italia is in charge of the acquisition,warehousing, confectioning, promotion, sale and overall of the commercialization and distribution of alimentary products in the European Union through an innovative and efficient model of production and distribution aiming to enhance and integrate the entire supply chain.","Sugar and Confectionery Product Manufacturing","51-200 employees","Privately Held","Bologna, Emilia-Romagna","Italy","eridania.it","https://www.linkedin.com/company/eridania-italia-s.p.a."
,"Trolli GmbH","With its headquarters based in Fürth (Bavaria, Germany) our family-owned business has been making its mark on the gummy candy industry since 1975. Our creations such as the delicious top seller “Saure Glühwürmchen” (Sour Glowworms) and “Apfelringe” (Apple Rings) on the one hand and innovative concepts made with an eye for details like “Burger“ and “Glotzer” (Pop Eye) on the other hand delight consumers around the world in more than 100 countries. Insatiable curiosity paired with the spirit of crazy inventiveness have been our drivers from day one and our 1,700 employees worldwide across Germany, Spain, China and the US are pleased to delight an ever-growing fan base around the globe. Trolli combines the benefits of a family business such as team spirit, openness and appreciation with those of an international working environment. Our culture is characterized by personal interaction, dear and friendly colleagues with hands-on mentality and flat hierarchies. Short decision paths empower all employees to bring fresh ideas to the table to make a real impact on the business and ensure Trolli’s quality and values day by day. We want to build our brand together and spread the ultimate gummy candy fun all over the world! Life is far too important to be taken seriously. This is the motto inside every Trolli bag of sweets. Since 1975 Trolli has been a specialist for totally crazy and unique fruit gum and marshmallow creations. Trolli’s flair for trends, technical know-how and quality consciousness are the basis for this. Quality you can taste! What are you waiting for?","Sugar and Confectionery Product Manufacturing","1,001-5,000 employees","Privately Held","Fürth, Bayern","Germany","trolli.de","https://www.linkedin.com/company/trolli"
,"Lindt & Sprüngli Deutschland","Willkommen bei Lindt & Sprüngli Deutschland.
  
Lindt ist mehr als nur ein Unternehmen, das Chocolade herstellt. Unsere Teams setzen jeden Tag unsere gemeinsame Passion um: Die Welt mit Chocolade zu verzaubern. 

Bei Lindt treffen Tradition und Innovation aufeinander: Seit 180 Jahren vertreten wir traditionelle Werte und erfinden uns immer wieder neu. Unsere Kultur ist visionär. Wir sind neugierig und geprägt von Verantwortung – bei uns wird jede Idee gehört und jedes Talent gefördert. 

Unsere Teams geben täglich das Beste, um unsere zartschmelzende Premium Chocolade herzustellen und stehen mit Leidenschaft und Hingabe hinter jedem Lindt Produkt.

Lindt & Sprüngli Deutschland hat seinen Hauptsitz sowie die Produktion in Aachen und gehört zu der globalen Lindt & Sprüngli Gruppe, mit Sitz in der Schweiz. Unsere über 60 Lindt Shops sind deutschlandweit zu finden. Insgesamt arbeiten über 2.800 Mitarbeitende aus über 80 Nationen bei uns. 

Ob Berufseinsteiger, Berufserfahrene oder Schüler und Schülerinnen – wir bieten spannende Einstiegsmöglichkeiten in verschiedenen Bereichen an.","Sugar and Confectionery Product Manufacturing","1,001-5,000 employees","Public Company","Aachen, Nordrhein-Westfalen","Germany","lindt.de","https://www.linkedin.com/company/lindt-sprüngli-deutschland"
