"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Land Surveys","Established in 1997 Land Surveys (An ISGroup Company) continues to grow and expand across Australia and overseas due to the demand for more comprehensive survey services in today’s dynamic market.

With over 400 professional and committed staff, Land Surveys has offices around Australia and Internationally; Karratha, Darwin, Brisbane, Sydney, Melbourne, Port Moresby, and its head office based in Perth. 

Land Surveys utilise the latest technology to service all projects large or small. Working closely with our clients we are able to provide innovative techniques to achieve high quality results and help ensure projects are completed on time and within budget.

SERVICES
With our industry experience, Land Surveys has the insight and knowledge to pre-plan survey requirements specific to your work scope and be ready to supply immediate survey services on request. We have the facilities and staff to manage survey operations for both large and small projects whilst offering personalised service to our valued clients. 

We provide full surveying services, specialising in:

+ 3D Reality Capture
+ Digital Engineering
+ Dilapidation Services
+ Hydrographic Surveys
+ Land Development Services
+ Mining Services
+ Rail Services
+ UAV Aerial Mapping
+ Utility Mapping

CAREER OPPORTUNITIES
We understand that our people and their passion are the key to our success, now and into the future. If you are interested in joining our team, please visit the careers page of our website to see our current opportunities.

www.landsurveys.net.au/careers

CONTACT
Call us to discuss your project requirements with one of our team members. 
Alternatively, you can visit the Contact Us page of our website to view all of our office location details.

1300 LANDSURVEYS (1300 526 378)
www.landsurveys.net.au/locations","Surveying and Mapping Services","201-500 employees","Privately Held","Belmont, Western Australia","Australia","landsurveys.net.au","https://www.linkedin.com/company/land-surveys"
,"Genesys International Corporation Ltd","Headquartered in Mumbai with offices across India, Genesys International Corporation Ltd. is a leading provider of 3D Digital Twin Platform, GIS Solutions, 3D Mapping APIs, ADAS, Geospatial Surveys, GIS Platforms & API Development Services to major industries. 
From precise data acquisition to cutting-edge APIs and platform development, Genesys is a trusted partner of businesses for advanced end-to-end GIS solutions.
Comprehensive GIS Solutions and Professional Expertise:
Full-Spectrum GIS Solutions: Offering 3D Digital Twin Platform, GIS Solutions, 2D & 3D Mapping APIs, ADAS, Geospatial Survey, GIS Platform & API Development Services.
Cutting-Edge Technologies: Leveraging AI, IoT, and machine learning for intelligent data analysis and visualization.
Industry-Focused Services: Supporting a wide range of industries including Urban, Automotive, Electric, Telecom Water, and Gas.
End-to-End Support: With our team of 2000+ professionals, we provide complete project lifecycle management, from data acquisition and processing to API and platform development.
Global Expertise: Successfully delivered projects across the globe covering all the major cities.
Results-Driven Approach: We are committed to delivering precise &  scalable solutions that drive operational efficiency and business growth.
At Genesys, we prioritize your business needs. As esteemed partners, we help businesses harness the power of geospatial intelligence to drive faster decision-making thereby increasing operational efficiency.","Surveying and Mapping Services","1,001-5,000 employees","Public Company","Mumbai, Maharashtra","India","igenesys.com","https://www.linkedin.com/company/genesys-international"
,"XOCEAN","Using Uncrewed Surface Vessels (USVs), XOCEAN provides turnkey ocean data. From mapping the seabed to environmental monitoring, XOCEAN offers a safe, economic and carbon neutral solution to ocean data delivery.","Surveying and Mapping Services","51-200 employees","Privately Held","Rathcor, Louth","Ireland","xocean.com","https://www.linkedin.com/company/xocean"
,"Magnasoft","At Magnasoft, we have an unparalleled understanding of the power of geospatial data. Through our suite of services, we integrate geospatial intelligence into your business processes, helping you plan better, design quicker, and engineer faster. With a proven track record and experience in this ever-evolving field, Magnasoft is your trusted partner for all things geospatial.

We combine our deep domain expertise with independent thinking, a spirit of entrepreneurship, and a culture of collaboration to help our customers across the globe make better business decisions and solve their most pressing challenges through insight from geospatial information and services. The wide range of geospatial services that we offer include:

• Geospatial Mapping
• Engineering & Design
• Geospatial Analysis

Our knowledgeable team of experts is constantly developing new strategies and services to ensure that we remain at the forefront of technology to help you unlock the potential of geospatial insight to build more intelligent and better decisions through innovative, reliable, and cost-effective geospatial services. These services find application across various industries such as Telecom, Utilities, Land Administration, Autonomous & Navigation, Architecture, Engineering, Mining, Construction, and Forestry, among others.

Want to maximize the potential of your assets using the power of transformational geospatial data? Connect with us for a free assessment today!","Surveying and Mapping Services","501-1,000 employees","Privately Held","Bangalore, Karnataka","India","magnasoft.com","https://www.linkedin.com/company/magnasoft"
,"Micro Engineering Tech Inc","Micro Engineering is a leading professional Geomatics and Engineering company offering consulting and product services for Oil & Gas, Construction, and digital infrastructure sectors. Our dynamic Geomatics team delivers innovative solutions with effective and efficient project coordination. By providing consistently high-quality services and products to our customers working with a diverse range of applications and problems, we can successfully provide efficient and comprehensive solutions.","Surveying and Mapping Services","51-200 employees","Privately Held","Calgary, Alberta","Canada","microengineering.ca","https://www.linkedin.com/company/micro-engineering-tech-inc-"
,"Woolpert Asia-Pacific","Woolpert Asia-Pacific embodies all that is Woolpert, with an added focus on this region of the world. Woolpert is a global leader in architecture, engineering, and geospatial (AEG) services, with over a century of experience driving innovation and delivering impact. We fuse deep technical expertise with a forward-thinking mindset to solve complex challenges across the public, private, and government sectors. Woolpert is proud to be a certified Great Place to Work, a Top 25 Building Design+Construction firm, a Top 50 Engineering News-Record Design firm, and a Global Top 100 Geospatial company. Woolpert operates from more than 75 offices across five continents – building smarter, more resilient communities around the world.

#geospatial #architecture #mapping #surveying #lidar #engineering #GIS #AEG","Surveying and Mapping Services","1,001-5,000 employees","Privately Held","Sydney, New South Wales","Australia","woolpert.com","https://www.linkedin.com/company/woolpert-asia-pacific"
,"MNG","We're MNG, an Australian leader in integrated land surveying and spatial solutions. Guided by our mission to deliver reliable, innovative, and insightful solutions, and our values of Teamwork, Innovation, and Knowledge, we combine cutting-edge technology with expert knowledge, which sets us apart. 

Our diverse clients span Land Development, Infrastructure, Engineering, Urban Renewal, Defence, Government, and more. They rely on our expert teams to deliver precision, insights, and results nationwide. 

We provide advanced surveying and spatial solutions, including Mobile and Aerial Laser Scanning, GIS, Subsurface Mapping, and Underground Service Location, alongside Planning and Advisory, Urban Design, and BIM for 3D and 4D project visualisations. 

At the heart of our success are our people. With offices in Perth, Brisbane, Sydney, Melbourne, The Kimberley, and South-West WA, we foster a culture of teamwork, continuous learning, and innovation to deliver tailored solutions across Australia. 

Connect with MNG and help shape the world of tomorrow.","Surveying and Mapping Services","201-500 employees","Privately Held","Murdoch, WA","Australia",,"https://www.linkedin.com/company/mcmullen-nolan-group-pty-ltd"
,"GreenValley International","GreenValley International is a leader in complete 3D surveying and mapping solutions. Partnering with renowned LiDAR sensor producers like RIEGL and Livox, GreenValley focuses on LiDAR and image fusion technology, specializing in LiDAR, UAV, SLAM, photogrammetry, and other technologies to achieve an accurate digital representation of three-dimensional space.

Our high-precision LiDAR scanning systems, such as LiAir (UAV/Fixed-Wing),  LiGrip (handheld), LiMobile (vehicle-mounted) and LiBackpack, help create smart cities and provide intelligent solutions in energy, agriculture, forestry, roadwork, geographic information (GIS), mining, and more. LiDAR360, LiDAR360 MLS, LiPowerline and other GVI software solutions provide core processing and analysis for accurate point cloud editing and visualization.

While expanding, our primary business efforts focus on innovation and producing breakthrough technology.","Surveying and Mapping Services","201-500 employees","Privately Held","Berkeley, California","United States","greenvalleyintl.com","https://www.linkedin.com/company/greenvalleyintl"
,"Rasta.Ai","Rasta.AI is transforming the way we monitor and maintain road infrastructure. As a cutting-edge platform, we harness the power of AI, computer vision, and 360-degree imaging to deliver real-time insights into road conditions. Our mission is to create safer, smarter, and more sustainable roads by enabling accurate defect detection, predictive maintenance, and efficient resource allocation.

Rasta.AI is more than just technology—it's a collaborative ecosystem that brings together government agencies, private enterprises, and citizens to improve road safety and infrastructure management. Our platform offers a suite of tools, including mobile and web applications, interactive dashboards, and comprehensive audit reports, empowering stakeholders to take proactive measures in road monitoring and maintenance.

By fostering collaboration and leveraging advanced technology, Rasta.AI is paving the way for the future of road management, contributing to the development of smart cities and sustainable infrastructure worldwide. Join us in our mission to make roads safer and more reliable for everyone.","Surveying and Mapping Services","11-50 employees","Privately Held","Pune, Maharashtra","India","rasta-ai.com","https://www.linkedin.com/company/rasta-ai"
,"ScantoBIM.Online","Get 10,000 Sq.Ft. Scan to BIM Conversion in 1 Day using AI @ Just $10/Hr!

We revolutionize Scan to BIM conversions by leveraging cutting-edge AI technology to deliver unmatched speed, quality, and affordability. Serving industry leaders such as Tesla, AECOM, Jacobs, and Sunway, we empower surveying, architecture, and engineering firms to significantly enhance their efficiency and accuracy.

Why Choose Us?

=> AI-Driven Efficiency: Our proprietary AI tools reduce human intervention by 50%, enabling us to offer competitive pricing without compromising quality.
=> Unrivaled Accuracy: With over 2 million square feet of Scan to BIM conversions completed in 2023, our track record speaks for itself.
=> Quality Assurance: Our in-house developed plugin performs 100+ quality checks, ensuring that our deliverables meet the highest standards of excellence.

Join the future of Scan to BIM with us, where innovation meets efficiency. Transform your projects with the precision and speed only AI can provide.

Contact us today to learn more about our services and start your 1st pilot project at Just $10/Hr.","Surveying and Mapping Services","51-200 employees","Privately Held","Houston, Texas","United States","scantobim.online","https://www.linkedin.com/company/scantobim-online"
