"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"ComfortDelGro Taxi","Following the merger of two successful listed transport companies – Comfort Group and Delgro Corporation in 2003, Comfort Transportation and CityCab became members of the ComfortDelGro Group.

ComfortDelGro Taxi, as it's known today, is a leading taxi company in Singapore. With about a 10,000-strong environmentally friendly taxi fleet, we operate point-to-point taxi services 24/7.

One of our key B2B products is Cabcharge - a convenient and customisable charge account system that has been pioneered in Singapore since 1995 - the preferred cashless payment mode for ComfortDelGro taxi fares. All payment transactions are seamlessly collated and detailed digitally on statements which are easily accessible via a secure online user portal. This enables companies to better establish business travel policies as well as manage, track and audit travel expenditure of its employees, resulting in cost efficiencies and greater accountability. 

Cabcharge has a dedicated team of Account Managers to serve the needs of clients from all industries and company sizes. We are able to tailor-made our service solutions to augment any company’s organisation framework and expenditure policies. Cabcharge also continuously innovates and invests in the latest mobile digital and data security technologies to deliver incremental savings and benefits to clients. 

Contact us today at 6550 8746 or via email at sales@cdgtaxi.com.sg to arrange for an obligation-free consultation with one of our Account Managers.

To learn more about ComfortDelGro Taxi and Cabcharge, visit us at www.cdgtaxi.com.sg. Interested individuals and companies are welcome to apply for a Cabcharge account by downloading and completing the online application form, before submitting it to us via email. 

We look forward serve you and your company's transport needs.","Taxi and Limousine Services","201-500 employees","Privately Held","Singapore","Singapore","cdgtaxi.com.sg","https://www.linkedin.com/company/comfortdelgro-taxi"
,"Shoffr","Shoffr is building the gold standard of rides.

Because we’re tired of repeated cancellations, shabby cars, impolite drivers, unfriendly customer support - and still paying a bomb for it.

We started Shoffr with the dual objectives of building a sustainable business + a great & reliable service that we’d love to use ourselves. We can’t really change traffic, but we promise to make it more comfortable & peaceful for you!

Our drivers are friendly, don’t talk on the phone, and are incentivised on good behaviour.

We also use BYD e6 electric SUVs that are comfortable, spacious, noiseless - and which help make the city greener!

Shoffr is available for airport transfers, outstation, and city / hourly rentals in Bangalore and Delhi NCR - so if you’re in town, do try out the Shoffr experience! ","Taxi and Limousine Services","11-50 employees","Privately Held","Bangalore","India","shoffr.in","https://www.linkedin.com/company/shoffr-mobility"
,"RodBez","RodBez, an innovative startup has been making waves in the transportation sector of Bihar, India. Launched in June 2022, RodBez aims to revolutionize the way people travel by offering a one-way taxi and taxi pool platform, connecting rural and urban areas.

One of the key features of RodBez is its mission to address the challenges posed by unorganised taxi services in the state. By providing a seamless and efficient taxi service, RodBez aims to reduce the cost of travel by up to 40 percent and eliminate the need for both-side fares, which is a common practice in other taxi services. This approach not only makes commuting more affordable but also significantly reduces the environmental impact of travel by optimizing the use of transportation resources.

The success of RodBez can be attributed to its strong team of professionals, including Co-founder Siddharth Shankar Jha, and the support of investors like Ritesh Agarwal, the Founder and CEO of OYO Rooms, Vineeta Singh Co-founder of Sugar Cosmetics. The startup has gained recognition for its disruptive potential, as demonstrated by its appearance on ""Shark Tank India S3,"" where it secured a deal of Rs 50 lakh.
In summary, RodBez, under the leadership of Dilkhush Kumar, has emerged as a game-changer in the transportation sector of Bihar. With its innovative approach to taxi services, the startup is not only revolutionizing the way people travel but also providing employment opportunities to a diverse range of professionals. RodBez's success serves as an inspiring example of how determination and hard work can transform a simple idea into a thriving business that positively impacts the community.","Taxi and Limousine Services","51-200 employees","Privately Held","Patna, Bihar","India","rodbez.in","https://www.linkedin.com/company/rodbez"
,"National taxi","National Taxi L.L.C, a franchise of Dubai Taxi Agency (RTA) , was established in June 2000 and was officially launched on 12 August 2000 with an initial fleet of 50 Taxis, which were gradually increased till it had reached the allocated plates of 1424. It provides taxi services with the requirements of its franchiser (Dubai Taxi Agency of RTA).","Taxi and Limousine Services","5,001-10,000 employees","Privately Held","Dubai, Dubai","United Arab Emirates","nationaltaxi.ae","https://www.linkedin.com/company/national-taxi"
,"Limo Miami","Exquisite Transportation Services in Miami, we leave no detail unattended. Our boutique approach and hospitality vision makes us #1 Luxury transportation provider in Miami.","Taxi and Limousine Services","11-50 employees","Partnership","Miami, FL","United States","limomiami.net","https://www.linkedin.com/company/limomiami"
,"Allocab","Founded in may 2011, Allocab.com is the first service of instant online booking of private driver or moto-taxi.

The user can choose his customized driver through specific criteria such as the brand and the model of the vehicle, the quality note of the driver, a free bottle of water, a wifi access or mobile phone charger available...","Taxi and Limousine Services","51-200 employees","Privately Held","Paris, France","France","allocab.com","https://www.linkedin.com/company/allocab"
,"Ai 4 Emotional Intelligence","LadyGo.Taxi - Empowering Women with Safe and Reliable Rides.

LadyGo.Taxi is a revolutionary transportation service designed exclusively for women. We are committed to providing a safe, comfortable, and empowering travel experience tailored to meet the unique needs of female passengers.

Why Choose LadyGo.Taxi?
Women-Only Service: At LadyGo.Taxi, we understand the importance of feeling secure while traveling. Our service is dedicated solely to women, ensuring a supportive environment where you can travel with peace of mind.

Female Drivers: Every ride is driven by a professional and friendly female driver. Our drivers are carefully selected and trained to provide a comfortable and trustworthy experience, creating a space where women can feel truly at ease.

Safety as a Priority: Your safety is our top concern. Our drivers undergo extensive background checks and regular safety training. Our vehicles are equipped with the latest safety features to ensure you have a secure journey every time you ride with us.","Taxi and Limousine Services","11-50 employees","Privately Held","Greenville, South Carolina","United States","ladygo.taxi","https://www.linkedin.com/company/lady-go"
,"Yatri Car Rental","Yatri Car Rental is an app and web-based car rental company in India, revolutionizing intercity travel with its innovative approach. As India’s leading one-way intercity car rental service provider, Yatri Car Rental is proud to introduce the GPS-Based Billing System, a first in the Indian car rental market. This cutting-edge feature ensures precise and transparent billing based on actual distance traveled. With a user-friendly platform, 24/7 availability, and a wide range of vehicles, Yatri Car Rental is setting new standards in convenience, affordability, and reliability.","Taxi and Limousine Services","11-50 employees","Self Owned","Lucknow, Uttar Pradesh","India","yatricabs.com","https://www.linkedin.com/company/yatricarrental"
,"BORJAN Executive Cars","Oxford and Abingdon based professional, experienced, smart dressed and fully vetted drivers are ready to serve you. Our luxury cars drive you anywhere in the UK with safety and style. Serving all major UK airports, book your car now or in advance for peace of mind. No extra charges, fixed prices for all airports and other major destinations.","Taxi and Limousine Services","11-50 employees","Privately Held","Oxford, England","United Kingdom","borjan.co.uk","https://www.linkedin.com/company/borjan"
,"DG Group","2026 Private Hire Company Of The Year.

Journey by journey, we're changing the way we move.
Imagine a greener, cleaner environment bringing transport, services, and people closer.
Our technology joins communities and it’s all driven by you.

DG Private Hire has been trading for over 35 years and is one of the most established companies in the East Midlands, run as a family business our growth from 12 to over 550 vehicles prides its self on customer care and reliability.

Having started the company from a porter cabin on a garage forecourt the late Mr Don Greenwood (DG)  and Mr Lance Hun moved the business to offices in the local area of Sherwood were we remained for over 30 years. Passing on the family run business, Mr Eric Atkinson further developed the company to become one of Nottingham’s leading firms before retiring and the Javaid family made the acquisition of DG Cars in 2001. For the last 10 years Amjid Javaid together with his brothers and son have invested in the company and seen the fleet grow to its present day size. In 2009 the main core of the business moved to its present day premises in Colwick and a purposed designed call centre accommodating over 70 full and part-time staff was opened while keeping offices in Sherwood and the City Centre of Nottingham, formally the Fon a Car company which was purchased in 2008. The management team including Mr Ian Pole, who started with the company in 1983 have over 80 years experience delivering customer service, backed by their valued call centre team we offer the highest level of service whether a premier account customer or an everyday user. 

The company also prides itself on environmental issues having just been awarded the ISO 14001 adding to the SIO 9001 which was achieved 2 years ago. As a company we will continue to focus on the Carbon issues and target further reductions by another 20% in 2015.","Taxi and Limousine Services","1,001-5,000 employees","Privately Held","Nottingham, Nottinghamshire","United Kingdom","thedg.group","https://www.linkedin.com/company/dg-group-nottingham"
