"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Generative AI","Generative AI is a global AI platform operated by GenAI Works, a market-informed GTM AI company serving AI startups and enterprises worldwide.

We help organizations understand real-time market demand and execute go-to-market strategies, enabling faster growth, lower customer acquisition costs, and more adaptive GTM execution.

Our platform provides:

- Real-time market intelligence derived from large-scale industry and market signal

- Agentic GTM workflows supporting distribution, outreach, content, and growth

- A unified system for acquisition, cross-sell, and up-sell 

- Tools and insights used by AI startups, SaaS companies, and Fortune 500 enterprises

GenAI Works serves a global customer base across enterprise, SMB, and education markets, with operations spanning the United States, Europe, and Central & South Asia.

The company operates a high-margin software and digital product model, combining SaaS, marketplace offerings, and education products to support AI-driven growth and commercialization.

 Business, enterprise, and partnership inquiries:
Please contact us via “Contact Us.”","Technology, Information and Media","51-200 employees","Privately Held","San Francisco","United States","genai.works","https://www.linkedin.com/company/genai-works"
,"Lowongan Kerja","OPENKERJA merupakan salah satu situs lowongan kerja Indonesia yang menyediakan lowongan kerja dari berbagai sektor meliputi BANK, BUMN, CPNS, Swasta dari lulusan SMA/SMK, D3, S1-S2 baik fresh graduate / berpengalaman.","Technology, Information and Media","Self-employed","Self Owned","JAKARTA","Indonesia","openkerja.id","https://www.linkedin.com/company/openkerja"
,"Inc. Magazine","Inc. delivers real solutions for today's innovative business builders. With information and advice covering virtually every business and management task, including marketing, sales, finding capital and managing people, Inc. helps business owners and CEOs start, run and grow their businesses.","Technology, Information and Media","51-200 employees","Privately Held","New York, New York","United States","inc.com","https://www.linkedin.com/company/incmagazine"
,"Rekrutmen Bersama BUMN","Informasi Lowongan Kerja BUMN, dan Anak Perusahaan","Technology, Information and Media","Self-employed","Self Employed","Jakarta, DKI Jakarta","Indonesia","bersamabumn.com","https://www.linkedin.com/company/bersamabumn"
,"Globo","A globo é feita de gente que quer fazer diferente, fazer junto, fazer o futuro. Gente espalhada por todo o país (e mundo!) trabalhando com conteúdo, notícias, negócios, tecnologia e brasilidade de sobra.  

Canais na TV aberta e por assinatura, produtos digitais como globoplay, Cartola, g1, ge, gshow e outros serviços estão reunidos no mesmo lugar, na mesma Globo. Novos modelos de negócios digitais estão sendo pensados e desenvolvidos, buscando nos aproximar cada vez mais do usuário e dos seus desejos. 

As oportunidades de novos negócios também trazem a chance e o desafio de construirmos novos times data-driven e que coloquem o consumidor no centro das nossas decisões. 

Vem conhecer milhões de oportunidades. Vem pra Globo :)","Technology, Information and Media","10,001+ employees","Privately Held","Rio de Janeiro, Rio de Janeiro","Brazil","g.globo","https://www.linkedin.com/company/globo"
,"ADWEEK","Adweek is the leading source of news and insight serving the brand marketing ecosystem. First published in 1979, Adweek's award-winning coverage reaches an engaged audience of professionals across platforms including print, digital, events, podcasts, newsletters, social media and mobile apps. As a touchstone of the advertising and marketing community, Adweek is an unparalleled resource for leaders across multiple industries who rely on its content to help them do their job better.","Technology, Information and Media","51-200 employees","Privately Held","New York, New York","United States","adweek.com","https://www.linkedin.com/company/adweek"
,"The Business of Fashion","The Business of Fashion is recognised around the world for its authoritative, analytical point of view on the $2.5 trillion global fashion and beauty industries. Our mission: to open, inform and connect the global fashion and beauty industries.","Technology, Information and Media","51-200 employees","Privately Held","London, Greater London","United Kingdom","businessoffashion.com","https://www.linkedin.com/company/the-business-of-fashion"
,"Computerworld","Computerworld from Foundry is recognized as the most trusted resource to Enterprise IT Leaders at all management levels seeking to align their business and technology goals. 

Computerworld leads with analysis of news, transformational technologies and trends, providing peer-based content with real-world strategies for implementing technology to drive business results.

Only Computerworld’s unique audience delivers efficient coverage of all key stakeholders in the IT purchase process.","Technology, Information and Media","51-200 employees","Privately Held","New York City, New York","United States","computerworld.com","https://www.linkedin.com/company/computerworld"
,"YourStory Media","YourStory: the story of our bold new India.","Technology, Information and Media","51-200 employees","Privately Held","Bangalore, Karnataka","India","yourstory.com","https://www.linkedin.com/company/yourstory-com"
,"Rappi","Rappi is a Latin-American tech company and the first SuperApp in the region. 

It was founded in 2015 by Simón Borrero, Sebastian Mejía, and Felipe Villamarin and today is present in 9 countries and more than 200 cities.

We are a young Latin American team of technology entrepreneurs with a mission to drive progress in our region through our platform for digital commerce. 

We know the future of Latin America can be made far brighter with technology that connects people to solutions. For us, Rappi is not just a company… it’s a movement for economic progress.","Technology, Information and Media","1,001-5,000 employees","Privately Held","Latinoamérica","Argentina","rappi.com","https://www.linkedin.com/company/rappi"
,"Indian Startup News","Indian Startup News is a news and media platform that covers news related to the entire Indian startup ecosystem.

Submit news: team@indianstartupnews.com
Partnerships/Advertising - collab@indianstartupnews.com","Technology, Information and Media","2-10 employees","Privately Held","Bhilai, Chhattisgarh","India","indianstartupnews.com","https://www.linkedin.com/company/indianstartupnews"
