"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Pulse Client Experts","Somos a Pulse Client Experts, uma empresa em constante evolução, impulsionados pela vontade de fazer acontecer. Nossa missão é transformar cada interação em uma experiência excepcional, conectando pessoas, inovação e negócios para gerar valor e impacto real.

Em março de 2020, éramos 1.200 pessoas. Hoje, já somos mais de 8.900 especialistas comprometidos em oferecer soluções ágeis, humanas e personalizadas.

Estamos presentes em Novo Hamburgo/RS, Rio de Janeiro/RJ, Sorocaba/SP e Piracicaba/SP. Expandimos com propósito, criando ambientes inovadores, colaborativos e inclusivos, onde cada pessoa pode ser quem realmente é.

Se você busca um lugar para crescer, inovar e fazer a diferença, a Pulse Client Experts é o seu lugar. Aqui, a experiência do cliente começa na experiência do colaborador, e queremos você nessa jornada com a gente!","Telephone Call Centers","5,001-10,000 employees","Privately Held",,,"infojobs.com.br","https://www.linkedin.com/company/pulse-client-experts"
,"SX Negócios","Somos a Pulse Client Experts, uma empresa em constante evolução, impulsionados pela vontade de fazer acontecer. Nossa missão é transformar cada interação em uma experiência excepcional, conectando pessoas, inovação e negócios para gerar valor e impacto real.

Em março de 2020, éramos 1.200 pessoas. Hoje, já somos mais de 8.900 especialistas comprometidos em oferecer soluções ágeis, humanas e personalizadas.

Fazemos parte do grupo Santander e estamos presentes em Novo Hamburgo/RS, Rio de Janeiro/RJ, Sorocaba/SP e Piracicaba/SP. Expandimos com propósito, criando ambientes inovadores, colaborativos e inclusivos, onde cada pessoa pode ser quem realmente é.

Se você busca um lugar para crescer, inovar e fazer a diferença, a Pulse Client Experts é o seu lugar. Aqui, a experiência do cliente começa na experiência do colaborador, e queremos você nessa jornada com a gente!","Telephone Call Centers","5,001-10,000 employees","Privately Held","Novo Hamburgo, Rio Grande do Sul","Brazil",,"https://www.linkedin.com/company/vemprapulse"
,"Invicta eSolutions Private Limited","Invicta eSolutions Pvt Ltd is a leading provider of BPO, in Goa.","Telephone Call Centers","11-50 employees","Privately Held","Margao`, Goa","India","invictaindia.in","https://www.linkedin.com/company/invicta-esolutions"
,"Anomaly Squared","Schedule your FREE Consultation here: http://bit.ly/2gUckQb

Anomaly Squared is a contact center services provider. With our multiple domestic contact centers, we optimize internet & traditional marketing plans using both inbound & outbound strategies.

We know that your employees' time is both limited and valuable. With our live transfer and lead qualification service, we will transfer directly to your sales team individuals who have been prequalified and are ready to buy. This allows your employees to focus their energy on their most crucial task - making the sale.

We become a valuable extension of your company.

From making initial contact to building brand loyalty, Anomaly Squared has the tools and expertise needed to complement your staff and to help them do their jobs better. By owning and operating all of our call centers, we have the ability to customize and conform to our clients needs, personalizing our system into a perfect fit for you.","Telephone Call Centers","201-500 employees","Privately Held","Greensboro, North Carolina","United States","anomalysquared.com","https://www.linkedin.com/company/anomaly-squared"
,"Callsexperts","Calls Experts is a global contact center solution provider. We understand the importance of lead generation and the profound daily work it entails. Our employees are trained to pitch your product or service effectively, listen patiently, answer clients’ questions, and close sales.","Telephone Call Centers","501-1,000 employees","Public Company","New York","United States","callsexperts.com","https://www.linkedin.com/company/callsexperts"
,"Concilig","A Concilig construiu uma reputação inquestionável com grandes empresas brasileiras por ser embasada por muita tecnologia e por eficácia na prestação de serviços que oferece.
De olho na inovação e nas necessidades do mercado, evoluiu para disponibilizar soluções customizadas, atuando de maneira estratégica e em constantes melhorias e aperfeiçoamentos rumo a um atendimento com excelência.
Meta: oferecer a máxima performance em Jornada do Consumidor, unindo todos os pontos de relacionamento entre clientes e negócios.
Uma experiência única, omnichannel e, sobretudo, mais valiosa e bem-sucedida para a marca de todos que nos procuram.
Agora tudo está conectado e, mais do que isso, baseado em tecnologia de ponta e no melhor do capital humano.
Concilie clientes com novas experiências. Concilie satisfação com novas possibilidades. Prepare-se para um patamar jamais visto em Customer Experience e em Customer Journey.
Concilig-se. Ligue os pontos, conecte os resultados.","Telephone Call Centers","5,001-10,000 employees","Partnership","Bauru, São Paulo","Brazil","concilig.com.br","https://www.linkedin.com/company/concilig"
,"Fácil Assist","Empresa prestadora de serviços de Assistencia 24 Horas e serviços emergenciais direcionados para Empresas, Comercio, Residencias e Pessoas.
Com foco estratégico na diferenciação e customização de soluções taylor-made para nossos clientes, oferecemos serviços de qualidade e especializados, emergenciais ou não como: Guincho ou Mecânico para Automóveis e Caminhões, serviços de Encanador, Eletrecista, Chaveiro para residências e comercio, Assistencia Funeral, Help Desk, Serviços de Call Center (SAC, CRM), entre outros diversos serviços.","Telephone Call Centers","1,001-5,000 employees","Privately Held","São Bernardo do Campo, São Paulo","Brazil","facilassist.com.br","https://www.linkedin.com/company/facil-assist"
,"Call center","Spécialiste du Centre d'Appels en Énergie Renouvelable

Nous recrutons des téléconseillers débutants pour répondre aux besoins de nos clients en fournissant un excellent service clientèle. Aucune expérience n'est requise pour ce poste. Si vous avez une bonne maîtrise de la langue française et êtes désireux d'apprendre, nous vous fournirons la formation nécessaire.","Telephone Call Centers","51-200 employees","Public Company","Tangier","Morocco",,"https://www.linkedin.com/company/imperial-com"
,"Sapient Global Services"," Explore diverse career paths, from customer service to tech support, sales, and more.","Telephone Call Centers","201-500 employees","Self Owned","Quezon City, Quezon City","Philippines","sapientbpo.net","https://www.linkedin.com/company/sapientglobalcareers"
,"REI Lead Pros","REI Lead Pros drives delivers quality leads through tailored lead generation strategies that connect you with the right opportunities. Specializing in real estate, solar, and roofing, we use a data-driven approach to deliver high-quality leads that align with your sales goals. Our solutions are designed to fuel sustainable growth and maximize ROI.","Telephone Call Centers","51-200 employees","Privately Held","Miami, Florida","United States","reileadpros.com","https://www.linkedin.com/company/rei-call-center"
