"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Remote Work EU",,"Temporary Help Services","51-200 employees","Privately Held",,,,"https://www.linkedin.com/company/remote-work-eu"
,"PROMAN France","With more than 1,278 branches and 100,000 persons at work every day PROMAN is the 4th European player on the temporary work market and recruitment.

Company with a human dimension, 100% independent and family-owned, our group owes its position to its values: work, kindness, agility, audacity, pleasure and common sense.

In constant growth, the PROMAN Family is expanding and looking for new collaborators to join the adventure!","Temporary Help Services","5,001-10,000 employees","Privately Held","MANOSQUE","France","proman-emploi.fr","https://www.linkedin.com/company/groupeproman"
,"iziwork","iziwork is a JobTech startup that leverages technological innovation to improve the work experience and access to jobs for everyone.

Its fully digitised temporary employment platform offers temporary workers simple and instant access to a wide range of jobs, but also personalised support that rewards individual merit. Breaking with market practices, iziwork offers a 'worker centric' approach to attract, develop and retain the most reliable and competent workers. For client companies, this translates to recruitments that are not only more reliable, but also more responsive and more economical.","Temporary Help Services","201-500 employees","Privately Held","Paris, Île-de-France","France","iziwork.com","https://www.linkedin.com/company/iziwork"
,"First RH Group","A First RH Group é composta por empresas reconhecidas pela excelência em Recursos Humanos.
A ETT FIRST é especializada em mão de obra temporária e a SHIFT em soluções para projetos de terceirização em serviços. Já a FIRST CONNECTING é responsável pelas parcerias estratégicas de negócios, visando cada vez mais avanços tecnológicos e melhores experiências aos nossos colaboradores e clientes. Nossas empresas são especialistas em pessoas, seus diferentes perfis e potenciais.

Acreditamos no poder da interação, por isso, conectamos pessoas e oportunidades.","Temporary Help Services","501-1,000 employees","Partnership","Rio de Janeiro, Rio de Janeiro","Brazil","firstrhgroup.com","https://www.linkedin.com/company/firstrhgroup"
,"Artemis Success","ARTEMIS SUCCESS est un cabinet de recrutement & agence d’intérim spécialisé dans les métiers du bâtiment et de la construction, se basant sur un important réseau de candidats que nous considérons comme de véritables talents et qui nous font confiance pour leur carrière. 
Nous avons également développé ARTEMIS PARTNER, le réseau des indépendants qui permet à tout le monde de pouvoir travailler sur les métiers de l'intérim.","Temporary Help Services","2-10 employees","Self Owned","Paris, Île-de-France","France",,"https://www.linkedin.com/company/artemissuccess"
,"CENTSTONE","CENTSTONE distinguishes itself in a fiercely competitive industry by offering comprehensive, end-to-end services spanning various business and technical platforms. 
Our unique nationwide coverage in staffing and permanent recruitment sets us apart, as no other company can replicate our extensive range of services. 
Additionally, our demonstrated success in attracting and retaining highly skilled professionals in an exceptionally competitive market underscores our credibility and expertise.

SERVICES OFFERED 
Staff Augmentation (Contract, Contract to Hire, Direct Hire, Single Source) 
Data Analysis Project-Based Services & Solutions 
Hire Train Deploy Service Model 
Offshore Staff Augmentation 

AREAS OF EXPERTISE 
- Information Technology 
- Aerospace/Engineering 
- Business Professional 
- Accounting/Finance 
- Admin/Clerical/Call Center 
- Healthcare/Clinical/Scientific 
- Marketing/Creative

Website: https://centstone.com/
332-255-7171","Temporary Help Services","51-200 employees","Privately Held","Hazlet, New Jersey","United States","centstone.com","https://www.linkedin.com/company/centstone"
,"ROI - Workforce as a Service (WaaS)","Our vision at ROI Agency is to connect great talent with meaningful opportunities and help clients find their next greatest hire. We provide exceptional service to both our clients and employees. We strive to positively impact the lives of individuals and companies by connecting them with each other.","Temporary Help Services","11-50 employees","Privately Held","Houston, TEXAS (TX)","United States","roiagency.us","https://www.linkedin.com/company/roi-agency-staffing-recruiting-payroll"
,"Qadreen","مساعدة السودانيين العالقين بالخارج والنازحين بسبب الحرب لدخول سوق العمل في الخارج","Temporary Help Services","2-10 employees","Non Profit",,,,"https://www.linkedin.com/company/qadreen"
,"TechGuard Enterprises","TechGuard Enterprises – Where humor meets growth! This page is dedicated to spreading laughter and positive vibes. No specific agenda, just a space for fun and connecting with awesome people. Let's make the world a better place, one smile at a time! #B2BETTER","Temporary Help Services","11-50 employees","Self Employed","Delhi","India",,"https://www.linkedin.com/company/mandhan-solutions"
,"VICOS - MANPOWER","Faglært arbejdskraft til industrien - hurtigt, sikkert og uden bøvl.

Hos VICOS MANPOWER har vi i over 12 år hjulpet danske industrivirksomheder med vikarservice, projektansættelser og rekruttering.

Vi hjælper bl.a. med dygtige smede, svejsere, CNC-operatører, montører, overfladebehandlere og skibsbyggere.

Vi leverer kvalitet og fleksibilitet, samtidig med at vi sikrer 100 % compliance med dansk lovgivning, vikarloven og gældende overenskomster.

Hvorfor vælge VICOS?

 Netværk af 500+ faglærte håndværkere

 Hurtig levering og fleksible løsninger

 +12 års erfaring med bemanding til industrien 

 Medlem af Dansk Industri – vi tager ansvar for kvalitet, sikkerhed og gode vilkår

Fuld service: bolig · transport · arbejdstøj · certifikater.

Vores bemandingsløsninger:

 Vikarservice til industrien
 Rekruttering og Try & Hire
 Projektansættelser

Få et tilbud på få timer  mail@vicos.dk

 Læs mere på vores hjemmeside","Temporary Help Services","51-200 employees","Privately Held","Esbjerg, South Denmark","Denmark","vicos.dk","https://www.linkedin.com/company/vicos"
