"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Disney Live Entertainment","The collective gasp brought on by a burst of fireworks over a fairytale castle. The chills felt as Simba's story comes to life on stage. The moments of delight in a personal connection between a child and a beloved Disney character. All this and more are made possible by the world-class team of professionals at Disney Live Entertainment. 
 
Through innovative storytelling and a culture of collaboration, Disney Live Entertainment creates, produces, and delivers remarkable and engaging entertainment experiences. From the intimate to the spectacular, our work can be seen at Disney theme parks, resort hotels, cruise ships and other locations the world over. This diverse team – representing a wide variety of disciplines and talents from technical directors, writers and lighting designers to choreographers, cosmetologists, and music producers – brings magical worlds to life through technical expertise, performance excellence, incomparable ingenuity, unparalleled spectacle… and a dash of pixie dust.","Theater Companies","1,001-5,000 employees","Public Company",,,"disney.com","https://www.linkedin.com/company/disney-live-entertainment"
,"Michael Cassel Group","Michael Cassel Group is an award-winning theatrical powerhouse, producing acclaimed performances and live entertainment for audiences around the world.

The entrepreneurial company has enjoyed a “meteoric rise” (Australian Financial Review), credited as “a major force in Australian theatre” (Variety), “the new hit-maker in Australian theatre” (Sydney Morning Herald) and described as “a visionary” and “a producer with global cred changing the face of the stage” (The Weekend Australian). 
Michael Cassel Group is an award-winning theatrical powerhouse, producing acclaimed performances and live entertainment for audiences around the world. 

The entrepreneurial company has enjoyed a “meteoric rise” (Australian Financial Review), credited as “a major force in Australian theatre” (Variety), “the new hit-maker in Australian theatre” (Sydney Morning Herald) and described as “a visionary” and “a producer with global cred changing the face of the stage” (The Weekend Australian).","Theater Companies","201-500 employees","Privately Held","Potts Point, Sydney, NSW","Australia","michaelcassel.com","https://www.linkedin.com/company/michael-cassel-group"
,"Donmar Warehouse","The Donmar is an intimate 251-seat, subsidised theatre in Covent Garden; right at the heart of London’s West End. It is internationally renowned as one of the world’s principal producing theatres, having won over 100 major awards during its 24-year history.

The Donmar Warehouse is a registered charity number 284262.","Theater Companies","51-200 employees","Non Profit","London","United Kingdom","donmarwarehouse.com","https://www.linkedin.com/company/donmar-warehouse"
,"Cinemacity UAE","Providing world class luxury cinema theaters with an unmatched movie-going experience for people of all walks of life who share one thing – 
a love for the movies & art.","Theater Companies","51-200 employees","Privately Held","Dubai","United Arab Emirates","cinemacity.ae","https://www.linkedin.com/company/cinemacity-uae"
,"Dramatics Club - ISAB","The Dramatics Club is all about theatre lovers and dramatic enthusiasts.
Theatre-packed events like Nukkad, stage and street plays, comedy skits, and much more could be done at ISAB.
It will entertain us by liberating the joyous flavor of drama as well as extracting the socialistic issues of society that need our keen attention. Writing scripts to direct and play a role will help students develop in a wide range of areas, such as self-confidence, self-esteem, communication, collaboration, interpersonal skills, aesthetic awareness, and last but not least, imagination","Theater Companies","2-10 employees","Public Company","Greater Noida , Uttar Pradesh","India",,"https://www.linkedin.com/company/dramatics-club-isab"
,"Staatstheater Hannover - Staatsoper und Schauspiel Hannover","Die Niedersächsischen Staatstheater Hannover GmbH ist eines der größten Mehrsparten-Theater Deutschlands. Die beiden Häuser, Staatsoper Hannover und Schauspiel Hannover, die neben Musiktheater und Schauspiel unter anderem auch Tanz und Konzert präsentieren, erreichen mit rund 1.200 Veranstaltungen pro Jahr etwa 370.000 Besucher:innen. Die Niedersächsische Staatstheater Hannover GmbH beschäftigt ca. 950 Mitarbeiter:innen.

Seit der Spielzeit 2019/20 liegt die künstlerische Leitung der Staatsoper Hannover in den Händen von Laura Berman, die des Schauspiels in den Händen von Sonja Anders. Diversität und Internationalität bestimmen den Spielplan und die Ensembles. Wir suchen den offenen Dialog mit der Stadtgesellschaft und die Kommunikation mit der europäischen Theaterszene.","Theater Companies","501-1,000 employees","Educational","Hannover, Niedersachsen","Germany","staatstheater-hannover.de","https://www.linkedin.com/company/staatstheater-hannover"
,"entertainers","Entertainers is one of the leading theatre producers and promoters in the UK. 

The creators and home to shows such as - The Magic of Motown, Fastlove, Lost in Music, Cirque the Greatest show, The Makings of a Murderer and many more.  

Producing 1600 plus shows a year, we are the family business of show business!

www.entertainers.co.uk","Theater Companies","51-200 employees","Privately Held","Canvey Island, England","United Kingdom","entertainers.co.uk","https://www.linkedin.com/company/entertainers-uk"
,"No Guarantees Productions","Artist Driven Theatrical Productions

Now Playing on Broadway: HADESTOWN, HELL'S KITCHEN, BUENA VISTA SOCIAL CLUB, JUST IN TIME, CHESS, OEDIPUS and ALL OUT. Coming soon, Pony Cam's BURNOUT PARADISE @ Astor Place Theatre (off-Broadway) and SCHMIGADOON! @ The Nederlander Theatre.","Theater Companies","2-10 employees","Privately Held","New York, NY","United States","noguarantees.com","https://www.linkedin.com/company/no-guarantees"
,"L'Oiseau-Mouche","Fondée en 1978, l’Oiseau-Mouche est un projet atypique qui regroupe vingt interprètes professionnels permanents, en situation de handicap mental et psychique. 
Ayant fait le choix de ne pas avoir de directeur·ice artistique attitré·e, la compagnie se réinvente continuellement et place la création et ses comédien·ne·s au cœur de son fonctionnement. 

Chacune de ses créations reflète l’originalité et la complicité d’une rencontre entre un·e artiste et la compagnie. Ce mode de travail permet une diversité de formes artistiques (théâtre, danse, marionnette, approches pluridisciplinaires etc.) et de formats (pièce, performance, projet déambulatoire, création in situ etc.). 
  
Son répertoire est foisonnant et s’inscrit dans le champ des écritures contemporaines plurielles. Les dernières créations et collaborations ont été signées, entre autres, par Cédric Orain, Sylvain Maurice, Latifa Laâbissi, Christian Rizzo, Michel Schweizer, Boris Charmatz, Bérangère Vantusso et Noëmie Ksicova. 
À ce jour, 56 pièces ont été créées pour plus de 2 000 représentations en France et à l’étranger.

L’Oiseau-Mouche possède également un théâtre avec deux salles, accueillant une trentaine d’équipes artistiques en représentation, en résidence ou en pratique partagée avec les interprètes permanent·e·s de la compagnie. Ces temps d’échanges qui croisent des univers artistiques hétéroclites sont indissociables des activités de création. Ils peuvent aussi avoir lieu hors-les-murs, en France ou à l’étranger. 

L'Oiseau-Mouche c'est également deux restaurants, le colibri et l'alimentation au sein de la Condition Publique.","Theater Companies","11-50 employees","Privately Held","Roubaix, Hauts-de-France","France","oiseau-mouche.org","https://www.linkedin.com/company/oiseaumouche"
,"Malinche, The Musical","MALINCHE es el proyecto musical de Nacho Cano, que se estrenó en Madrid el 15 de septiembre de 2022.

Narra uno de los hechos históricos más significativos de la historia: el nacimiento del mestizaje. Malinche es la celebración de la vida de una extraordinaria y mal conocida mujer que navegó entre dos mundos aparentemente contrapuestos y medió entre dos culturas al borde de un inevitable conflicto.

MALINCHE es un ambicioso proyecto meticulosamente elaborado a lo largo de más de una década junto a los más destacados colaboradores del ámbito artístico, que ha resultado en una verdadera renovación del género. Una experiencia total que rompe los moldes del espectáculo tradicional y renueva sus patrones.

Malinche es además un espacio versátil y adaptable para cualquier tipo de evento empresarial, MICE, grupos corporativos, incentivos, cena de empresa...","Theater Companies","201-500 employees","Privately Held","Madrid, Community of Madrid","Spain","malinchethemusical.com","https://www.linkedin.com/company/malinchethemusical"
,"Badisches Staatstheater Karlsruhe","The Staatstheater Karlsruhe is one of the largest multi-disciplinary theatres in Germany. With our opera, ballet, concert, theatre and young state theatre (Junges Staatstheater) divisions, we reach over 250,000 visitors with around 750 permanent employees from over 45 countries of origin in over 900 events per season and offer a creative and international working environment.

As a member of several european opera and theatre organisations, the Staatstheater is internationally networked. It is a central concern of ours to open our work sustainably to all age groups, social classes and, above all, interculturally - in terms of programme, audience and staff.","Theater Companies","501-1,000 employees","Self Owned","Karlsruhe, Baden-Württemberg","Germany","staatstheater-karlsruhe.de","https://www.linkedin.com/company/badisches-staatstheater-karlsruhe"
,"Day-for-night/cie Anne Monfort","theatre company","Theater Companies","2-10 employees","Self Employed","Besançon","France","dayfornight.fr","https://www.linkedin.com/company/day-for-night-cie-anne-monfort"
,"Theater Kikker","Theater Kikker is een eigenzinnig theater in Utrecht, gespecialiseerd in toneel en performance, moderne dans en jeugdtheater. Ons programma is divers, inclusief, uitdagend en rafelig. We bieden een podium aan Utrechtse makers en groepen en stimuleren (jong) opkomend talent. 

Jaarlijks presenteert Theater Kikker circa 120 titels (ongeveer 300 voorstellingen) in de eigen programmering. Daarnaast bevat ons programma ieder seizoen zo'n 100 activiteiten van festivals of externe huurders. 

Naast de reguliere programmering zijn er namelijk verschillende ruimtes voor verhuur beschikbaar. Deze zijn flexibel inzetbaar en voorzien van uitstekende technische faciliteiten. Of het nu gaat om een workshop, voorstelling, borrel, lezing of presentatie, Theater Kikker is de informele en sfeervolle locatie om uw kwalitatief hoogstaande activiteit te organiseren.","Theater Companies","11-50 employees","Non Profit","Utrecht, Utrecht","Netherlands","theaterkikker.nl","https://www.linkedin.com/company/theater-kikker-utrecht"
