"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"PT HM Sampoerna Tbk.","Established in 1913, PT Hanjaya Mandala Sampoerna Tbk. (Sampoerna) has been playing a significant part in the tobacco industry for more than a century. As a subsidiary of PT Philip Morris Indonesia (PMID) and an affiliate to Philip Morris International Inc. (PMI) since 2005, we have the vision to be regarded as the most respected company in Indonesia. We place our ""Three Hands Philosophy"" mission at heart, which represents our key stakeholders including adult consumers, employees & business partners, and society at large, to embrace in synergy and continuously innovate to reach new milestones. 

To deliver high-quality products for our adult consumers, we focused on our employees by formulating an inclusive and vibrant working environment. Our diverse and global teams offer a wide range of perspectives for anyone keen to learn something new every day. That is why Sampoerna has been certified as a “Top Employer” in Indonesia by the Top Employers Institute for the past years in a row. This certification is further recognition of Sampoerna's transformation progress and firmly establishes Sampoerna among the ranks of employers of choice that are focused on meeting the needs of a globally diverse workforce. Here, we strive to #MakeHistory by creating a positive impact for society at large.

The initiatives towards sustainability are encapsulated in “Sampoerna for Indonesia” (“Sampoerna Untuk Indonesia”) which represents our commitment to continuously contribute to Indonesia’s development. To help the growth of our business partners and society at large, we are continuously committed to improving the MSME’s (UMKM) skills with various integrated and comprehensive training through the Sampoerna Entrepreneurship Training Center (SETC) and the Sampoerna Retail Community (SRC). 

With our current mission to lead the transformation of the tobacco industry, we believe that we are preparing the business for the future and create wider societal value for all stakeholders.","Tobacco Manufacturing","10,001+ employees","Public Company","Jakarta, DKI Jakarta","Indonesia","sampoerna.com","https://www.linkedin.com/company/pt-hm-sampoerna-tbk"
,"PT DJARUM","At Djarum, we view our people as the foundation of our success. We look for people who have a passion for progress, combined with key qualities of humility, dedication and sincerity. These are the values have enabled us to work harmoniously yet dynamically over the past six decades, generating real progress and products.","Tobacco Manufacturing","10,001+ employees","Privately Held","Kudus, Central Java","Indonesia","djarum.com","https://www.linkedin.com/company/pt-djarum"
,"JTI","We’re JTI, Japan Tobacco International and we believe in freedom. We think that the possibilities are limitless when you’re free to choose. In fact, we’ve spent over 20 years innovating, creating new and better products for our consumers to choose from. It’s how we’ve grown to be present in 130 countries.

But our business isn’t just business. Our business is our people. Their talent. Their potential. We believe when they’re free to be themselves, grow, travel and develop, amazing things can happen for our business. 

That’s why our employees, from around the world, choose to be a part of JTI. 83% of employees feel happy working at JTI. And that's why we’ve been awarded Global Top Employer status, 10 years running. 

So when you’re ready to choose a career you’ll love, in a company you’ll love, feel free to #JoinTheIdea. 

A 'follow' confirms you are 18+","Tobacco Manufacturing","10,001+ employees","Public Company","Geneva","Switzerland","jti.com","https://www.linkedin.com/company/jti"
,"PT. Gudang Garam Tbk","PT Gudang Garam Tbk is one of the leading cigarette producers that has been established since 1958 in the town of Kediri, East Java. 
Measured by assets controlled, product sales, duties and taxes paid to the Indonesian Government and by total number of employees, PT Gudang Garam, Tbk. is the biggest company involved in the Indonesian kretek cigarette industry. 'Tbk' denotes that the company lists part of its shares in the Stock Exchange.
The Company has a 21.4 per cent of the domestic cigarette market at the end of 2017 based on Nielsen market research.

Until now, Gudang Garam has widely known both domestically and abroad as a producer of high quality kretek clove cigarettes. Gudang Garam products can be found in many varieties, ranging from SKL (Sigaret Kretek Klobot) or corn husk-wrapped clove cigarettes, SKT (Sigaret Kretek Linting Tangan) or hand-rolled clove cigarettes, up to SKM (Sigaret Kretek Linting Mesin) or machine-rolled clove cigarettes. For the true clove cigarettes lovers, we are committed to provide an outstanding experience in enjoying kretek clove cigarettes made from high-quality materials.

Gudang Garam provides lifehoods for a workforce of 35,272 at the end of 2017, engaged in  cigarette manufacturing, marketing, & distribution. 
In addition to its production facilities, the Company is represented by a total of 67 area offices with 281 points of distribution located throughout Indonesia and services its markets with a sales fleet of over 7,000 vehicles.    
Employee walfare is a priority, from paper safety practices and health facilities to training in leadership, management, clerical and technical skills through a mixture of internal and external courses.

Gudang Garam contributes indirectly to the lives of about 4 million people comprising tobacco and clove farmers, retailers and hawkers across the archipelago. The cigarette industry, in which Gudang Garam is a leading player, is a major source of revenue for the Government in excise duty.","Tobacco Manufacturing","10,001+ employees","Public Company","Kediri, East Java","Indonesia","gudanggaramtbk.com","https://www.linkedin.com/company/pt.-gudang-garam-tbk"
,"Japan Tobacco Inc. (JT)","Japan Tobacco Inc. is a global company with products available in over 130 markets. We operate mainly in the tobacco and processed food businesses with approximately 54,000 employees and 61 factories worldwide as of 2024 yearend. Under the 4S model, we strive to fulfill our responsibilities to our valued consumers, shareholders, employees and the wider society. By pursuing the 4S model, we aim to achieve sustainable profit growth over the medium and long term. To realize the JT Group Purpose of “Fulfilling Moments, Enriching Life”, we will work to maximize the value of the company. D-LAB, our corporate R&D organization, is further supporting the realization of the JT Group Purpose, by exploring long-term growth opportunities.
Our tobacco business manufactures and sells renowned brands in combustibles including Winston, Camel, MEVIUS and LD. As a leading and responsible company, we are committed to investing in reduced-risk products (RRP) that have the potential to reduce the risks associated with smoking. These products are sold under dedicated brands, such as Ploom (heated tobacco products), Logic (E-vapor), Nordic Spirit (nicotine pouches), and WITH (infused tobacco products).
Our processed food business focuses on frozen and ambient food, mainly frozen noodles, frozen okonomiyaki (Japanese savory pancakes) and packaged cooked rice, as well as seasonings, including yeast extracts. 
Headquartered in Tokyo, Japan Tobacco Inc. is listed on the primary section of the Tokyo Stock Exchange (ticker: 2914.T) and is the recipient of several global awards and recognitions, including CDP, S&P/JPX Carbon Efficient Index, FTSE Blossom Japan Indices.","Tobacco Manufacturing","10,001+ employees","Public Company","Minato-ku, Tokyo","Japan","jt.com","https://www.linkedin.com/company/japan-tobacco-inc-jt"
,"PT. SURYA MADISTRINDO","Didirikan pada tahun 2002, PT Surya Madistrindo (SM) adalah perusahaan yang dimiliki oleh PT Gudang Garam Tbk untuk menjalankan distribusi produk-produk sigaret Gudang Garam bersama dengan 3 perusahaan distribusi lainnya. Di tahun 2009, SM ditunjuk sebagai distributor tunggal yang memegang kendali strategi distribusi dan field marketing untuk seluruh wilayah Indonesia.

SM telah tumbuh dan bertransformasi menjadi perusahaan distribusi rokok yang profesional dan modern. Berawal dari beberapa ribu karyawan, kini SM telah didukung oleh sumber daya manusia mencapai lebih dari 14 ribu orang yang tersebar pada 12 kantor perwakilan regional dan lebih dari 180 kantor perwakilan area di Indonesia.

Filosofi : CATUR DHARMA
1. Kehidupan yang bermakna dan berfaedah bagi masyarakat luas merupakan suatu kebahagiaan
2. Kerja keras, ulet, jujur, sehat, dan beriman adalah prasyarat kesuksesan
3. Kesuksesan tidak dapat terlepas dari peranan dan kerja sama dengan orang lain
4. Karyawan adalah mitra yang utama

Visi :
Mengembangkan sumber daya manusia yang baik agar bermanfaat bagi masyarakat

Misi :
Kami adalah organisasi pembelajaran
Kami organisasi modern dan professional yang menjunjung tinggi norma-norma sosial","Tobacco Manufacturing","10,001+ employees","Privately Held","Jakarta Pusat, Greater Jakarta","Indonesia","gudanggaramtbk.com","https://www.linkedin.com/company/pt.-surya-madistrindo"
,"Papastratos S.A.","Welcome to Papastratos, an affiliate of Philip Morris International Inc (PMI).

We are the leading Greek tobacco company since 1931. We are a group of talented people, working with top international and local brands (such as Marlboro, IQOS and the historic Greek brand ASSOS), sharing a unique corporate culture & state-of-the-art know-how.  The attribution of the international experience of PMI as well as our long and proud history complete the exceptional environment of Papastratos.

Since 2003, we have invested more than €700 million in infrastructure at our factory in Aspropyrgos following a new investment in our factory transformation, of €300 million during 2017, our people and brands, important social contributions, and the fight against the illicit trade in cigarettes. These investments have ensured our dynamic business growth, boosted our competitiveness, and provided our employees with opportunities for further career development. We are contributing to the Greek society and the country. Our corporate social responsibility program, representing an expenditure of more than €2 million through the period 2009-2016, aims to provide vulnerable social groups with relief from the economic crisis. Papastratos has implemented programs in collaboration with various NGOs.","Tobacco Manufacturing","501-1,000 employees","Public Company","Asprópirgos, Attica","Greece","papastratos.gr","https://www.linkedin.com/company/papastratosmazi"
,"PT Wismilak Inti Makmur Tbk","WISMILAK is an Indonesian cigarette company rooted in Surabaya since 1962. Our journey began with PT Gelora Djaja, founded in 1962 in Petemon, Surabaya, as a hand-rolled kretek manufacturer by Wismilak’s founders: Lie Koen Lie, Tjio Ing Hien, Tjioe Ing Hwa, and Oei Bian Hok.

PT Gelora Djaja started its first factory in a house on Jl. Petemon Barat, Surabaya, with 10 employees. The dining room of Lie Koen Lie’s residence on Jl. Ngaglik, Surabaya, served as an early space to refine a distinctive kretek formula.

Our first product was the GALAN brand of kretek, followed by Wismilak Kretek Special in 1963.

- In 1983, Wismilak established PT Gawih Jaya to strengthen distribution.
- In 1988, Wismilak expanded into machine-rolled cigarettes and launched Wismilak Diplomat in 1989.
- In 1994, Wismilak established PT Wismilak Inti Makmur as the holding company.
- In 1998, we moved our head office to Jl. Dr. Soetomo 27, Surabaya, later known as GRHA Wismilak.
- In 1999, Wismilak entered the cigar segment with Wismilak Premium Cigar Robusto.
- In 2006, PT Wismilak Inti Makmur began producing cigarette filters for commercial use.

In 2012, we entered a new phase by completing an initial public offering on the Indonesia Stock Exchange.

As of the end of 2025, PT Wismilak Inti Makmur Tbk continues to grow as the parent company of PT Gelora Djaja (manufacturer) and PT Gawih Jaya (distributor). Our network includes 4 production facilities, 4 regional logistics centers, 23 distribution areas, 2 stock points, and 26 agents across Indonesia’s major islands.","Tobacco Manufacturing","1,001-5,000 employees","Public Company","Surabaya, Jawa Timur","Indonesia","wismilak.com","https://www.linkedin.com/company/wismilakintimakmurtbk"
,"Al Fakher","Founded in the United Arab Emirates, Al Fakher has been passionate about shisha since 1999. 

Our molasses are made from the finest tobaccos and are infused with exquisite European flavor infusions to create a rich, unrivaled, full smoking experience for our shisha enthusiasts 

We are proud of our Middle Eastern heritage and our place in the growing shisha community around the globe. For us, smoking shisha is about taking the time to slow down and appreciate life. It is a time where cultures meet and when people from all walks of life come together. Pausing for thought and contemplation, taking the opportunity to reveal the deeper connections in life - links between problems and solutions, ties between friends and strangers, bridges between generations.","Tobacco Manufacturing","501-1,000 employees","Public Company","Dubai","United Arab Emirates","alfakher.com","https://www.linkedin.com/company/al-fakher-tobacco"
,"PT Wismilak Inti Makmur Tbk","Wismilak is an Indonesian cigarette company which was established in Surabaya in 1962. In 2012, Wismilak successfully executed an Initial Public Offering of its shares which changed its status intoa Public Company and its name into PT Wismilak Inti Makmur Tbk.

PT Wismilak Inti Makmur Tbk is the parent company of PT Gelora Djaja (producer) and PT Gawih Jaya (distributor), which, at the end of 2017, has 5 Production Facilities, 4 Regional Logistic Centers, 19 Distribution Area, 2 Stock Points and 30 agents spread all across Indonesia.","Tobacco Manufacturing","1,001-5,000 employees","Public Company","Surabaya, Jawa Timur","Indonesia","wismilak.com","https://www.linkedin.com/company/wismilakintimakmur-tbk"
