"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Alstom","Rail has the power to shape how societies grow, connect, and decarbonise. At Alstom, we turn this potential into reality, moving over 100 million people daily with safe, smart, and sustainable mobility solutions.","Transportation Equipment Manufacturing","10,001+ employees","Public Company","Saint-Ouen","France","alstom.com","https://www.linkedin.com/company/alstom"
,"Elevadores Atlas Schindler (Brazil)","The Elevadores Atlas Schindler, a member of the Swiss Schindler Group, is a company that has more than 135 years with a worldwide presence manufacturing, maintaining and modernizing elevators, escalators and moving walks. 

Being considered the best brand in its segment in Brazil according to PINI research, the most prestigious supplier’s survey within the construction business, the company has two factories, one localized in Londrina and another one in São Paulo achieving approximately 4700 employees in over 150 branches spread throughout the Brazilian territory.","Transportation Equipment Manufacturing","1,001-5,000 employees","Public Company","Sao Paulo","Brazil","schindler.com.br","https://www.linkedin.com/company/elevadores-atlas-schindler"
,"Jardine Schindler Group","Founded in 1974, Jardine Schindler Group (JSG) is a Joint Venture between Jardine Matheson in Hong Kong and Schindler Group located Switzerland, who between them bring over 300 years of experience in business management, regional specialization and engineering excellence. 

Headquartered in Hong Kong, JSG employs close to 6000 employees to design, engineer, install, maintain and modernize elevators, escalators and moving walkways in Brunei, Cambodia, Hong Kong, Macau, Malaysia, Myanmar, Indonesia, the Philippines, Singapore, Thailand and Vietnam.","Transportation Equipment Manufacturing","5,001-10,000 employees","Privately Held","Hong Kong, Hong Kong","Hong Kong","jardineschindler.com","https://www.linkedin.com/company/jardine-schindler"
,"Vontier","We’re a global technology company focused on transportation and mobility. Our businesses are all industry leaders in their sectors – across convenience retail, mobility infrastructure, retail and commercial fueling, fleet management and vehicle maintenance and repair. We are leading the way to smarter transportation for a growing, connected world.","Transportation Equipment Manufacturing","5,001-10,000 employees","Public Company","Raleigh, North Carolina","United States","vontier.com","https://www.linkedin.com/company/vontier"
,"Schindler France","Fondé en Suisse en 1874, le Groupe Schindler constitue aujourd’hui l’un des principaux fournisseurs mondiaux d’ascenseurs, d’escaliers mécaniques, de trottoirs roulants et de produits permettant, par exemple, la gestion de la mobilité dans un bâtiment. Les solutions de mobilité Schindler transportent 2 milliards de personnes chaque jour dans le monde. Présent dans plus de 100 pays, le Groupe Schindler compte 69 000 collaborateurs qui construisent le succès de l’entreprise et qui interviennent aux niveaux de la production, du montage, de l’entretien et de la modernisation.

En France, ce sont 3000 collaborateurs qui s’engagent tout au long de l’année pour garantir une prestation de qualité dans un parc de plus de 100000 appareils - ascenseurs, escaliers mécaniques, trottoirs roulants, portes & automatismes.","Transportation Equipment Manufacturing","1,001-5,000 employees","Public Company","Vélizy-Villacoublay, Île-de-France","France","schindler.com","https://www.linkedin.com/company/schindler-france"
,"Schindler Aufzüge AG (Switzerland)","Behind Schindler Aufzüge AG are approximately 2,500 employees and over 300 apprentices, who help make our company the undisputed number one in the Swiss elevator business. Professional training courses (Lift Camps) that are mandatory for all new members of staff allow us to ensure that our client-facing employees are trained to the very highest level. Schindler is also a pioneer in the digitalization of the elevator business. With the Schindler Ahead range of products, the PORT Technology destination-dispatch system, and the online planning navigator for architects and planners, Schindler is a worldwide leader in the digitalization of the elevator industry.

Become part of a globally successful Swiss family company and apply via our online portal at job.schindler.com.","Transportation Equipment Manufacturing","1,001-5,000 employees","Public Company","Ebikon","Switzerland","schindler.ch","https://www.linkedin.com/company/schindler-aufzuge"
,"Frauscher Sensor Technology","Frauscher Sensor Technology provides the world’s most reliable field elements for train detection and wayside object controlling. Additionally, our portfolio includes software-, connectivity- and data transmission solutions combined with data-based, smart life cycle services. With locations and partners all over the globe, we guarantee a strong supply chain and optimal customer support. Together, we form the trusted foundation operators need to run their rail networks with confidence.","Transportation Equipment Manufacturing","501-1,000 employees","Self Owned","St. Marienkirchen bei Schärding, Oberösterreich","Austria","frauscher.com","https://www.linkedin.com/company/frauscher-sensor-technology"
,"Montele Elevadores","Desde 1982 a Montele é referência nacional para elevadores e plataformas de acessibilidade. Fomos pioneiros em todos os equipamentos que comercializamos, com inovações e patentes. Fabricamos a primeira plataforma elevatória há mais de 30 anos e criamos o nosso próprio sistema de monitoramento remoto de elevadores pela internet, com milhões de viagens registradas em tempo real.

Desenvolvemos nossas operações de manufatura em Contagem/MG e em campo por todo o Brasil, chegando no marco de 1.000 instalações em um ano. Em 2025 ultrapassamos 15.000 clientes atendidos. Nossos elevadores estão em grandes organizações, residências icônicas e nos pontos turísticos mais reconhecidos.

Nossa realidade é o desafio de fornecimentos com prazos curtos, atendimentos criteriosos e a garantia da segurança e durabilidade superior que os clientes esperam da marca Montele.","Transportation Equipment Manufacturing","51-200 employees","Privately Held","Contagem, Minas Gerais","Brazil","montele.com.br","https://www.linkedin.com/company/montele-elevadores"
,"Wielton SA","Wielton S.A. z siedzibą w Wieluniu to największy polski producent naczep, przyczep i zabudów. Spółka notowana na Giełdzie Papierów Wartościowych w Warszawie należy do grona dziesięciu największych producentów w swojej branży na świecie. Klientami Wieltonu są firmy transportowe, budowlane, produkcyjne, dystrybucyjne i rolnicze. Grupa Wielton posiada cztery centra produkcyjne: w Polsce, Niemczech, we Francji oraz Wielkiej Brytanii, a także dwie montownie: we Włoszech i w Rosji. Pod koniec 2016 r. Wielton uruchomił spółkę zależną na Wybrzeżu Kości Słoniowej.
 
W ramach całej Grupy zatrudnienie znajduje obecnie ok. 3 tys. pracowników, przy czym najwięcej, bo aż 1,7 tys. w Wieluniu. W 2016 r. w Wieluniu Wielton otworzył Centrum Badawczo-Rozwojowe. Inwestycje w badania i rozwój to dla spółki istotny element strategii. Już dziś firma współpracuje z instytutami i uczelniami w Polsce i za granicą, a Dział Badań i Rozwoju posiada jedyną w Polsce, a drugą w Europie stację do całopojazdowego badania naczep, która umożliwia wykrywanie ewentualnych usterek już na etapie testów produkowanych pojazdów. Oferta Grupy Wielton z roku na rok się poszerza i zostaje wzbogacona o nowe produkty. Klienci mogą wybierać spośród 12 grup pojazdów, dostępnych w 800 konfiguracjach. Siłą Grupy jest konsekwentnie realizowana strategia, oparta na rozwoju organicznym i akwizycjach. W 2015 r. Grupa nabyła wiodące włoskie marki Viberti i Cardi. W maju 2017 r. Grupa Wielton przejęła niemiecką spółkę Langendorf, dzięki czemu poszerzyła swoją ofertę m.in. o specjalistyczne pojazdy do przewozu szkła i prefabrykatów betonowych, a w ostatnim kwartale 2017 roku sfinalizowała akwizycję 100% udziałów we francuskiej spółce Fruehauf. Przejęcie spółki Lawrence David we wrześniu 2018 r. pozwoliło wzbogacić ofertę Grupy o kolejne unikalne pojazdy.","Transportation Equipment Manufacturing","1,001-5,000 employees","Public Company","Wieluń, łódzkie","Poland","wielton.com.pl","https://www.linkedin.com/company/wielton-sa"
,"Vossloh Switch Systems","The Vossloh Switch Systems division develops and manufactures switch systems for rail infrastructure, which must be individually adapted to the customer and the project. Installation and maintenance are related Vossloh services.

Vossloh is a worldwide leading manufacturer of switch systems. At over 30 production sites in over 20 countries Vossloh manufactures, amongst other things, turnouts and crossings, manganese frogs, switch blade, switch actuators and locking devices, signalling products and rail monitoring systems. The Vossloh offer covers all fields of application: standard, high-speed, special and heavy haul switches in accordance with all international standards, as well as solutions for urban networks.

Imprint: https://www.vossloh.com/en/imprint/","Transportation Equipment Manufacturing","1,001-5,000 employees","Public Company","Rueil-Malmaison, Île-de-France","France","vossloh.com","https://www.linkedin.com/company/vosslohswitchsystems"
