"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Mowasalat Qatar","DRIVING QATAR FORWARD

Founded in 2004, Mowasalat has grown from strength to strength to become the premier transportation service provider in Qatar. Central to our development has been the goal of providing a fully integrated, state-of-the-art ground transport network that includes both public and private services.

With currently over 7000 staff and major fleet expansion plans for the years to come, we are committed
to excellence in all aspects of our business; and honored to be one of the central driving forces of
Qatar’s National Vision 2030.

Our Vision
Building community through agile transport solutions.

Our Mission
Connecting Qatar safely and sustainably.

Our Core Values
Customer Centricity, Sustainability, Agility","Shuttles and Special Needs Transportation Services","5,001-10,000 employees","Government Agency","Doha","Qatar","mowasalat.com","https://www.linkedin.com/company/mowasalat"
,"Delft Hyperloop","For years now, the transportation industry has consisted of four modes of transportation. Society has settled on cars, trains, boats, and airplanes. In 2013, a new conceptual high-speed transportation system was introduced using near-vacuum tubes in which pressurized vehicles travel: the Hyperloop. Due to low air resistance in the tubes, the vehicles can travel at speeds of over 1000 km/h, almost the speed of sound.

Delft Hyperloop IX (DH09) is a team of 43 students from Delft University of Technology, on a mission to develop the desire, technology, and infrastructure for the future implementation of the Hyperloop system. We believe that the Hyperloop, a concept that is as fast as an airplane but has a fraction of the ecological footprint, will be the fifth mode of transportation and the future of long-distance traveling.

We, as a team, will build upon years of successful experience and multiple great performances in the SpaceX Hyperloop Pod Competition and the European Hyperloop Week (EHW). This year, we will be co-organizing and participating in EHW 2025, set to take place in Groningen and Veendam in July 2025.

Follow DH09 on LinkedIn to see our journey and watch us achieve our goals!","Shuttles and Special Needs Transportation Services","11-50 employees","Non Profit","Delft, Zuid-Holland","Netherlands","delfthyperloop.nl","https://www.linkedin.com/company/delft-hyperloop"
,"DPV Transportation Worldwide","Through revolutionary corporate shuttle bus services, on-demand drivers, charter buses, and more, DPV sets out to change every facet of ground transportation, embracing safety and leveraging technology at every step. 

Every DPV vehicle is a novelty. Every passenger is royalty. Every team member is family. And each DPV ride is consistent, yet they’re all unique. Our services are always designed around the client’s needs. But that’s not all that makes us different. Our systems continually set us apart; DPV Transportation moves beyond dependability to accountability. 

DPV offers 8 different types of vehicles from executive sedans to limousines, executive vans, luxury mini-coaches & luxury motor coaches - guaranteeing that we have the “right” vehicle for any occasion. 

If you're hosting a convention, sales conference, corporate party, or premier event, DPV Transportation will provide the travel accommodations. We work closely with Event Planners, Travel Agents, and Administrators to make sure the guests are picked up and dropped off at their destinations on time - whether it's an airport, hotel, convention center, or extracurricular activity location any place around the globe.","Shuttles and Special Needs Transportation Services","201-500 employees","Public Company","Everett, Massachusetts","United States","dpvtransportation.com","https://www.linkedin.com/company/dpv-transportation-inc"
,"Shuttlers","Shuttlers is a platform that enables professionals access efficient shared-transportation in Lagos & Abidjan Metropolis. We help transform the stressful time commuting to and from work into a productive, refreshing and relaxing experience.

With the Shuttlers app, professionals can book a seat on a route, pay for seat and track arrival of their shuttles. While companies can provide reliable, efficient work transportation for their teams. 

Our goal is to help you commute to work and back home in the most comfortable, safe, fun, and affordable way possible. Passengers shuttle in air conditioned  buses. Each route has been designed and customized to suit your commuting needs.","Shuttles and Special Needs Transportation Services","51-200 employees","Partnership","Lagos, Lagos","Nigeria","shuttlers.co","https://www.linkedin.com/company/shuttlers"
,"Munckhof","With years of transport experience, Munckhof has become an expert in passenger transport and travel. Munckhof applies this expertise with passion and conviction on behalf of its clients. 

We offer total solutions and full customization in the following areas:
- corporate travel in the Netherlands and abroad for the public and private sector
- passenger transport in the healthcare sector
- shuttle services in the tourism and recreation sector
- logistic transport management for small-scale and large-scale events
- mobility solutions for educational institutions
 
What makes us unique in the Netherlands is our ability to combine these different services in one company. We have the necessary in-house expertise to coordinate and manage our transport and travel partners. This means we can offer our clients and customers a single point of contact for all their questions. In short, we take care of all transport management needs, from A to Z.

Munckhof distinguishes itself by:

- providing total mobility, from A to Z
- maintaining close contact with clients at local branches
- providing relevant management information in real-time
- ensuring the 24/7 availability of in-house staff
- working with customized technological solutions developed in-house
- guaranteeing national coverage for taxi transport, coach transport and corporate travel
- working from a modern central management centre
- drawing on a global network of transport and travel partners

For more informatie about Munckhof: www.munckhof.nl.","Shuttles and Special Needs Transportation Services","1,001-5,000 employees","Privately Held","Horst","Netherlands","munckhof.nl","https://www.linkedin.com/company/munckhof"
,"Get Driven"," 𝐘𝐨𝐮𝐫 𝐂𝐚𝐫, 𝐎𝐮𝐫 𝐃𝐫𝐢𝐯𝐞𝐫 | 𝐒𝐭𝐫𝐞𝐬𝐬-𝐅𝐫𝐞𝐞 𝐑𝐢𝐝𝐞𝐬 𝐀𝐧𝐲𝐰𝐡𝐞𝐫𝐞

At Get Driven, we redefine convenience by putting you in control. Whether it’s a business meeting, a night out, or a family trip, our professional drivers ensure your journey is smooth and stress-free—all in the comfort of your own car.

 Anywhere you need to be, we’ll get you there hassle-free.
 Convenience and flexibility tailored to your schedule.
 Seamless booking, 𝐛𝐞𝐜𝐚𝐮𝐬𝐞 𝐲𝐨𝐮𝐫 𝐭𝐢𝐦𝐞 𝐦𝐚𝐭𝐭𝐞𝐫𝐬.

𝐈𝐭’𝐬 𝐧𝐨𝐭 𝐣𝐮𝐬𝐭 𝐚 𝐫𝐢𝐝𝐞—𝐢𝐭’𝐬 #𝐘𝐨𝐮𝐫𝐂𝐚𝐫𝐘𝐨𝐮𝐫𝐑𝐮𝐥𝐞𝐬.","Shuttles and Special Needs Transportation Services","501-1,000 employees","Public Company","Kortrijk, Flemish Region","Belgium","getdriven.app","https://www.linkedin.com/company/getdrivenglobal"
,"Infina Health","Infina Health provide compassionate and highly skilled medical care to more than 9 million residents, covering over 300 square miles in southeast Pennsylvania. Our fleet of ambulances provides emergency medical transport in Philadelphia and its surrounding areas. So whether you need emergency medical care or just a ride to the doctor, Infina Health has you covered. Contact us today to learn more about our services.","Shuttles and Special Needs Transportation Services","51-200 employees","Partnership","Reading, Pennsylvania","United States","infinahealth.com","https://www.linkedin.com/company/infina-health"
,"ETAC SPA","Créée en 2015, l'Entreprise de Transport Algérien par Câbles, ETAC Spa, est une entreprise de droit algérien. Née dans le cadre d'un partenariat algéro-français entre: l'Entreprise du Métro d'Alger ""EMA"" , le Groupement de  Transports Terrestres de Voyageurs (TRANSTEV) et le Partenaire Français POMA, leader mondial des remontées mécaniques.

Ainsi, l'ETAC a pour missions :
-L'Exploitation et la Maintenance des Installations de Transport par Câbles d’Algérie
-La Formation dans le domaine des remontées mécaniques .
-L’Étude et la Réalisation des Systèmes de Transport par Câble d’Algérie
-La création d’une Unité d’Assemblage de Télécabines
En outre, avec 750 collaborateurs, l’ETAC exploite actuellement, pour le compte de l'EMA, Entreprise du Métro d'Alger, huit (08) sites en Télécabines implantés à travers le territoire national. Nommons respectivement Bab El Oued et Oued Korich pour Alger, Blida, Tlemcen, Tizi Ouzou, Skikda, Constantine et Annaba. 
Pour ce qui est des Téléphériques, quatre (04) sites sont implantés à Alger. Il s'agit du Mémorial, Madania, Palais de la Culture, Notre Dame d'Afrique.","Shuttles and Special Needs Transportation Services","501-1,000 employees","Privately Held","Alger","Algeria",,"https://www.linkedin.com/company/entreprise-de-transport-algerien-par-câbles-etac-spa"
,"RoadX MMC | Corporate Transport • Staff Shuttle • VIP Transfers • Tours & Events","Sizin Tur MMC — Corporate Transport & Travel Solutions in Azerbaijan

Sizin Tur MMC, Azərbaycanda korporativ nəqliyyat, işçi servisi, VIP transfer, turlar və korporativ tədbir logistikasında ixtisaslaşmış professional nəqliyyat şirkətidir.
Biz şirkətlər üçün tam idarə olunan nəqliyyat ekosistemi qururuq: planlama, marşrut optimizasiyası, GPS nəzarəti, sürücü idarəsi, təhlükəsizlik və 24/7 əməliyyat dəstəyi.

Xidmətlərimiz

• Corporate Staff Shuttle (şirkət servisi)
İşçi nəqliyyatının günlük və aylıq idarəsi, marşrut hazırlanması, xərclərin optimallaşdırılması və vaxtında çatdırılma zəmanəti.

• Bus Rental & Transport Solutions
Mikroavtobus, midibus və böyük avtobuslarla korporativ nəqliyyat, tədbir daşınması və qonaq qarşılanması.

• VIP Transfer (V-Class, S-Class, SUV)
Rəhbərlər, qonaqlar və xüsusi tədbirlər üçün yüksək səviyyədə nəqliyyat xidməti.

• Corporate Travel & Events
Şirkətlər üçün ölkədaxili səyahətlər, teambuilding, seminar-logistika və 100+ nəfərlik tədbir nəqliyyatı.

• Domestic & International Tours
Komandalar, məktəblər və qruplar üçün tam paket tur xidmətləri.

Bizim Üstünlüklərimiz

 GPS + Kamera nəzarəti — hər bir nəqliyyat vasitəsində tam təhlükəsizlik.
 Sürücü Akademiyası — etik davranış, təhlükəsizlik və xidmət standartı.
 Marşrut optimizasiyası — şirkətlərin aylıq nəqliyyat xərclərini 15–25% azaldırıq.
 Texniki xidmət protokolu — hər avtobus mütəmadi yoxlamadan keçir.
 24/7 Operations Center — gecə-gündüz koordinasiya və dəstək.
 Professional Corporate Management — HR, Operations və CEO-lar üçün “no-stress” həll modeli.

Kimlər üçün çalışırıq?

• Zavodlar və istehsalat müəssisələri
• Korporativ ofislər və holdinqlər
• Supermarket şəbəkələri
• Klinikalar və təhsil müəssisələri
• Otellər və event şirkətləri

Missiyamız

Azərbaycan şirkətlərinə dünyəvi səviyyədə nəqliyyat xidməti təqdim etmək, əməkdaşların təhlükəsiz və rahat şəkildə işə-evə çatdırılmasını təmin etmək, nəqliyyat sektorunda yeni standart yaratmaq.

Əlaqə: +994103120606","Shuttles and Special Needs Transportation Services","2-10 employees","Privately Held","Bakı","Azerbaijan","sizintur.az","https://www.linkedin.com/company/roadx-llc"
,"RoadX - Transportation Services","RoadX is a corporate transportation and mobility management company operating across Azerbaijan.

We manage employee and project mobility as a controlled operational process, delivering safe, reliable, and punctual transportation for corporate and industrial clients.

Today, RoadX supports daily mobility for up to 1,500 employees across 30+ companies and delivers project-based transportation for energy, infrastructure, and industrial developments nationwide.

Our services include long-term employee shuttle operations, project mobility with technical and off-road fleets, executive and VIP transportation, and corporate transfers — all delivered through strict HSE standards, professional drivers, and guaranteed fleet availability.","Shuttles and Special Needs Transportation Services","11-50 employees","Privately Held","Bakı","Azerbaijan","roadx.az","https://www.linkedin.com/company/roadx-transport"
