"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Ciser","Ciser is the largest manufacturer of fasteners in Latin America. It has 27,000 products grouped into 503 lines to supply 20,000 customers in over 20 countries. The Company employees approximately 1,900 employees spread between the Ciser, in Araquari and Joinville (SC), and Ciser Automotive in Sarzedo (MG). The Company also has a distribution center located in Joinville.","Turned Products and Fastener Manufacturing","1,001-5,000 employees","Privately Held","Joinville, SC","Brazil","ciser.com.br","https://www.linkedin.com/company/ciseroficial"
,"Precision Industrial Fasteners","Precision Industrial Fasteners is an IATF 16949:2016, ISO 9001:2015, ISO 14001:2015 (EMS) and BIS certified renowned manufacturer of High-Quality Cold Forged High Tensile Fasteners, Parts and Machined Components, founded in 1995. The organisation is known for offering fastening solutions to the world's leading companies across industries.

We are committed to producing fasteners that adhere to international standards and are tailored to meet customer-specific requirements. We continuously invest in quality, technology, machinery, and creative minds, which provide us the necessary tools required to achieve our goal of complete customer satisfaction. Our dedication to quality and innovation has made us a leading player in the fastener industry. We are a full-service provider boasting state-of-the-art infrastructure and providing services from product design to the final product at the customer's place.

Facebook: https://www.facebook.com/PrecisionIndustrialFasteners
Instagram: https://www.instagram.com/pifindia/?igshid=YmMyMTA2M2Y%3D
X: https://twitter.com/PIFindia?s=20&t=FuC3NX-B4RVK_-RhAhqe8g
YouTube: https://www.youtube.com/channel/UCXGd9qjaQp-SbRurDn2Hc7g","Turned Products and Fastener Manufacturing","201-500 employees","Partnership","Sahnewal, Ludhiana, Punjab","India","pifindia.com","https://www.linkedin.com/company/pifindia"
,"Würth UAE","Würth is a supplier of Fasteners, Automotive Chemicals, Hand Tools and Electrical Supplies also Construction Assembly items, Sealants, Power Tools and Safety Solutions.

Established in 2000, Würth Gulf FZE is one of the leading suppliers in the Middle-East. Existing industrial companies and developing organisations alike can benefit from the unparalleled selection, quality and unbeatable service that is synonymous with the Würth brand.


We Serve the following Market Sector:

-Auto Workshops

-Construction Companies

-Metal and Fabrication

-Oil and Gas Sector

-Maintenance and Repair Shops

-Industrial Companies

-And all other Manufacturing Sectors","Turned Products and Fastener Manufacturing","201-500 employees","Privately Held","Dubai, UAE","United Arab Emirates","wurth.ae","https://www.linkedin.com/company/wurth-gulf-fze"
,"Norm Fasteners","We manufactured our first bolt with a double header machine in 1973. The sound when that bolt fell down into the bowl is still in our ears. It is the same passion that has brought us to this day, that gives us the determination to work hard to do better.

Founded by Nedim Uysal, who still serves as the Founder and Honorary Chairman of the Board of Directors of Norm Holding, Norm Fasteners started to produce bolts with a double header set machine in İzmir, Bornova in 1973. 
Thanks to the achievements in the sector, the new and modern facility which is now in operation was established in İzmir Atatürk Organized Industrial Zone in 1994.
This journey which started with bolt production, continued with the incorporation of many companies and turned into a big group over time.
Norm Fasteners, proceeds its way with an integrated production and quality service approach in the light of its experience of 50 years. Norm Fasteners, which manages the entire production processes it participates starting from the design phase, serves as the most important solution partner of the key industries.
Norm Fasteners, the solution partner of major producers and strong brands in domestic and abroad automotive, white goods, electronics, furniture, construction, machinery sectors, shows that it gives great importance to production, quality and customer satisfaction, as well as to marketing and marketing communication with CRM applications.","Turned Products and Fastener Manufacturing","1,001-5,000 employees","Privately Held","Izmir","Turkey","normfasteners.com","https://www.linkedin.com/company/norm-fasteners"
,"Metalac SPS","Fundada em 1953, a Metalac é uma fabricante de fixadores de alta resistência, e marca presença onde há movimento fornecendo seus produtos para diversos segmentos do mercado nacional e internacional.

Com instalações amplas e modernas que utilizam o conceito 4.0 da indústria, a Metalac acompanha o movimento das transformações e trabalha com mais de 3000 itens diferentes, além de oferecer soluções personalizadas para atender a demanda de seus clientes.

É subsidiária do grupo Precision Castparts Corp. com sede em Portland, USA.


Trabalhe conosco, cadastre seu currículo em nossa página: https://burh.com.br/carreiras/metalacsps","Turned Products and Fastener Manufacturing","201-500 employees","Privately Held","Sorocaba, São Paulo","Brazil","metalac.com.br","https://www.linkedin.com/company/metalac-sps"
,"Würth Saudi Arabia","Würth is a supplier of Fasteners, Automotive Chemicals, Hand Tools and Electrical Supplies, Construction Assembly items, Sealants, Power Tools, and Safety Solutions.

Established in 2017, Wurth Saudi Arabia LLC stands out as an unparalleled choice for both existing industrial companies and emerging organizations. The unmatched quality and excellent service provided by Wurth benefit industrial companies and organizations alike, setting a standard that is unbeatable and incomparable.

We Serve the following Market Sector:

-Auto Workshops

-Construction Companies

-Metal and Fabrication

-Oil and Gas Sector

-Maintenance and Repair Shops

-Industrial Companies

-And all other Manufacturing Sectors","Turned Products and Fastener Manufacturing","11-50 employees","Public Company","Riyadh, Al Sully","Saudi Arabia","wurthsaudi.com","https://www.linkedin.com/company/wurth-saudi-arabia"
,"LoneStar Group","Meet a world leading manufacturer and supplier of high performance, precision engineered components for critical industry applications.

Through our unique network, in-house manufacturing, and worldwide logistical support, we are uniquely placed to strengthen our customer’s future focused capabilities within the energy, renewables, defence, nuclear and civil infrastructure industries.

With open collaboration, knowledge sharing and a domain agnostic approach, we seamlessly operate across sectors as a trusted extension to our customer’s world class teams. Through this powerful integration of people, products, and expertise, we respond to mission critical requests with unrivalled agility anywhere on the planet. Securing positive outcomes for all. Proudly facing challenge and opportunity together with our customers, we are built into a stronger tomorrow.

Visit our website to find out more about the Groups capabilities: www.lonestargroup.com","Turned Products and Fastener Manufacturing","1,001-5,000 employees","Privately Held","Wednesbury , West Midlands","United Kingdom","lonestargroup.com","https://www.linkedin.com/company/lonestar-group"
,"AllenFix Group","Orgulhosamente fixando o presente, construindo o futuro.
27 anos de compromisso com a excelência! ","Turned Products and Fastener Manufacturing","51-200 employees","Privately Held","São Bernardo do Campo, São Paulo","Brazil","allenfixgroup.com","https://www.linkedin.com/company/allenfix-group"
,"Hassmann S.A.","A Hassmann S.A. é uma empresa especializada na produção de fixadores e componentes de alta performance para os mercados automotivo, caminhões, motos, agrícola e máquinas de construção.

Fundada em 1955 pelo austríaco Karl Hassmann e sua esposa Elka Hassmann, está estabelecida na cidade de Imigrante, no interior do Rio Grande do Sul e hoje é um dos principais fabricantes de elementos de fixação do Brasil.

Os mais de 500 funcionários estão distribuídos em 5 plantas, sendo 3 em Imigrante, onde se localiza a sede principal da empresa que contempla todo o processo de manufatura, o depósito de matéria prima e o centro de distribuição Brasil. Em Caxias do Sul/RS, está localizada a unidade de tratamento superficial e na cidade de Tampa/FL no Estados Unidos, está localizado o centro de distribuição para o mercado norte americano.

Como principais características da empresa destacam-se a solidez, verticalidade, qualidade, compromisso com o cliente e inovação.","Turned Products and Fastener Manufacturing","201-500 employees","Privately Held","Imigrante, RS","Brazil","hassmann.com.br","https://www.linkedin.com/company/hassmannsa"
,"Fixfast","Fixfast design, manufacture, and supply specialist building fasteners and components for the building envelope.
 
Our product ranges cover:
· Sheeting & Cladding
· Flat Roofing
· Façade & Rainscreen
· Construction Products
· Tools
 
We have an ongoing commitment to quality - demonstrated through our innovative approach to UK manufacturing; utilising cutting-edge technology enabling us to raise standards and stay at the forefront of the industry.
 
With an industry-leading UK-based Customer Service team, and a team of technical experts just a phone call away, we’re problem solvers - on hand to help a project from design to completion.
 
Maximum Reliability, Minimum Fuss.
 
Fixfast is on a journey of continuing improvement - it’s a promise we make every day to our customers.
 
Sending zero waste to landfill and reducing the impact of our activities on the environment are just some of the ways we’re helping to lessen our carbon footprint.
 
Built to last.
 
Fasteners are irreplaceable, but often overlooked. Our approach to technical leadership within the industry is changing the perception of fasteners in construction.
 
With a greater emphasis on safety in a post-Grenfell world, our contribution to better, safer buildings is in supporting those who build them: helping them design, specify & install – to get it right first time.
 
The safety of every building shouldn't be questionable, it must be assured.
 
Committed to quality, longevity, and peace of mind.","Turned Products and Fastener Manufacturing","51-200 employees","Public Company","Aylesford, Kent","United Kingdom","fixfast.com","https://www.linkedin.com/company/fixfast"
,"MBP - Mecanique Baumoise de Precision","MBP is a family company specialized in machining subcontracting. Thanks to its 150 employees and 55 CNC machines, MBP has become a key player in the machining of small and medium repetitive series in France and Europe. As a recognized specialist in precision machining, MBP provides: - An offer ranging from the purchase of raw materials to just-in-time delivery, including all types of subcontracting related to machining (painting, processing, etc.) - An expertise extended to many application areas (Energy, Rail, Agriculture, Defence, Construction Equipment,...). With an ISO 9001:2015 certified quality system.","Turned Products and Fastener Manufacturing","51-200 employees","Partnership","Autechaux","France","mbp-usinage.fr","https://www.linkedin.com/company/mbp-usinage"
,"Grupo Forte","Fixadores e Caldeirados Industriais de Alta Performance. 
Confiança & Engenharia desde 2012.
Éolica, Oil & Gás, Grandes Estruturas.","Turned Products and Fastener Manufacturing","201-500 employees","Privately Held","Mauá, São Paulo","Brazil","grupoforte.ind.br","https://www.linkedin.com/company/grupo-forte-fixadores"
,"Zeon Exports - The Duplex Steel People","Zeon Exports - A State Of The Art facility indulged in Production, Promotion & Provision of Precision Machined Components for Aerospace, Automation, Defense, Desalinization, Electronics, Flow Control, Medical Equipment, Oil & Gas, Paper & Pulp, Renewable Energy, Reverse Osmosis and other Industrial Applications.

With Experienced Leadership, Passionate Team & Modern Technical Know How, Zeon Exports is motivated to be the sole provider of Precision Machined Components to its Customers.

Our Product Range Includes:

Alongside our regular business of Long Products, Line Pipes & Plates we shall also provide our customers with:

Mechanical Seals, Tailor Made Fasteners, Flanges (Circular & Rectangular), Seat Rings, Pipe Fittings, Pneumatic Valve Components, Manifold Valves, Pistons, Shafts, Nozzles, Pins, Dowels, Spring, Threaded Bars, Valve & Pump Spares, Chains, Clamps, Ferrule Fittings, Forged Fittings & Other Industrial Products.

Material of Construction:

1.  Stainless Steel: 316/316L, 304/304L, 321, 316Ti, 347, 317L

2.  Duplex Alloys: UNS S31803, UNS S32205, UNS S32900, UNS S32750, UNS S32760, UNS S32550

3.  Nickel Alloys: Inconel 625, Inconel 600, Inconel 800, Inconel 825, Inconel 718, Monel 400, Monel K500, Hastelloy C276, Hastelloy C22, Hastelloy B2.

4.  Exotic Grades: 17.4Ph, 15.5Ph, 13-8Mo, XM-19, Alloy 286, Alloy 28, 6Mo, Nitronic 50, Nitronic 60, Inconel X750.

Inventory: Extensive Raw Material Stocking Program in above mentioned grades in form of Round Bars, Flat Bars, Pipes, Tubes, Standard Size Flanges & Fittings.

Delivery: With Ex-Stock availability of raw material and standard fitting products we can meet quick delivery requirements. Also we are located very close to Sea & Air Ports making movement of material easier and quick.

In all we are a complete package with a wide range of products, developed infrastructure and quick logistic service. We can act as a prime factor in value addition to your business.","Turned Products and Fastener Manufacturing","11-50 employees","Privately Held","Mumbai, Maharashtra","India","zeonexports.com","https://www.linkedin.com/company/zeonexports"
,"Husaini Brothers LLC.","Husaini Brothers LLC is the UAE’s longest-established fastener specialists, serving the region since 1968. 

Evolving from a leading stockist and distributor, we have transitioned into manufacturing precision fasteners in the UAE, including Hex Bolts, Structural Bolts, Anchor Bolts, Nuts, Washers, DTI Washers, and Custom Fasteners engineered for demanding applications.

With over 58 years of trust, 10,000+ SKUs, and involvement in the UAE’s most iconic projects, Husaini Brothers combines legacy reliability with modern manufacturing strength.","Turned Products and Fastener Manufacturing","11-50 employees","Privately Held","Al Quoz, Dubai","United Arab Emirates","husainibrothers.com","https://www.linkedin.com/company/husaini-brothers-llc"
,"REMACHES TUDELA SL","En Remaches Tudela llevamos tres generaciones especializándonos en la fabricación y comercialización de sistemas de fijación: remaches, tuercas remachables, pernos collarín y otros productos bajo demanda. También ofrecemos herramientas remachadoras para la instalación de todos nuestros sistemas.

Contamos con planta productiva y almacenes logísticos propios en Tudela (Navarra), desde donde distribuimos nuestros productos a más de 40 países.

Nuestra experiencia, compromiso y capacidad de adaptación nos han consolidado como una referencia en el sector siderometalúrgico, ofreciendo siempre soluciones a medida para cada cliente.","Turned Products and Fastener Manufacturing","11-50 employees","Privately Held","TUDELA","Spain","remachestudela.com","https://www.linkedin.com/company/remachestudelasl"
