"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Bernhard","As of May 1, 2025, Bernhard is now ENFRA. While our name has changed, our leadership, ownership, and unwavering commitment to delivering trusted energy infrastructure solutions remain the same.

Follow our new LinkedIn page: @enfrasolutions","Utility System Construction","1,001-5,000 employees","Privately Held","Metairie, Louisiana","United States","enfrasolutions.com","https://www.linkedin.com/company/bernhard-llc"
,"FAYAT ENTREPRISE TP","FAYAT ENTREPRISE TP, Filiale du groupe FAYAT, exerce son activité dans les  métiers des travaux publics : terrassement, hygiène publique, aménagement urbain, routes, Génie civil et dépollution. Depuis ses sites de Libourne,Floirac, Gaillan en Médoc (Gironde) et Aubiac (Lot et Garonne), elle se positionne comme une des entreprises de référence en Aquitaine.","Utility System Construction","201-500 employees","Privately Held","Libourne, Nouvelle-Aquitaine","France","fayat.com","https://www.linkedin.com/company/fayat-entreprise-tp"
,"SEMI","Created in 1919, SEMI is a leading company in the electricity and industrial sector. Its name is synonym of tradition, experience, and future.
 
In the middle of its international expansion, the company is distinguished for its adapting capacity, typical of small and medium-sized companies; its company infrastructure, characteristic of a large-sized company; and the financial support of a consolidated firm.
 
SEMI, one of the main companies in the VINCI GROUP Industrial Services sector, is a renowned firm with its know-how as an added value.
 
The close cooperation with many Universities, as well as with public and private bodies in the development of new technologies has made our company earn the support from the sector for its innovation and viability.
 
Nowadays, SEMI has international subsidiaries rendering services at all levels. Settled in France, Germany, Romania, Morocco, Panama, Mexico, República Dominicana, Peru, El Salvador and Chile, the company also has collaborators in other countries such as Portugal, Israel, Nigeria, or Brazil.","Utility System Construction","1,001-5,000 employees","Privately Held","Madrid, Comunidad de Madrid","Spain","gruposemi.com","https://www.linkedin.com/company/semi-sa"
,"Anglian Water's @one Alliance","Anglian Water's @one Alliance is an integral part of the Anglian Water ecosystem, delivering complex projects across the Water and Water Recycling network. Comprising 8 industry-leading organisations, each contributing specialised expertise, @one efficiently manages over 40% of Anglian Water's capital delivery programme.

Our partners are Anglian Water Asset Delivery, Balfour Beatty, Barhale, Binnies, Mott MacDonald Bentley (MMB), SWECO, SKANSKA and MWH Treatment. Employees in the @one Alliance are employed across all our partner companies and work together to deliver complex programmes of work.

Following the successful delivery of £1.2bn during AMP7, the @one Alliance is now set to deliver approximately £3bn of vital work as part of Anglian Water’s £11bn AMP8 business plan, covering around 750 projects over the next five years.

Since our establishment in 2005, @one has grown to a team of over 1,300 employees. And with plans to welcome an additional 500 new team members over the next 12-18 months, the Alliance is set to expand even further.

If this interests you, then take a look at our jobs page to see the options available to you!","Utility System Construction","1,001-5,000 employees","Partnership","Peterborough, England","United Kingdom","anglianwatercareers.co.uk","https://www.linkedin.com/company/one-alliance"
,"CEBAT SpA","CEBAT SpA is a leader in utility networks’ development and services.
From High Voltage to Medium Voltage, fiber optics and water networks CEBAT SpA is the partner of choice of leading players like Terna, ENEL, Prysmian, ACEA and many Italian and foreign Renewables and Data Center developers.
At the heart of energy transition CEBAT SpA is a leader in High Voltage network undergrounding, Italian & international HVAC and HVDC  links construction, renewable grid infrastructure, smart grid deployment through Global Services and smart metering solutions.","Utility System Construction","501-1,000 employees","Privately Held","Rome","Italy","cebat.it","https://www.linkedin.com/company/cebatspa"
,"AQUATEC","Aquatec partners with Government, business and residential clients to deliver water, wastewater and odour control solutions for the long-term.

Aquatec's flexible product range adapts to individual project specifications, local Council and Water Authority requirements.

Product Range:
- Pump Stations (Fibreglass & Concrete)
- Pressure Sewer Systems
- Fibreglass (FRP) Maintenance Holes
- Fibreglass Storage Vessels
- Odour Control Systems
- Water Supply Systems
- Water & Wastewater Reuse
- Solids Handling Products

As an Australian-owned company with over 30 years of local and international experience, our service capabilities ensure that your asset is designed and delivered to exact specifications. Together with ongoing technical support, accredited training, auditing, and product warranties, Aquatec’s end-to‐end service model provides a superior level of risk management and quality control.","Utility System Construction","51-200 employees","Privately Held","Shepparton, Victoria","Australia","aquatecenviro.com","https://www.linkedin.com/company/aquatec"
,"Summit Line Construction","Building Today What Powers Tomorrow 

We reliably deliver electrical infrastructure with an unwavering commitment to safety, our people, customers, and communities.","Utility System Construction","1,001-5,000 employees","Public Company","Heber City, Utah","United States","summitlineconstruction.com","https://www.linkedin.com/company/summit-line-construction"
,"Rotaflow Fire Systems","As a premier full-service fire protection systems contractor, we offer comprehensive in-house engineering and fabrication capabilities. We specialize in risk assessment and mitigation planning, process safety engineering and design, as well as the installation, maintenance, and commissioning of fire alarm and suppression systems. Our expertise includes special hazards applications and fire water pump installations, adhering to ULC and NFPA standards.
Services include:
- Design, supply, installation, maintenance, and inspections of all types of fire protection systems, such as:
- Standard NFPA 13 Systems: wet systems, dry systems, pre-action systems
- Clean Agent Systems (NFPA 2001): NOVEC 1230 Systems, Water Mist Systems
- Water Spray Systems
- Fire Pump Installations (NFPA 20)
- Design, supply, installation, maintenance, and inspections of fire hydrants.
- Comprehensive inspections of fire protection systems, available annually, monthly, or even daily.
- Design, supply, installation, servicing, and inspections of fire alarm systems.","Utility System Construction","201-500 employees","Privately Held","Edmonton, Alberta","Canada","rotaflow.ca","https://www.linkedin.com/company/rotaflow"
,"Evac Group","Evac Group is a global leader in integrated water, waste and wastewater management solutions, as well as corrosion protection and marine growth prevention systems, for the marine, offshore and land-based construction industries. Guided by our promise Nothing to waste, we help customers cut waste, save water and lower emissions, supporting the shift toward more circular and sustainable operations.

Founded in 1979 and headquartered in Espoo, Finland, the company operates through offices in 13 countries across four continents and a network of representatives in more than 70 countries worldwide. In 2024, Evac generated revenue of approximately EUR 190 million and employed around 540 people.","Utility System Construction","501-1,000 employees","Privately Held","Espoo, Uusimaa","Finland","evac.com","https://www.linkedin.com/company/evac-oy"
,"China Railway Construction Corporation (International) Limited, Agencia en Chile","China Railway Construction Corporation, es una empresa estatal china con base en Beijing, es una empresa dedicada al desarrollo de proyectos de infraestructura a través de cuatro líneas de negocios principales: operaciones de construcción; actividades de estudio, diseño y consultoría; operaciones de fabricación; y otros negocios, los que incluyen logística y servicios inmobiliarios.","Utility System Construction","201-500 employees","Privately Held","Las Condes, Santiago Metropolitan Region","Chile","crcc.cn","https://www.linkedin.com/company/crcc-americachile"
,"Engetower","A Engetower é uma empresa especializada no desenvolvimento de soluções e projetos de engenharia estrutural para os setores de transmissão e distribuição de energia elétrica. Nossa visão é promover o avanço tecnológico multidisciplinar do setor através de soluções inovadoras e parcerias estratégicas.","Utility System Construction","51-200 employees","Privately Held","Belo Horizonte, Minas Gerais","Brazil","engetower.com.br","https://www.linkedin.com/company/engetower"
,"Infravision","Infravision is transforming how the world builds and maintains power grids. With its proprietary aerial robotics system, the company enables utilities, contractors, and developers to expand transmission and distribution infrastructure faster, safer, with lower environmental and community impact, and at significantly reduced costs. Operating globally, Infravision is helping meet the urgent demand for reliable and resilient grid infrastructure.","Utility System Construction","51-200 employees","Privately Held","Austin, Texas","United States","infravisioninc.com","https://www.linkedin.com/company/infravisioninc"
,"Armoni Energia","A Armoni Energia é uma empresa comprometida em fornecer serviços de alta qualidade para clientes empresariais e corporativos, mais especificamente do ramo da indústria, serviços e energia elétrica.

Somos especialista no ramo da construção civil, infraestrutura e serviços.

Oferecemos soluções personalizadas, seguras e eficientes.","Utility System Construction","11-50 employees","Privately Held","Sapiranga, Rio Grande do Sul","Brazil",,"https://www.linkedin.com/company/armonienergia"
,"Tanz Engenharia","TANZ Engenharia: Building the Future with Innovation, Quality and Sustainability! Since 1999, we have been a reference in civil and structural engineering, with more than 20 thousand projects executed with excellence. At TANZ, we believe in the perfect combination of innovation, technical quality and a sustainable approach. Our passion is to provide innovative solutions to the telecommunications sector, always exceeding our customers' expectations and driving industry progress. We have built a solid reputation based on our credibility and delivery of high quality services. We are always ready to face challenges and adopt innovative ideas, technologies and approaches. Our dedicated team is committed to bringing the best to every project. We value sustainability and incorporate practices that minimize environmental impact and promote energy efficiency in all of our activities. If you are looking for reliable and innovative solutions in civil and structural engineering, count on us! We're here to make a difference in your next project. Contact us today and find out how we can help you build a bright future together! #Civil Engineering #Structural Engineering #Sustainability #Innovation Portfolio of more than 15,000 projects and structural reinforcement works.","Utility System Construction","51-200 employees","Privately Held","Cotia, SP","Brazil","tanz.com.br","https://www.linkedin.com/company/tanzengenharia"
,"Infravision","Infravision’s aerial robotics platform is transforming how utilities and contractors construct and maintain transmission and distribution (T&D) infrastructure across a full suite of routine and emergent activities:

Drone-enabled power line stringing
Aerial heavy lifting and installations
Inspections and imaging

Innovated from the ground up as a safer and more efficient alternative to traditional stringing methods, Infravision’s proprietary system is accelerating grid buildout and boosting power reliability at an unmatched combination of cost, speed and safety.","Utility System Construction","51-200 employees","Privately Held","Austin, Texas","United States","infravision.com.au","https://www.linkedin.com/company/infravisionptyltd"
,"Águas do Pará","Seremos responsáveis pelos serviços de água e esgotamento sanitário em 99 municípios do Pará","Utility System Construction","501-1,000 employees","Privately Held",,,"aguasdopara.com.br","https://www.linkedin.com/company/aguasdopara"
,"FRTP Auvergne-Rhône-Alpes","La Fédération Régionale des Travaux Publics (FRTP) est le syndicat professionnel patronal régional des Travaux Publics, chargé de la défense des intérêts de ses membres, de la promotion constante de la profession, du développement en faveur de la formation des salariés et de l’emploi des jeunes.
Au quotidien, elle accompagne ses entreprises adhérentes sur les questions économiques, sociales, fiscales, juridiques, environnementales. 
Partenaire privilégié des maîtres d’ouvrage et maîtres d’œuvre, publics ou privés, la FRTP AURA se doit également d’être un acteur essentiel pour le développement des équipements et des infrastructures en Auvergne-Rhône-Alpes. 

Les Travaux Publics en Auvergne-Rhône-Alpes c’est :
	- 1 628 entreprises ayant leur siège dans la région, 
	- un chiffre d’affaires annuel de 6,8 milliards d’euros (2024)
	- 41 700 salariés permanents","Utility System Construction","2-10 employees","Privately Held","Villeurbanne, Auvergne-Rhône-Alpes","France","frtpaura.fr","https://www.linkedin.com/company/frtp-aura"
