"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Le Repere des CIP","La veille pour nous les CIP (Conseiller d'Insertion Professionnelle)

Offres d'emploi, aides pour les CIP, pour les futurs apprenants, pour les apprenants.
Retrouvez nous également sur :
https://formation.lereperedescip.com/ (pour des cours et du coaching)
https://www.lereperedescip.com (notre site pour tout savoir sur le LRDCiP)
https://www.facebook.com/groups/lereêredescip (pour partager des infos entre cip)
https://anchor.fm/s/104a302a0/podcast/rss (podcasts sur l'insertion pro)","Vocational Rehabilitation Services","2-10 employees","Non Profit","Reims","France","lereperedescip.com","https://www.linkedin.com/company/le-repere-des-cip"
,"PME Consulting Group","Cher(e) candidat(e)

L’équipe Conseil Stage - Emploi de PME Consulting Group est  en attente de recevoir de votre CV actualisé à pmeconsultingroup@gmail.com pour un entretien d'évaluation Stage ou Emploi
Vous pouvez nous contacter au Tel/WATHSAPP(+225) 07 79 45 70 08 entre 08 heures et 18 heures, jour ouvrable pour plus d'informations sur nos services et pour obtenir des réponses sur d' éventuelles questions ou pour discuter d'autres façons dont nous pourrions vous aider.

Cordialement

L’équipe Conseil Stage - Emploi

PME Consulting Group
CENTRE APPUI STAGE - EMPLOI
INFORMATION - FORMATION - ASSISTANCES ETUDIANTS 
COMMERCIAUX - MARKETING - PUBLICITÉ
Email: pmeconsultingroup@gmail.com
WATHSAPP: (+225) 07 79 45 70 08
ABIDJAN COCODY RIVIERA PALMERAIE
COTE D'IVOIRE","Vocational Rehabilitation Services","2-10 employees","Privately Held","ABIDJAN, LAGUNE","Ivory Coast","pmeconsultingroup.com","https://www.linkedin.com/company/pme-consulting-group"
,"Mission locale de Paris","La Mission Locale de Paris est une structure chargée de l’accueil, de l’information, de l’orientation et de l’accompagnement des jeunes de 16 à 25 ans, en démarche d’insertion professionnelle et sociale.
 
Les valeurs de la Mission Locale de Paris s’articulent autour de quatre piliers : la solidarité, la confiance, la coopération et l’engagement.
 
Chaque année elle reçoit environ 10 000 nouveaux·elles jeunes et en accompagne 22 000.
Chargée d’une mission de service public, elle est financée par la ville de Paris, l’Etat et la région Ile-de-France. 

En 2024 : 
Plus de 9 270 jeunes ont été accueilli·e·s pour la première fois 
Plus de 2 781 jeunes sont en suivi renforcé dans le cadre du Contrat d'Engagement Jeune
Plus de 1063 ont reçu une aide au titre du Fonds d'Aide aux Jeunes Parisiens (FAJP)
Plus de 2 184 jeunes ont commencé un emploi durable (CDI ou CDD de plus de 6 mois)","Vocational Rehabilitation Services","201-500 employees","Non Profit","Paris, Île-de-France","France","missionlocaledeparis.fr","https://www.linkedin.com/company/mission-locale-de-paris"
,"Diagoriente","Diagoriente est une start-up d'État du Ministère du Travail. Notre objectif est de vous accompagner dans votre projet d'orientation professionnelle, quel que soit votre niveau d'études ou d'expériences. Sur Diagoriente Plateforme, vous trouverez des outils novateurs, faciles d'utilisation, vous permettant de valoriser l'ensemble de vos expériences et de vos compétences. Au fil de votre parcours sur notre plateforme, vous découvrirez votre potentiel pour le valoriser. À tout moment, vous pourrez entrer en contact avec un écosystème professionnel proche de chez vous, qu’il s’agisse de centres de formation ou de possibles employeurs. Diagoriente est un révélateur de compétences et développe des outils d'accompagnement professionnel ouvert à toutes et tous !","Vocational Rehabilitation Services","11-50 employees","Government Agency","Lille, Hauts-de-France","France","beta.gouv.fr","https://www.linkedin.com/company/diagoriente"
,"YUPEEK","-","Vocational Rehabilitation Services","11-50 employees","Partnership","Metz, Grand Est","France","yupeek.com","https://www.linkedin.com/company/yupeek"
,"Konekt","Konekt is one of the largest workplace injury management and workplace health solutions providers in Australia. Konekt’s focus is on helping organisations, individuals and government to maximise workforce participation and productivity, and minimise the impact of workplace injury.

We help organisations minimise workplace costs, resulting in increased participation, reduced workers compensation premiums and safer workplaces.

We assist employers and insurance companies in recruiting the right person physically and psychologically, keeping them safe and well, responding to OHS incidents, returning the individual to the workplace and redeploying if necessary. 

Konekt's allied health professionals deliver services across a diversity of industries including government, mining, retail, manufacturing, transport, hospitality and labour hire. 

Australia's largest corporations rely on Konekt's integrated solutions to manage the health of their workforce, improve processes and identify escalating costs or non-compliance in occupational health and safety, risk management and injury management.  

Konekt also has significant customers across large government departments and agencies, as well as private employers.

Learn more at www.konekt.com.au","Vocational Rehabilitation Services","501-1,000 employees","Public Company","West Perth, Western Australia","Australia","konekt.com.au","https://www.linkedin.com/company/konekt"
,"Ambassade du Postulant","𝙰𝚖𝚋𝚊𝚜𝚜𝚊𝚍𝚎 𝚍𝚎𝚜 𝙿𝚘𝚜𝚝𝚞𝚕𝚊𝚗𝚝𝚜
Notre engagement : Ne laisser passer aucune chance de réussite.
Nous accompagnons les candidats aux concours d’admission à travers un suivi personnalisé et des ressources pédagogiques adaptées à leurs objectifs.
Au-delà de la préparation académique, nous scrutons activement le terrain des opportunités — offres d’emploi, bourses d’études, formations, appels à candidatures — afin de les rendre accessibles aux étudiants, jeunes diplômés et professionnels en quête de progression ou de reconversion.","Vocational Rehabilitation Services","2-10 employees","Self Employed","Port-au-Prince , Ouest","Haiti",,"https://www.linkedin.com/company/ambassade-du-postulant"
,"BimBamJob","Chez BimBamJob, nous croyons en une société qui place en son coeur la dignité des personnes.
 
Depuis 10 ans, nous œuvrons aux côtés de publics en situation de fragilité socio-professionnelle. 

Notre approche repose sur 4 piliers méthodologiques : le développement du pouvoir d'agir, le regard positif comme levier de confiance en soi, l'individualisation des parcours et la connexion à l'écosystème partenarial de l'accompagnement social et de l'emploi.

En 2025, nous avons accompagné près de 10 000 personnes sur quatre régions (Ile-de-France, Auvergne-Rhône-Alpes, Bretagne et Provence-Alpes-Côtes d'Azur). Via notre outil numérique Horizon, 70 000 personnes ont été suivies par des CIP et des travailleurs sociaux de collectivités et nous avons formé 200 d'entre eux aux méthodologies que nous avons développées.","Vocational Rehabilitation Services","51-200 employees","Privately Held","Paris, Île-de-France","France","bimbamjob.fr","https://www.linkedin.com/company/bimbamjob"
,"MASAR","مبادرة تطوعية تهدف إلى تثقيف الخريجين و الباحثين عن عمل بالمسميات الوظيفية في سوق العمل السعودي ومتطلباتها ومساعدتهم لتحديد مسارهم المهني ","Vocational Rehabilitation Services","11-50 employees","Non Profit","السعودية","Saudi Arabia",,"https://www.linkedin.com/company/masar2030"
,"Mission Locale de Roubaix","Le saviez-vous ? La Mission Locale de Roubaix bénéficie du soutien financier de l’Union européenne dans le cadre de plusieurs actions : 
- une actions « Du repérage à l'emploi - QPV Roubaix » permettant de repérer des jeunes NEET en QPV afin de remobiliser les jeunes dans un parcours d’insertion socio-professionnelle.
 - une action ""Tu vas déployer tes ailes"" visant à accompagner au mieux les jeunes dans la construction et la réalisation de leurs projets professionnels.

La Mission Locale de Roubaix s'adresse aux jeunes Roubaisiens de 16 à 25 ans sortis du système scolaire.
La Mission Locale est un espace d’intervention au service des jeunes. Chaque jeune accueilli bénéficie d’un suivi personnalisé dans le cadre de ses démarches. Elle apporte des réponses aux questions d’emploi, de formation mais aussi sur le logement ou la santé. 
La Mission Locale développe et accompagne un réseau d’entreprises.","Vocational Rehabilitation Services","51-200 employees","Non Profit","Roubaix","France","mlroubaix.com","https://www.linkedin.com/company/mission-locale-de-roubaix-mlrbx"
