"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Ultracargo","Somos uma empresa de soluções logísticas integradas que hoje movimenta combustíveis, biocombustíveis, químicos, petroquímicos e óleos vegetais, além de mantermos a posição de liderança entre as empresas independentes de armazenagem de granéis líquidos do país. 

Contamos com mais de 900 colaboradores e somamos mais de 58 anos de história. Fazemos parte do Ultra, um dos maiores grupos empresariais brasileiros.

Com mais de 1 milhão de metros cúbicos de capacidade estática, contamos com terminais de granéis líquidos em quatro regiões brasileiras e estamos conectados aos modais rodoviário, ferroviário, hidroviário e dutoviário. Nossos terminais estão localizados em Rondonópolis (MT) e nos Portos de Santos (SP), Rio de Janeiro (RJ), Aratu (BA), Suape (PE), Itaqui (MA) e Vila do Conde (PA). Temos 50% de participação na Opla, que opera um terminal de etanol em Paulínia (SP) e iniciamos a construção de um novo terminal em Palmeirante (TO).

Venha fazer parte do nosso time!","Warehousing and Storage","501-1,000 employees","Privately Held","São Paulo, São Paulo","Brazil","ultracargo.com.br","https://www.linkedin.com/company/ultracargo"
,"TPC Logística Inteligente","Com mais de 24 anos de atuação no mercado, a TPC é um dos principais Operadores Logísticos do Brasil, presente em 24 estados do país e com  mais de 12.000 colaboradores.
Nossas 140 operações  contam com 850.000 m² de área de armazenagem, 3 milhões de entregas por ano, e 600 mil posições pallets.
A TPC Logística Inteligente possui a solução ideal para cada necessidade, focando sempre em Lean & Green Logistics.","Warehousing and Storage","10,001+ employees","Privately Held","São Paulo, São Paulo","Brazil","grupotpc.com","https://www.linkedin.com/company/tpc-logistica-inteligente"
,"Bandeirantes Deicmar","A Bandeirantes Deicmar atua em operações de importação, exportação, transporte e distribuição de cargas. O grupo é composto por terminais marítimo e de contêineres, armazém alfandegado de importação e exportação, centro de distribuição e transporte rodoviário. Possui uma transportadora, com frota própria de caminhões, e serviços que englobam toda a cadeia logística, da importação à distribuição.

#juntossomosmaisfortes","Warehousing and Storage","501-1,000 employees","Privately Held","Santos, Centro","Brazil","bandeirantesdeicmar.com.br","https://www.linkedin.com/company/bandeirantesdeicmar"
,"Ageo Terminais","Ser um terminal de excelência é o nosso maior propósito. E aqui tem gente de respeito, que atua com qualidade, colocando o Cliente no centro do negócio. Juntos, somos agentes de mudança, protagonistas, e queremos ir muito além da entrega. Queremos ouvir nossos Clientes, transformar suas sugestões, reclamações e elogios em ações concretas e entender que sempre é possível fazer melhor.

Queremos crescer, mas não sozinhos. O crescimento dos nossos terminais é representado pelo sucesso de todos que compartilham conosco esse propósito. Nossa essência é ousar sonhar com a conquista de objetivos ainda maiores. Sonhamos. Sonhamos muito. Sonhamos o tempo todo. E traçamos novas metas, objetivos e, enfim, conquistamos os nossos sonhos.

Quando iniciamos nossas operações ninguém acreditou que poderíamos nos tornar referência em terminais de granéis líquidos do Porto de Santos, o maior porto da América Latina. Fomos lá e conquistamos. Sonhamos em ter mais um terminal. Fomos lá e conquistamos. Sonhamos com a implementação do primeiro berço de atracação privativo. Conquistamos. Estávamos satisfeitos? Não! Então sonhamos com o terceiro terminal em operação. Se você entendeu a nossa essência, já sabe a resposta: conquistamos!

Tudo isso foi conquistado porque todos nós fazemos acontecer. Somos gente que acredita que dá para fazer mais e melhor, gente que quer voar longe, gente que olha para o horizonte e com confiança diz: “Eu quero chegar lá!” Nascemos para ser gigante. E quem nasce com essa essência não deixa de sonhar nunca. Nossa essência nos conduz!","Warehousing and Storage","501-1,000 employees","Privately Held","São Paulo, SP","Brazil","ageoterminais.com.br","https://www.linkedin.com/company/ageoterminais"
,"Cargoz.com","At Cargoz, we believe storage should be simple, flexible, and accessible — not complicated or rigid.

Since our launch in 2022, our primary goal has been to make warehouse space available to businesses of all sizes. Businesses do not need to learn complex logistics jargon to grow. They should be able to find the right space, at the right time, with clarity and confidence.

With us, businesses can:
 - Find and book warehouse space instantly by location, size, or type.
 - Pay only for what they use — no lock-ins, no hidden fees.
 - Scale storage up or down as their needs change.
 - Network of over 800+ verified warehouses across the UAE and KSA.
 - Rely on a transparent, flexible network of trusted partners.

Today, over 2,000 businesses trust Cargoz with their storage needs across more than 7 million square feet of available storage space — and it’s growing every day. From food-grade to dangerous goods, frozen to open yards, we provide the flexibility growing businesses want.

At Cargoz, flexibility meets empathy. We’re reimagining an industry long known for rigid terms into one built on trust, simplicity, and customer love.

But beyond storage, we have a deeper mission: we’re building the world’s most loved warehousing experience.","Warehousing and Storage","51-200 employees","Privately Held","Riyadh, Saudi Arabia","Saudi Arabia","cargoz.com","https://www.linkedin.com/company/cargoz"
,"Cooperativa Reg.Cafeic. Guaxupé","Warehouse

Cooxupé´s warehouses are able to store 1.9 million bags of coffee, being 610.000 bags at the headoffice and the balance at its regional centers. The facilities enables Cooxupé to receive even more than 3.0 million bags per years and an annual turnover of 5.0 million bags, by receiving, standardizing, blends and shipments of the stored coffee. The coffee received, stored and prepared in Guaxupé has the International Quality Certification ISO9001.","Warehousing and Storage","1,001-5,000 employees","Privately Held","Guaxupé, MG","Brazil","cooxupe.com.br","https://www.linkedin.com/company/cooperativacooxupe"
,"SCDP (Cameroon Petroleum Depots Company)","Cameroon Petroleum Depots Company (SCDP), was established in 1979 by the government of Cameroon to ensure the availability of petroleum products throughout the country and to promote the development of its economy. It ensures the storage and distribution of petroleum products throughout the country. It is the last stage in the petroleum chain, from exploration of oil wells to processing and storage of products.","Warehousing and Storage","201-500 employees","Government Agency","DOUALA- Rue de la Cité Chardy, Carrefour Agip, Littoral","Cameroon","scdp.cm","https://www.linkedin.com/company/scdp-soci-t-camerounaise-des-d-p-ts-p-troliers"
,"Comfrio - Inteligência em Soluções Logísticas","A Comfrio é a maior empresa brasileira de inteligência em soluções logísticas de frio para a cadeia de alimentos e agronegócios.  Com mais de 20 anos de história, desenvolve soluções para cuidar do alimento no Brasil desde a distribuição de sementes para o agronegócio até operações de restaurantes de cadeias de food service. Sempre pautada pelo compromisso com seus clientes, a empresa desenvolve suas atividades com qualidade superior para garantir que o alimento chegue à mesa dos brasileiros com integridade absoluta e para viabilizar o sucesso dos negócios de seus clientes.
Para isso, a Comfrio se vale da mais alta tecnologia e de infraestrutura que reúne 27 centros de distribuição em todas as regiões do Brasil e capacidade de armazenagem de mais de 1 milhão de metros cúbicos.
Seja bem-vindo, nós somos a COMFRIO.","Warehousing and Storage","1,001-5,000 employees","Public Company","Pinhais, Paraná","Brazil","comfrio.com.br","https://www.linkedin.com/company/comfriooficial"
,"SuperFrio Logística Frigorificada","A Superfrio é uma empresa de logística refrigerada que investe no resultado do cliente. O caminho que escolheu foi o da inovação. Você compra soluções logísticas para conseguir maior agilidade e alta profissionalização. A Superfrio entrega confiança.

A Superfrio é uma empresa jovem, dinâmica e com alta capacidade de investimento. Concentra recursos tanto em elevados padrões de qualidade quanto em novos projetos que antecipem o crescimento de seus clientes.

MISSÃO
Encurtar distâncias e proteger as marcas dos nossos clientes
através da gestão da cadeia de alimentos com temperatura controlada

VISÃO
TOP 5 mundial em infraestrutura logística de alimentos
50 CDs com 5 milhões m3 , 500 veículos e volume de 500 mil T/mês

VALORES
Liderança – Construímos equipes que geram altos resultados, propiciando um ambiente que incentiva constantemente o auto desenvolvimento e a formação de novos líderes.
Integridade – Prezamos pela entrega de resultados e desempenho com conduta ética; sendo capazes de criar uma relação de respeito e confiança com os acionistas, clientes, colaboradores e comunidade.
Dono – Somos engajados no sucesso da empresa, objetivando sempre a alta performance das equipes.
Excelência – Sempre acreditamos que podemos melhorar nossa performance.
Resiliência – Somos capazes de resistir às experiências mais estressantes, sem deixar afetar nossa produtividade.
Execução – Cumprimos aquilo que prometemos e planejamos.","Warehousing and Storage","1,001-5,000 employees","Privately Held","Barueri, São Paulo","Brazil","superfrio.com.br","https://www.linkedin.com/company/superfrio-armazenagem-refrigerada"
,"IndoSpace","IndoSpace is India’s largest investor, developer, and manager of Grade A industrial and logistics real estate. Since its inception in 2007, we have revolutionized the industry to meet India’s ever-rising demands around industrialization and the warehousing and supply chain ecosystem.

With over $3.2 bn in investment, we are the only pan-India industrial and logistics park developer with 52 operational and under development parks spread over 58 million square feet. Our logistics parks are equipped with world-class warehousing, industrial, and logistics facilities located in and around the major industrial corridors/consumption hubs.

We offer ready space and build-to-suit solutions and continuously add land parcels, providing clients with easy expansion options in prime locations that reduce total logistics costs.

IndoSpace Logistics Parks and warehouses are the first projects in India to be certified with the prestigious India Green Building Council (IGBC) Platinum rating. In addition, we are also the first company in India to be awarded the esteemed ‘Excellence in Design for Greater Efficiencies’ (EDGE) certification for our industrial parks.

Our award-winning warehousing and logistics parks have consistently set benchmarks for the industry. Our dedication to best practices has won us various awards, including being named ‘Best Developer of Industrial/Warehouse Real Estate in India’ by the reputed Euromoney magazine for seven consecutive years since 2015. Euromoney also ranks IndoSpace amongst the top two industrial park developers in India.

What makes IndoSpace the partner-of-choice for companies looking for warehouses and logistics parks in India, is the combination of our strategic land bank, world-class infrastructure and amenities, backed by our unwavering commitment to provide best-in-class solutions.","Warehousing and Storage","201-500 employees","Privately Held","Mumbai, Maharashtra","India","indospace.in","https://www.linkedin.com/company/indospace"
