"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Plastic Bank","Plastic Bank is a social fintech with a global bottle deposit program that helps end poverty and stops plastic pollution.

Collection members exchange plastic for money, social benefits, and beyond. Traceable collection, secured income, and verified reporting is delivered through our blockchain-secured platform. 

People and businesses reduce their environmental footprint and support communities through an impact subscription. Subscribers access tools to share impact, invite their customers to join, and grow.

Collected bottles are returned as recycled feedstock to the circular economy. 

Plastic Bank is headquartered in Canada with operations in the Philippines, Indonesia, Brazil, Egypt, Thailand, and Cameroon.

PlasticBank and Social Plastic are trademarks of The Plastic Bank Recycling Corporation.

Learn more at plasticbank.com","Waste Collection","201-500 employees","Privately Held","Vancouver, BC","Canada","plasticbank.com","https://www.linkedin.com/company/plasticbank"
,"Beston Group","Beston Group is a technology-driven environmental solutions provider specializing in thermal treatment, waste-to-resource conversion, and soil remediation.

With proven expertise in pyrolysis and thermal desorption technologies, Beston delivers integrated solutions for oil sludge treatment, contaminated soil remediation, biomass conversion, and carbon-related applications.

Our focus goes beyond equipment manufacturing - we support clients with engineering design, compliance-oriented solutions, and scalable project execution, helping turn environmental challenges into sustainable resources.","Waste Collection","501-1,000 employees","Privately Held","Zhengzhou, Henan","China","bestongroup.com","https://www.linkedin.com/company/bestongroup"
,"Les Alchimistes","Chez Les Alchimistes, nous collectons les déchets alimentaires et les transformons en compost pour nourrir les sols !

Nous collectons au quotidien les déchets alimentaires des professionnels (restauration, scolaire, santé, GMS, etc.) et des collectivités. 

Les déchets alimentaires sont compostés sur nos plateformes de compostage, ouvertes et visitables. 

Le compost produit est distribué à des agriculteurs (maraichage, ....), à des jardiniers-particuliers via des enseignes de jardinage et en ligne sur notre site avec le Click&Brouette ou à des professionnels de l'agriculture/végétalisation urbaine. 
 
Nous sommes présents sur 26 territoires en France avec des antennes régionales sur les principales aires urbaines, et nous développons notre réseau sur de nouveaux territoires avec l'objectif d'être présent sur 30 territoires d'ici à 2030. 

À ce titre, nous recrutons régulièrement sur différents métiers. 

Nous pilotons également un projet innovant baptisé Les Couches Fertiles, visant à créer une filière de compostage de couches-bébé compostables, en partenariat avec des fabricants de couches, des réseaux de crèches et des collectivités.

Nous avons plus globalement l'ambition de mobiliser toutes les parties prenantes sur les enjeux des sols. Nous souhaitons mobiliser 7 millions de personnes d'ici à 2030 pour qu'elles connaissent le B.A.BA sur les sols, qu'elles trient leurs déchets alimentaires et qu'elles en parlent autour d'eux. 

- Vous souhaitez un devis pour mettre en place la collecte de vos déchets alimentaires?
- Vous voulez développer la solution Alchimistes sur votre région? 
- Vous voulez vous former sur les sols et mobiliser les gens autour de vous? 
- Vous souhaitez postuler pour l'une de nos offres d'emploi ?
- Vous souhaitez en savoir plus sur les Couches Fertiles? 

→ N'hésitez pas à nous suivre et à nous contacter via notre site internet !","Waste Collection","201-500 employees","Privately Held","France","France","alchimistes.co","https://www.linkedin.com/company/les-alchimistes-sas"
,"National Waste & Recycling Association","The National Waste & Recycling Association (NWRA) represents the private sector waste and recycling services industry. Association members conduct business in all 50 states and include companies that manage solid, industrial/hazardous, medical, and construction/demolition debris waste, and represent equipment manufacturers and distributors, and a variety of other professional service providers.","Waste Collection","11-50 employees","Non Profit","Arlington, Virginia","United States","wasterecycling.org","https://www.linkedin.com/company/nwra"
,"Apeiron Bioenergy","Apeiron Bioenergy is a leading integrated global player in biofuels from waste-based feedstocks to end-products.

Headquartered in Singapore, our presence spans 10 countries, featuring a comprehensive value chain that includes collection and storage, processing facilities, and biofuel refineries.","Waste Collection","201-500 employees","Privately Held","Singapore","Singapore","apeironbioenergy.com","https://www.linkedin.com/company/apeironbioenergy"
,"TchaoMegot","Collecte, recyclage écologique et création de matériaux eco-conçus à partir du mégot de cigarette.","Waste Collection","11-50 employees","Self Owned","Bresles","France","tchaomegot.com","https://www.linkedin.com/company/tchaomegot"
,"The Kabadiwala","The Kabadiwala works on the sector of the waste management and organizing the waste sector.
As of now there is no way to track your waste material, we provide you the same.
The Kabadiwala is doorstep service intends to help out busy people to sell their house hold junk like old newspaper and scraps material etc.","Waste Collection","51-200 employees","Privately Held","Bhopal, Madhya Pradesh","India","thekabadiwala.com","https://www.linkedin.com/company/thekabadiwala"
,"LRS","LRS is among the nation's leading independent waste diversion, recycling and portable services providers. Since 2013, LRS has specialized in delivering an exceptional customer experience for millions of residential and commercial customers across seven states: Illinois, Iowa, Indiana, Michigan, Minnesota, Kansas, Arkansas. Diversified and growing, LRS also offers affordable roll-off container services, C&D recycling and portable restroom rentals. LRS owns and operates more than 70 facilities and thrives on the passion of nearly 2,300 full-time employees. LRS has earned numerous accolades for its success, including being named in Crain’s Chicago Business’ Fast 50, NABR’s Best and Brightest lists across the Midwest, and receiving the NWRA Facility of the Year award for its newest MRF, The Exchange. The company provides safe, innovative, sustainability-driven services to clean and beautify the cities, neighborhoods, and communities it serves.","Waste Collection","1,001-5,000 employees","Privately Held","Rosemont, Illinois","United States","lrsrecycles.com","https://www.linkedin.com/company/lrsrecycles"
,"WastePlan","Pioneering sustainable transformation, WastePlan stands at the forefront of progressive waste management solutions. Focused on diverse industries, we leverage cutting-edge technology and innovative strategies to champion the zero-waste-to-landfill movement. Our services are tailored to the unique needs of our customers, encompassing everything from efficient recycling to responsible waste disposal. Rely on WastePlan to reshape your environmental footprint with unwavering expertise and precision. Let's explore future opportunities in the realm of waste management together.

View more information about WastePlan and its services at www.wasteplan.co.za.","Waste Collection","1,001-5,000 employees","Privately Held","Pretoria , Gauteng","South Africa","wasteplan.co.za","https://www.linkedin.com/company/wasteplansa"
,"Moulinot Compost & Biogaz","Moulinot is a Solidarity Company of Social Utility (ESUS) which creates high-quality compost and energy from food waste.
Its founder, Stephan Martinez, was born and raised in the kitchens of Parisian restaurants. Himself a chef, like the previous generations, he found out that:
- in the absence of any sorting and a specific collection, food waste is systematically buried or incinerated
- our soil is so depleted that crops simply cannot grow without prior fertilizing

From his observations, he extracted a simple principle that laid the basis for Moulinot: ""That which comes from the earth must return to the earth."" In 2007, he became a master composter and the first chef to use earthworms to transform his food waste. He then inspired many others to follow his steps.

Moulinot Compost & Biogaz was launched in 2013. The tailor-made ESS solution enables all sectors of the catering industry to comply with the law, which requires them to transform their food waste. This solution fits perfectly into the circular economy and plays a major role in Sustainable Development thanks to its 3 parts:
- Support and implementation of a customized sorting solution
- Collection of bio-waste by environmentally friendly and innovative vehicles
- Transformation of this food waste into compost and energy.

In 2017, the transformation of the 6 000 tons of collected food waste produced 350 000 m3 of biogas and 5 500 tons of fertilizer. Moulinot Compost & Biogaz, currently employing 22 persons, wants to scale up by 2020. The goals are to:
- employ 50 people in order to collect 50 000 tons of food waste
- develop career pathways
- and spread the model to other regions.","Waste Collection","51-200 employees","Privately Held","Stains","France","moulinot.fr","https://www.linkedin.com/company/moulinot-compost-&-biogaz"
