"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Desire Energy Solutions Pvt. Ltd.","Desire Energy Solutions Pvt Ltd is a national award-winning tech driven water management company, headquartered in Jaipur, with business interests in energy efficiency, engineering, technology, construction and manufacturing in public water sector.
 
The Company is counted among the fastest growing water infra and management companies in India working as an aggregator with various stokeholds and having PAN India operations. Over the years, the company has successfully implemented various ESCO, solar, IoT based IT and infrastructure projects in the field of public water sector under various central and state government initiatives such as Jal Jeevan Mission, PM-Kusum, Panghat Yojna etc. The Company is currently managing water supply of more than 1,00,000+ villages and 14+ cities in India through its innovative use of technology, renewable energy and efficient management skills.
 
The Company also has a separate technology division for known as “AquaLogix” which provides advance IoT and artificial intelligence-based solutions for monitoring, predictive and preventive maintenance of water infrastructure. Through all of its services and solutions, the company aims to make public water infrastructure smart, efficient and sustainable.
 
The Company has a team of more than 2000+ professionals spread across the nation who have a proven track record and professional skills, woven together with the values of trust, transparency, partnership and technology. For its innovative and pathbreaking work, the Company has been awarded with various prestigious awards such as:
 
• National Award in service sector by Prime Minister Shree Narendra Modi (October-2016)
• Udhyog Ratna Award by Chief Minister of Rajasthan Smt. Vasundhra Raje Sindhiya (November – 2017)
• “Energy Circle Award” for innovating ESCO Model, by CII (May 2018)
• “Dare To Dream Award” by FORTI (August 2018)
•  ""Asian Water Awards 2024"" by Asian power","Water Supply and Irrigation Systems","1,001-5,000 employees","Privately Held","Jaipur, Rajasthan","India","desireenergy.com","https://www.linkedin.com/company/desireenergy"
,"NanoH2O","NanoH2O Co., Ltd. is a global water technology company delivering sustainable value across industries and communities through advanced expertise and innovation in water treatment. Originating from LG Chem’s Water Solutions business, NanoH2O has evolved into an independent company dedicated to redefining the possibilities of water technology.

The company specializes in high-performance water treatment solutions, including Reverse Osmosis (RO), Ultrafiltration (UF), and Ion Exchange (IX), serving industrial, municipal, and commercial applications worldwide. Leveraging deep technical capabilities and extensive field experience, NanoH2O addresses complex water challenges with reliable, practical, and impactful solutions.

Guided by the belief that scientific and technological innovation can improve lives, strengthen industries, and protect the planet, NanoH2O has embarked on a renewed journey of growth and transformation. With a commitment to sustainability at its core, the company continues to create meaningful impact through collaboration, pioneering technologies, and a steadfast focus on building a more sustainable future for water.","Water Supply and Irrigation Systems","201-500 employees","Privately Held","Yeongdeungpo-gu, Seoul","South Korea","nanoh2owater.com","https://www.linkedin.com/company/nanoh2o"
,"Irritec","Irritec Group, founded in Sicily in 1974, is one of the world leaders in smart irrigation. Irritec's mission is to improve the efficiency of irrigation in agriculture and gardening, reducing the environmental impact. Water scarcity and growing of food needs asked for the use of drip irrigation all over the world, of which Irritec is a global reference point. Irritec designs, manufactures and distributes products and complete systems for irrigation in open fields, in greenhouses and for the ladscape sector. With 14  factories and more than 700 employees, Irritec has production and sales offices in Italy, Spain, Mexico, Brazil, United States, Algeria, Germany and Chile. In its commitment to eco-sustainability, the company launched the Green Fields project, which encourages farmers to properly dispose of plastic products after use, ensuring a second life. Initiative that has made Irritec an excellence in the circular economy. Innovation and sustainability have earned numerous international awards to a company that targets growers, distributors and retailers, always aiming for maximum results while preserving the planet's most precious asset: water.","Water Supply and Irrigation Systems","1,001-5,000 employees","Self Owned","Capri Leone, ME","Italy","irritec.com","https://www.linkedin.com/company/irritec-s-p-a-"
,"Neutratech Benfica"," Orgulhosamente constituinte de um grupo presente nos 5 continentes e em mais de 60 países, a Watertech Angola apresenta às famílias Angolanas uma forma mais saudável de vida, com soluções reais e efetivas para melhorar o seu dia-a-dia. Conheça os melhores purificadores de água do mundo e leve mais saúde consigo. 
Contacte-nos para conhecer de forma grátis os nossos produtos:

 926577516 ou 925431495","Water Supply and Irrigation Systems","11-50 employees","Privately Held","Luanda, Luanda","Angola","neutratech.com","https://www.linkedin.com/company/neutratech-benfica"
,"Sociéte Malienne de Gestion de l'Eau Potable (SOMAGEP-SA)","SOMAGEP-SA est la société nationale de production, d'exploitation et de distribution d'eaux potables au Mali. Elle est assurer par des professionnels du métier qui œuvrent 7J/24H pour la continuité du service de distribution d'eau potable.
La mission de la SOMAGEP-SA est d’assurer la production et l’exploitation de l’eau potable sur toute l’étendue du territoire national du Mali.","Water Supply and Irrigation Systems","1,001-5,000 employees","Partnership","Bamako, Bamako","Mali","somagep.ml","https://www.linkedin.com/company/somagepsaofficiel"
,"ReliX Water","ReliX Water ofrece soluciones innovadoras de agua para la Minería, Agricultura e Industria.
El Grupo ofrece servicios completos de EPC y operaciones llave en mano (Turnkey) en toda América Latina, cuenta con una amplia experiencia en tratamiento de agua, infraestructura de agua, lixiviación en pilas para minas y riego tecnificado.
 
ReliX Water destaca por sus tecnologías avanzadas, el equipo profesional, sus propias instalaciones de fabricación de plantas de desalinización basadas en tecnología israelí y el alto nivel de sus productos y servicios.
 
Visite nuestro sitio web: www.relixwater.com","Water Supply and Irrigation Systems","201-500 employees","Privately Held","Santiago, RM","Chile","relixwater.com","https://www.linkedin.com/company/relix-water"
,"Hydraloop","Enjoy comfort. Save water. Act smart.
Hydraloop is a multi-award-winning leader in certified, proven water recycling systems that reduce total water consumption by 25-45% for homes,
businesses, and communities. Our app-connected water recycling and circular shower solutions turn water sustainability into everyday reality: reducing water use, saving energy, cutting utility costs, and supporting environmental goals without compromising on the comfort of modern living.","Water Supply and Irrigation Systems","11-50 employees","Privately Held","Leeuwarden, Friesland","Netherlands","hydraloop.com","https://www.linkedin.com/company/hydraloop"
,"Neutratech Angola","Orgulhosamente constituinte de um grupo presente nos 5 continentes e em mais de 60 países, a Neutratech Angola apresenta agora às famílias Angolanas uma forma mais saudável de vida, com soluções reais e efectivas para melhorar o seu dia-a-dia.  Conheça os nossos equipamentos purificadores de água e ar mas também geradores de água electrolisada que actuam sem qualquer químico, utilizando apenas água e sal refinado. Venha descobrir porque estamos na vanguarda de equipamentos médicos testados e comprovados. Somos a sua premissa de uma vida mais saudável, somos Neutratech.","Water Supply and Irrigation Systems","201-500 employees","Privately Held","Luanda, Luanda","Angola","neutratech.com","https://www.linkedin.com/company/neutratech-angola"
,"Algerian Desssalination Company","Algerian Energy Company (AEC spa) - 
est une Entreprise Publique Economique au capital social de 15.840 MDZD.
Elle est créée en 2001 et est détenue à 100% par Sonatrach.
Ses missions statutaires se résument en:
•	L’acquisition & gestion de toutes actions, titres et portefeuille,
•	la prise de toute participation dans toutes sociétés existantes, en formation ou à créer aussi bien en Algérie qu’à l’étranger dans le domaine de l'énergie.
•	le développement et la promotion de projets en partenariat
•	la production d'électricité, le transport, la commercialisation et la distribution de l'énergie (Electrique et Gaz) tant en Algérie qu'à l'Etranger
•	le développement, par tout moyen, de toute activité, ayant un lien direct ou indirect avec les industries électriques et gazières telles que les télécommunications.

Mission principale actuelle de AEC spa,
Promouvoir et développer des projets d'envergure en partenariat avec des Partenaires étrangers dans les domaines de:
•	la génération d'énergie électrique
•	Le dessalement de l'eau de mer.

Le recours au Dessalement d'Eau de Mer était une réponse donnée par les pouvoirs publics pour contrer le stress hydrique sévissant, particulièrement, dans l'Ouest algérien.
Le gouvernement avait décidé de lancer un important programme de

Dessalement d''Eau de Mer, composé de 11 Usines réparties sur tout le littoral.
Ce programme vient d'être renforcé par le lancement de 3 nouvelles Usines qui sont en cours de lancement.

AEC en Chiffres $4 230M en Investissement","Water Supply and Irrigation Systems","51-200 employees","Privately Held","Algiers","Algeria","aec.dz","https://www.linkedin.com/company/algerian-energy-company"
,"WiseConn Latam","Desarrollamos soluciones de control remoto para la agricultura.
Nuestra solución DropControl es la mejor plataforma tecnológica para monitorear y controlar campos con precisión. Los datos se despliegan con un enfoque agronómico en la comodidad de la nube.
Contamos con una App Móvil y Plataforma Web que permite a los agricultores tener información en tiempo real de sus riegos, fertiirrigación, sensores climáticos, sensores de humedad del suelo, sensores de plantas y automatización de sus bombas, pozos, válvulas, reservorios y más.
Esta información le permite administrar mejor los recursos y tomar mejores decisiones en los momentos adecuados, lo que se traduce en un aumento de la productividad de los cultivos.
Contamos con más de 10.000 puntos de monitoreo y control en Chile, Perú, México, Centroamérica, Estados Unidos y Australia, con una extensa red de distribuidores certificados.
We develop remote control solutions for agriculture.
Our DropControl solution is the best technological platform to monitor and control farms with precision. The data is deployed with an agronomic approach in the comfort of the cloud.
We have a Mobile App and Web Platform that allows farmers to have real-time information on their irrigation, fertigation, climate sensors, soil moisture sensors, plant sensors and automation of their pumps, wells, valves, reservoirs and more.
This information allows you to better manage resources and make better decisions at the right times, which translates into an increase in crop productivity.
We have more than 10,000 monitoring and control points in Chile, Perú, Mexico, Central America, the United States and Australia, with an extensive network of certified distributors.","Water Supply and Irrigation Systems","51-200 employees","Privately Held","Viña del Mar, Valparaíso","Chile","wiseconn.cl","https://www.linkedin.com/company/wiseconn-latam"
,"East India Udyog Ltd. (Udyat)","East India Udyog Limited, a diverse business conglomerate
operating in sectors such as EPC Infrastructure (Power & Water), Clean Energy, Health Infrastructure, Traffic & Surveillance, Logistics, New Age Real Estate, Logistics, Education Infrastructure & International Projects.","Water Supply and Irrigation Systems","1,001-5,000 employees","Public Company","Noida, Gautam Buddh Nagar, Uttar Pradesh","India","udyat.com","https://www.linkedin.com/company/eiul"
,"Oneka Technologies","Oneka's mission is to make the oceans a sustainable and affordable source of freshwater. To that end, we offer sustainable desalination solutions that use exclusively the renewable energy from ocean waves. By using our patented desalination technology, we increase the resilience of coastal communities and industries facing water scarcity, while helping them to adapt and mitigate the impacts of climate change. 

The benefits: 
- Zero GHG emission
- Lower salinity and well diffused brine 
- Water intake safe for marine life
- No land use for desalination
- Decentralized - Grid independent
- Modular and scalable
- Potential lowest cost

Founded in 2015, Oneka now has a team of over 60 employees and operates in Canada, the United States and Chile.","Water Supply and Irrigation Systems","51-200 employees","Privately Held","Sherbrooke, Quebec","Canada","onekawater.com","https://www.linkedin.com/company/oneka"
