"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Berkmann Wine Cellars","Berkmann Wine Cellars is the UK’s leading independent agent/wholesaler. We supply the country’s restaurants and retailers with an unbeatable range, from household names like Duboeuf and Antinori to the most recherché small producers. 

As a family-owned company with roots in the restaurant trade, our goal remains the same as it always has been: to supply wines of outstanding character and typicity that are made to be drunk with food. Our vision is to develop our business and our range without compromising these values, and we choose to work with suppliers who share this philosophy, most of which are family-run themselves. With this in mind, we can afford to be fussy: from the humblest house wine to the grandest of grands crus, we make sure we select only the best. After all, life is too short to drink anything else!","Wholesale Alcoholic Beverages","51-200 employees","Privately Held","London, England","United Kingdom","berkmann.co.uk","https://www.linkedin.com/company/berkmann-wine-cellars"
,"Distilleries Company of Sri Lanka PLC","The Distilleries Company of Sri Lanka PLC (DCSL) is one of the nation’s most respected and successful corporate entities with a proud tradition, rich heritage and a proven track record of excellence. Over the years, its corporate DNA has been defined by experience, innovation, resilience and an unwavering determination to succeed, making DCSL a true pillar of Sri Lanka’s business community.

The company’s origins trace back to 1913 with the establishment of the Excise Department of Ceylon, which oversaw the enforcement of the Excise Ordinance and the distribution of liquor products. In 1974, this mandate evolved into the State Distilleries Corporation, incorporated by statute to take over distillation and manufacturing. A significant transformation followed in 1989, when the entity was converted into a limited liability company under a government policy initiative.

A landmark moment came in 1992 when the present management acquired DCSL through the Colombo Stock Exchange. Since then the company has celebrated over 25 years of continued success as a publicly listed organization, marking its silver jubilee in 2017.

Guided by its principle of delivering only the highest quality products, DCSL has consistently expanded its turnover, asset base and nationwide presence. Today it stands as a symbol of corporate excellence in Sri Lanka, blending heritage with progress to shape a future of sustained growth.","Wholesale Alcoholic Beverages","1,001-5,000 employees","Public Company","Colombo , Western","Sri Lanka","dcslgroup.com","https://www.linkedin.com/company/distilleries-company-of-sri-lanka-plc11"
,"City Moonlight W&L","At City Moonlight W&L, we are driven by a deep passion for helping our clients, employees, and suppliers thrive. Our mission is to unlock the potential for growth by sourcing and sharing extraordinary wines and spirits with unmatched value from exceptional suppliers.

 We believe that the power of exceptional wine or spirit goes beyond its taste-it has the ability to spark inspiration, create connections, and fuel success. Through our commitment to sourcing extraordinary products with exceptional value, we aim to empower the growth of our clients, employees, and suppliers, driving them towards greater achievements and shared success.","Wholesale Alcoholic Beverages","11-50 employees","Privately Held","New York, New York","United States","citymoonlight.com","https://www.linkedin.com/company/citymoonlight"
,"Sheehan Family Companies","The Sheehan Family Companies (SFC) is a family-run beer distribution network that carries a portfolio of domestic and imported brands, craft beer, and spirits from around the globe. The company makes up one of the largest craft beer distributors in the nation and is recognized as an industry leader.","Wholesale Alcoholic Beverages","1,001-5,000 employees","Privately Held","Kingston, Massachusetts","United States","sheehanfamilycompanies.com","https://www.linkedin.com/company/sheehanfamilycompanies"
,"BLN Brands","BLN Brands es referente de distribución para la industria de vinos y destilados en México gracias a que nuestra filosofía y pasión por la excelencia nos ha permitido establecer sólidas relaciones comerciales. Somos especialistas en todos los canales de presentación y distribución de marcas con una logística precisa y eficiente a nivel nacional, alcanzando el top 5 de la industria.

Nuestro modelo de negocio está orientado a construir valor en cada marca a partir de estrategias en cada nivel; nos acercamos y entendemos al consumidor, creando y cultivando vínculos perdurables y nos distinguimos en operar y ejecutar con precisión, generando soluciones en beneficio de nuestros socios comerciales.

Nuestra experiencia y visión de trabajo nos ha forjado una sólida reputación de excelencia, integridad y calidad humana, en beneficio de todos nuestros colaboradores y socios comerciales, con quienes construimos día a día con la mirada puesta en el futuro.","Wholesale Alcoholic Beverages","201-500 employees","Privately Held","Federal District","Brazil","bln.com.mx","https://www.linkedin.com/company/bln-brands"
,"Industria Licorera De Caldas","Empresa industrial y comercial del Estado Colombiano fundada en 1905 y dependiente de la Gobernación de Caldas como su líder. Somos especialistas en la producción y comercialización de bebidas alcohólicas de alta calidad, que han recibido premios internacionales por su exclusividad y excelencia.","Wholesale Alcoholic Beverages","201-500 employees","Public Company","Manizales","Colombia",,"https://www.linkedin.com/company/industria-licorera"
,"HS Oberoi Spirits","Leading importer and distributors of Alcoholic brands on Pan India Basis","Wholesale Alcoholic Beverages","51-200 employees","Partnership","Gurugram, Haryana","India","hsoberoispirits.com","https://www.linkedin.com/company/hs-oberoi-spirits"
,"Andrews Distributing","Andrews Distributing is proudly family owned and operated, as the number one beer and spirits distribution company in Texas, as well as one of the nation’s largest beer and spirits distributors. Our six Hometowns operate with facilities in Dallas, Allen, Corpus Christi, Ennis, Fort Worth, and Laredo, Texas. Andrews was named a winner of Top Workplaces by USA Today in 2025 and employs nearly 2,000 proud service professionals. We are committed to providing a consistently excellent experience for our 15,000 customers with a portfolio that offers over 745 beer, 485 spirits and 260 liquid refreshment beverage brands in 29 North and South Texas counties.  

We strive to be known as the most Customer Obsessed, Brand Building team that sets the standard for the beer and spirits industry. Visit www.andrewsdistributing.com for more information and connect with Andrews on Instagram @Andrews_Distributing.","Wholesale Alcoholic Beverages","1,001-5,000 employees","Privately Held","Dallas, TX","United States","andrewsdistributing.com","https://www.linkedin.com/company/andrews-distributing"
,"Bernabei","𝐁𝐄𝐍𝐕𝐄𝐍𝐔𝐓𝐈 𝐍𝐄𝐋 𝐌𝐎𝐍𝐃𝐎 𝐁𝐄𝐑𝐍𝐀𝐁𝐄𝐈

LA STORIA

Fondata nel 1933, Bernabei può contare su una presenza omnicanale: dal retail all’Ho.Re.Ca., fino al digital.
Oltre alle due storiche Enoteche, situate nei quartieri romani di Testaccio e Trastevere, nel tempo l'azienda ha sviluppato una solida rete commerciale, grazie alla quale oggi serve i migliori Hotel, Locali, Wine Bar e Ristoranti d’Italia.
Nel 2014 viene lanciato il sito e-commerce Bernabei.it, oggi unanimemente riconosciuto tra i primi player a livello nazionale.

𝐈 𝐏𝐔𝐍𝐓𝐈 𝐃𝐈 𝐅𝐎𝐑𝐙𝐀 𝐃𝐄𝐋 𝐁𝐑𝐀𝐍𝐃 𝐁𝐄𝐑𝐍𝐀𝐁𝐄𝐈

I PRIVATE LABEL

Bernabei vanta un portfolio di oltre 300 private label, espressioni autentiche delle zone più vocate al mondo: dall’Italia alla Francia, passando per il Centro America, queste etichette sono il risultato di un’accurata selezione di un team di esperti. 

PARLANO I NUMERI

• Oltre 1.000 locali serviti;
• Più di 2.000 Box Bernabei consegnate ogni giorno;
• 10 milioni di visite al sito solo nell’ultimo anno;
• 95% persone felici di averci scelto nel 2022.","Wholesale Alcoholic Beverages","51-200 employees","Privately Held","Rome, Latium","Italy","bernabei.it","https://www.linkedin.com/company/bernabei"
,"ANDINA LICORES / COLEMUN S.A.","Somos una empresa que comercializa marcas reconocidas a nivel nacional como internacional con más de 10 años en el mercado ecuatoriano.","Wholesale Alcoholic Beverages","51-200 employees","Privately Held","Cuenca, Azuay","Ecuador","andinalicores.com.ec","https://www.linkedin.com/company/andinalicores-colemunsa"
,"Hallgarten & Novum Wines","Hallgarten & Novum Wines- One of the UK’s leading specialist wine merchants. 85 years of supplying and servicing the premium on- trade through partnership and training. We will bring our considerable experience, innovative and award-winning portfolio and influence to make the absolute most of your wine offer.","Wholesale Alcoholic Beverages","51-200 employees","Privately Held","Luton, Bedfordshire","United Kingdom","hnwines.co.uk","https://www.linkedin.com/company/hallgarten-wines"
,"MHW","MHW is the leading national importer and service provider for the beverage alcohol industry.  We provide proactive, efficient solutions for entrepreneurial brands from around the globe. Strategic services include import and export, distribution, licensing, compliance, logistics and fulfillment, and accounting.","Wholesale Alcoholic Beverages","201-500 employees","Privately Held","Manhasset, NY","United States","mhwltd.com","https://www.linkedin.com/company/mhw-ltd"
,"Latitude Beverage Company","Latitude Beverage is the innovative, Boston-based company behind a growing portfolio of national wine and spirits brands, including 90+ Cellars, Iron Side, Mija Sangria, Tequila Zarpado, Wheel Horse Whiskey and Copper & Cask.

Across these brands we offer a highly curated, global selection of products that deliver exceptional value and make it easier for consumers to enjoy great wine and spirits at great prices.

The company was founded in 2007 by Kevin Mehra, who saw an opportunity to make high-end wine more accessible by transforming market inefficiencies into better value for consumers. The company's flagship brand 90+ Cellars was launched in 2009 and is now one of the fastest-growing wine brands in the country and a top five premium/super premium wine brand in the Northeast.","Wholesale Alcoholic Beverages","51-200 employees","Privately Held","Newton, Massachusetts","United States","latitudebeverage.com","https://www.linkedin.com/company/latitude-beverage-company"
,"RareWine","RareWine was founded in 2006 by the Danish entrepreneur Rasmus Nielsen. The drive and passion that initially established RareWine still rings true today. It is, first and foremost, a love for wine and a commitment to seek out the finest and rarest of them. This passion has driven us to always aim for the best service possible for over a decade. It has grown RareWine into one of the leading fine wine merchants globally, with a selection that encompasses a plethora of different types of wine and spirits from all over the world.

We offer fine and rare wines from all over the world, including Bordeaux, Burgundy, Champagne, Rhône, Italy, Spain, USA, and Australia

With over 25.000 bottles representing more than 2.500 wines and vintages from the world's best and most exclusive wine producers, we offer the most comprehensive selection of fine wines in Scandinavia.

Our wines are sold to more than a thousand wine professionals, and shipments are sent daily from our warehouses to customers all over the world.","Wholesale Alcoholic Beverages","51-200 employees","Privately Held","Aalborg","Denmark","rarewine.com","https://www.linkedin.com/company/rarewine"
,"Sigilosa",,"Wholesale Alcoholic Beverages","2-10 employees","Self Employed","Puebla","Mexico",,"https://www.linkedin.com/company/sigilosamx"
