"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Michell Y Cia. S.A.","With more than 93 years experience and know-how in the processing of Alpaca fibre, Michell Y Cia. is today a pioneer and the leading Alpaca tops and yarns producer and exporter in the world.","Wholesale Apparel and Sewing Supplies","1,001-5,000 employees","Privately Held","AREQUIPA, AREQUIPA","Peru","michell.com.pe","https://www.linkedin.com/company/michell-alpaca"
,"SB","GROWING D2C ENTERPRISE","Wholesale Apparel and Sewing Supplies","11-50 employees","Self Owned",,,"swtantrabrands.com","https://www.linkedin.com/company/swtantra-brands"
,"Blaze Company","Blaze blinds is a company belonging to the Hunter douglas group, specializing in designing and manufacturing blinds and curtains for exporting to Europe, America, Australia and some other markets. Staff size is about 1.000 employees at Quoc Oai Industrial Park, Quoc Oai District, Hanoi.","Wholesale Apparel and Sewing Supplies","501-1,000 employees","Public Company","Ha Noi, Quoc Oai","Vietnam","hunterdouglasgroup.com","https://www.linkedin.com/company/blazeblinds"
,"Threadify","Threadify brings you the biggest virtual library of yarn, fabric, & trims in the world, simplifying the fashion sourcing for you. Our platform offers a global selection of yarn, fabric, and trims, with 3D technology for ease of selection and procurement. We offer you a “One Stop Solution” by bringing local & foreign suppliers together and connecting manufacturers with a world of fashion buyers.

As a premier online ecommerce platform, we take pride in offering a diverse array of yarn, fabric, and trims sourced from the vibrant landscapes of China, Bangladesh, and India. Our Strength lies in our global R&D teams based in the UK, US, Japan, and India, tirelessly researching the latest trends, colours, prints and best-selling items.

For over two decades, we have been delivering exceptional services to our customers across the globe, under our parent company BETTEX. Whether you're a seasoned industry professional or an emerging creative force, our platform caters to all your fashion needs.","Wholesale Apparel and Sewing Supplies","201-500 employees","Privately Held","London","United Kingdom","threadify.com","https://www.linkedin.com/company/threadify"
,"Protecthoms","Spécialiste de la #protection, de l'#hygiène & de la #sécurité des personnes au travail

1er distributeur français en intégration de services associés aux EPI
Nous accompagnons les entreprises qui placent, au cœur de leur réussite, la performance et le bien-être des personnes au travail. Nous simplifions le choix et la gestion des EPI. Nous favorisons le lien social et renforçons l’image de marque de votre entreprise.

Données-clés
• 200 collaborateurs
• 61 commerciaux
• 12 000 clients actifs
• 44,7 M€ CA 2022
• 1 réseau de proximité (France métropolitaine, La Réunion, Belgique)
• + de 15 500 m² de stockage sécurisé
• 23 000 références gérées
• 94/100 index égalité professionnelle femmes-hommes

6 familles de produits
• Protection de la tête
• Protection du corps
• Protections des mains
• Protection des pieds
• Équipements & accessoires
• Hygiène & propreté

4 domaines d’activités
• Protection : risques professionnels encourus mineurs et invalidants
• Hygiène : corporelle, propreté des sols et surfaces, lavage, nettoyage, désinfection
• Sécurité : risques mortels et majeurs
• Services : 12 services associés dédiés aux besoins spécifiques afin de vous simplifier la vie","Wholesale Apparel and Sewing Supplies","51-200 employees","Privately Held","Château-Gontier, Pays de la Loire","France","protecthoms.com","https://www.linkedin.com/company/protecthoms"
,"Vestex Guatemala - Asociación de la Industria del  Vestuario y Textiles","Somos representantes del principal sector exportador de Guatemala, distinguido a nivel nacional e internacional como un sector integrado, competitivo, responsable, ágil,  versátil y flexible.","Wholesale Apparel and Sewing Supplies","10,001+ employees","Partnership","Guatemala, Guatemala","Guatemala","vestex.com.gt","https://www.linkedin.com/company/vestex-guatemala"
,"Tramas","35 años siendo el principal aliado del confeccionista y de las grandes marcas del país.","Wholesale Apparel and Sewing Supplies","201-500 employees","Self Employed","Valencia, Carabobo","Venezuela",,"https://www.linkedin.com/company/tramastelas"
,"Habi Pro","Spécialiste de l'équipement de protection individuelle et des vêtements professionnels depuis 40 ans sur le Calvados.

Waouh, depuis le 21 juin 2022, un nouveau point de vente a vu le jour à Fleury-sur-Orne ! 

Notre équipe commerciale, composée de commerciaux et d'assistantes commerciales, s'occupe de tout, des devis jusqu'aux livraisons pour les entreprises du Calvados, de l'Orne et même la pointe du Havre. 

Et devinez quoi ? 

HabiPro est membre du 1er groupement de distributeurs indépendants spécialistes en EPI et vêtements professionnels : EPI CENTER. 

Venez découvrir notre large sélection de produits de qualité pour vos besoins professionnels chez Habi Pro !","Wholesale Apparel and Sewing Supplies","2-10 employees","Privately Held","Fleury-sur-Orne, Normandie","France","habipro.fr","https://www.linkedin.com/company/habi-pro"
,"Paraguay Textil SA","Importación y distribución de textiles en todo el territorio nacional.","Wholesale Apparel and Sewing Supplies","51-200 employees","Privately Held","Asunción","Paraguay",,"https://www.linkedin.com/company/paraguay-textil-sa"
,"Grupo Ritex","Nuestra historia comienza en el barrio porteño de Villa Crespo en el año 1962, fruto del esfuerzo de una familia dedicada a la industria textil.

A partir del año 1982 nuestras actividades industriales textiles se radicaron en el Parque Industrial de la Ciudad de La Rioja, es así que nuestro nombre RITEX surge como un fiel reflejo de los lazos de unión fraternal entre ambas.

Nuestro constante desarrollo nos ha permitido posicionarnos como una de las más grandes empresas de la industria textil de la Argentina. Contamos con el respaldo y experiencia obtenidos en nuestra vasta trayectoria, como así también con la agilidad y la destreza necesarias e indispensables para dar respuesta a las exigencias del dinámico mercado textil actual.

Nuestro compromiso es brindar la mejor atención personalizada y el asesoramiento a nuestros clientes, aportando experiencia e innovación permanente que, unidas al trabajo en conjunto entre nuestro Departamento de Diseño y Desarrollo con los clientes, hacen posible la obtención de productos de alta calidad acordes a la vanguardia del mundo de la moda.","Wholesale Apparel and Sewing Supplies","1,001-5,000 employees","Privately Held","Ciudad de Buenos Aires, Buenos Aires","Argentina","ritexweb.com.ar","https://www.linkedin.com/company/grupo-ritex"
