"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Suizo Argentina","Somos integrantes de la cadena de suministro de especialidades medicinales, cosméticos, artículos de perfumería, equipamiento e insumos médicos y tenemos un compromiso integral con la salud, por lo que aseguramos la calidad e integridad de nuestros productos y servicios.","Wholesale Drugs and Sundries","1,001-5,000 employees","Self Owned","Núñez, BUENOS AIRES","Argentina","suizoargentina.com","https://www.linkedin.com/company/suizo-argentina"
,"FEMSA Salud Chile","En FEMSA Salud Chile lideramos un ecosistema integral de salud, farmacia y bienestar, presente en todas las regiones del país. 

Nuestras marcas: Farmacias Cruz Verde, Maicao, Milab, Intercarry, Provefarma, Super Sana y negocios institucionales que generan impacto positivo en comunidades locales, apoyando proveedores, promoviendo innovación y ofreciendo soluciones confiables en medicamentos, cuidado personal y belleza.

Con enfoque en sostenibilidad y excelencia operativa, mejoramos la vida de las personas en Chile. Somos +10.000 colaboradores #CreandoCadenasDeValor

Trayectoria global con 135 años de historia y presencia en 18 países.","Wholesale Drugs and Sundries","10,001+ employees","Privately Held","Huechuraba, Santiago Metropolitan Region","Chile",,"https://www.linkedin.com/company/femsasaludchile"
,"FEMSA Salud","Nuestro principal objetivo es satisfacer de manera integral las necesidades de salud de las comunidades donde estamos presentes. Para ello, hemos desarrollado en Chile un ecosistema que nos permite participar en toda la cadena de valor a través de la elaboración, compra, distribución, venta y dispensación de medicamentos, productos de belleza, cuidado personal y bienestar.

Forman parte de nuestro portafolio: Farmacias Cruz Verde, Maicao, Spin, Laboratorio Milab, Intercarry, entre otras empresas, las que son impulsadas -día a día- por el compromiso de más de 11 mil colaboradores.

La sostenibilidad es un principio que guía todas nuestras acciones, entendiendo que nuestro rol como ciudadanos corporativos implica una responsabilidad con el entorno y con las futuras generaciones.

Somos una filial de la División Proximidad y Salud de la compañía Fomento Económico Mexicano -FEMSA-, multinacional con presencia en 18 países y que lleva casi 135 años de historia evolucionando y dejando un legado positivo y continuo en la sociedad. Como tal, operamos bajo un único propósito que nos distingue en todo el mundo:  mejorar la vida de las personas, transformando lo cotidiano en bienestar y crecimiento.","Wholesale Drugs and Sundries","10,001+ employees","Privately Held","Huechuraba, Santiago Metropolitan Region","Chile",,"https://www.linkedin.com/company/femsasalud"
,"OCP Répartition","OCP au cœur de la chaîne de santé 

OCP est à la fois le leader et le référent historique (1924) de la distribution pharmaceutique en France. En apportant la logistique pharmaceutique et des services performants, OCP est le lien indispensable entre les laboratoires et les pharmaciens.  
Chaque jour, nous contribuons à une meilleure santé. 

Avec un maillage territorial de 37 établissements en France, OCP détient près de 32% de parts de marché et distribue chaque jour 2 millions de boîtes de médicaments à 16 000 pharmacies clientes (dont 2 000 pharmacies hospitalières), à partir d’une gamme de 36 000 références disponibles.  

OCP est le premier acteur de la distribution de produits de santé à proposer des services innovants autour de 4 grands piliers : la disponibilité des produits, les solutions achats, l’innovation digitale et le financement des officines. 

Président : Claude CASTELLS

#repartitionpharmaceutique #sante #pharmacie #servicepublic #teamOCP","Wholesale Drugs and Sundries","1,001-5,000 employees","Self Owned","Saint Ouen Cedex","France","ocp.fr","https://www.linkedin.com/company/ocp-repartition"
,"Laboratorios Ordesa","Laboratorios Ordesa lleva más de 75 años trabajando para ofrecer los mejores productos nutricionales para niños y adultos, con soluciones para todas las necesidades. Esto ha convertido a Laboratorios Ordesa en líder del mercado español de leches y cereales.

Desde su creación en 1943, Laboratorios Ordesa se ha comprometido con la mejora de la salud y calidad de vida de las personas, invirtiendo todos sus recursos en la correcta nutrición de niños y adultos y trabajando en nuevas fórmulas y complementos para la salud.

Su misión es ofrecer productos de alta calidad y valor añadido, por eso la investigación y la innovación son los dos pilares con los que guían su deseo de mejorar la salud y la calidad de vida de las personas. Muestra de ello son marcas infantiles como Blemil, Blevit, Pediatopic o Soluciones Pediátricas especializadas como Imunoglukan y las marcas para adultos como Colnatur, DONNAplus y FontActiv.

Desde 1999, Laboratorios Ordesa ha iniciado una sólida expansión internacional a través de acuerdos de distribución y promoción con el objetivo de crecer como empresa y ampliar su liderazgo para competir con éxito entre las grandes empresas multinacionales del sector. Ordesa ya está presente en más de 30 países de Europa, Oriente Medio, América Latina y Asia.

El deseo de ser unos laboratorios de referencia nacional e internacional ha llevado a Laboratorios Ordesa a ser líderes del mercado farmacéutico español y a llevar adelante proyectos como la Fundació Ordesa, una organización propia para impulsar iniciativas y dar soporte económico a la salud y mejora de la nutrición infantil.","Wholesale Drugs and Sundries","201-500 employees","Privately Held","Barcelona, Barcelona","Spain","ordesalab.com","https://www.linkedin.com/company/laboratoriosordesa"
,"Coopidrogas","COPIGROGAS tiene como objetivos del acuerdo cooperativo proteger y propender por el desarrollo y dignificación del droguista, para lo cual efectuará la distribución de bienes en las mejores condiciones de precio, calidad y abastecimiento; fomentará el ahorro de sus asociados y generará recursos para la utilización de créditos; prestará diversos servicios que procuren satisfacer las necesidades de carácter personal y familiar; promoverá el bienestar social de sus asociados, la solidaridad y la ayuda mutua. Igualmente la Cooperativa participará en forma activa en el desarrollo social, en el área de la salud, en beneficio de los afiliados y de la comunidad en general.","Wholesale Drugs and Sundries","1,001-5,000 employees","Privately Held","Bogotá, Cota","Colombia","coopidrogas.com.co","https://www.linkedin.com/company/coopidrogas"
,"Inativo","Pagina Inativa","Wholesale Drugs and Sundries","201-500 employees","Privately Held","Ribeirão Preto, São Paulo","Brazil",,"https://www.linkedin.com/company/dislab-distribuidora-de-medicamentos"
,"Supermed Comércio e Importação de Produtos Médicos e Hospitalares","Seja bem vindo a Supermed. Somos uma distribuidora de medicamentos e materiais médicos e hospitalares, trazendo soluções para o Ecossistema da Saúde. 

Manifesto
A essência da vida está nos pequenos momentos de carinho que compartilhamos todos os dias.
Está no amor pelas pessoas e no constante desejo de impactar positivamente a vida de alguém.
Essa é também a essência da nossa família.
Somos a SUPERMED.
A sua ponte para um mundo de mais afeto e cuidado.
Somos uma distribuidora de produtos médicos e hospitalares, dedicada à conectar as empresas do ecossistema
da saúde ao mais completo portfólio de produtos e insumos do mercado.
Manifestamos o nossos amor pelas pessoas por meio das infinitas possibilidades de carinho que compõe o nosso
portfólio de soluções.
Assim garantimos que os profissionais da saúde tenham em suas mãos sempre os melhores produtos, para que a
nossa mensagem ecoe pelas clínicas, pelos hospitais, veterinárias, drogarias… por cada lugar que cuida da vida
em todo o Brasil.
Afinal, quando falamos de saúde, excelência e dedicação são inegociáveis.
Somos a Supermed,
Soluções para o ecossistema da saúde, distribuindo cuidado por cada canto do Brasil.

Missão
Conectar as empresas do ecossistema clínico e
hospitalar ao mais completo portfólio de produtos
e insumos do mercado.

Visão
Ser referência nacional em eficiência, qualidade e preço na distribuição de produtos médicos e hospitalares.

Valores
Família: uma marca familiar, que abraça seus colaboradores e clientes para deixar um impacto positivo na sociedade. 

Amor pela saúde e pelas pessoas: uma marca apaixonada por cuidar, que tem o carinho como essência para proporcionar mais saúde e bem-estar. 

Qualidade: um compromisso com a qualidade de nossos produtos e fornecedores para superar as expectativas de nossos clientes. 

Agilidade: uma marca comprometida com a sua eficiência logística da armazenagem à entrega, para realizar a distribuição de seus produtos no tempo ideal para o parceiro.","Wholesale Drugs and Sundries","501-1,000 employees","Partnership","São Paulo, SP","Brazil","supermed.net.br","https://www.linkedin.com/company/supermedbr"
,"EUROGROUP","Eurogroup es una empresa líder en el sector de la salud y bienestar, especializada en ofrecer soluciones innovadoras en dermatología, equipos médicos y farmacología. Con más de una década de experiencia, trabajamos con las marcas más prestigiosas del mercado para garantizar productos de alta calidad y tecnología avanzada.","Wholesale Drugs and Sundries","51-200 employees","Privately Held","San Isidro, Lima","Peru","eurolabs.pe","https://www.linkedin.com/company/eurolabs-com"
,"Celnova Pharma","Celnova Pharma is a regional pharmaceutical company focused on complex therapeutic areas, such as Oncology, Central Nervous System, Diabetes, Critical Care and Rare Diseases. Celnova’s purpose is to grow in Latin America with a focus on complex diseases through a mix of organic growth and selective partnerships. 

Celnova Pharma es una compañía farmacéutica regional enfocada en áreas terapéuticas complejas, con presencia en oncología, sistema nervioso central, diabetes, cuidados críticos y enfermedades poco frecuentes. El propósito de Celnova es crecer en América Latina a través de una combinación de crecimiento orgánico y asociaciones selectivas.","Wholesale Drugs and Sundries","51-200 employees","Privately Held","Ciudad Autónoma de Buenos Aires, Buenos Aires","Argentina","celnova.com","https://www.linkedin.com/company/celnova-pharma"
