"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Four Hands","Welcome to Four Hands. For over 25 years, we've been a leading designer and wholesaler of well-crafted furniture and décor, helping people create spaces that feel like home.

Founded in Austin in 1996, Four Hands has international offices in China, India, Vietnam, Mexico, Indonesia, and showrooms in High Point, North Carolina, Las Vegas, Nevada, and Austin, Texas. Our team enthusiastically supports the growing needs of large retail chains, as well as independent regional stores and interior designers.  

Our pieces are unique to us — the product of careful trendspotting, selected materials and innovative design techniques for an ever-expanding assortment. Our trade customers have 24/7 online access to 6,000 design-forward products, from living and dining room to art, outdoor, accessories, and more.  

Receiving numerous recognitions and accolades, including ranking in the Inc. 5000 list 14 times, Four Hands is one of the most dynamic companies in the furniture industry today. We hire the most experienced people in the industry and talented individuals with robust backgrounds to bring a fresh approach to the furniture business. As a team, we actively challenge ourselves on the notion of what’s possible. The only thing we take more seriously than doing great work is having great fun.","Wholesale Furniture and Home Furnishings","501-1,000 employees","Privately Held","Austin, TX","United States","fourhands.com","https://www.linkedin.com/company/four-hands"
,"Grupo Helvex","HELVEX SA DE CV is a materiales de construcción company based out of Mexico.","Wholesale Furniture and Home Furnishings","1,001-5,000 employees","Privately Held","Ciudad de México, Azcapotzalco","Mexico","helvex.com","https://www.linkedin.com/company/grupohelvex"
,"REHAU India","We are a leading global supplier of furniture components with a focus on edgebands, surfaces, and roller shutters. Our loyal customers include the large-scale industry and trade, as well as craft businesses or design studios. What unites them all is that they appreciate our complete package comprising the service, ""Made in Germany"" quality standards, and our integrated design matches for components with total seamless integration.


You are opting for over 70 years of experience in interior design with REHAU Interior Solutions, which has made us a trusted partner of the furniture industry. We are proud to share that a large number of the furniture and kitchens manufactured worldwide are produced with REHAU interior components.","Wholesale Furniture and Home Furnishings","5,001-10,000 employees","Privately Held","Noida, Uttar Pradesh","India","rehau.com","https://www.linkedin.com/company/rehau-india"
,"Made Goods","Made Goods is a highly-regarded home furnishings brand offering exquisite styling options to interior designers and retail consumers.  Additional key wholesale brands include Pigeon & Poodle (home accessories), Blue Pheasant (tabletop) and Burton James (upholstered furniture). Ardmore Home Design is the privately-held manufacturer and wholesaler of these luxury home décor groups, headquartered in eastern Los Angeles County.","Wholesale Furniture and Home Furnishings","201-500 employees","Privately Held","City of Industry, California","United States","madegoods.com","https://www.linkedin.com/company/made-goods"
,"Ardmore Home Design, Inc.","Ardmore Home Design (AHD), founded in 2009, is a privately-owned, fast-paced, entrepreneurial company where we value people with strong skills to make our products and processes better every day. We design, sell, and distribute luxury home décor to interior designers as well as boutique/luxury retailers globally. We are based in the City of Industry with showrooms in New York, Dallas, Los Angeles, and Atlanta.    

The AHD family of wholesale brands includes:
•	Made Goods: Flagship furniture made from unique materials (www.madegoods.com)
•	Pigeon & Poodle:  Home and bath accessories (www.pigeonandpoodle.com)
•	Blue Pheasant:  Handcrafted tabletop products (www.bluepheasant.com)
•	Burton James (seating home furnishings (www.burtonjames.com)","Wholesale Furniture and Home Furnishings","201-500 employees","Privately Held","City Of Industry, California","United States","ardmorehomedesign.com","https://www.linkedin.com/company/ardmore-home-design-inc"
,"Mitchell Gold + Bob Williams","As true today as it was at our founding in 1989, Mitchell Gold + Bob Williams exists to serve the creative and passionate people who give our furniture a place to call home. We warmly invite trade professionals to enjoy a level of customization that lets your designs come to life exactly as you envision them—and to allow our signature service and heirloom-quality pieces a place in your creative process. 
Every piece of Mitchell Gold + Bob Williams upholstered furniture is crafted right here in the US, at our state-of-the-art facilities in Alexander County, North Carolina. 

Mitchell Gold + Bob Williams is a proud member of the Surya Inc. family of brands.","Wholesale Furniture and Home Furnishings","51-200 employees","Privately Held","Taylorsville, NC","United States","mgbw.com","https://www.linkedin.com/company/mitchell-gold---bob-williams"
,"Autonomous Inc.","People power business. Autonomous powers people. 

Used by 1M+ employees from the world's most innovative companies. Businesses across the globe are using Autonomous products to build a more productive workplace.  

Find out about our solutions here: https://www.autonomous.ai/p/office-furniture-bulk-orders","Wholesale Furniture and Home Furnishings","51-200 employees","Privately Held","New York, NY","United States","autonomous.ai","https://www.linkedin.com/company/autonomousdotai"
,"Rivatti Móveis","Situada em sede própria em Caxias do Sul - RS e Centro de Distribuição em Navegantes - SC, a Rivatti ao decorrer dos seus 20 anos de história, se consolidou como a maior importadora de móveis de design do Brasil.

Nosso core business é a importação de produtos de alta decoração que são destaque entre arquitetos, decoradores e designers de interiores. 

Presente em mais de 4 mil pontos de vendas no país, nosso portfólio apresenta mais de 500 modelos, entre cadeiras, banquetas, poltronas, mesas, linha office, linha outdoor e decoração.

Por meio de um trabalho especial de curadoria, trazemos para o mercado brasileiro peças de alta decoração, onde os detalhes fazem a diferença e o design se alinha ao conforto.","Wholesale Furniture and Home Furnishings","201-500 employees","Privately Held","Caxias do Sul, RS","Brazil","rivatti.com.br","https://www.linkedin.com/company/rivatti-moveis"
,"The Bowery Company","Dubai and Riyadh based and established in 2014, The Bowery Company, is the first and leading award-winning GCC furniture and home accessories retailer and contract dealer with an extensive portfolio of renowned Scandinavian design brands: ferm LIVING, AUDO, GUBI, &Tradition, 101 Copenhagen, HEM, HAY, Normann Copenhagen, FRAMA and many others.
The Bowery Company has evolved into a recognized leader in the design industry in the Middle East and has been trusted with large scale turnkey projects in the Middle East and Africa with a strong footprint in the contract market and a network of top tier partners.

Winner of the 2018 ""Best Luxury Furniture Company in the GCC"" Award by MEA Markets.
Winner of the 2016 ""Best Regional Furniture Brand"" award by Harpers Bazaar Interiors.","Wholesale Furniture and Home Furnishings","11-50 employees","Privately Held","Dubai, Dubai","United Arab Emirates","thebowerycompany.com","https://www.linkedin.com/company/the-bowery-company"
,"Enchanté Living","Enchanté Living is a leading supplier of home products through a portfolio of categories and brands, including Lighting and Kitchen & Bath. We deliver stylish and practical products with value-driven prices to customers around the world.","Wholesale Furniture and Home Furnishings","51-200 employees","Privately Held","New York, NY","United States","enchliving.com","https://www.linkedin.com/company/enchliving"
