"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Nivoda","Nivoda's mission is to make global jewelry trade simple and accessible by empowering our partners with an all-in-one solution to run and grow their businesses.","Wholesale Luxury Goods and Jewelry","201-500 employees","Privately Held","London, England","United Kingdom","nivoda.com","https://www.linkedin.com/company/nivoda"
,"Bafleh Jewellery","Bafleh Jewellery is one of the leading wholesale jewellery company in UAE. Mr. Ramesh Vora and Mr. Quwaider Bafleh has established the company since 1992. The company deals in 18kt, 21kt, 22kt of gold and Diamond jewellery, as well as loose and certified diamonds. The company has emerged from being a mere wholesaler to an icon in the jewellery market in this region. The Managing Director of the company, Mr. Ramesh Vora, who has over 40 years of experience in the gold and jewellery market. The strength of the company lies in providing a perfect combination of classic traditional as well as fashionable modern jewellery and accessories. The company operates wholesale and bullion out of three offices, located at the prestigious Gold centre building. The company has a very strong database across the Middle East, Africa, Europe, U.K, America and Australia regions. Understanding the clients need and providing quality and unique products to develop long sustainable relationships, have proven to be our key success factor in the business. Amidst the booming regional economy, with greater emphasis on the retail sector in Dubai, the company has entered into the retail jewellery while leveraging its expertise and success in the wholesale jewellery business. The company currently has 11 retail showrooms across U.A.E with 9 outlets in Dubai, 2 in Sharjah.","Wholesale Luxury Goods and Jewelry","201-500 employees","Privately Held","Deira , Dubai","United Arab Emirates","bafleh.com","https://www.linkedin.com/company/bafleh-jewellery"
,"KP Sanghvi and Sons","Founded in 1965 by Late Shri Hajarimal Ji and Late Shri Babulal Ji Sanghvi sourcing single cut diamond where today KP Sanghvi has grown from humble roots into a globally respected name in diamond manufacturing. Built on the pillars of Ethics, Morals, Foresight, and Hard Work, our journey is defined by innovation, integrity, and impact.

With ventures in jewelry (KP Jewels) and real estate (KP Infra), including landmark projects like KP Epitome, we continue to shape the future while honoring our legacy.

Operating in India, USA, UAE, Belgium, China, Hong Kong, and Botswana, our 7,000+ strong team supports partnerships with global names like Simply Vera Wang and Serena Williams Jewelry. Recognized as a De Beers Sightholder, Rio Tinto Diamantaire, and RJC-certified, we lead with trust and transparency. Powered by cutting-edge technology and a patented ERP system, we ensure traceability and quality in every stone.

Beyond business, our commitment to social good is core. We've built hospitals, colleges, an animal sanctuary, and led extensive COVID relief efforts. We also pioneered the industry’s first all-women’s diamond factory and aligned our mission with the UN Sustainable Development Goals.

KP Sanghvi where passion meets precision, and purpose shapes progress.","Wholesale Luxury Goods and Jewelry","5,001-10,000 employees","Privately Held","Mumbai, Maharashtra","India","kpsanghvi.com","https://www.linkedin.com/company/kp-sanghvi"
,"MadaLuxe","MadaLuxe is a diversified global luxury company and growth partner for the world’s most coveted brands and retailers.  
 
Across our fashion, lifestyle, and venture tech sectors, we distribute premium brands to major retailers around the globe. We build and invest in brands and products to meet the evolving needs of luxury consumers. We give brands the ability to reach new audiences and grant retailers access to sought-after goods.  
 
MadaLuxe also invests in disruptive technologies in the retail fashion space and beyond.","Wholesale Luxury Goods and Jewelry","501-1,000 employees","Privately Held","Orange County, California","United States","madaluxegroup.com","https://www.linkedin.com/company/madaluxe-group"
,"Kiran Gems Pvt. Ltd (Official)","Kiran Gems Private Limited is the world’s largest manufacturer of ethically sourced natural diamonds and India’s premier diamantaire. As a Sightholder of the De Beers Group, we are committed to excellence across the diamond value chain—from sourcing rough diamonds to cutting, polishing, and delivering superior quality gems to clients worldwide.

Established in 1985, Kiran Gems has grown into a global leader, recognized for its scale, precision, and innovation. Our manufacturing facilities, spanning over 1 million sq. ft., employ advanced technologies to produce a diverse range of diamonds in various shapes, sizes, colors, and clarities.

Our clientele includes some of the most esteemed jewelry and watch brands, retailers, and manufacturers globally. We pride ourselves on our ability to offer a comprehensive inventory, making us a one-stop destination for polished diamonds.

Key Highlights:
- Over 2.13 million polished carats sold in FY24
- 16-time winner of GJEPC's 'Highest Exporter of Cut & Polished Diamonds – FIRST' award (2007–2019), and again from 2020–2024
- Recipient of GJEPC's 'Highest Turnover' award for 2020–2024
- Global presence with offices in Mumbai, Surat, Antwerp, Dubai, Hong Kong, Shanghai, Thailand and New York

At Kiran Gems, we are dedicated to integrating technology, upholding ethical practices, and fostering social responsibility, ensuring that our legacy shines as brightly as our diamonds.

For more information, visit our website: www.kirangems.com","Wholesale Luxury Goods and Jewelry","10,001+ employees","Privately Held","Mumbai, Maharashtra","India","kirangems.com","https://www.linkedin.com/company/kiran-gems"
,"Loto del Sur","Loto del Sur is a Colombian brand of cosmetics, made with botanical ingredients that capture the richness, glamour, and exuberance of the South American continent.

Our Founder: An architect with the soul of a perfumer 

Johana Sanint was born in Bogotá, in an atmosphere of architecture and perfumery. Her great-grandfather, representative of the PFW fragrance house, passed on the family a taste for perfumes and a refined nose. Her childhood was marked by memories between aromas and travel stories. Her father, an architect and thinker, transmitted to her the passion for architecture, the love for nature, the search for balance between man and the space he inhabits, and a deep reflection on the American continent, as an invitation to rediscover it. 

Soon after she graduated from Architecture, Johana traveled to Italy and France where she learned the traditional methods of extracting perfumes and making vegetable soaps. It was there that she discovered her true calling. Back in Colombia, she decided to continue the family tradition and found La Jabonería in 1999, a brand of botanical soaps that used ancestral manufacturing processes. Those were The first steps of what is now Loto del Sur.  

At Loto del Sur we believe that good design can considerably transform the way we enjoy life. We believe in all the power of plants and we rely on a rigorous scientific research process. We cultivate simple pleasures by putting effort and dedication into every detail.","Wholesale Luxury Goods and Jewelry","51-200 employees","Privately Held","Bogotá, Bogotá","Colombia","lotodelsur.com","https://www.linkedin.com/company/lotodelsur"
,"Akrati Jewels Inc","Akrati is India’s leading Manufacturer and Exporter of 925 sterling silver and gemstone jewelry, with the aim to provide the best quality of Fine jewelry at real competitive prices. We Supply Top Grade Gemstones Jewelry to major Chain Stores and Retail Corporations Worldwide.","Wholesale Luxury Goods and Jewelry","51-200 employees","Partnership","Jaipur, Rajasthan","India","akratijewelsinc.com","https://www.linkedin.com/company/akratijewelsinc"
,"DWS Jewellery Pvt ltd","Welcome to our company page, your ultimate destination for everything related to jewelry manufacturing! As a leading jewelry manufacturer, DWS Jewellery takes immense pride in crafting exquisite pieces that stand the test of time. Our company is designed to give you an exclusive behind-the-scenes glimpse into our intricate craftsmanship process.

Discover the artistry and dedication that goes into every piece we create. Learn about the various techniques utilized, from casting to setting stones, and witness first-hand the meticulous attention to detail that makes our jewelry truly exceptional.

Join us on a journey through time as we delve into the rich history of jewelry manufacturing. Learn about ancient techniques that have been refined and passed down through generations, up to modern innovations shaping the industry today. Our videos offer a unique opportunity to gain valuable insights and knowledge about jewelry making.

Whether you are a jewelry enthusiast, aspiring designer, or simply curious about the craftsmanship behind the jewelry you wear, our company page has something for everyone. Explore our collection showcases, where we highlight our latest designs and provide an in-depth look at the materials used.

We also delve into the world of gemstones, sharing interesting facts and information about various types, their origins, and unique characteristics. Uncover the beauty and symbolism behind these precious stones.

Engage with our passionate community of jewelry lovers through our comments section, where you can ask questions, share your thoughts, and connect with fellow enthusiasts. We love hearing your feedback and value the opportunity to interact with our audience.

Follow to our company page and never miss an update on our latest creations, upcoming events, and exclusive announcements. Let us be your source of inspiration, education, and entertainment in the captivating world of jewelry manufacturing.","Wholesale Luxury Goods and Jewelry","201-500 employees","Privately Held","Jaipur, Rajasthan","India","dwsjewellery.com","https://www.linkedin.com/company/dws-jewellery-pvt-ltd"
,"CaratX","CaratX. We are the Exclusive Diamond & Gemstone Hub. Diamond and jewelry businesses trust CaratX for e-commerce. Our mission is to put more beauty into the world, and reduce the costs to sell online for the diamond, gemstone, jewelry and pearl industry, through the CaratX platform. 

Modern Inventory. Intelligent E-commerce. Brand Awareness. B2B & B2C Payments. Shipping. Intelligence. 

We connect manufacturers, retailers, wholesalers, jewelers, brokers, dealers, small, medium and large brands & their customers to buy and sell products. We reduce the costs to do business online and enable commerce wherever you are. Join us and start selling today.","Wholesale Luxury Goods and Jewelry","11-50 employees","Privately Held","Mountain View, California","United States","caratx.com","https://www.linkedin.com/company/caratx"
,"Gallant Jewelry","Responsible jewellery manufacturer, wholesaler and exporter of fine quality gold & sterling silver with certified gemstones and diamonds since 2001. Now a proud member of RJC (Responsible Jewelry Council).

Our mission is to offer sustainable jewelry that does not harm the planet. We offer recycled silver, fair-mined gold and lab-grown diamonds. All our metal and gemstones suppliers are certified.

The roots of ‘Gallant Jewelry’ dates back to 1975, when expert jeweller Jugal Kishor Gupta started the business of precious and semi-precious gemstones which soon became renowned for gemstone sourcing among global brands and retailers.

Carrying forward his father’s legacy, Arvind Gupta, the heir to the empire and a diamond graduate from the prestigious GIA (Gemological Institute of America) led Gallant to reach new heights of success.
Since then, Gallant has established itself as an industry leader in quality and ethical manufacturing, wholesale and export of fair-mined gold, fine silver and brass jewelry with certified gemstones and authentic diamonds. 

Our complete range of products includes sterling silver rings, earrings, pendants, bracelets and necklaces with genuine gemstones & ethical diamonds. We have extended our strength with 10K & 14K gold & diamond jewelry with an emphasis on diamond anniversary rings/bands. Apart from jewelry and gemstones, we also export volumes of single cut diamonds and black diamonds.","Wholesale Luxury Goods and Jewelry","501-1,000 employees","Partnership","Jaipur, Rajasthan","India","gallantjewelry.com","https://www.linkedin.com/company/gallant-jewelry"
