"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Copelme","Somos una Empresa Boliviana, dedicada a la producción y comercialización de Papel Tissue, papel higiénico, servilletas y Papel Toalla, con tecnología de punta, que nos permite ofrecer productos de los más altos estándares de calidad, alineados con las exigencias cada vez más altas de los consumidores.","Wholesale Paper Products","201-500 employees","Partnership","Cochabamba, Murillo","Bolivia","copelme.com","https://www.linkedin.com/company/copelme"
,"Unionpel S.A","Nos enfocamos en desarrollar y producir una amplia gama de productos con altos estándares de calidad,  que se obtienen por medio de constantes inversiones en equipamiento y capacitación de personal técnico especializado, con el firme objetivo de superarnos dia a dia en satisfacer las necesidades del mercado nacional y regional.

Fabricamos diversos tipos de papeles Crespados, Absorventes y Monolucidos con el fin de suplir a la industia de conversion.

Objetivos comerciales claros sumados a una filosofía empresarial de excelencia, conforman los pilares en los cuales hemos construido nuestro éxito a lo largo de los años.","Wholesale Paper Products","201-500 employees","Self Owned","San justo, buenos aires","Argentina","unionpel.com.ar","https://www.linkedin.com/company/unionpel-s-a"
,"Ohh Deer | Playful Paper Goods | B Corp","Founded in 2011 by partners Jamie Mitchell and Mark Callaby, Ohh Deer is an LGBTQ+ owned business known for its playful greeting cards, stationery, and gifts. With a focus on creativity and unique design, we sell our products globally through independent retailers and major national stores.

In 2024, we launched Kaleido, our luxury stationery brand, expanding our product offering and reinforcing our position as innovators in the stationery world.

We’re passionate about what we do and committed to giving back. Since our inception, we’ve planted over 150,000 trees through our charity partners and supported causes close to our hearts, including Switchboard LGBT, The Butterfly Conservation, and Battersea Dogs and Cats Home. Our efforts to make a positive impact extend across all that we do.

In August 2024, we proudly became a Certified B Corporation, meeting rigorous standards of social and environmental performance, accountability, and transparency. This certification affirms our ongoing commitment to using business as a force for good, ensuring we create value for both our customers and the planet.

Our co-founder, Mark Callaby, also contributes to the greeting card industry by serving on the UK Greeting Card Association board, where he leads the Diversity and Inclusion sub-committee.

We work with over 100 talented artists worldwide, including V&A, Laura Ashley, Gemma Correll, Hello!Lucky, Cath Kidston, Steven Rhodes, Melanie Johnsson, Hartland, Ken the Cat, Twin Pines, Up With Paper, and many more. Each collaboration brings fresh creativity, ensuring Ohh Deer continues to deliver original, high-quality designs that resonate with our customers.","Wholesale Paper Products","11-50 employees","Privately Held","Loughborough, Leicestershire","United Kingdom","ohhdeerwholesale.com","https://www.linkedin.com/company/ohh-deer"
,"GF Smith","With every sheet of paper, we support our local and creative community, the wider creative community and our planet. 

With every sheet of paper, we go out of our way to bring exceptional quality, colour and lathe unexpected together.

With every sheet of paper, we provide the space, freedom and invitation to create. 

GF Smith. Feel good papers.","Wholesale Paper Products","201-500 employees","Self Owned","Hull, England","United Kingdom","gfsmith.com","https://www.linkedin.com/company/g-f-smith"
,"Carlton Cards","Carlton Cards is Canada’s #1 greeting card company. Established in 1920, we have been dedicated to helping every person celebrate and create meaningful connections for over a century. Our outstanding greeting card brands including Carlton Cards, Papyrus, Recycled Paper Greetings, and Cartes Carlton, have earned us the trust and loyalty of customers nationwide.

In addition to our position as the leading greeting card supplier, Carlton Cards has been recognized as a multi-year winner of the Retail Council of Canada's Grand Prix for best new product of the year in the general merchandise category. This prestigious accolade showcases our commitment to bringing product leadership and innovation to the celebrations market. 

Our associates are driven by creativity, thrive on innovation, and recognize that great collaboration inspires great ideas. These values are the foundation of everything we do as we work to make the world a more thoughtful and caring place... Every. Single. Day.","Wholesale Paper Products","1,001-5,000 employees","Privately Held","Mississauga, Ontario","Canada","carltoncards.ca","https://www.linkedin.com/company/carlton-cards"
,"MEPCO GULF","Mepco Gulf provides you with the best quality sustainable paper and board products from the world’s most reputable brands in the industry.","Wholesale Paper Products","11-50 employees","Privately Held","Jumeirah, Dubai","United Arab Emirates","mepcogulf.com","https://www.linkedin.com/company/mepcogulf"
,"Sona Papers Pvt. Ltd.","Every great idea starts with a blank sheet.
At Sona Papers, we’ve spent decades transforming those blank sheets into stories—stories of brands discovering their voice, designers igniting their creativity, and printers finding the perfect canvas for exceptional craftsmanship.

As one of India’s leading premium fine paper specialists for over four decades, we are trusted by brand owners, designers, printers, converters, and creative agencies alike. Our portfolio features world-class paper collections sourced from renowned global mills, enabling us to continually shape and elevate the print and packaging landscape.

We curate a distinctive range of premium, textured, specialty, and creative papers that inspire design innovation and deliver unmatched print performance. What truly sets us apart is our deep understanding of creative and print requirements, supported by strong supply capabilities across India and the Middle East.

At Sona Papers, we partner closely with brands and creators to turn ideas into tangible, memorable experiences—through the timeless power of fine papers.

www.instagram.com/sonapapers
www.facebook.com/SonaSignaturePapers
www.youtube.com/@SonaPapers-fine-papers-india","Wholesale Paper Products","201-500 employees","Privately Held","New Delhi, Delhi","India","sonapapers.com","https://www.linkedin.com/company/sonafinepapers"
,"G-Commerce S.A (Art-Jet, Workat, Adorié, Basic Essencial)","Te acercamos nuestros mejores productos para acompañarte en el crecimiento y fortalecimiento de tu negocio.
En G-Commerce somos proveedores mayoristas de insumos para impresión, sublimación y papelería creativa. Representamos las marcas ART JET, WORKAT, ADORIÉ y BASIC ESSENCIAL, con productos de calidad pensados para pequeñas y medianas empresas.","Wholesale Paper Products","11-50 employees","Self Owned","Comuna 1, Capital Federal","Argentina","art-jet.com.ar","https://www.linkedin.com/company/g-commerce-sa"
,"Papel Higiénico Paracas","En Papel Paracas, nos enorgullecemos de ofrecer una amplia gama de productos de alta calidad para satisfacer diversas necesidades. Nuestra especialidad es la fabricación de papel higiénico y papel toalla, que se distinguen por su suavidad, durabilidad y compromiso con la sostenibilidad. 

Sobre nuestros productos: 
- Papel higiénico: Disponible en varias presentaciones, es conocido por su excelente resistencia y rendimiento. Utilizamos tecnología avanzada para garantizar que cada rollo cumpla con los más altos estándares de calidad y confort.
- Papel toalla: Diseñado para enfrentar los desafíos del uso diario en el hogar o en entornos comerciales, nuestro papel ofrece gran resistencia y capacidad de absorción.

Con más de 50 años de experiencia en el sector, Papel Paracas sigue innovando y mejorando para ofrecer productos que no solo cumplen con las expectativas de nuestros clientes, sino que también contribuyen al bienestar común.","Wholesale Paper Products","501-1,000 employees","Self Owned","Ventanilla, Callao","Peru","papelerareyes.com","https://www.linkedin.com/company/ph-paracas"
,"OVOL France","OVOL France - Votre partenaire en solutions de papier, d'emballage et de communication visuelle.

Filiale du leader mondial dans la distribution de papiers, OVOL France met à votre disposition une expertise reconnue et une large gamme de produits adaptés à vos besoins spécifiques. Présent dans 22 pays avec plus de 126 filiales, OVOL Japan Pulp & Paper Group est un acteur incontournable du secteur, alliant innovation, durabilité et proximité client.

Notre mission : ""Façonner un avenir meilleur pour la société et l’environnement"" en proposant des solutions responsables et innovantes pour répondre aux défis actuels et futurs. Nous nous engageons à offrir des produits performants, dans une démarche responsable, en parfaite adéquation avec les besoins de nos clients à travers le monde.

Pour en savoir plus, rendez-vous sur ovol.fr.","Wholesale Paper Products","201-500 employees","Public Company","Villabé,Corbeil-Essonnes","France","ovol.fr","https://www.linkedin.com/company/ovol-france"
