"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Kenya Wine Agencies Limited - KWAL","We are KWAL. We make it GREAT for everyone through Quality, Delight and Value.

Since 1969, when KWAL was incorporated with the objective of providing an avenue for importation and distribution of wines and spirits and enable indigenous Kenyans to participate significantly in this sector; we have delighted consumers across Eastern Africa with award winning and quality beverages.

As a beverage company dealing with both alcoholic drinks – wines and spirits – and non-alcoholic ones including grape juice and syrup, our business includes manufacture, import, distribution, sale and export of alcoholic and non-alcoholic beverages. We are continuously committed to quality in all aspects of our business.

To learn more about the delight, value and quality KWAL brings to it's valued stakeholders and clientele, visit our website ; www.kwal.co.ke","Wine and Spirits","201-500 employees","Privately Held","Nairobi, Nairobi","Kenya","kwal.co.ke","https://www.linkedin.com/company/kenya-wine-agencies-limited"
,"Grupo Peñaflor","Grupo Peñaflor es el mayor productor de vino de la Argentina y uno de los primeros diez productores de vinos a nivel mundial. Exportamos actualmente a más de 90 países en los cinco continentes, y año tras año, los vinos de nuestras bodegas reciben más de un centenar de premios por su calidad y reconocimiento internacional. 

Con una trayectoria de bodegas de más de 100 años y más de 2.800 empleados, nuestra filosofía de negocios está basada en la calidad de nuestros productos y una fuerte orientación por comprender y satisfacer las necesidades y tendencias de los consumidores locales y globales, a partir de una profunda raíz argentina.","Wine and Spirits","1,001-5,000 employees","Privately Held","Vicente Lopez, Buenos Aires","Argentina","grupopenaflor.com.ar","https://www.linkedin.com/company/grupo-penaflor"
,"Sula Vineyards","Sula Vineyards is India's #1 premium wine producer and one of India's top 3 international wine and spirits importers through its arm Sula Selections. We are proud to lead the Indian Wine Revolution and are committed to producing and delivering an excellent product and experience to our consumers in every bottle! Our vineyards are located in Maharashtra and Karnataka. We are the pioneers in wine tourism in India, with our luxury vineyard properties - The Source at Sula and Beyond by Sula - and The Tasting Room based in Nashik, just 3 hours outside of Mumbai. We are proud partners in sustainable grapegrowing, winemaking and viticulture, and are committed to ensuring sustainable growth and development for our farmers, communities and the local environment. 

Sula also imports and distributes leading international wines and spirits such as Le Grand Noir, Torres, Trapiche, Hardy's, Beluga Vodka, and more!

We are committed to fostering a workplace built on strong values of challenge, innovation, accountability, fairness and excellence, and look forward to taking the Indian wine industry to even greater heights!","Wine and Spirits","501-1,000 employees","Public Company","Mumbai, Maharashtra","India","sulavineyards.com","https://www.linkedin.com/company/sulavineyards"
,"KWV","From its earliest roots in 1918 as a small co-operative of growers - Proud Pioneers with the vision to improve wine industry standards and quality in South Africa - KWV has grown into a global producer of over 100 products.

Our wines and grapes are sourced from the most sought-after viticultural regions of South Africa and grown from the world’s oldest earth. Our cellars, one of the largest complexes in the world and featuring the world-famous Cathedral Cellar, have produced an award-winning range of products. Our brands have a solid foundation in tradition, while innovating with contemporary tastes. Over the decades they have earned KWV a loyal following of discerning consumers both locally and abroad. 

Our commitment to quality in all aspects of our business has earned us multiple local and international accolades, with our brands having collectively earned over 300 awards in the past year alone. We also celebrate our success in sustainability – we are one of the leading black empowered companies in the wine and spirits industry and are dedicated to our role as founding member of the Association for Responsible Alcohol Use (ARA). 

KWV is present in over 100 markets globally, with key focus markets including Scandinavia, Germany, the Americas, Japan, and South Africa. We place a high value on our relationships with our international partners, who ensure that our brand presence extends across national and cultural borders.","Wine and Spirits","201-500 employees","Public Company","Paarl, Western Cape","South Africa","kwv.co.za","https://www.linkedin.com/company/kwv"
,"Radico Khaitan Limited","Radico Khaitan Limited (“RKL”) is among the oldest and one of the largest manufacturers of Indian Made Foreign Liquor (“IMFL”) in India. Formerly known as Rampur Distillery, RKL commenced its operations in 1943 and over the years emerged from a major bulk spirits supplier and bottler to other spirit manufacturers to the originator of four millionaire labels and over fifteen organically grown brands.

Radico Khaitan Limited is also one of the largest providers of branded IMFL to the Canteen Stores Department (“CSD”), which has significant business barriers to entry. The company has been successfully building its brand equity in international markets and currently exports its products to over 85 countries.

The Company currently has two distilleries- Rampur Distillery in Rampur (Uttar Pradesh) and Radico NV Distilleries Maharashtra Limited, a joint venture with RNV in Aurangabad (Maharashtra). The company has a total capacity of over 157 million litres and operates 28 bottling units spread across the country.

Our flagship brand portfolio includes Rampur Single Malt, Jaisalmer Gin, Magic Moments Vodka, Magic Moments DAZZLE, 8PM Premium Black Whisky, 1965 Spirit Of Victory Rum, Morpheus XO Brandy, Royal Ranthambore Whisky, Contessa Rum to name a few.","Wine and Spirits","1,001-5,000 employees","Public Company","New Delhi, New Delhi","India","radicokhaitan.com","https://www.linkedin.com/company/officialradicokhaitan"
,"KRUG Champagne","Krug has always lived up to its reputation as the first and still the only Champagne House to create exclusively prestige Champagnes every year since its foundation.

The House was established in Reims in 1843, by Joseph Krug, a visionary non-conformist with an uncompromising philosophy. Having understood that the true essence of Champagne is pleasure itself, his dream was to offer the very best Champagne every single year, regardless of annual climate variations. Paying close attention to the vineyard’s character, respecting the individuality of each plot and its wine, as well as building an extensive library of reserve wines from many different years allowed Joseph Krug to fulfil his dream.

With a very original approach to Champagne making, he decided to go beyond the notion of vintage to create the fullest expression of Champagne, every year. Thus, he founded a House in which all Champagnes are of the same level of distinction.

Six generations of the Krug family have perpetuated this dream, enriching the founder’s vision and savoir faire. Today, Krug is one of the 25 unique Houses that form Moët Hennessy, the wines and spirits division of LVMH.

The House of Krug gives time to the unforgettable: with a spirit that is different but always refined, it accepts no compromise on craftsmanship, goes beyond perfection in the pursuit of pleasure and fosters a strong connection with its international community of Krug Lovers.

Please do not forward or share with anyone underage. Enjoy Responsibly.

Read our T&Cs and Privacy Policy here : vu.fr/biTX","Wine and Spirits","51-200 employees","Privately Held","Reims, Grand Est","France","krug.com","https://www.linkedin.com/company/krug-champagne"
,"Castel Frères","Castel Frères is the historic wine trading business created by Pierre Castel with his brothers and sisters in 1949. Over time, we have created a comprehensive range including not only brand leaders and successful innovations, but also châteaux wineries and grand cru wines. Third largest in the world market, Castel Frères is today ""the most important place for French wine in the world"" for professionals and consumers worldwide.
***Castel Frères is part of CASTEL Wine International***","Wine and Spirits","51-200 employees","Privately Held","Blanquefort, France","France","castel-freres.com","https://www.linkedin.com/company/castelfreres"
,"AdVini","AdVini (266M€ de CA, 900 collaborateurs,) est le leader français des vins de terroir. Son siège est implanté à St-Felix de Lodez (34 / 30 kms de Montpellier). Alliant tradition et modernisme, AdVini est implanté au cœur des régions viticoles françaises les plus renommées et en Afrique du Sud. Avec 2.333 hectares de vignobles détenus en propre, ses 30 Vignobles & Châteaux, Maisons de négoce et centre de vinification ; AdVini bénéficie d’une notoriété et d’une reconnaissance internationale en constante progression. Présent dans plus de 110 pays, AdVini poursuit son fort développement commercial grâce à un plan stratégique orienté digital et avec pour objectif de développer ses activités sur l’ensemble des circuits de distribution classiques et e-business.","Wine and Spirits","501-1,000 employees","Privately Held","Saint Felix de Lodez","France","advini.com","https://www.linkedin.com/company/advini"
,"VSPT Wine Group","En VSPT Wine Group contamos con una larga trayectoria vitivinícola. Estamos dentro del Top 20 de productores a nivel mundial (18 Millones de cajas anuales), dentro del Top 10 de productores en el mercado doméstico argentino y somos líderes en ventas de vino y espumantes Premium en Chile. 

Con nuestras marcas transformamos momentos cotidianos en experiencias a través de vinos producidos con orgullo y pasión, exportamos nuestros productos a más de 80 países,  posicionándonos como grandes referentes en mercados de relevancia mundial. 

Promovemos la pasión por el vino y el consumo consciente, cultivamos la diversidad y la excelencia en armonía, el respeto por las personas, el vino y nuestra tierra.

Buscamos ser un grupo vitivinícola de escala mundial, basado en la fuerza de nuestras marcas estratégicas y liderados por la gestión innovadora y sustentable de un equipo humano de excelencia. 

Solo faltas tú!","Wine and Spirits","1,001-5,000 employees","Public Company","Las Condes, Santiago Metropolitan","Chile","vsptwinegroup.com","https://www.linkedin.com/company/vi-a-san-pedro-tarapaca"
,"Kavaklıdere Şirketler Grubu","Kavaklıdere Wines, the first private sector wine producer in Turkey, is founded by Cenap And in 1929 in Ankara, it has steadily developed to become Turkey’s leading wine producer.

Our company owns 617.5 hectares of vineyards in the most important wine-producing area of Anatolia, where our professional wine growers strives to maintain the perfect grapes-soil-climate equation and increase the potential of the vines that produce the grapes that have been successful in the production of Anatolian wines for hundreds of years and to introduce wines from international grape varieties grown in Anatolia’s varied micro-climates to achieve their best potential when they are transformed in to wine.","Wine and Spirits","201-500 employees","Self Employed","Akyurt, Ankara","Turkey","kavaklidere.com","https://www.linkedin.com/company/kavaklidere-sirketler-grubu"
