"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Berneck S.A. Painéis e Serrados","A BERNECK é uma empresa brasileira com mais de 70 anos de história. Especializada em painéis MDP, MDF e HDF, além de Pinus e Teca serrados, possui plantas industriais com altíssima capacidade de produção e tecnologia de ponta. 
Todos os seus produtos são provenientes de florestas plantadas e são destinados à indústria de móveis, construção civil, automotiva, eletrônica, e embalagens, entre outras, no Brasil e no exterior.
Desde a sua fundação, em 1952, a empresa vem contribuindo para o desenvolvimento social e econômico por meio do desenvolvimento de capital humano e produtos inovadores e sustentáveis.","Wood Product Manufacturing","1,001-5,000 employees","Privately Held","Araucária, Paraná","Brazil","berneck.com.br","https://www.linkedin.com/company/berneck-paineis-e-serrados"
,"EGGER Group","The family company, founded in 1961, employs approximately 12,000 people. At 22 plants across the world, they produce an extensive product range of wood-based materials (chip-boards, OSB and MDF boards) as well as timber. 

The company generated a turnover of EUR 4.13 billion in the 2024/2025 business year and has worldwide customers in the furniture industry, wood and flooring retailers, as well as DIY markets. 

EGGER products are found in countless areas of private and public life, including kitchens, bathrooms, bedrooms, offices, hotels and shops. EGGER is a full-range supplier for the furniture industry, interior design, wood construction, and wood-based flooring (laminate, cork, and design flooring) industries. Apart from our building products made of actual wood, all our shown and mentioned decors are reproductions, and as such, they offer durable, resilient, and high-quality, on-trend solutions for homes, public areas, and commercial spaces.

Netiquette:
LinkedIn is a great platform for lively discussions – that’s why we at EGGER look forward to your ideas, comments and ‘likes’! But just as with every other open communication platform out there, there are some rules we would ask you to keep in mind:
- Our working hours are Mo - Thu 9 AM - 5 PM, Fri 9 AM -12 PM CET – so please do not expect immediate replies during other times.
- Behind every user and admin account is a human being – so please respect everyone just as you wish to be respected.
- Our page is not the right place for insults, spam, advertising, discussions about religion or politics, activism, gender, propaganda or illegal content. This also applies to external sites you might link to.
- Internal information about EGGER should, of course, stay ‘internal’.
Please be aware that we might have to delete posts that violate any of the points above.
Enjoy your visit on our EGGER page!
imprint: https://to.egger.link/imprint
Data Protection Declaration: https://to.egger.link/data-protection-declaration","Wood Product Manufacturing","10,001+ employees","Privately Held","Sankt Johann in Tirol, Tirol","Austria","egger.com","https://www.linkedin.com/company/eggergroup"
,"Guararapes - USA","For over 41 years in the market, Guararapes manufactures MDF panels and it is one of the largest plywood panel exporter in Latin America. Currently operating with three factories in Caçador/SC (MDF), Palmas/PR (Plywood) and Santa Cecília/SC (Plywood).","Wood Product Manufacturing","1,001-5,000 employees","Privately Held","Palmas, PR","Brazil","guararapes.com.br","https://www.linkedin.com/company/guararapes"
,"BrasPine","A BrasPine transforma o pinus, uma madeira renovável e de alta qualidade, em soluções inovadoras para acabamentos de construção e decoração, tanto para ambientes internos quanto externos.
Fabricamos mais de 4 mil itens, incluindo molduras (rodapé, sanca, roda teto, rodameio, cantoneiras), painéis, vigas, guarnições e componentes para portas, janelas e escadas, que conferem elegância, sofisticação e funcionalidade aos espaços.

Além disso, nosso portfólio inclui pellets de pinus, uma fonte de energia limpa e eficiente, que substitui combustíveis fósseis e atende tanto ao aquecimento residencial quanto a processos industriais de alta combustão, além do mercado pet.

Com um compromisso sólido com a sustentabilidade, cultivamos nossas próprias florestas de pinus, garantindo um ciclo produtivo responsável e alinhado à preservação ambiental.

Nossos produtos são fabricados com excelência nas cidades de Jaguariaíva e Telêmaco Borba, no Paraná. Com foco em expansão e presença global, estamos construindo uma nova unidade no Uruguai e contamos com escritórios em Porto Alegre e Curitiba.

Buscamos continuamente inovação e qualidade, valorizando as pessoas, os parceiros e as comunidades em que atuamos.

Somos a BrasPine: Mouldings, Pellets, Forest. O futuro em cada um de nós.","Wood Product Manufacturing","1,001-5,000 employees","Privately Held","Curitiba, Paraná","Brazil","braspine.com.br","https://www.linkedin.com/company/braspine"
,"Placas do Brasil S/A","A Placas do Brasil é especialista na fabricação e comercialização de painéis de MDF. Localizada no município de Pinheiros, Norte do Espírito Santo, somos uma empresa consolidada no mercado nacional e com atuação no exterior.
Nossa inspiração vem da natureza em suas nuances mais fiéis, formas e texturas para criar produtos idênticos ao natural porque essa é a nossa identidade.
Design, elegância e sofisticação, aliados a esta estética fidedigna à natureza e de altíssima qualidade dão formas aos diversos projetos e concretizam sonhos.
A brasilidade com toda sua potencialidade cultural permeia entre a história da empresa e estão presentes em nossos painéis de MDF. Provenientes de florestas de eucalipto 100% renováveis, produzidos em equipamentos de última geração e por meio de mecanismos sustentáveis.
Conheça mais sobre a Placas do Brasil visitando também o nosso site e nossas redes sociais.","Wood Product Manufacturing","201-500 employees","Privately Held","Pinheiros, Espirito Santo","Brazil","placasdobrasil.com.br","https://www.linkedin.com/company/placasdobrasilsa"
,"Kalesnikoff","Kalesnikoff designs and produces mass timber as well as modular and prefabricated mass timber, while continuing to mill specialized lumber products. This gives our team full control of quality and precision from the forest to design solutions to project completion. We have extensive experience working with architects, developers and general contractors to help create affordable and market multi-storey housing, commercial buildings, infrastructure including schools, firehalls, community centres, as well as workforce housing and other critical projects.


As a fourth generation, 85+ year old family-owned company, we have a strong track record of success, based on collaborative relationships with our customers and our community; all thanks to our team of 375 exceptional people.


We have proudly partnered with customers on hundreds of successful buildings in Western Canada and the Western U.S. Our various facilities are located in beautiful British Columbia, Canada, and all of our products are locally sourced and manufactured near Castlegar in the West Kootenays.

Learn more at www.kalesnikoff.com or:


· For mass timber and modular mass timber information and sales, please email mtsales@kalesnikoff.com

· For lumber information and sales, please email sales@kalesnikoff.com

· Career opportunities are listed under Careers on our website www.kalesnikoff.com

· General inquiries, please call 250-399-4211","Wood Product Manufacturing","201-500 employees","Privately Held","CASTLEGAR, British Columbia","Canada","kalesnikoff.com","https://www.linkedin.com/company/kalesnikoff"
,"ROUGIER","Fondé en 1923, ROUGIER est un leader du bois africain responsable en Afrique Centrale, présent au Gabon et en République du Congo. Nous opérons dans la gestion de forêts naturelles 100% responsables et certifiées par des labels internationaux indépendants, dans la transformation industrielle et dans le commerce international.

Au Gabon et en République du Congo, nous gérons environ 1,5 million d’hectares de forêts certifiées par des organismes internationaux indépendants de renom (FSC au Gabon et LegalSource au Congo). Notre approche responsable guide toutes nos activités, de l'exploitation forestière assurée par nos filiales à la transformation industrielle locale et à la commercialisation internationale par Rougier Afrique International (RAI). 

Au Gabon, Rougier Gabon gère de manière responsable près de 900 000 ha de forêt, produisant grumes, sciages et produits transformés, alimentant l'industrie locale, notamment dans la zone d’investissement spéciale (ZIS) de Nkok, qui concentre 80 % des installations de transformation du bois du pays.

En République du Congo, Rougier Congo (Mokabi SA) gère de manière responsable 586 000 ha de forêt, produisant annuellement environ 100 000 m³ de grumes et 40 000 m3 de sciages dans la partie nord du pays, à la frontière avec la République centrafricaine.

Enfin, Rougier Afrique International commercialise l’ensemble des produits de marque Rougier (grumes, sciages, contreplaqués, lamellés-collés et blocs solides aboutés), faisant ainsi la promotion du bois gabonais et congolais sur les marchés mondiaux.
 
Retrouvez les sociétés du Groupe: 
•         au Gabon - ROG : https://www.linkedin.com/showcase/11139185
•         au Congo - MOKABI : https://www.linkedin.com/showcase/22303528","Wood Product Manufacturing","1,001-5,000 employees","Public Company","Paris, Île-de-France","France","rougier.fr","https://www.linkedin.com/company/rougier-international"
,"Decospan","Here at Decospan, we develop and manufacture wood veneer based products. We do this in a creative and innovative way with respect for nature and the environment. Decospan creates beauty by processing natural wood veneer. Our company develops products based on this precious wood in a creative and sustainable manner. With our treasure chest of more than 160 wood species, our state-of-the-art machines, our sustainable business model and our flexible employees, we are able to develop new products that meet the needs of all stakeholders. Welcome to the wonderful world of Decospan.","Wood Product Manufacturing","501-1,000 employees","Privately Held","Menen, West-Vlaanderen","Belgium","decospan.com","https://www.linkedin.com/company/decospan"
,"CarmoWood","With 45 years of experience, Carmo Wood stands out as a national and European reference in the development of treated wood solutions for agriculture, protection, construction, engineering, tourism, leisure, and telecommunications.","Wood Product Manufacturing","201-500 employees","Privately Held","Lisboa, Lisbon","Portugal","carmowood.com","https://www.linkedin.com/company/carmowood"
,"Unilin Panels","Unilin Panels delivers innovative wood-based panels and accessories for construction and interior design projects. From versatile particleboard and MDF to high-quality HPL and melamine panels, we offer the materials to bring your ideas to life with precision and style.","Wood Product Manufacturing","5,001-10,000 employees","Public Company","Wielsbeke, Flemish Region","Belgium","unilinpanels.com","https://www.linkedin.com/company/unilin-panels"
