"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL"
,"Royal Botanic Garden Edinburgh","We are a leading botanic garden and a global centre for biodiversity science, horticulture and education. We conserve one of the world’s richest botanical collections at our four gardens Edinburgh, Benmore, Dawyck and Logan.

Life on Earth is in jeopardy as we face an environmental crisis with catastrophic biodiversity loss and a climate emergency. These threats to our life support system demand urgent and collective action. Our response is to explore, conserve and explain the world of plants, pushing the boundaries of our scientific knowledge to find and apply solutions.

We engage nationally and internationally, empowering individuals, communities and partners to protect our botanic world, helping us build a positive future for plants, people and the planet.","Zoos and Botanical Gardens","201-500 employees","Non Profit","Edinburgh","United Kingdom","rbge.org.uk","https://www.linkedin.com/company/royal-botanic-garden-edinburgh"
,"The Zoo Scientist","""The Zoo Scientist"" was created in September 2015, first as a Facebook page, under the name ""International Zoo News"". The idea was to share news and information on the role of modern zoos in conservation, research and education. As this page always tried to focus as much as possible on the scientific side of zoos, the name was changed upon the creation of the website and twitter account.

The Zoo Scientist is 100% not-for-profit and it is for everyone! Zoos, zoo professionals, students and scientists of all areas are welcome, and so are general public and wildlife/animal enthusiasts. We aim to provide you with reliable, useful and educational material. 

We want this page to turn into one of your main sources of information for world-wide Zoo Science.","Zoos and Botanical Gardens","2-10 employees","Self Owned","Lisbon, Lisbon","Portugal","thezooscientist.com","https://www.linkedin.com/company/the-zoo-scientist"
,"Longwood Gardens","In 1906, industrialist Pierre du Pont (1870-1954) purchased a small farm near Kennett Square, PA, to save a collection of historic trees from being sold for lumber. Throughout his life, Mr. du Pont indulged his passion for gardening, turning his farm into a magnificent horticultural showplace. Today, Longwood Gardens is one of the great gardens of the world, encompassing 1,077 acres of gardens, woodlands, meadows, fountains, a 10,010-pipe Aeolian organ and a 4-acre grand Conservatory. Longwood continues the mission set forth by Mr. du Pont to bring joy and inspiration to everyone through the beauty of nature, conservation, and learning. Longwood Gardens offers a breadth of mission programming that includes exhibitions, musical performances by top artists, renowned horticulture education programs, horticulture research, environmental stewardship and cultural and community engagement.","Zoos and Botanical Gardens","501-1,000 employees","Non Profit","Kennett Square, PA","United States","longwoodgardens.org","https://www.linkedin.com/company/longwood-gardens"
,"Chicago Botanic Garden","The Chicago Botanic Garden is a world-renowned living museum and so much more. Its roots grow throughout greater Chicago and beyond, inspiring all people to connect with plants. The Garden helps build healthier communities through urban agriculture, offers lifelong learning opportunities, leads pioneering plant conservation research, and showcases the beauty of horticulture. The Garden is a nonprofit organization run as a public/private partnership with the Forest Preserves of Cook County.","Zoos and Botanical Gardens","201-500 employees","Non Profit","Glencoe, Illinois","United States","chicagobotanic.org","https://www.linkedin.com/company/chicago-botanic-garden"
,"Reserva Paulista","Reserva Paulista é responsável pela gestão do Zoo São Paulo, Zoo Safári e Jardim Botânico.","Zoos and Botanical Gardens","501-1,000 employees","Privately Held","São Paulo, São Paulo","Brazil","reservapaulista.com.br","https://www.linkedin.com/company/reservapaulista"
,"Aquarium of the Pacific","The Aquarium of the Pacific is Southern California’s largest Aquarium. It displays about 12,000 animals and more than 100 exhibits that celebrate the planet’s largest and most diverse body of water, the Pacific Ocean. Its galleries represent the frigid waters of the Northern Pacific, the temperate Southern California region, and the warm coral reefs and lagoons of the Tropical Pacific.

Each year approximately 1.7 million people visit the Aquarium, making it consistently one of the leading attractions in the Los Angeles region. Beyond its world-class animal exhibits, the Aquarium offers educational programs for people of all ages from hands-on activities to lectures by leading scientists. Through these programs and a variety of multimedia experiences, the Aquarium provides opportunities to delve deeper into ocean science and learn more about our planet.","Zoos and Botanical Gardens","201-500 employees","Non Profit","Long Beach, California","United States","aquariumofpacific.org","https://www.linkedin.com/company/aquariumpacific"
,"Loro Parque","En 1972, Wolfgang Kiessling fundó Loro Parque en Puerto de la Cruz, un espacio que comenzó como una reserva de aves exóticas y fue creciendo hasta convertirse en la mayor reserva de especies y subespecies de papagayos del mundo. Actualmente se ha posicionado como el mejor zoológico del mundo. Casi cinco décadas más tarde, nace Loro Parque Fundación, una organización con más de 22,8 millones de dólares invertidos en proyectos de conservación, educación e investigación a nivel mundial.
El Grupo comienza a expandirse en el mundo turístico con la adquisición del Hotel Botánico & The Oriental Spa Garden, en 1995. Uno de los hoteles de lujo más reconocidos en Canarias, parte del grupo Leading Hotels, con el mejor Spa de Europa.
Fue en 2008, que la compañía crea, bajo los estándares de calidad de Loro Parque y Hotel Botánico, Siam Park, el mejor parque acuático del mundo por séptimo año consecutivo, según TripAdvisor. Una experiencia de emociones que no deja indiferente a ningún visitante.
En 2015, el Grupo lanza Brunelli’s Steakhouse, el mejor steakhouse a este lado del Atlántico, con las mejor mejores vistas al océano. Apostando por posicionarse como número 1 en cada uno de los proyectos, Brunelli´s Steakhouse cuenta con el horno Southbend único en Canarias, que cocina a 800º consiguiendo una textura crujiente por fuera y manteniendo su jugosidad en el interior.
La última creación del Grupo fue en 2017, el acuario Poema del Mar en Gran Canaria, un tributo al agua a lo largo de 35 ecosistemas diferentes que muestran la belleza del gran azul en todo su recorrido, finalizando en el Deep Sea la ventana curva más grande del mundo, que sumerge a los visitantes en lo mas profundo del océano.","Zoos and Botanical Gardens","501-1,000 employees","Privately Held","Puerto de la Cruz, Canarias","Spain","loroparque.com","https://www.linkedin.com/company/loroparque"
,"Emirates Park Zoo and Resort","Emirates Park Zoo and Resort is a pioneer Modern zoo embraces the conservations, education and animal welfare while presenting unique unforgettable experiences to its guests. Our vision is “Better future for wildlife via a modern zoo pioneering the inspiration for wildlife preservation” 
Mission “Providing unique and unforgettable experiences embedded in education conservation to potentiate the visitors act to respect and conserve nature”
EPZR is a private entity consist of Zoo, Resort, Restaurants and Veterinary centers that provide wide variety of services and programs. 
EPZR is the first accredit Zoo in the Middle East that earned AZA (association of zoos and aquariums) accreditation “the gold standards”
Emirates Park Zoo has more than 1700 animals in its collection and has air conditioned area for summer time and outdoor areas for fine season. EPZR provides outstanding education programs being linked to the school curriculums and approved by MOE. Furthermore, it is a place of fun learning, interactive programs with ambassador animals, riding, animals presentations, shows and hands on activities including animal feeding and camping in the zoo. Ideally, it takes two days to experience everything at EPZR hence a very unique resort with different types of rooms is located in the middle of the zoo where the guest can stay and wake up with the beauty of nature.
Emirates Park Zoo, where the memories are made!","Zoos and Botanical Gardens","201-500 employees","Privately Held","Al Bahia, Abu Dhabi, Dubai","United Arab Emirates","emiratesparkzooandresort.com","https://www.linkedin.com/company/emirates-park-zoo-and-resort"
,"Botanic Gardens of Sydney","We are a purpose-driven organisation committed to providing solutions to critical environmental challenges facing all life on earth and improving the quality of people’s lives through joyous connections to inspiring public spaces. Our vision is to see people, communities, institutions and industries
informed and inspired by power of plants and to support their conservation.

We are the stewards of three world-leading botanic gardens, Australia’s premier botanical research institute, and one of the country’s most loved urban parklands:
• Australian Institute of Botanical Science
• Blue Mountains Botanic Garden Mount Tomah
• Australian Botanic Garden Mount Annan
• Royal Botanic Garden Sydney
• The Domain

Botanic Gardens of Sydney is the registered business name of the Royal Botanic Gardens and Domain Trust, which is constituted under the Royal Botanic Gardens and Domain Trust Act 1980 (NSW).","Zoos and Botanical Gardens","201-500 employees","Government Agency","Sydney, NSW","Australia","botanicgardens.org.au","https://www.linkedin.com/company/botanicgardensofsydney"
,"Bristol Zoological Society","Bristol Zoological Society is a conservation and education charity which owns and operates Bristol Zoo Project. We lead ground-breaking conservation and research projects spanning five continents across the world. With nearly a quarter of all mammal species and a third of amphibians threatened with extinction, there’s an urgent need to safeguard our wildlife. From the forests of the Philippines to the shores of South Africa to right here in south west England, we work tirelessly with local communities to save wildlife, improve the environment and enrich lives.","Zoos and Botanical Gardens","51-200 employees","Non Profit","Bristol","United Kingdom","bristolzoo.org.uk","https://www.linkedin.com/company/bristol-zoological-society"
